musical_title,rate,review_title,review_text,review_date
2018뮤지컬풍월주,5,좋았어요,좋았어요,2020.08.03
2018뮤지컬풍월주,5,좋았어요,좋았어요,2020.08.03
2018뮤지컬풍월주,5,너무 슬프다,재밌게 잘봤습니다,2019.05.09
2018뮤지컬풍월주,5,언제나,넘버를 흥얼흥얼 최고의 작품~!,2019.03.25
2018뮤지컬풍월주,5,재밌게 봤어요~!!,넘버 너무 좋아요 ㅠㅠㅠㅠ,2019.03.16
2018뮤지컬풍월주,5,풍월주 좋아요~!,다시! 꼭! 금새! 올라오길 바랍니다~~,2019.03.15
2018뮤지컬풍월주,4,재미있었습니다,연기랑 노래 너무 멋있네요,2019.03.13
2018뮤지컬풍월주,5,그리운 공연,보고싶다 풍..,2019.03.13
2018뮤지컬풍월주,5,한번보고 반해서 또 본작품,한번보고 반해서 3번이나 봤네요ㅎ넘버들이 다 너무 좋아요cd사서 너무 잘듣고 있습니다.연기 넘버 모두 최고네요,2019.03.11
2018뮤지컬풍월주,5,풍월주 안녕ㅠㅠ,볼때마다울고나왔어요.. 또 운루가열리면 다시 찾아갈게요!,2019.03.11
2018뮤지컬풍월주,5,다시 열릴 운루를 기다리며,"지금도 열과 담이 함께 있을 운루가 눈에 선하고, 노래와 웃음소리가 들려올 것 같습니다. 공연기간동안 많이 웃고 울다 갑니다. 다시 열릴 운루를 기다리겠습니다.",2019.03.11
2018뮤지컬풍월주,5,배우들 정말 잘해요,좋은 넘버에 배우들은 열연이 더해져서 잘 봤습니다.,2019.03.10
2018뮤지컬풍월주,5,너무나 기다렸던  그작품,"나에게  훅하고  가슴속에 들어왔던  작품인 풍월주무작정 뮤지컬이 궁금해서 찾게된  거지만   내가슴속에뭔가  훅치고 들어와버린  그렇게 정신없이  본게 7번정도니까요  2015년에 나를  뮤지컬에 한발더 가깝게 만들어버린  그작품 기다렸어요  다시그모습이  보고파서  넘버는  언제나  들어도  좋아요  그것도좋지만  이율님  연기를한번더 보아서  좋아습니다  마음이아파서 보는내내   힘들었네요  ,",2019.03.08
2018뮤지컬풍월주,4,넘버가 좋아요,넘버 절말 좋네요,2019.03.07
2018뮤지컬풍월주,5,다시 보고싶어요,다시 볼 수 있겠죠?ㅠㅠㅠㅠㅠ,2019.03.04
2018뮤지컬풍월주,3,서사개연성은 없지만 넘버는 좋아요,완성도는 그럭저럭이고 웹툰보다도 원작인 뮤지컬이 더 구멍투성이지만 넘버와 특유의 분위기가 아름답네요 배우분들 정말 열연해 주셨습니다,2019.03.04
2018뮤지컬풍월주,5,당신의 마음만,그저 당신만을 생각하며 사소서,2019.03.04
2018뮤지컬풍월주,4,뭐지 싶으면서도 계속보게 되네요,마성의뮤지컬... 노래에 뭐탔는지 자꾸 생각나고요... 밤의남자...밤마다 부르고요 재밌었습니다,2019.03.03
2018뮤지컬풍월주,3,운명 앞에 한없이 나약하지만 운명보다 더 큰 힘을 지닌 것,그것이 바로 사담의 마지막 선택이 아니었을까. 운명을 바꿀 수 있는 힘은 없었지만 내 앞에 닥친 가혹한 운명에 나보다 다른이를 생각할 수 있다는 것. 운명보다 더 큰 힘을 지닌건 예나 지금이나 사랑뿐인것 같다. 서정적인 넘버와 배우들의 열연이 기억에 많이 남는다.,2019.03.02
2018뮤지컬풍월주,3,운명 앞에 한없이 나약하지만 운명보다 더 큰 힘을 지닌 것,그것이 바로 사담의 마지막 선택이 아니었을까. 운명을 바꿀 수 있는 힘은 없었지만 내 앞에 닥친 가혹한 운명에 나보다 다른이를 생각할 수 있다는 것. 운명보다 더 큰 힘을 지닌건 예나 지금이나 사랑뿐인것 같다. 서정적인 넘버와 배우들의 열연이 기억에 많이 남는다.,2019.03.02
2018뮤지컬풍월주,5,보고싶다.....,흑흑흑,2019.03.02
2018뮤지컬풍월주,5,풍월주 !,첫 번째 봤을 대 사담 자살 그때부터 눈물이 멈추지 못해요ㅠㅠ 좋은 뮤지컬 우수한 배우들! 재연 꼭 해 주세요!!!,2019.03.01
2018뮤지컬풍월주,5,재연 꼭 해 주세요!!!,첫 번째 봤을 대 사담 자살 그때부터 눈물이 멈추지 못해요ㅠㅠ 좋은 뮤지컬 우수한 배우들! 재연 꼭 해 주세요!!!,2019.03.01
2018뮤지컬풍월주,5,매번 봐도 우는 풍월주ㅠㅠ,첫 번째 봤을 대 사담 자살 그때부터 눈물이 멈추지 못해요ㅠㅠ 좋은 뮤지컬 우수한 배우들! 재연 꼭 해 주세요!!!,2019.03.01
2018뮤지컬풍월주,5,다음이 기다려집니다,모든 캐스트가 소중하네요.  캐스트마다  느낌이 달라서...  극을 다르게 느낄 수 있었는데... 다음엔 어떤 배우들이 올지 기대됩니다.,2019.02.28
2018뮤지컬풍월주,5,아쉽네요,끝이 나서 너무 아쉽네요. 빨리 다시 극이 올라왔으면 좋겠습니다.,2019.02.28
2018뮤지컬풍월주,5,풍월주,역시 좋네요.. 율유동 페어를 끝나기 전에 한번 꼭 다시 보고싶어서 간건데 역시 보러가길 정말 잘한것 같습니다~ 가지마유..ㅠㅠ,2019.02.27
2018뮤지컬풍월주,5,좋다,넘버도 좋고 배우님들 연기도 너무 좋았다,2019.02.27
2018뮤지컬풍월주,4,다시 돌아올때까지.,기다릴게.,2019.02.27
2018뮤지컬풍월주,4,비극적이지만 그러지 않길 바랐습니다.,처음부터 어느정도 예상은 했지만 결말에 너무 맘이 아팠습니다.사담과 열은 그저 서로가 함께 있으면 좋고 행복하게 살수 있을 사람들이었는데 진성여왕의 집착으로 인해 결국 다 비극이 되버렸습니다.이세상은 아니지만 다른 세상에선 유람다니며 행복하게 살고 있을 사담과 열의 모습을 보고싶어요.,2019.02.26
2018뮤지컬풍월주,4,좋네요,슾ㄹ픈 이야기 너무 울어서 힘들었던 기억이 납니다.,2019.02.26
2018뮤지컬풍월주,4,ㅠㅠㅠ,끝났네요 ㅠㅠㅠ 그동안 잘 보았습니다ㅣ 수고했습니다.,2019.02.26
2018뮤지컬풍월주,5,풍월주,마지막까지 수고하셨어요!,2019.02.26
2018뮤지컬풍월주,5,다시 왔으면 좋겠어요,기다릴게..(핏.담이,2019.02.26
2018뮤지컬풍월주,5,다시 왔으면 좋겠는 공연,"배우분들도 좋았고, 무대도 (뭔가 무너질것같아 무섭긴했지만)너무 이뻐서 좋았어요",2019.02.26
2018뮤지컬풍월주,4,음악이 아름다운 극,음악이 아름다운 극,2019.02.25
2018뮤지컬풍월주,4,풍월주,빠진 대사와 서사 채워서 빠른시일 내 돌아오길 기원,2019.02.25
2018뮤지컬풍월주,5,풍월주,굿바이....ㅠㅠ,2019.02.25
2018뮤지컬풍월주,5,풍월주,굿바이....ㅠㅠ,2019.02.25
2018뮤지컬풍월주,4,풍월주,넘버 연기 모두 최고,2019.02.25
2018뮤지컬풍월주,4,풍월주,넘버 연기 모두 최고,2019.02.25
2018뮤지컬풍월주,4,풍월주,넘버 연기 모두 최고,2019.02.25
2018뮤지컬풍월주,4,풍월주,넘버 연기 모두 최고,2019.02.25
2018뮤지컬풍월주,4,풍풍,잘봤습니다~!,2019.02.25
2018뮤지컬풍월주,4,풍월주ㅠㅠ,정말 좋았어요,2019.02.25
2018뮤지컬풍월주,5,풍월주ㅠㅠ,정말 좋았어요,2019.02.25
2018뮤지컬풍월주,4,풍월주,굿바이 풍ㅠ,2019.02.25
2018뮤지컬풍월주,5,풍월주,잘봤습니다~!,2019.02.25
2018뮤지컬풍월주,5,풍월주,잘봤습니다~!,2019.02.25
2018뮤지컬풍월주,3,잘 봤습니다,무대 구성이 특이했고 넘버와 배우분들 연기가 좋았습니다. 줄거리 상 개연성이나 디테일이 떨어지는 부분이 보이긴 했지만 즐거운 관람했습니다.,2019.02.25
2018뮤지컬풍월주,5,풍월주 넘버 너무 좋아요,끝나서 아쉽습니다,2019.02.25
2018뮤지컬풍월주,5,풍월주 오연 기다립니다.,그때까지 OST들으며 허전한 마음 달래볼게요,2019.02.25
2018뮤지컬풍월주,3,ㅎㅎ,하하하..,2019.02.25
2018뮤지컬풍월주,5,끝나지 말아라... ㅠㅠ,흐엉... ㅠㅠㅠ 열아 담아... ㅠㅠㅠㅠㅠ,2019.02.25
2018뮤지컬풍월주,5,끝나지 말아라... ㅠㅠ,열아....................,2019.02.25
2018뮤지컬풍월주,5,끝나지 말아라... ㅠㅠ,열아.... 담아... ㅠㅠㅠㅠㅠㅠ,2019.02.25
2018뮤지컬풍월주,5,끝나지 말아라... ㅠㅠ,흡... ㅠㅠㅠ 우리 담이... 우리 열이....  ㅠㅠㅠㅠㅠ,2019.02.25
2018뮤지컬풍월주,5,끝나지 말아라... ㅠㅠ,율아... 담아.... ㅠㅠㅠㅠㅠㅠ,2019.02.25
2018뮤지컬풍월주,5,끝나지 말아라... ㅠㅠ,열아.... 담아... ㅠㅠㅠㅠ,2019.02.25
2018뮤지컬풍월주,3,허헣,뭔가 부족하고 셀프로 끼워맞추는 기분이지만 넘버만 좋아요,2019.02.25
2018뮤지컬풍월주,5,너무 좋아요,너무나 좋았던~,2019.02.25
2018뮤지컬풍월주,5,너무 좋은,넘나 좋은,2019.02.25
2018뮤지컬풍월주,5,한푼줍쇼,두푼줍쇼 부모보낸 거리에서 한푼줍쇼 두푼줍쇼 막막했던 거리에서.. 너랑 나랑 함께였지~열담 주세요ㅜㅜ,2019.02.25
2018뮤지컬풍월주,5,사라지는것이,마음이라 하셨습니까..이미 제게 답을주셨습니다.풍월주 오연 빨리오길 바랍니다ㅜ,2019.02.25
2018뮤지컬풍월주,5,한발한발오소서,열이와 담이 이야기 너무 좋았고 넘버도 최고.누구하나 부족함없는 연기도 최고였어요!오연이 빨리오면 좋겠어요ㅜ 기다릴게요ㅜ,2019.02.25
2018뮤지컬풍월주,3,풍월주,풍월주,2019.02.25
2018뮤지컬풍월주,5,운루 개장 언제죠,며칠동안 대기타고 있는데 왜 없죠,2019.02.25
2018뮤지컬풍월주,5,열담이 금강산 잘 도착했니,도착했지?,2019.02.25
2018뮤지컬풍월주,5,풍월주 ^^ 재밌었어요,풍월주 ^^ 재밌었어요 배우들이 연기를 잘하네요,2019.02.25
2018뮤지컬풍월주,5,넘버가 너무 좋아요,넘버 너무 좋고 배우님들 다 너무 잘하시고 짱입니다,2019.02.25
2018뮤지컬풍월주,4,뮤지컬 풍월주,넘버가 좋았습니다,2019.02.25
2018뮤지컬풍월주,5,다음 시즌 기다려요,얼른 돌아왔으면 좋겠어요 풍월주 못보냅니다,2019.02.25
2018뮤지컬풍월주,5,너무좋았습니다,배우님들 감정 너무 최고였어요 레전 찍어서 기분좋았습니다 이율 배우님 또해주세요 제발요,2019.02.25
2018뮤지컬풍월주,5,성두섭 ㅈㅅㄱㄷ,ㅁㅈㅁㅈ,2019.02.25
2018뮤지컬풍월주,5,풍월주 안녕ㅜㅜ,"이율배우님 세미막으로 이번 시즌 풍 자막했는데,다른 공연과 겹치지만 않았다면 이번 시즌 더 많이 볼 수있었을텐데 참 아쉽네요ㅠㅠ한번 지나간 캐슷이 다시 돌아오지 않을텐데 말이죠ㅜㅜ그래도 얼른 곧 다시 돌아오기를 빌게요ㅜㅜ",2019.02.25
2018뮤지컬풍월주,5,풍,믿보배와 꿀넘버로 가득했던 시간. ost 발매 정말 대박이었고 다음에는 의상이랑 서사만 조금 고쳐서... 밤남 부채와 같이 돌아와줘요,2019.02.25
2018뮤지컬풍월주,5,풍월주,열이 이름을 차마 다 못 쓰던 담이...,2019.02.25
2018뮤지컬풍월주,5,잘 봤습니다,이미 막공까지 끝났지만 풍월주 정말 애정했습니다.꼭 빠른 시일내로 다시 돌아왔으면 좋겠네요ㅜㅜ특히 이율배우님ㅜㅜ,2019.02.25
2018뮤지컬풍월주,5,풍월주 안녕ㅠㅠ,넘 좋았습니다..,2019.02.25
2018뮤지컬풍월주,5,다시 와줄래? 그때처럼?,또 보고싶은 풍월주다시 와줄래? 그때처럼?,2019.02.25
2018뮤지컬풍월주,5,가슴 먹먹해 지는 공연,궁곰이 외치는 담아~~ 이 말이 어쩜 그리 마음 아프고 눈물이 나는지. 풍월주에 나오는 모든 인물들이 행복했으면 좋겠다. 그리고 빨리 5연이 오기를.....,2019.02.25
