musical_title,rate,review_title,review_text,review_date
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,5,사랑해,사랑해 노틀담,2020.01.28
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,5,내한도 좋은데 라센도 재연이 필요합니다. 해주세요!!! ㅠㅠㅠ,내한도 좋은데 라센도 재연이 필요합니다. 해주세요!! ㅠㅠㅠㅠ,2020.01.06
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,3,노트르담 드 파리,너무나 유명한 뮤지컬이라 아무갓도 모르고 갔는데 처음부터 끝까지 노래로만 해서 조금 당황스러웠네요...색다르긴 했지만 한번 보고 내용을 다 이해하기에는 쉽지 않았던것 같습니다.그래도 생각보다 케이윌이 잘해서 깜짝 놀랐네요!보통 노래 부를 때보다 콰지모도 역할에 맞는 걸걸한? 소리가 나와서 나름 만족스러운 관람 했습니다!,2019.02.20
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,4,캐좋았어요~~,이날 너무 좋았나봐요 !!!!!정신을 놓아버림요,2019.02.19
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,5,좋았어요,좋았어요,2018.11.19
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,5,역시 케이윌,노래를 너무잘함수행평가 보고서에 쓸내용 많아서 뿌듯,2018.11.08
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,5,최고입니다,주연배우님뿐만아니라 무용하는 분들어 박수를 보냅니다.,2018.10.27
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,5,최고!,최고의 무대! 특히 댄서분들 최고입니다~,2018.10.21
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,4,노래가아직도생각나요,최고였습니다,2018.10.15
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,5,뮤지컬의 매력을 모두 보여준 무대,사실 마이클리 배우님 공연 보고싶어서 갔는데다른 모든 배우분들의 퍼포먼스 하나하나가 감동적이었습니다!!!아직도 뮤지컬 넘버들이 머리에 맴돌고 흥얼거리게 되네요~,2018.10.14
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,5,최고,감동감동 그리고 감동,2018.10.09
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,5,뒷자리 진상,뒷자리 관객이 진상이었는데공연은 짱,2018.10.08
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,4,한번쯤은 볼만한,뮤지컬이였습니다~,2018.10.07
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,5,명곡에 감동하였습니다.,배우들의 힘있는 무대 연기에 감사함을 느낍니다.,2018.10.05
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,5,또 봐도 푹 빠져드는 노트르담드 파리!,제 인생 중 뮤지컬 관람은 몇 안 되지만 노트르담드 파리는 몇십만원이 아깝지 않은 훌륭한 뮤지컬이었습니다. 유명한 명곡들과 배우들의 열정이 고스란히 전해지는 이 뮤지컬을 꼭 봐주세요!배우님들 정말 감사드립니다~!,2018.10.01
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,4,멋진공연,멋진공연,2018.10.01
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,5,노트르담드 파리,감동 그 자체인 공연이였어요 박수를 보냅니다,2018.09.30
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,5,노트르담 드 파리♡,차지연 배우님 보러 갔던 노트르담!!사실 송스루를 그닥 좋아하지 않아서 망설였지만... 후회없이 보고 왔습니다.다만 제가 생각해오던 에스메랄다에 비해 차지연배우님의 에스메랄다가 너무 강해서 몰입이 조금 힘들었어요 ㅎㅎ그치만 너무 멋있었습니다♡,2018.09.28
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,5,너무 감동적인..,넘넘 좋았어요~^^,2018.09.27
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,5,기대이상이었습니다,기대이상으로 감동까지 느낄수 있는 공연이었습니다~,2018.09.27
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,5,좋은공여ㆍ,좋은공연추천,2018.09.24
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,2,음향과무대에 조금실망‥,노트르담파리는 노틀담의곱추 원작을바탕으로해서 깊은 감동과 무대를 예상했다.공연장의 실제음향은 다소낙후되고 미비했고 배우의대사와 노래가사가 명확히 전달되지않아생각보단 실망스러웠다.정동하의 대성당의 시대메인테마곡이  가장인상적.,2018.09.24
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,5,노트르담드파리,최근에 관람한 뮤지컬로 감명깊게 보고 새로운 느낌을 받아서 너무 좋았습니다,2018.09.20
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,4,춤을춰요에스메랄다~,계속흥얼거리게되네요.케이윌의음량이장난아니네요..**,2018.09.20
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,5,부모님과 함께 관람한 뮤지컬 너무 좋았습니다,처음으로 부모님 모시고 본 뮤지컬다녀오시고 계속 뮤지컬 또 보고싶다 노래하시네요역시 유명한 이유가 있습니다 너무 좋았어요,2018.09.18
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,5,너무좋았어요,대성당에~~ 한동안 흥얼거리게됐던너무 좋았습니다,2018.09.18
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,5,진짜 최고였습니다!,배우님들 연기부터 넘버까지 완벽하게 좋았어요ㅠㅠ,2018.09.18
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,5,즐거운 시간,넘좋았네요,2018.09.17
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,5,잼있고 즐거운 시간 보냈어요,잼있고 즐겁게 좋은시간을 보낼 수 있는 좋은 공연이었습니다. 감사합니다.,2018.09.16
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,5,역시 돈이 아깝지 않네요! 최고!,기대많이 하고 갔는데 역시 마이클리 비롯한 모든 배우분들이 연기력과 가창력에 푹 빠져버렸습니다ㅠㅠㅠ다음엔 앞좌석에서 보고싶네요!!,2018.09.16
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,5,노트르담드파리,너무감동적이였습니다,2018.09.16
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,5,재밌어요,재밌어요,2018.09.15
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,5,시설이 아쉬웠움,세종문화회관 2층은 시설이 아쉽네요공연은 아주 좋았습니다,2018.09.14
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,5,여러번 봐도 최고의 뮤지컬,오리지널 공연 포함해서 4번 관람했는데 볼때마다 짜릿한 공연입니다,2018.09.14
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,4,서울 공연,서울 앵콜 무대 부탁드려요,2018.09.13
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,3,넘버 들으러 가는 뮤지컬ㄴ,넘버가 너무 너무 좋은데 스토리는... 진짜 넘버가 하드캐리 하는 뮤지컬. 무대 구성이나 춤이 위험한게 엄청 많아서 보면서 저러다 사고나면 어쩌지 싶더라 오히려 현입하게 돼,2018.09.12
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,4,웅장함!!!,웅장웅장웅장~그거뿐이라 나중엔 조금 지치기도~배우들의 열연은 좋았음~ 한번 보는것 보단 여러번 보는것을 추천~,2018.09.11
뮤지컬 노트르담 드 파리 - 한국어버전 10주년,2,진중한 듯 하지만 가볍다.  출연진들의 노래는 인상적,내용적인 면에서 진중한 척 하는 가벼움이 느껴졌다.  레미제라블에서의 자유와는 무게의 차이가 나는건 어쩔 수 없었다.  어느 뮤지컬에서나 그런듯 사랑에 쉽게 빠지지만 외모 말고는 사랑에 대한 개연성을 설명하는게 없다. 시대상을 묘사하는 역할을 사제에게 부여했는데 극단적인 감정 표현 때문에 사제가 사랑과 종교적 신념 사이에서 갈등한다는 느낌이 오히려 떨어진다고도 느껴졌다.  내용적인 면과는 별개로 출연진들은 다들 인상적이고 노래를 계속 흥얼거리게 된다.다만... 이 정도 가격임에도 오케스트라 없이 전자음으로만 음악이 흘러나왔다는 건 넌센스다.,2018.09.11
