musical_title,rate,review_title,review_text,review_date
뮤지컬 라이온 킹 인터내셔널 투어-서울(Musical The Lion King),5,어렸을때 라이온킹 애니메이션의 감동을,어렸을때 라이온킹 애니메이션의 감동을,2020.03.01
뮤지컬 라이온 킹 인터내셔널 투어-서울(Musical The Lion King),5,베스트오브베스트,인생최고  뮤지컬이라  단언할수있습니다   화려한 무대와 실력 높은 배우들  모든것이  완벽했습니다,2019.08.10
뮤지컬 라이온 킹 인터내셔널 투어-서울(Musical The Lion King),5,감동과 소름의 연속!,무대가 작은 것이 아쉽긴 했지만 동물을 표현하는 모든 것들이 신기했어요!! 특히 복도에서 등장할 때 ^^,2019.07.25
뮤지컬 라이온 킹 인터내셔널 투어-서울(Musical The Lion King),5,최고최고,최고다,2019.07.02
뮤지컬 라이온 킹 인터내셔널 투어-서울(Musical The Lion King),4,동물들표현,동물표현 스케일도 대단 ㅠ동물들등장할때 ㅜ 감동특히 코끼리 등장햝때 ㅠ,2019.06.04
뮤지컬 라이온 킹 인터내셔널 투어-서울(Musical The Lion King),4,동물들표현,동물표현 스케일도 대단 ㅠ동물들등장할때 ㅜ 감동특히 코끼리 등장햝때 ㅠ,2019.06.04
뮤지컬 라이온 킹 인터내셔널 투어-서울(Musical The Lion King),5,오프닝만으로도 만족!!,오프닝은 잊지못할 오프닝입니다. 오프닝 하나만으로도 이 뮤지컬의 가치는 뛰어나다고 생각합니다. 가족들끼리 와서 다같이 봐도 좋은 뮤지컬이라고 생각합니다!,2019.05.28
뮤지컬 라이온 킹 인터내셔널 투어-서울(Musical The Lion King),5,역시라이온킹,역시라는 말이 절로나오는 공연이었습니다!,2019.05.22
뮤지컬 라이온 킹 인터내셔널 투어-서울(Musical The Lion King),5,감동,꿀잼쓰,2019.05.04
뮤지컬 라이온 킹 인터내셔널 투어-서울(Musical The Lion King),5,떠나지마요 제발,서울 보고 너무 좋아서 부산도 갑니다떠나지말아줘요,2019.05.03
뮤지컬 라이온 킹 인터내셔널 투어-서울(Musical The Lion King),3,기대를 너무 많이 했나봐요,우선 에술의 전당이 뮤지컬 전용극장은 아니라전체적으로 무대가 좁다는 생각이 들었어요그래서 웅장함이 느껴지지 않았어요음악은 익숙해서 좋은..♥그냥 그랬어요~~,2019.04.21
뮤지컬 라이온 킹 인터내셔널 투어-서울(Musical The Lion King),5,애니메이션을 넘어서는 감동 !,역시는 역시구나 싶네요 너무 감동적이었어요 Circle of Life 나오는 순간 눈물이 !,2019.04.20
뮤지컬 라이온 킹 인터내셔널 투어-서울(Musical The Lion King),1,쏘쏘,국내뮤지컬추천,2019.04.18
뮤지컬 라이온 킹 인터내셔널 투어-서울(Musical The Lion King),2,지루함,두번보고싶지은 않아요.돈 아까워요. vip석에서 봤는데 자막읽을라 함든공연 관람이었어요.,2019.04.14
뮤지컬 라이온 킹 인터내셔널 투어-서울(Musical The Lion King),5,너무좋았습니다,????????????????????,2019.04.14
뮤지컬 라이온 킹 인터내셔널 투어-서울(Musical The Lion King),5,반드시 한번은 볼 가치가 있는 작품,첫 도입부부터 우리나라에서 언제쯤 표현할 수 있는 작품일까 생각하게 됨,2019.04.11
뮤지컬 라이온 킹 인터내셔널 투어-서울(Musical The Lion King),5,명불허전,멋진 목소리와 몸짓을 가진 배우들이 정말 많네요. 새로운 캐스트들의 첫무대였다는 것이 믿기지 않을 정도,2019.04.08
