musical_title,rate,review_title,review_text,review_date
뮤지컬 〈랭보〉,5,슈랭은 돌아와야함,슈랭 꼭주세요아시겠죠?꽃랭두요..,2020.11.02
뮤지컬 〈랭보〉,5,슈랭은 돌아와야함,슈랭 꼭주세요아시겠죠?꽃랭두요..,2020.11.02
뮤지컬 〈랭보〉,5,슈랭은 돌아와야함,슈랭 꼭주세요아시겠죠?꽃랭두요..,2020.11.02
뮤지컬 〈랭보〉,5,좋아요~,첫 뮤지컬 이였는데 그안에 담겨있는 내용과 랭보가 진정으로 시를 쓰는것을 사랑하는게 느껴졌어요,2020.07.31
뮤지컬 〈랭보〉,5,아직도 오슷 듣고 있어요,랭보는 넘버가 너무 좋아요,2019.03.18
뮤지컬 〈랭보〉,4,잘봤습니다,초록이여 오라~ 계속생각나네여,2019.03.03
뮤지컬 〈랭보〉,5,정동화배우님 재연해 주세요!!,꽃랭보 꼭 돌아 주세요 ㅠㅠ,2019.03.01
뮤지컬 〈랭보〉,5,꽃랭보 꼭 돌아 주세요 ㅠㅠ,꽃랭보 꼭 돌아 주세요 ㅠㅠ,2019.03.01
뮤지컬 〈랭보〉,5,재연 꼭 해 주세요!!!,꽃랭보 꼭 돌아 주세요 ㅠㅠ,2019.03.01
뮤지컬 〈랭보〉,4,김종구잘생겼다,김종구배우님잘생겼다ㅜㅜ,2019.02.25
뮤지컬 〈랭보〉,3,음향사고,음향사고 대처가 참 아쉽네요 배우와 넘버는 좋았습니다,2019.02.22
뮤지컬 〈랭보〉,5,다시 오나요?,공연 봤을땐 그냥 그랬는데 자꾸 생각나요,2019.02.21
뮤지컬 〈랭보〉,5,랭보,랭보.. 보고싶어 재연 언제 와.. 딥디는…?,2019.02.11
뮤지컬 〈랭보〉,5,재연 기다리겠습니다.,음악이 좋습니다,2019.02.09
뮤지컬 〈랭보〉,5,공연 최고였는데 다시 못봐 아쉽다,너무 완벽했어.  흑흑,2019.02.07
뮤지컬 〈랭보〉,4,다시 보고 싶어요,랭보의 마음을 다 이해하지는 못하지만 자유로운 영혼을 가진 것 만으로도 힘들었을 것 같아요,2019.02.05
뮤지컬 〈랭보〉,4,랭보 언제오니,랭보사랑해,2019.02.01
뮤지컬 〈랭보〉,4,랭보,좋은 공연 잘 봤습니다!,2019.01.28
뮤지컬 〈랭보〉,5,랭보 재밌었어요 가서 아쉬워요,좀 지루한면이 없지 않아 있지만 서사를 쌓아가는 배우들의 명연기 잘봤습니다 취한배랑 앉은뱅이 너모 너모 좋ㅇ영,2019.01.28
뮤지컬 〈랭보〉,4,재밋엇어요,좋앗음,2019.01.28
뮤지컬 〈랭보〉,5,막공....,처절하게 울던 배우님들을 아직 보낼수가 없네요ㅡㅠㅠ 빨리 다시 와주세요 ㅠㅠ,2019.01.28
뮤지컬 〈랭보〉,3,나쁘지 않았지만 이제 남배만 나오는 극 지겨워요,여성 문인들 이야기 좀 내주시길,2019.01.28
뮤지컬 〈랭보〉,3,아쉽네여,다음에 또 봐요,2019.01.28
뮤지컬 〈랭보〉,4,어렵지만 좋은 공연,"재연을 기다리게 되는 랭보.랭보가 사람 이름인 것도 모를만큼 무식과 무지로 단련하고아무 생각 없이 페스티벌에서 들었넌 곡을 들으러 간 공연.랭보는 시즌이 다 끝난 이후에 늦게 이해한 작품인데시의 아름다움에 뒤늦게 빠지고,랭보의 인생을 이제야 알아보게 됐습니다.대사를 조금만 줄여서 재연으로 돌아오길 기다립니다.",2019.01.28
뮤지컬 〈랭보〉,5,재밋었어요,굳굳굳,2019.01.28
뮤지컬 〈랭보〉,5,-,총막 너무 잘 보내 주고 옴,2019.01.28
뮤지컬 〈랭보〉,5,정동화 짱!,정동화짱!!,2019.01.28
뮤지컬 〈랭보〉,5,정동화 짱!,정동화짱!,2019.01.28
뮤지컬 〈랭보〉,5,정말 좋은 작품입니다ㅠㅜ,넘버도너무좋고 내용도 좋아요 볼 때마다 항상 감동적입니다,2019.01.28
뮤지컬 〈랭보〉,4,잘봤습니다.,잘봤어요.,2019.01.28
뮤지컬 〈랭보〉,4,아름다운 시구절과 음악,노래가 정말 좋았어요,2019.01.28
뮤지컬 〈랭보〉,4,굿굿굿..,아직도 넘버가 귀에 맴도네요,2019.01.28
뮤지컬 〈랭보〉,5,마지막 ㅠㅠㅠㅠ,안녕 랭보 우리 함께 즐거웠었는데 막공이라니.... 너무 슬프구나  오슷이라도 남아있어서 다행인데 실황딥디도 내준다며...... 소식 기다릴께,2019.01.25
뮤지컬 〈랭보〉,5,재연 기다리겠습니다,연출이 너무 기억에 남는 뮤지컬 입니다.넘버도 정말 하나같이 너무 좋고 오래오래 기억에 남을 것 같네요 감사합니다. 재연이 언제가 됐든 기다리겠습니다.,2019.01.25
뮤지컬 〈랭보〉,5,재연 기다리겠습니다,연출이 너무 기억에 남는 뮤지컬 입니다.넘버도 정말 하나같이 너무 좋고 오래오래 기억에 남을 것 같네요 감사합니다. 재연이 언제가 됐든 기다리겠습니다.,2019.01.25
뮤지컬 〈랭보〉,5,재연 기다리겠습니다,연출이 너무 기억에 남는 뮤지컬 입니다.넘버도 정말 하나같이 너무 좋고 오래오래 기억에 남을 것 같네요 감사합니다. 재연이 언제가 됐든 기다리겠습니다.,2019.01.25
뮤지컬 〈랭보〉,5,총막ㅠㅠ,아직도 생각나네요 재연 기다릴게요,2019.01.24
뮤지컬 〈랭보〉,5,돌아와...,가지마... 랭보... 가지마... ㅠㅠ,2019.01.24
뮤지컬 〈랭보〉,5,랭보,보고 난 후에도 자꾸 생각나네요,2019.01.24
뮤지컬 〈랭보〉,5,랭보,보고 난 후에도 자꾸 생각나네요,2019.01.24
뮤지컬 〈랭보〉,3,참사,아직도 해결 안 됐어요 ㅠ,2019.01.23
뮤지컬 〈랭보〉,5,잘보고왔습니다.,잘보고왔습니다~,2019.01.23
뮤지컬 〈랭보〉,5,정말 잘 봤습니다!,정말 너무너무 잘 봤어요!! 또 보고싶은데 끝났다는게 너무 아쉽네요 ..,2019.01.23
뮤지컬 〈랭보〉,4,좋았어요,잘 봤습니다.,2019.01.23
뮤지컬 〈랭보〉,4,끝났다는게 아쉬워요,아직도 끝났다는게 실감이 안나네요 .. 너무너무 재밌었고 잘 봤습니다. 고맙습니다.,2019.01.23
뮤지컬 〈랭보〉,4,박영수 랭보,사랑합니다..,2019.01.23
뮤지컬 〈랭보〉,4,제발 재연 올려주세요!,랭보를 너무 늦게 봤네요 ㅠㅠ 재연 빨리 와주세요!,2019.01.23
뮤지컬 〈랭보〉,5,좋았어요,^^b,2019.01.23
뮤지컬 〈랭보〉,5,랭보,랭보가 공연된다는 걸 알았을 때부터 보고싶었는데 망설이다가 막공이 거의 다가와서야 시간을 내서 관람했습니다. 공연을 보고나니 너무 좋은 극이라서 왜 진작 보지 않았을까 후회하다가도 차라리 지금 본게 통장잔고에 이로웠을거라고 생각했습니다ㅎㅎ,2019.01.23
뮤지컬 〈랭보〉,4,잘 봤습니다,"마지막 공연, 부족함 없는 훌륭한 공연이었습니다.",2019.01.23
뮤지컬 〈랭보〉,5,행복했습니다.,인생은 무언가 나는 누구와 힘께인가를 생각해볼 수 있었던거 같아요기다리고 있겠습니다.,2019.01.22
뮤지컬 〈랭보〉,5,뮤지컬 랭보,뮤지컬 랭보를 볼때면 랭보의 마지막 시를 찾아 길을 떠나는 여정에 저도 함께 하는 것 같았어요. 행복했습니다.  길지않은 생이었지만 누구보다 치열하게 살았던 랭보을 잊을 수 없을거예요.  언젠가는 재연이 꼭 올라올 수 있길 바라며 다시 랭보를 따라 걷게 될 그 날을 기다리고 있겠습니다. 좋은 공연 만들어주셔서 감사합니다.,2019.01.22
뮤지컬 〈랭보〉,5,랭보,랭보는 악마야,2019.01.22
뮤지컬 〈랭보〉,5,"들라에, 나랑 같이 떠날래?",들라에ㅠㅠㅠㅠㅠㅠㅠㅠ,2019.01.22
뮤지컬 〈랭보〉,5,다행스런 사실은...,이 고통스런 삶이 단 한번으로 끝난다는 것.  랭보....많이 좋아했던 극 입니다.. 다시 돌아올 날을 기다릴게요.,2019.01.22
뮤지컬 〈랭보〉,5,뮤지컬 〈랭보〉,뮤지컬 〈랭보〉 랭보의 불행했던 인생... 최고의 인연.. 또 보고싶네요~ 언제쯤 재연이 돌아올까요??,2019.01.22
뮤지컬 〈랭보〉,5,뮤지컬 〈랭보〉,뮤지컬 〈랭보〉 바람구두를 신은 사나이....또 보고싶다...,2019.01.22
