musical_title,rate,review_title,review_text,review_date
뮤지컬 〈명성황후〉,5,2021년 재연때 신영숙배우님 돌아와 주세여~~~~~~,2021년 재연때 신영숙배우님 돌아와 주세여~~~~~~,2020.01.02
뮤지컬 〈명성황후〉,4,웅장하고도 뭉클했던 공연,"역사적인 내용을 다룬 뮤지컬 관람은 이번이 처음이었어요. 두 배우의 호흡은 뭐~ 긴 말 필요없이 너무 좋았고 연기력 또한 좋았어요. 역사적인 내용의 공연이라 무대는 전체적으로 다운 된 느낌이었고, 무대를 조금 더 꽉 채워 썼다면 좋았을 것 같은 아쉬움이 있네요. 공연보면서 많은 생각을 하게된 시간이었어요.",2018.07.30
뮤지컬 〈명성황후〉,5,좋았어요,"김소현님 나오는걸로 골라서 보고갔는데, 역시나 기대이상 이네요",2018.06.25
뮤지컬 〈명성황후〉,5,엄마랑 뮤지컬,연기도 너무 잘하시고 엄마도 만족해 하시고 즐거웠어요,2018.06.11
뮤지컬 〈명성황후〉,5,재밌어요.,재밌어요.,2018.06.06
뮤지컬 〈명성황후〉,5,명불허전,"부모님이 보고싶어하셔서 깜짝 선물로 예매해서 갔는데 무대장비며, 연기력, 음악까지 너무 좋았습니당ㅎㅎ",2018.06.01
뮤지컬 〈명성황후〉,4,약간 지루함,약간지루했습니다의상은 최고 !!!10년전에 봤었는데 지금도 좋네요,2018.05.30
뮤지컬 〈명성황후〉,5,멋있어요!,이렇게라도 우리 나라 역사에대해 다시금 생각하고 돌아볼수있어 좋았습니다,2018.05.28
뮤지컬 〈명성황후〉,4,괜찮았어요,연기자분들이 너무 잘하시고볼거리가 많았어요스토리가 약간 지루해서 별 하나 뺐어요,2018.05.27
뮤지컬 〈명성황후〉,1,완전별로,잠만 쿨쿨대사는 없고 오로지 어색한 노래만이건 명성황후님에 대한 모독입니다,2018.05.26
뮤지컬 〈명성황후〉,4,굳~^^,음향이 아주~~^^배우님들 넘 멋지세요!!,2018.05.24
뮤지컬 〈명성황후〉,4,추천합니다.,창작뮤지컬 ㅊㅊ,2018.05.24
뮤지컬 〈명성황후〉,4,굳굳,굳굳,2018.05.22
뮤지컬 〈명성황후〉,5,너무 좋아서 또 보고싶은 뮤지컬,명성황후는 꼭 봐야할작품 중 하나,2018.05.21
뮤지컬 〈명성황후〉,5,짱입니다,김소현 배우님 짱짱,2018.05.18
뮤지컬 〈명성황후〉,5,최고였어요!,부모님 모시고 다녀왔습니다. 지루하지않고 전체적으로 재밌고 즐겁게 보았네요ㅎㅎ 마지막 장면이 가장 인상적이였습니다. 좋은작품 보여주셔서 감사해요^^,2018.05.15
뮤지컬 〈명성황후〉,5,환상,앙상블이 넘 멋지고 의상 음악 무대 너무 완벽했던 공연,2018.05.13
뮤지컬 〈명성황후〉,5,소름끼치도록,재밌어요 행복하네요,2018.05.10
뮤지컬 〈명성황후〉,1,실망한가득 안고 돌아왔네요,여전에 신영숙배우님 명성황후했을때 못봐서 아쉬움이 많이 남아있었는데 이번에 다시한다고해서 엄청 기뻤다 그래서 예매했는데 대실망! 당췌 명성황후에 대에서 무엇을 얘기하려고 했던것일까 번잡스럽고 극의 흐름도 뚝뚝 끊기고 기억에 남는건 무당춤추던 장면이랑 기무라노래할때 장면뿐이었다 이렇게 훌륭한 배우님들 모시고 이런 작품밖에 못만든다는게 한심하다 공연보면서 중간에 나오고 싶었던 공연은 처음이었다,2018.05.07
뮤지컬 〈명성황후〉,5,손준호김소현부부꺼 보고왔어요,드디어 손준호김소현 부부하가 하는거 봤었여 처음부터 끝까지 전율이 느껴졌어요 너무 멋진무대였어요,2018.05.06
뮤지컬 〈명성황후〉,5,김준호씨 멋져요,평일 낮공 최고였어요,2018.05.05
뮤지컬 〈명성황후〉,5,깊은 감동,깊은 여운...전율...,2018.05.04
뮤지컬 〈명성황후〉,4,명성황후,화려한 볼거리를 제공하는 좋은 공연입니다.,2018.05.04
뮤지컬 〈명성황후〉,5,굿굿,멀리서 봤어도..그소리와 생동감!,2018.05.02
뮤지컬 〈명성황후〉,4,거대한 뮤지컬,역사에 대한 인식을 다시금 되새기고.. 나라의 힘 없음에 속상해 하고. 아름다운 의상과 광대한 스케일이 좋았다,2018.05.01
뮤지컬 〈명성황후〉,5,동녂붉은해,하나면 충분합니다.더 말할 필요 있나요^^,2018.05.01
뮤지컬 〈명성황후〉,1,노잼,지루,2018.04.30
뮤지컬 〈명성황후〉,5,최고!,가족과 즐거운 시간보냈습니다,2018.04.28
뮤지컬 〈명성황후〉,5,명불허전,이번 관람이 명성황후만 6번째쯤 되는것 같은데이번 시즌 공연은 이전과는 느낌이 좀 달랐다. 감성보다는 사실에 충실해진 느낌이랄까. 어쨌건 즐거운 공연이었다,2018.04.26
뮤지컬 〈명성황후〉,4,감동적이엇어요,동녘붉은해~,2018.04.25
뮤지컬 〈명성황후〉,4,재밌게 잘봤어요,최블리 최고! 잘봤습니다~,2018.04.24
뮤지컬 〈명성황후〉,5,김소현 배우님 멋져요.,김소현 배우님 너무 목소리 좋으시고 연기가 최고네요. 아름답다라기 보다 멋지다라는 말을 해주고 싶습니다. 다음에 또 기회가 되면 김소현 배우님 꼭 다시봐요~,2018.04.24
뮤지컬 〈명성황후〉,5,재미있게 역사배운느낌!,재미있어요- 김소현 손준호 배우님들 케미가!! 짱입ㄴ다!,2018.04.24
뮤지컬 〈명성황후〉,3,부부캐스팅이라 더 좋았어요,평소에 만나보고 싶던 배우들이여서 너무 좋았다. 더군다나 주연배우들이 부부여서 호흡도 잘맞았고 워낙 실력들이 뛰어난 배우들이라 믿고들을 수 있었다. 아쉬운 점은 내용 구성이 방대했고 멜로디에 비해 가사가 너무 많은것 같다. 조금씩 수정해 나갔으면 좋겠다.,2018.04.23
뮤지컬 〈명성황후〉,5,명성황후,추천합니다!! 명성황후우우!!,2018.04.23
뮤지컬 〈명성황후〉,5,뮤지컬계의 명성황후 김소현!,그토록 보고싶었던 김소현 배우님의 명성황후를 보게되어 영광이였고 감동이였습니다.,2018.04.23
뮤지컬 〈명성황후〉,5,명성황후!!,역시 좋아요,2018.04.23
뮤지컬 〈명성황후〉,4,좋아요!!,사실 무슨 내용인지 모르고 보러가서 뮤지컬의 내용만으로는 이해가 되지 않은 부분이 있었으나 모든게 배우님들의 연기로 승화가 되었습니다. 좀 나이가 있으신 분들이 많아 관크가 있었어요..,2018.04.22
뮤지컬 〈명성황후〉,1,생각보단 좀...,글쎄~기대를 너무 하고 본 탓일까? 생각보단 별루였다. 스토리가 너무 지루했다. 의상은 최고였다.,2018.04.22
뮤지컬 〈명성황후〉,2,별로...,마지막부분이외에는 기억에 남는게 없네요,2018.04.22
