musical_title,rate,review_title,review_text,review_date
뮤지컬 〈삼총사 10주년 기념공연〉,4,후기,재미있었습니다,2020.01.26
뮤지컬 〈삼총사 10주년 기념공연〉,4,엄유민법,엄유민법 뮤지컬 재미있게 관람했습니다.,2018.12.18
뮤지컬 〈삼총사 10주년 기념공연〉,5,또 보고 싶다,여러번 봤지만 또 보고싶고 그리운 배우분들 ㅠㅠ,2018.10.19
뮤지컬 〈삼총사 10주년 기념공연〉,5,대박 삼총사,와이프가 보고 감동먹은 뮤지컬.꼭 다시 보고 싶습니다.~,2018.09.04
뮤지컬 〈삼총사 10주년 기념공연〉,2,10주년인데 많이 아쉬웠어요.,"오케스트라도 없이 mr로 진행하고, 사라진 장면과 노래, 대사들의 빈자리가 크게 느껴졌습니다",2018.08.01
뮤지컬 〈삼총사 10주년 기념공연〉,5,퀄리티있는 공연이였어요!,첨에 예매할때 비싸서 갈까말까 망설였는데안갔으면 큰일날뻔!!전혀아깝지 않은공연이였어요퀄리티가 크~~~무대에 정성들은 티가 팍팍나더라구요내용도 배우들의 센스도 더해져서 재밌는 연극이였어요잘봤습니다,2018.07.30
뮤지컬 〈삼총사 10주년 기념공연〉,5,ㅠㅜ,다시 돌아와여ㅜ,2018.07.25
뮤지컬 〈삼총사 10주년 기념공연〉,5,또보고싶은공연!!!!!!,다음에하면또보고싶어요♡♡,2018.07.15
뮤지컬 〈삼총사 10주년 기념공연〉,4,멋진삼총사,재밌고 감동적이었어요,2018.07.14
뮤지컬 〈삼총사 10주년 기념공연〉,5,엄유민법,이즈뭔들,2018.07.10
뮤지컬 〈삼총사 10주년 기념공연〉,5,역시 엄유민법,이들의 케미는 무엇과도 바꿀수 없는듯 합니다.. 보면서 실컷 웃고 즐기고..배우님들과 같이 호흡하고  정말 멋진 공연이였습니다,2018.07.02
뮤지컬 〈삼총사 10주년 기념공연〉,5,ㅋㅋㅋㅋㅋ,너무 재밌었다!!  또 보고싶은데 ㅠㅠ 또 했으면 좋겠다 민영기배우님 너무 재밌고 엄기준오빠 너무 좋아요!!!,2018.07.01
