musical_title,rate,review_title,review_text,review_date
뮤지컬 〈스토리오브마이라이프〉,5,재밌어요,다음에도 왔으면 강필석 배우님 좋아요ㅠㅠ,2019.07.08
뮤지컬 〈스토리오브마이라이프〉,5,두 배우의의 형제애에 더 감동스러웠던...,왜 마니아층이 생겼는지 알만했던 뮤지컬.연극처럼 하는 뮤지컬은 처음이라 첨엔 당황했는데 조용조용히 이야기하듯 진행되는 뮤지컬에 반하게 되더라는....공연이 끝나고 두 배우가 나누는 뜨거운 포옹에 웬지 더 울컥하던 공연...,2019.06.23
뮤지컬 〈스토리오브마이라이프〉,5,다음엔 꼭 가족과 보고싶은 뮤지컬,평생본 뮤지컬중 가장 완벽하고 따뜻했던...,2019.04.12
뮤지컬 〈스토리오브마이라이프〉,5,감동적입니다,재밌고 감동적이었어요,2019.04.08
뮤지컬 〈스토리오브마이라이프〉,5,따뜻한 공연,친구들과 함께 보기 좋은 따뜻한 공연이었습니다!,2019.04.02
뮤지컬 〈스토리오브마이라이프〉,5,이런뮤지컬...처음입니다,엘빈과 토마스의 이야기... 동화적인느낌 너무좋았어요.,2019.03.20
뮤지컬 〈스토리오브마이라이프〉,5,감 동,넘버도 좋고ㅠ 연기도최고였어요ㅠㅠ,2019.03.18
뮤지컬 〈스토리오브마이라이프〉,5,내가 제일 사랑하는 공연,같이 울고 같이 웃고 같이 행복해하고 생각하게되는 공연,2019.03.16
뮤지컬 〈스토리오브마이라이프〉,5,솜솜,눈물눈물,2019.03.15
뮤지컬 〈스토리오브마이라이프〉,5,너무 좋았습니다.,따듯한 동화 같으면서도 현실의 무게감이 같이 느껴지는 너무 좋은 힐링극 이였습니다.,2019.03.07
뮤지컬 〈스토리오브마이라이프〉,5,창앨은 앨빈이에요.....,창앨 꼭 돌아와....,2019.03.04
뮤지컬 〈스토리오브마이라이프〉,5,너무좋았습니다.,빨리돌아오ㅏ요. 캐슷 다 동반해서와요,2019.03.04
뮤지컬 〈스토리오브마이라이프〉,5,너무 재밌고 감동적인이야기,생각할것고 많고 넘버도 좋고다음시즌 기다려요,2019.03.04
뮤지컬 〈스토리오브마이라이프〉,5,스토리오브마이라이프,잘봤습니다~ 또 만나요ㅠㅠ,2019.03.04
뮤지컬 〈스토리오브마이라이프〉,4,스토리오브마이라이프,"앨빈, 톰... 보고싶을거야ㅠ  내년에도 또 만날 수 있기를 바랍니다.",2019.03.04
뮤지컬 〈스토리오브마이라이프〉,5,꽃앨 천사,보고싶다 천사ㅠㅠㅠㅜ,2019.03.04
뮤지컬 〈스토리오브마이라이프〉,4,잘봤습니다.,잘봤습니다~ 겨울에 너무 잘 어울리는 뮤지컬이에요~,2019.03.04
뮤지컬 〈스토리오브마이라이프〉,4,잘봤습니다.,잘봤어요ㅠㅠㅠ,2019.03.04
