musical_title,rate,review_title,review_text,review_date
뮤지컬시카고성남,5,잼있게 보았어요~,"노래, 무대 등 하나 빠짐없는 공연이였어요~ 잘봤습니다.",2019.03.04
뮤지컬시카고성남,3,김지우씨 연기 굳!!!,김지우씨 연기가 좋았어요 역할에 잘어울려서 더 그랬던거 같아요 화이팅!!!!,2019.02.22
뮤지컬시카고성남,5,좋은 추억,너무 좋은 추억이였으으 하지만 자리의 중요성을 알게되었음 ㅜ 앞으론 vip석에서만 본다!!,2019.02.21
뮤지컬시카고성남,1,노잼노잼,첫 뮤지컬이라 기대했는데 핵노잼,2019.01.12
뮤지컬시카고성남,3,기대를 너무 많이 해서 그런지 2층 자리에 앉아서 그런지..,기대를 너무 많이 해서 그런지 2층 자리에 앉아서 그런지 조금 지루했습니다. 다음부터는 좀 비싸도 앞줄에서 봐야겠어요.,2019.01.10
뮤지컬시카고성남,5,그때가언제였을까...,"그때가 언제였을까...박칼린 감독님께서 지휘하시고 최정원.남경주배우님께서 연기하시던 시카고를 관람한지 몇년이 지났어요~그동안 딸내미가 커서 음악과를 졸업하고 이젠 공연을 같이 보러 갈 수 있어 엄마의 마음으로 너무 좋았습니다.광주공연이 있었지만 티켓예매를 늦게 했더니 좋은자리를 놓쳐 성남아트홀 시카고 좋은자리 예매 성공!!!공연날 SRT로 몇년전 기억을 되살려 공연장 도착~박칼린 감독님의 연기를 기대하며 한껏 들떠 있는 마음 가라 앉으며 한장면도 놓치지 않고 마음에 담아가야지 생각했지요~역쉬!! 발칸린감독님!!너무너무 멋진모습이 좋아서 공연내내 손모으고 그저 바라보게 되더라구요~부드러운 안재욱님, 사랑스럽고 귀여운 김지우님, 카리스마 김영주님 뭐라 표현 할 재주가 없어 무슨말을 해야 할지 모르겠습니다만... 멋진공연 볼 수 있어 행복했습니다~공연관람 20일이 지났지만 지금도 머리속을 맴도는 시카고!! 영원히 기억할꺼예요^^",2019.01.05
뮤지컬시카고성남,4,멋진 공연,박칼린과 아이비의 조합으로 본 시카고 공연.. 명성답게 화려하고 현란한 공연이었습니다. 밴드가 가운데에 자리잡아있는지라 무대장치의 변화가 크진 않았지만 워낙 춤도 화려하고 노래도 익숙한 것들이 많아 즐겁게 관람했습니다.,2019.01.04
뮤지컬시카고성남,4,뮤지컬 시카고 관람 후기,"많은 뮤지컬을 봐왔지만 시카고는 처음이었는데요, 재즈음악과 어우러지는 무대 구성과 춤, 연기로 색다른 느낌을 받았습니다. 화려하거나 웅장한 장치들은 없지만 음악과 어우러지는 공연을 보고자 한다면 추천드립니다!",2019.01.03
뮤지컬시카고성남,5,베리굿,부모님께서 매우 좋아하심!,2019.01.03
뮤지컬시카고성남,4,즐거운시간,가까운공연장에서 시카고를해서 보러갓어요역시 공연은 재미났구요아이비가 소문으로 잘한다도는 들었는데직접 첨봤어요역시 잘하네요  잘봤어요모든배우님들 감솨ㅎㅎ,2019.01.02
뮤지컬시카고성남,5,공연 잘 보고 왔습니다,시카고 넘 최고인 것 같아요 최고의 공연 추천합니다,2019.01.02
뮤지컬시카고성남,5,시카고,부모님이 너무 좋아하셨어요!,2018.12.31
뮤지컬시카고성남,4,강추입니다.,재밌고노래도 좋네요ㅎ좀 의상이야해서 놀람ㅎㅎ,2018.12.31
뮤지컬시카고성남,5,강추~!,또 보고 싶어요,2018.12.31
뮤지컬시카고성남,4,신나요!,또 보고 싶어요,2018.12.31
뮤지컬시카고성남,4,아이비 배우님 최고최고,크리스마스 기념으로 어머니랑 관람하고 왔는데 아이비 배우님의 폭시 배역 정말 최고였어요!! 열정 짱짱! 그리고 악단분들도 정말 연주 잘하시고 좋았아요 ^^,2018.12.30
뮤지컬시카고성남,2,소문난 잔치에 먹을 게...,"유명한 배우들이 등장하는 이름난 뮤지컬,  그 이름값은 할 줄 알았는데,,  물론 뮤지컬을 올리기까지 노력한 배우와 악단, 스태프들의 노고에 박수를 보냅니다.   하지만 무대 변경이 없어 지루했고, 갑작스런 전환으로 내용 파악이 효과적으로 전달되지 않는 경우도 있었으며, 마지막은 그렇게 끝나는 게 아닌 줄 알았다.  구성이 얼마나 중요한지, 이야기가 주는 메시지가 얼마나 중요한지 깨달을 수 있었다.",2018.12.29
뮤지컬시카고성남,5,최정원씨 최고에요,뮤지컬 시카고 명성만 들었는데 영화만큼은 아니였지만 귀가 즐거운 시간이었습니다.,2018.12.29
뮤지컬시카고성남,4,최고의 공연,나름 R석이였으나 무대에서 상당히 멀리 떨어져있어 가까이 보지는 못했지만 최정원씨 최고였어요!!.,2018.12.29
뮤지컬시카고성남,3,시카고 관람기,영화가 더 재밌는듯... 아쉬웠어요 ㅠ 라이브 재즈밴드는 인상적!,2018.12.28
뮤지컬시카고성남,5,몇번을 봐도 재밌네요,넘좋아요^^~,2018.12.28
뮤지컬시카고성남,5,언제바도 너무 재밌는 뮤지컬,"훌륭한 사운드와 탄탄한 연기력, 스토리가 조화롭게 어울려 재밌게 볼수 있는 뮤지컬^^",2018.12.28
뮤지컬시카고성남,4,시카고 정말 재밌어요,크리스마스를 맞아 뮤지컬을 보고 싶어서 VIP석으로 예매했습니다 배우들 연기도 좋았고 섹시한 느낌..내용도 매력적이네요 기회되면 또 보고싶네요,2018.12.28
뮤지컬시카고성남,5,뮤지컬〈시카고〉- 성남,뮤지컬〈시카고〉- 성남,2018.12.28
뮤지컬시카고성남,5,관람후기,배우들의 여기와 노래 오랜만에 몰입해서 보는 뮤지컬 입니다.,2018.12.28
뮤지컬시카고성남,5,재밌게봤어요,아이비 록시도 귀엽고 재밌었습니다^^ 근대 저는 개인적으로 박칼린씨가 좀....그랬어요,2018.12.28
뮤지컬시카고성남,5,캐스팅부터 연기까지 모두 좋았던!!!,너무 즐거웠고 재미있었습니다.  배우들 연기가 너무 돋보이고  화려한 캐스팅이 너무 좋았어요,2018.12.27
뮤지컬시카고성남,5,역시 시카고ㅠㅠ,"미국에서 유학할 때 봤던 공연인데요, 너무 좋았어서 한국에 와서 한번 더 봤네요:)역시나 좋았습니다!! 라인업 너무 좋았구요, 뮤지컬의 질 또한 만족입니다. 배우들과 함께 호흡하며 관람했다는 느낌덕에 여운이 아직도 남아있네요!!시카고는 가까이에서 배우들의 연기에 집중해서 봐야만 그 진가를알 수 있다고 생각합니다. 무대장치가 크지 않으니까요. 그래서 일부러 앞에서 두번째 줄로 예매했는데 역시나 탁월했네요ㅎㅎ너무 만족스러운 공연이었고 다른 공연도 기회가 되면 또 보고싶네요.사랑해요 시카고 사랑해요 인터파크♡♡",2018.12.27
뮤지컬시카고성남,4,시카고 너무 감동이었어요.,"시카고 너무 감동적이었네요.  배우들의 열정적인 무대와 노래 기가 막혔습니다.  다소 아쉬운건 무대가 생각보다 작고, 뮤지컬 치고 조촐한 느낌이네요.",2018.12.27
뮤지컬시카고성남,5,갓극,죽어도 싸지! 죽어도 싸지! 제 최애넘버는 쎌불락탱고입니다!,2018.12.27
뮤지컬시카고성남,3,즐겁게 보기엔 아깝지 않았어요..,음..  홈쇼핑에서 50퍼 할인나온것 보고.. 뚜껑은 열렸지만.. 배우들이 열심히 연기해줘서.. 조금이나마 위로가 되었어요.. 인터파크에서 오픈하자마자 산 제가 바보가 된 느낌이였지만..  김지우 배우 보고 싶었는데.. 감기로 인해서 아이비 배우로 변경은 되었지만.. 아이비 배우가 멋지게 록시 역을 해줘서 위로가 되었어요. 두 배우 다 승승장구 하시길..,2018.12.26
뮤지컬시카고성남,5,완벽한 무대,너무너무 좋았다!! 춤도 연기도 짱!!,2018.12.26
뮤지컬시카고성남,3,재밌네요...,재밌어요...대본이 특이하네요... 내용에서도 돈이 있어서 비싼 변호사 내세우면 무죄가 되는 세상을 보여주네요...ㅠㅠ 한 여인이 잘못된 자신의 과거에서 새로운 인생을 맞이하는 전환기를 재밌게 보여주네요.. 아쉬운 것은  무대가 좀 조촐했다는 것입니다. 좀 더 크고 무대 장치가 좀더 실감났으면 좋았겠다는 아쉬움이 남더라구요...,2018.12.26
뮤지컬시카고성남,3,기대보단 별로였어요,"그냥 그랬습니다. 의상이나 무대가 눈길을 사로잡고, 화려하긴 하지만, 음악이나 내용 부분에서는 보통이였습니다. 뮤지컬에서 관객한테 무엇을 전달하고 싶은지 모르겠어요. 12만원주고 볼 공연은 아닌거 같아요.",2018.12.26
뮤지컬시카고성남,5,시카고 공연 관람,배우들의 열연이 돋보이는 멋진 무대였습니다.,2018.12.26
뮤지컬시카고성남,5,너어무 만족스러운 공연이였어요,정말 믿고보는 라인업!  생각했던 것 보다 노출의상이 다소 놀랐긴하지만 그것조차도 멋스럽게 배우들이 잘 연기해줘서 좋았어요. 반전매력도 있고 또 한번 더 보고싶어요!,2018.12.26
뮤지컬시카고성남,3,소극장용,대극장에서 하기엔 너무 아쉬운 무대연기는 좋았지만 몰입도가 떨어졌어요..,2018.12.26
뮤지컬시카고성남,4,최고의 캐스팅 이었습니다.,"오래된 뮤지컬이라 기대도 컸고, 꼭 보고싶은 배우들의 캐스팅 일정에 맞춰서 보느라 21일 8시를 선택하게 되었는데요. 내용은 한국인의 정서와 맞지않는 부분이 많아서 이해하기가 좀 힘들었지만, 배우들의 연기에 몰입되어서 아주 색다르고 재밌는 뮤지컬 한 편을 잘 보고 왔습니다. 다른 캐스팅으로도 한 번 더 보고싶네요. 배우분들 모두 수고하셨습니다!",2018.12.26
뮤지컬시카고성남,3,기대가너무컸나,명성만큼 큰감동과 재미는아니였던거같아 아쉬웠어요..,2018.12.26
뮤지컬시카고성남,3,기대만큼은 아니였지만,기대만큼은 아니였지만 좋은공연이였습니다.,2018.12.26
뮤지컬시카고성남,4,좋은 공연이었습니다,"다소 먼 좌석이었음에도 공연의 화려함은 충분히 느낄 수 있었습니다.  스토리라인을 중요하게 생각하는 분들은 다소 지루하다고 생각하실 수 있으나, 노래와 춤, 화려함을 즐기기엔 정말 좋은 공연이었습니다 ^^",2018.12.26
뮤지컬시카고성남,2,무대활용 범위가 아쉬웠습니다.,"뮤지컬을 여러번 봤지만, 무대 활용 공간이 한정적인 것 같아서 2층에서 볼때는 배우들 표정과 얼굴이 전혀 보이지 않았습니다. 양 옆 스크린을 사용했더라면 조금 더 좋았을 무대 였던 것 같습니다.  아쉽습니다.",2018.12.26
뮤지컬시카고성남,5,시카고 재밌어요~,25일 6시반 관람했습니다.역시 시키고는 내용은 알고있지만 박칼린 아이비씨 연기 좋았구요 재밌었어요2층에서 관람했는데 멀긴멀어서 표정이나 디테일들이 잘안보이긴 했어요,2018.12.26
뮤지컬시카고성남,4,시카고 후기,일단 성남아트홀 시설도 깔뜸하고 주차도 좋았습다~ 그리고 시카고는 탄탄한 출연진이라서 다들 너무 잘하시고~  특히 아이비는 최적화된 캐릭터이네요^^  크리스마스에 의미있는 뮤지컬을 보았습니다!,2018.12.26
뮤지컬시카고성남,5,짱짱한 사운드 찰진연기,크리스마스 선물로 시카고를 관람하고 왔습니다 주연분들의 찰진 연기와 무대 구석에서의 조연분들의 연기까지 역시 오랫동안 사랑받는 이유가 있다고 느껴졌습니다 즐거운 시간 보내게 해주셔서 감사드립니다~,2018.12.26
뮤지컬시카고성남,4,좋네요...,좋아요..,2018.12.26
뮤지컬시카고성남,5,세종문화회관해두 손색없을,멋지고 아이비를다시보게된 무대  다들대단하쎰어요,2018.12.26
뮤지컬시카고성남,4,"재미있고 신나는 공연, 시카고","처음에는 맨뒷자리라서 무대 위 연기자의 모습이 제대로 보이지 않아서 실망이 컸지만, 역시 뮤지컬은 연기자의 얼굴이 꼭 보여야 하는 것은 아니라는 것. 밴드가 무대에서 실시간으로 연주하는 생동감 넘치는 공연.  배우들의 연기도 좋았지만, 지금까지도 기억에 남는 건 역시 열정적으로 지휘를 하는 모습을 보여준, 밴드 지휘자의 연기(?)네요.^^",2018.12.26
뮤지컬시카고성남,5,최고의 공연,"1층 2열 중앙석이라 좀 부담스러울까 싶었는데 특별한 무대장치 없이 배우들의 춤과 연기가 주가 되는 뮤지컬이라 오히려 더 좋았다.  김지우씨가 생각보다 훨씬 좋았으나 왠지모르게 아이비처럼 보였다. 앙상블 또한 굉장히 좋았고, 다른 캐스팅으로 또 보고싶을 정도로 매력있던 공연이었다.",2018.12.26
뮤지컬시카고성남,4,아이비쵝오^^,아이비정말 잘하네요 좋은관람이었어요^^,2018.12.25
뮤지컬시카고성남,5,시카고와 좋은 크리스마스,여자친구와 시카고보면서 좋은  크리스마스 보냈슺니다,2018.12.25
뮤지컬시카고성남,5,2부의 연출은 환상적,1부는 너무 길어서 후반에 조금 지쳤는데쉬고나서 2부 시작부터 마지막까지 매우 흡입력이높고 법정에서 연출은 정말 환상적이였습니다.연출가 상줘야 할 정도로 미쳤습니다,2018.12.25
뮤지컬시카고성남,5,재미있어요,오랜만에 보는 뮤지컬인데 너무 잘봤어요,2018.12.25
뮤지컬시카고성남,3,시카고,아이비의 춤!,2018.12.25
뮤지컬시카고성남,5,너무 멋있다라는 말밖에 무엇이 필요한지...,모든분들의 앙상블 완벽한 공연이었어요!! 꼭 한번 더 보고싶은 공연이네요,2018.12.25
뮤지컬시카고성남,1,아쉽,"호주 시드니, 영국 소호에서 세계적인 수준의 뮤지컬은 다 봤고, 한국에서도 뮤지컬을 꾀 즐겨보는 1인..  음악과 밴드만 최고였던... 열정적인 지휘자분과 밴드가 이 뮤지컬에 핵심.   배우> 최정원 - 개인적으로 좋아하는 배우지만, 장기간 투어 탓인지 몸사리는 듯, 갈라진 목소리도 별로..  안재욱 - 노래, 연기 둘다 안되는듯... 즐기지 못하는 아마추어 느낌... 아이비 - 개인적으로 비호감 가수였으나, 가장 훌륭했음. 선방한듯... 웬만한 신인 뮤지컬배우 이상의 수준.   시설> 겨우 프로그램북 하나 판매, 오늘의 캐스팅보드도 없고, 무대와 조명, 음향도 조금씩 아쉬움",2018.12.25
뮤지컬시카고성남,3,시카고,스케일이 기대치보다 작아서 다소 미흡하고 스토리 구성이 미비하여 내용 전달이 부족하다,2018.12.25
뮤지컬시카고성남,5,잘봤습니다.,기대하지 않고 봤는데좋은 연기와 구성으로 좋은 이벤트가되었습니다.,2018.12.25
뮤지컬시카고성남,5,긋긋,긋긋재밋게잘봣어요,2018.12.25
뮤지컬시카고성남,5,긋,넘재밋게보고왓어요50할인가로 예매두하고재밋게잘봤어용,2018.12.25
뮤지컬시카고성남,4,너무 재미있어요!,2열에서 봤는데 가까울거라고 생각했는데 무대와 객석의 간격이 생각보다 넓어서 엄청 가깝다는 생각이 들지않았어요. 2열이였는데도 불구하고 무대전체를 볼수있었던 느낌이였습니다. 지금까지 여러 뮤지컬을 봤지만 지휘자님이 정말 멋있는거같아요. 중간중간의 배우님들과의 연기도 너무 보기좋았습니다!,2018.12.24
뮤지컬시카고성남,5,명불허전,2년전에 보고 다시한번 꼭 보고 싶었는데..기회가 되서 다시 보게 됐습니다.  두번째 보지만 그때 그 감동은 그대로네요.   아이비님 진짜 최고이십니다.,2018.12.24
뮤지컬시카고성남,5,오랜만에 시카고!,키키부츠에서 김지우배우님 보고 예매했어요! 너무 맛깔나게 연기를 잘해주셔서 다시한번 반하고 갑니당♡,2018.12.24
뮤지컬시카고성남,5,가족끼리봤는데 너무 좋았어요,가족끼리 뮤지컬 보는건 처음인데 부모님도 너무 신나하시고 좋았어요 크리스마스 시즌이라 더 좋은 자리를 미리 못구한게 아쉬울 뿐입니다 ㅎㅎ 2층 4열이였는데 무대도 잘 보였어요 너무 만족스러운 가족이벤트가 됐습니다!!,2018.12.24
뮤지컬시카고성남,5,재밌어요,너무 재밌게 봤어요 춤 노래 너무 멋져요!!,2018.12.24
뮤지컬시카고성남,5,시간이 가는 줄도 모르게 보고왔어요.,퍼포먼스도 화려하고 노래도 너무 좋았어요. 다음엔 가까이에서 다시 한번 보고싶네요.,2018.12.24
뮤지컬시카고성남,4,재미있었음!,재미있고 다들 너무 멋있었는데멀어서 인물들의 표정이 안보이고 앞사람 때문에 가려서 안보이고 그래서 중간중간 대사할땐  조금 지루하게 느껴짐 얼굴표정 다 봐가면서 또 한번 보고 싶음!,2018.12.24
뮤지컬시카고성남,4,행복한 시간이었어요.,멋진 무대와 멋진 배우들. 좋아하는 음악. 힐링의 시간이 되었어요. 그런데 내용이 공감이 안되는 내용이라... 아쉬웠어요.,2018.12.24
