musical_title,rate,review_title,review_text,review_date
뮤지컬오캐롤,5,부모님 보여드렸는데 즐거워하심,재밌었습니다^^가창력들도 시원시원하고 댄서배우들도 멋있고유머도 좋았어요~,2018.12.27
뮤지컬오캐롤,5,늦게라도 씁니다 ㅎㅎ,디큐브아트센터에서 참 즐겁게 관람하였는데 이번엔 예술의 전당에서 하는군요..또 가겠습니다~두 번째 관람이 되겠지만 그래도 기대되네요~^^화이팅~!!,2018.12.19
뮤지컬오캐롤,5,오캐롤,오캐롤??,2018.12.19
뮤지컬오캐롤,5,추천합니다^^,너무좋았어요~,2018.12.03
뮤지컬오캐롤,5,오캐롤,너무 신나는 공연,2018.11.20
뮤지컬오캐롤,4,두번 괸람!!,전에도 보았는데 주병진씨 출연한다고해서 다시 보았는데 넘 재미있었어요~다시 보아도 재밌는 뮤지컬입니다^^,2018.11.18
뮤지컬오캐롤,5,정말 재밌어요,신나고 재밌는 극입니다,2018.11.12
뮤지컬오캐롤,5,좋은 공연이었습니다,좋은 공연이었습니다,2018.11.09
뮤지컬오캐롤,5,좋어요,잘 봤어요!!^^,2018.11.07
뮤지컬오캐롤,4,오랜만에 느끼는 힐링시간  ~감사감사,정말 오랜만에  느끼는 힐링시간이었던것같아요~감사감사,2018.11.03
뮤지컬오캐롤,5,마지막 공연 이후...,"모든 배우와 제작진이 함께 한 무대 인사는 <오! 캐롤>이 따뜻했던 이유를 알 수 있게 해 주었습니다. 햇델 정원영 배우님, 73회 클리어 수잔 장서현 배우님. 계속 다시 만날 수 있으면 좋겠습니다.",2018.11.03
뮤지컬오캐롤,5,엄마도 나도 즐거운 공연,엄마 모시고 갔는데 좋아하셔요,2018.11.03
뮤지컬오캐롤,5,재밌었어요,어머니랑 같이 봤는데 재밌었어요,2018.11.01
뮤지컬오캐롤,5,마지막까지 행복했어요 파라다이스호텔!!,그곳에서 열심히 노래하고있을 델에게 이노랠 바칩니다이별은 너무 힘들어,2018.11.01
뮤지컬오캐롤,4,즐거운!,슈델 잘생겨따,2018.10.30
뮤지컬오캐롤,5,좋아요,좋아요,2018.10.29
뮤지컬오캐롤,5,오캐롤,즐거웠습니다. 많이 웃었어요!,2018.10.29
뮤지컬오캐롤,4,즐겁습니다!,모든 캐스팅이 좋았어요!! 정망 즐거운 시간이였고 앙상블 배우님둘 너무너무너무너무 멋지세요’.  델 역을 맡은 정상윤 배우님 엄청 매력뿜뿜 하시네요!,2018.10.29
뮤지컬오캐롤,5,잘&#48419;어요,재밌어요,2018.10.29
뮤지컬오캐롤,5,막공이 너무 아쉽지만...,얼른 돌아오라고1!!!,2018.10.29
뮤지컬오캐롤,5,사랑해요 슈델!!!,델 모나코 사랑해요~ㅎ,2018.10.29
뮤지컬오캐롤,5,델 모나코,짱짱짱  겁나 센스쟁이 델모나코,2018.10.29
뮤지컬오캐롤,5,잘생기고 귀엽고 사랑스러운 슈델,사랑해요 슈델,2018.10.29
뮤지컬오캐롤,5,좋아요,재밌어요,2018.10.29
뮤지컬오캐롤,5,재미있어요,재미있어요,2018.10.29
뮤지컬오캐롤,3,잘봤어요~,재밌었어요! 중독성있는 넘버~,2018.10.29
뮤지컬오캐롤,3,재밌..어요^^,델이 다 하는 극이네요ㅎㅎ,2018.10.29
뮤지컬오캐롤,5,오캐롤캐롤,정원영배우 진짜 최고네요 잘생겼다 정원영!! 짱이다~!~!!!! 최고다~!~!~!!! 댄싱머신~!~!!!,2018.10.28
뮤지컬오캐롤,5,오 캐롤~너를 사랑해~,나를 바보라고~놀린다해도~  오랜만에 보면 참 가볍게 잘 보고 나올 수 있는 극 인 것 같아요,2018.10.27
뮤지컬오캐롤,4,마지막까지 행복하게,행복하게 볼 수 있는 공연이었습니다 여러모로 기억에 남을 것 같아요,2018.10.26
뮤지컬오캐롤,3,나는 왜,여기에 있는가,2018.10.25
뮤지컬오캐롤,3,오...,다시 만나지 말자,2018.10.25
뮤지컬오캐롤,4,마지막,마지막 공연 재밌었어요,2018.10.24
뮤지컬오캐롤,5,유쾌한 뮤지컬,어렵지 않고 유쾌하고 살짝 감동이 있는 그런 뮤지컬이었어요 간만에 재미있게 봤다라고 생각했습니다 각 배우들 역할도 너무 잘 소화해 주셔서 몰입해서 봤네요 강추입니다!!,2018.10.24
뮤지컬오캐롤,5,잼나요,어차피 꽝이겠지,2018.10.24
뮤지컬오캐롤,4,잼나요,잼나요,2018.10.24
뮤지컬오캐롤,5,알게모르게 넘버 흥얼거리는,평소 그냥 흥얼거리게 만드는 익숙한 노래들,2018.10.24
뮤지컬오캐롤,5,추억에 남을 뮤지컬,마지막으로 보면서 많은 아쉬움이 남는 뮤지컬이다.유쾌하면서 즐겁게 후회없이 마냥 기분좋은... 그런데 이젠 못 본다고하니 아쉽네요.,2018.10.24
뮤지컬오캐롤,4,어머니가 너무 좋아하셨어요,친구분이랑 보셨는데 굉장히 즐거웠다고 하시네요 특히 델 연기한 배우님 칭찬을 많이 하셨어요부모님께서 좋아할만한 뮤지컬인거 같아요,2018.10.23
뮤지컬오캐롤,4,너무 재밌게 잘 봤습니다,출연진들의 열정적인 무대위 공연 잘봤습니다  가족과 함께 봐도 즐길수 있는 무대였습니다  감사합니다.,2018.10.23
뮤지컬오캐롤,3,엄마와 함께 오!캐롤~,"일단 27분지연!!! 하필 엄마를 모시고 간 날.. 늦게 시작한 만큼 배우들 긴장하고 시작한것 같았고 실수도 좀 있었던 것 같습니다. 엄마가 원하셔서 주병진,박해미배우 회차로 보게된건데 주병진배우가 뮤지컬을 하시던분이 아니어서 어찌나 조마조마 하던지.. 그래도 큰 실수 없이 애드립으로 잘 넘어갔던것 같아요. 물론 공연중 박해미씨라고 본명을 불렀던 실수는 잊혀지지 않지만요. 스토리는 그렇게 탄탄하다고 느껴지지 않았지만 배우들 열연으로 잘 봤습니다. 박영수배우의 그런모습들 처음이어서 많이 당황스러웠지만 웃겼고, 박한근배우 노래 잘 부르셔서 좋았고, 허혜진배우가 본인의 캐릭터를 너무 잘 연기해주셔서 좋았던 공연이었어요~ 무엇보다 엄마가 재미있으셨다고 해서 다행이었습니다.",2018.10.23
뮤지컬오캐롤,1,주병진 진짜 못하네요,유명한 엠씨였고 엠씨역할이라지만 전직과 연결시켜서 캐스팅하는 것 자체가 무리수 아니었나 싶네요. 다른배우들과 어울릴줄도 모르고 자기맘대로 하는데다 코러스도 못넣는 노래실력에.. 왜 캐스팅했는지 이해가 안갑니다. 객석은 다 찼지만 대부분 초대로 채운것 같던데 배우들 정산은 잘 해줄지 궁금하네요. 좋아하던 작품이었는데 안타까운 총막이었습니다.,2018.10.23
뮤지컬오캐롤,2,주병진은 왜 하나요?,다른 배우들이 아무리 잘해도 주병진 때문에 몰입도 깨지고  대사도 제대로 입에 안붙은것 같은데 왜 뮤지컬을 한다 하는지 모르겠네요. 다시는 무모한 시도는 하지않기를 바랍니다.,2018.10.23
뮤지컬오캐롤,4,멋진 피날레 공연이었습니다,"서울에 올라와서 보는 오랜만의 뮤지컬 공연,,, 쾌적한 공연 환경에다 산뜻한 무대,조명,세션등의 하모니속에서 배우들의 혼신을 다하는 연기,식상하지않는 전개, 자신의 장점을 발휘할 수있는 역할을 맡은 신입 뮤지컬 배우 주병진,,개인적인 충격속에서도 출연해 열정을 다한 박혜미, 델 역할을 능청스럽고 익살스럽게 표현한 정 배우,노래와 멋진 춤 태를 보여준 스테파니,, 사이사이 무대를 빛나게 해준 다른 배우님들의 열정, 닐 세다카와 캐롤 킹의 노래, 김선경씨를 포함한 모든 배우들의 무대인사와 커튼 콜등으로 공연내내 행복감을 처,자식이 함깨 공유했습니다,,, 단 뉴질랜드에서 오신분에 밀려 기념품을 받지 못해 좀 아쉽긴했지만요 ㅎㅎ 12월 예술의 문화전당에서 다시 시작하는 공연도 대박 나시길 기원합니다 모두들 수고하셨습니다 화이팅^^",2018.10.23
뮤지컬오캐롤,5,너무 즐겁고 재미있었어요,오캐롤 다음에 또 보고싶어요,2018.10.23
