musical_title,rate,review_title,review_text,review_date
푸에르자부르타웨이라FUERZABRUTAWAYRAin서울,5,광란의한시간,시간이너무빨리갔어요ㅜㅜ인간의몸으로표현할수있는게너무멋집니다,2018.12.05
푸에르자부르타웨이라FUERZABRUTAWAYRAin서울,3,좀 애매한...,하지만 역동적인...,2018.12.03
푸에르자부르타웨이라FUERZABRUTAWAYRAin서울,5,리얼쩔었죠,아 신선했습니다 그리고 너무 즐거웠어요이런공연 너무 좋아요ㅠㅠㅠㅠ한국에 자주왔으면 좋겠다는ㅠㅠ,2018.12.01
푸에르자부르타웨이라FUERZABRUTAWAYRAin서울,5,최고의 움직임 쇼,에너지를 가장 잘 전달하는 공연이 아닐까 한다몸이 신나고 눈이 신나는 공연 푸에르자 부르타!,2018.11.28
푸에르자부르타웨이라FUERZABRUTAWAYRAin서울,4,2번째는 딸들과 함께,신랑과 첫 공연을 봤을 때 이건 뭐지? 충격적이고 속시원해지는 공연이였던 기억이 난다. 이번에는 중학생 된 딸둘과 즐기러 갔었는데 딸들의 상기된 얼굴과 기대를 저버리지 않은  무대였다. 다만 사람이 너무많아 이리저리 치이다 힘겨루기를 해야하는 것이 아쉬웠다.^^,2018.11.26
푸에르자부르타웨이라FUERZABRUTAWAYRAin서울,3,신선했어요ㅎㅎ,물에서 연기 고생많으신듯ㅡㅠ 그래도 즐기는 모습 아름다웠습니다요ㅎ,2018.11.25
푸에르자부르타웨이라FUERZABRUTAWAYRAin서울,5,장단점이 확실했던 공연,한번쯤은 꼭 봐야할 공연이면서도  내내 목이 너무 아팠습니다.  그래도 오랜만에 이색적인 공연을 보고 스트레스 잘 풀고 왔어요.  이제 자리이동이나 분위기에 적응했다 싶었을때 끝이 나더라고요  너무너무 시간가는줄 모르고 즐겼습니다  다음에 또 내한해주세요~,2018.11.22
푸에르자부르타웨이라FUERZABRUTAWAYRAin서울,5,신났어요,신나고 흥겨운 공연이었습니다^^,2018.11.22
푸에르자부르타웨이라FUERZABRUTAWAYRAin서울,5,관객들과 즐기는 공연!!,남자친구랑 처음보는 공연인만큼 고민하고예매했는데 와~상상이상 너무 재밌었고관객들과 같이 즐길수있는 무대고 볼거리도 많았고재관람이 왜많은지 알겠어요!!!,2018.11.15
푸에르자부르타웨이라FUERZABRUTAWAYRAin서울,5,two thumbs up!!!,기대 이상의 공연,2018.11.11
푸에르자부르타웨이라FUERZABRUTAWAYRAin서울,4,꼭가여,이미 끝낫지만 꼭가세요 기회가ㅜ잇다면...!!,2018.11.10
푸에르자부르타웨이라FUERZABRUTAWAYRAin서울,5,바로아래서 봤는데,바로 아래서 봤는데너무너무너무너무 재밌었어요,2018.11.10
푸에르자부르타웨이라FUERZABRUTAWAYRAin서울,5,너무좋았어요,정말 기대이상의 공연은 오랜만이네요!!,2018.11.07
푸에르자부르타웨이라FUERZABRUTAWAYRAin서울,5,최고,두번 보고 싶었는데 시간이 없어 보지 못했네요공연이 끝나는게 싫을 정도였고 끝나니까 맘이 아팠어여ㅜㅋㅋㅋㅋ 진짜 재밌어요 가만히 서 있는게 예의가 아닐정도로-!,2018.11.07
푸에르자부르타웨이라FUERZABRUTAWAYRAin서울,5,인생공연,꼭봐야하고 두번봐야하는 공연사실 공연이 아니고 체험인 수준시간이 허락했으면 또 봤을듯,2018.11.05
푸에르자부르타웨이라FUERZABRUTAWAYRAin서울,5,멋졌ㅅ습니다,아주 나이스한 공연이었어요,2018.11.04
