musical_title,rate,review_title,review_text,review_date
뮤지컬 〈오페라의 유령〉 월드투어－대구(The Phantom of the Opera),5,역시 세계적인 뮤지컬,역시 세계 최고의 오페라 무대답게 웅장하고 화려했음배우들의 노래와 연기도 최고담에도 또 보고 싶은 최애 뮤지컬,2020.11.10
뮤지컬 〈오페라의 유령〉 월드투어－대구(The Phantom of the Opera),5,재밌어요,감동있고 재밌어요 배우들 연기가 재단합니다,2020.10.19
뮤지컬 〈오페라의 유령〉 월드투어－대구(The Phantom of the Opera),5,감동만을 주는 최고의 작품,올해  서울과 대구 두 곳에서 본 공연더 많이 보고 싶었지만 코로나와 직장 덕에 올해는 서울 대구 공연 다 막바지대열에 합류해 간신히 봤다 ㅠㅠ꼭 다시보고 싶었던 공연이번에는2번으로 족해야 했지만 기회가 된다면 브로드웨이에 가서 보고 싶ㄷㄱㄴ,2020.10.03
뮤지컬 〈오페라의 유령〉 월드투어－대구(The Phantom of the Opera),4,지워졌네요ㅜ.ㅜ,후기 썼었는데 지워진건 모지?오리지널팀이라면 4식구 함께 꼭챙겨보는데 돈 아깝단 생각 첨 해봤네요.그나마 이안배우가 후반전 선전해주신 덕에 조금 나았지만 나머지 배우들..은 담부터 안챙겨볼듯..,2020.09.19
뮤지컬 〈오페라의 유령〉 월드투어－대구(The Phantom of the Opera),5,크리스틴 최고에요,굿♡♡♡,2020.09.19
뮤지컬 〈오페라의 유령〉 월드투어－대구(The Phantom of the Opera),5,감동적인 공연,또 볼 수 있기를 바랍니다.,2020.09.15
뮤지컬 〈오페라의 유령〉 월드투어－대구(The Phantom of the Opera),5,ㅠㅠ 너무 좋았어요,오페라의 유령 25주년 영상 구매해놓고 눈에 안들어와서 안보다가 공연 전까지도 안보고 공연 보러갔다왔는데 갔다와서는 빠저가지고 몇번을 봤나몰라요... 한번더 가고싶어져서 막공 결제를 할까말까 몇번을 망설였ㅅ는데 이 아쉬움을 간직하는게 낫겠다 판단해서 참았답니다 ㅠㅜ 또 언제 볼수있을까요.. 이런저런 아쉬움이 없지는 않았지만 이 시국에 열심히 방역 챙겨준 스탭들도 그리고 배우들도 너무 감사할정도로 마음에 깊게 남은 공연이었습니다...!,2020.09.12
뮤지컬 〈오페라의 유령〉 월드투어－대구(The Phantom of the Opera),5,어메이징,진짜어메이징한 무대얐습다,2020.09.10
뮤지컬 〈오페라의 유령〉 월드투어－대구(The Phantom of the Opera),5,명붏허전! 반드시 봐야 할 뮤지컬,다시 7년 뒤에 내한하더라도 꼭 봐야할 만한 가치가 충분히 있는 뮤지컬!,2020.09.09
뮤지컬 〈오페라의 유령〉 월드투어－대구(The Phantom of the Opera),5,명붏허전! 반드시 봐야 할 뮤지컬,다시 7년 뒤에 내한하더라도 꼭 봐야할 만한 가치가 충분히 있는 뮤지컬!,2020.09.09
