musical_title,rate,review_title,review_text,review_date
뮤지컬 〈V 에버 애프터〉,5,기다려줄래,나를 기다려줄래~ 준우레미 짱 사냥 짱,2023.01.06
뮤지컬 〈V 에버 애프터〉,3,브이앱,친구에게 추천받아서 갔는데 재밌었습니다취향은 아니였지만 즐거웠어요,2022.10.03
뮤지컬 〈V 에버 애프터〉,5,완벽한 뮤지컬,정말 즐거웠습티다,2022.10.03
뮤지컬 〈V 에버 애프터〉,5,돌아올 때까지 기다릴게요ㅠㅠ,정말 재미있고 감동적인 공연이었습니다. 하루빨리 3연도 올라왔으면 좋겠네요ㅠㅠ 레미의 숲에서 기다리고 있겠습니다!,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,유치하지만 좋았어요,내 이름으로 사랑하지 말라,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,돌아와,황후주 황랑주 황금주 벌써 그립습니다......,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,븨에버 삼연도 불가에서 올리세요,조명 활용한 연출이 세련됐음 극 구성 자체도 신선함,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,븨에버 짱,얼굴 천재 배우들 절절한 로맨스임 ㅜㅜ,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,븨엪,재밌어요,2022.09.26
뮤지컬 〈V 에버 애프터〉,4,안녕,덕분에 즐거웠어요 안녕,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,추천합니다!!추천합니다!!,추천합니다!!추천합니다!!추천합니다!!추천합니다!! 추천합니다!!추천합니다!!추천합니다!!추천합니다!! 추천합니다!!추천합니다!!추천합니다!!추천합니다!!,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,V에버 애프터,B급의 정서가 담겨있는데 스토리는 슬프고 아름다워서 좋았습니다.,2022.09.26
뮤지컬 〈V 에버 애프터〉,4,그럭저럭,괜찮았습니다,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,"앵콜 공연이라 2달,,,공연기간이 너무 짧게 느껴지네요",레미를 다시 만날때까지... 열심히 기다릴게요 다음에 올라올 때에도 초연과 앵콜에 왔던 배우들을 다시 볼 수 있기를 간절히 기다립니다.,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,좋았어요,멋진 공연!!,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,아니 막공한지 한달전같은데 얼마 안지났다니,템푸스 푸기트 ! 얼른 돌아와&#718;요...,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,숲으로 갈거야~~~~,다들 어디갔니 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 가지마,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,V 에버 애프터,"프란체스랑 레미, 조이 보고 싶ㄷㅏㅜ...!!!!!",2022.09.26
뮤지컬 〈V 에버 애프터〉,5,V 에버 애프터,보고 싶어 레미,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,재밌었어요,좋은 극 재밌게 잘 관람했습니다,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,다시 돌아와줄꺼지 레미,랑 프란체스 ㅠㅠ,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,해피에버애프터,기다려줘 나를 기다려줘  3연 존버합니다,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,v에버 애프터,다시 보고 싶어 죽겠어요ㅠ,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,짱,짱입니다,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,권익환 짱 김민범 짱,두 배우님의 브이에버애프터를 평생 잊지 못할 거예요,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,끝나따~~~,포인트 내나나나나나나나아,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,돌려줘요...,나의 브이에버애프터... 나의 환상적인 페어 황금주...,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,뮤지컬 〈V 에버 애프터〉,진짜 두달동안 너무 행복했습니다 ㅜㅜ 꼭 다시 보고 싶고 ㅜㅜ 배우님들 모두 다 돌아오세요 ㅜㅜㅜㅜ,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,V 에버 애프터,레미의 숲을 다시 볼 수 있는 그날을 기다리겠습니다  템푸스 푸깃 아모르 마넷  정말 사랑했어 레미야  사랑해 프란체스  삼백 년을 기다리면 다시 만날 수 있을 거야......,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,잘 봤습니다.,잘 봤습니다.,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,V에버애프터,진짜 넘 그립네요 ㅜㅜㅜㅜ 꼭 3연 다시 보고 싶어요!!!!,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,최고의 공연,이제 끝나고 없지만 ㅜㅜㅜㅜ 3연을 기다릴게요 ㅜㅜㅜㅜㅜ,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,권익환 돌려줘...,우리 왕자...,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,마지막까지 아름다웠던 뱀파이어 스토리,300년은 못 기다린다... 아무래도 뱀파이어가 아니라... 3연... 꼭 와 줘................,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,레미의 숲에서 행복했습니다,레미의 숲에서 행복했습니다 레미의 숲에서 행복했습니다 레미의 숲에서 행복했습니다 다시 만날날을 기다릴게요,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,잘 봤습니다.,잘 봤습니다.,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,잘 봤습니다.,잘 봤습니다.,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,잘 봤습니다.,잘 봤습니다.,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,좋아요,.좋아요,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,최고입니다 ㅠㅠ,너무 좋고 재밌어요 ㅠㅠ 보고 또 봤는데도 또 보고싶네요,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,김 레미 민범,김민범 천재,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,나의 사랑 나의 어여쁜 자여,재연 주라,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,추천합니다,재미있어요,2022.09.26
뮤지컬 〈V 에버 애프터〉,5,그래도,막공에 미금레미 보고 전캐 찍었네요! ㅎㅎ,2022.09.22
뮤지컬 〈V 에버 애프터〉,5,더할나위 없는,총막이었습니다! 다시 만날 그 날을 기다리고 있을게요~,2022.09.22
뮤지컬 〈V 에버 애프터〉,5,뱀파이어 로맨스,최고의뮤지컬ㄹ,2022.09.22
뮤지컬 〈V 에버 애프터〉,5,이런 극악무도한 엔딩,해피와 새드를 동시에 보여주는 엔딩에 울면서 공연장을 나와버림,2022.09.22
뮤지컬 〈V 에버 애프터〉,5,봐도 또 울컥하네,어쩌면 이렇게 해피에버애프터,2022.09.22
뮤지컬 〈V 에버 애프터〉,5,V 에버 애프터,이 작품은 다른제작사가 아닌 MJstarfish 작품으로 계속 보고싶어요.,2022.09.21
뮤지컬 〈V 에버 애프터〉,5,꼭 돌아오길,좋아하는 작품 한번 더 볼 수 있어서 좋았습니다  다음에도 또 즐겁게 만날수 있기를 기대해봅니다,2022.09.21
뮤지컬 〈V 에버 애프터〉,2,그냥 보통의 재미,제 취향은 아니었지만 볼만 했어요,2022.09.21
뮤지컬 〈V 에버 애프터〉,5,해피 에버 애프터,"브이앱 총막,,, 나는 브이앱을 너무 늦게 봤다 넘버도 너무 취향이고 특히 반프란 제복이 ㅠ 취향인데 ㅠ 삼연 오기만 해봐라 열심히 돌아줌 ㅇㅇ",2022.09.20
뮤지컬 〈V 에버 애프터〉,4,넘버 좋아요,배우들 연기도 좋고 넘버도 좋고,2022.09.20
뮤지컬 〈V 에버 애프터〉,5,재밌습니다,삼연이 오길 기다려봅니다,2022.09.20
뮤지컬 〈V 에버 애프터〉,5,재밌어요,재밌어요,2022.09.20
뮤지컬 〈V 에버 애프터〉,5,뷉,재미따 너무재미따 얼른 또 와조,2022.09.20
뮤지컬 〈V 에버 애프터〉,5,v에버애프터,좋아요 짱이예요 끝나서 아쉬워요,2022.09.20
뮤지컬 〈V 에버 애프터〉,5,즐거운 공연,꼭 다시 내년에도 볼 수 있었으면 좋겠습니다 즐겁게 봤어요,2022.09.20
뮤지컬 〈V 에버 애프터〉,5,잘생겼다!!!!,정모야ㅠㅠㅠㅠ,2022.09.19
뮤지컬 〈V 에버 애프터〉,5,어디갔어 브이에버애프터,기다리면 돌아와... 300년 기다린다...,2022.09.19
뮤지컬 〈V 에버 애프터〉,5,돌려줘요...,내 인생...,2022.09.19
뮤지컬 〈V 에버 애프터〉,5,템푸스 푸기트,템푸스 푸기트 아모르 마넷 덕분에 행복한 여정이었어요.,2022.09.19
뮤지컬 〈V 에버 애프터〉,5,재밌었어요,"평소 시놉을 잘 읽지않아서 모른 채로 관극을 했는데,  처음엔 낯설었지만 넘버가 너무 좋아여~",2022.09.19
뮤지컬 〈V 에버 애프터〉,5,뱀파이어 로맨스,시간이 흘러도 사랑은 남는 이야기,2022.09.19
뮤지컬 〈V 에버 애프터〉,5,사랑에 관한 이야기,영문을 알 수 없는데 보다보니까 인물들의 감정에 점점 빠져들어가게 되는 뮤지컬입니다.,2022.09.19
뮤지컬 〈V 에버 애프터〉,5,브이에버애프터,끝나서 아쉬워요ㅜ 재밌게 잘 봤습니다!!,2022.09.19
뮤지컬 〈V 에버 애프터〉,5,정말 추천하는 뮤지컬,추석연휴 마음에 따스해지는 뮤지컬입니다.,2022.09.19
뮤지컬 〈V 에버 애프터〉,5,돌아와,친구가 참 좋아했어요,2022.09.19
뮤지컬 〈V 에버 애프터〉,5,최고,굿굿굴굿굿굿,2022.09.19
뮤지컬 〈V 에버 애프터〉,5,프란체스,"레미를 300년 동안 기다린 프란체스, 시간을 되돌려서 300년 전으로 가서 신이 죽었다는 사실을 프란체스에게 알려주려고 한 순수결정체 레미, 레미를 300년 전으로 가게 해주고 레미를 아끼는 조이, 이자 비숍의 아름답고 비극적인 이야기",2022.09.19
뮤지컬 〈V 에버 애프터〉,5,프란체스와 레미,시간을 이겨낸 아름다운 사랑 이야기몽글몽글하고 첫사랑의 느낌이 잊혀지지 않네요 레미와 프란체스가 만나서.. 꼭 행복했으면 좋겠는 마음입니다..,2022.09.19
뮤지컬 〈V 에버 애프터〉,5,해피에버애프터,"뉴페이스와,, 샤이너와 비숍,, 조이..새로운 삶 기대됩니다..행복했으면 좋겠어요.. ??",2022.09.19
뮤지컬 〈V 에버 애프터〉,5,콴범 레전드,진짜 김민범 레미 정말 막판에 노선 잘 말아오시는거 정말 고소할거에요ㅠㅠㅠㅠㅠㅠㅠㅠ 진짜 범레미만 끼면 극이 너무 재밌는데 이거 어쩌죠 고소해..... 한달만 더 연장합시다 제발요,2022.09.19
뮤지컬 〈V 에버 애프터〉,5,아직도 안 쓴 브이에버애프터 후기가 있었다니,이날은 페어막이었는데 마무리가 살짝 아쉽ㅠㅠ 그래도 마지막이라서 그 자체만으로 행복한 공연이었고 오픈멘트부터 눈물이 막 났어요 레미 프란체스 모두 행복해야해,2022.09.19
뮤지컬 〈V 에버 애프터〉,5,흐흐흑 레미,돌아와ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,2022.09.19
뮤지컬 〈V 에버 애프터〉,4,재미있습니다!,이날 마지막으로 봐서 아쉬워요ㅠ,2022.09.19
뮤지컬 〈V 에버 애프터〉,5,뱀파이어로맨스,"프란체스와 레미, 그리고 샤이너, 그리고 조이까지 사흘밤 동안 흔들린 나의 세상",2022.09.19
뮤지컬 〈V 에버 애프터〉,5,V 에버 애프터,V 에버 애프터 사랑하는 공연을 다시 만날 수 있어서 너무 좋았어요 샤이닝 에버 애프터,2022.09.19
뮤지컬 〈V 에버 애프터〉,5,잘봤습니다,"삼연 시급,,, 얼른 다시 돌아와줘요",2022.09.19
뮤지컬 〈V 에버 애프터〉,5,보고싶다,숲 속 친구들..ㅠㅠ,2022.09.19
뮤지컬 〈V 에버 애프터〉,5,브이엡,기다릴게 삼백 년을 기다리면 다시 만나는 거야,2022.09.19
뮤지컬 〈V 에버 애프터〉,5,브이에버,나에게는 기쁜 소식인데 너에게는 슬픈 소식일까,2022.09.19
뮤지컬 〈V 에버 애프터〉,5,굿,좋아요,2022.09.19
뮤지컬 〈V 에버 애프터〉,5,안녕 븨앱,빠른시간 내 다시얼른 오길,2022.09.19
뮤지컬 〈V 에버 애프터〉,5,너무좋았어요,최고에요,2022.09.19
뮤지컬 〈V 에버 애프터〉,5,재밌어요,최고!,2022.09.19
뮤지컬 〈V 에버 애프터〉,5,삼연 기원합니다,재연이 빨리 왔으니 삼연도 가능하죠..?,2022.09.19
뮤지컬 〈V 에버 애프터〉,5,v 에버 애프터,처음으로 이해를 하고 나온 희작극... 아름다웠어요그런데 랩을 빼면 더 많은 사람들이 보지 않을까 했어요,2022.09.19
뮤지컬 〈V 에버 애프터〉,5,재미있고 유쾌하고 가슴미어지는 공연,브이에버애프터 성황리에 정려햇으니까 걷 재연오겟죠 재기 좋아하는 예,2022.09.19
