musical_title,rate,review_title,review_text,review_date
뮤지컬 〈곤 투모로우〉,5,넘버가진짜 최고 귀에서 맴돌아,ㅜㅜㅠㅠㅠㅜㅜㅜㅜㅜㅠㅠㅠ넘버진짜ㅜ너무너무좋은데 다음 삼연에는 꼭 오케밴드와 함께 올려주세요ㅜㅜㅠㅠㅠㅠ,2022.08.01
뮤지컬 〈곤 투모로우〉,5,고퀄... 배우들,"배우들이 다 한 작품,, 최고",2022.08.01
뮤지컬 〈곤 투모로우〉,5,눈물 주르륵,칭구도울고 나도 당연히울고,2022.08.01
뮤지컬 〈곤 투모로우〉,5,칭구한테까지 영업하러... 두장잡았다고요,곤투 최고에요,2022.08.01
뮤지컬 〈곤 투모로우〉,5,진짜로... 옥균선생님,정훈이......둘다 못잃어,2022.08.01
뮤지컬 〈곤 투모로우〉,5,페이지원컴퍼니 고마워여..,이렇게 좋은극 올려줘서 고마워여...,2022.08.01
뮤지컬 〈곤 투모로우〉,5,보고싶다.. 빨리 삼연올려주세요,"반년이 지난 지금도 곤투앓이중,,",2022.08.01
뮤지컬 〈곤 투모로우〉,5,코시국에 제대로 감겨버렸던,진짜 코로나고 뭐고 홍아센으로 달려갔었다,2022.08.01
뮤지컬 〈곤 투모로우〉,5,자셋..최고,진짜ㅠ 정훈이 너무슬프다 진짜,2022.08.01
뮤지컬 〈곤 투모로우〉,5,자둘..최고,진짜 갓상블,2022.08.01
뮤지컬 〈곤 투모로우〉,5,진짜최고..,보고싶다..,2022.08.01
뮤지컬 〈곤 투모로우〉,5,오랜만에 본 공연인데 정말 좋았어요,여운 길게남는 극,2022.03.23
뮤지컬 〈곤 투모로우〉,5,모두에게추천하고싶은극,짱이에요,2022.03.23
뮤지컬 〈곤 투모로우〉,5,짱이에요ㅠㅠ,오열했어요,2022.03.23
뮤지컬 〈곤 투모로우〉,5,신성민 배우님,조선 혁명에 관한 내용이 매우 인상깊었고 넘버도 좋았습니다.  신성민 배우님도 평소에 너무 좋아했는데 역할이랑 너무 좋았습니다. 다음 시즌에도 또 뵐 수 있었으면 좋겠습니다,2022.03.22
뮤지컬 〈곤 투모로우〉,5,최고였어요,제발 다시 해주세요,2022.03.18
뮤지컬 〈곤 투모로우〉,5,곤투모로우,진짜 너무 재밌어요 연출 맘에 듬 최고,2022.03.14
뮤지컬 〈곤 투모로우〉,5,곤투모로우,"막공이어서 너무 아쉬워요 하루빨리 삼연오기를.,",2022.03.14
뮤지컬 〈곤 투모로우〉,5,여운이 남는 극이네요~,이미 끝났지만 삼연 곧 돌아올거라 믿습니다,2022.03.14
뮤지컬 〈곤 투모로우〉,5,공연,공연 너무 좋았습니다 배우님들 최고!,2022.03.14
뮤지컬 〈곤 투모로우〉,5,삼연은 온다,소호정훈은 온다,2022.03.14
뮤지컬 〈곤 투모로우〉,5,제발삼연,제발요 재연 캐슷 그대로 삼연 빨리… 소호정훈 삼연 제발요,2022.03.14
뮤지컬 〈곤 투모로우〉,5,오슷주세요...,전캐 오슷 제발...,2022.03.14
뮤지컬 〈곤 투모로우〉,5,오슷주세요...,전캐 오슷 제발...,2022.03.14
뮤지컬 〈곤 투모로우〉,5,Ost발매좀요,음악듣고싶어요...,2022.03.14
뮤지컬 〈곤 투모로우〉,5,음악이 좋음,중독적임... ost 주세요,2022.03.14
뮤지컬 〈곤 투모로우〉,5,정훈아ㅠㅠ,한정훈ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 어디냐아ㅠㅠㅠ 언제볼 수 있냐아ㅠㅠㅠ,2022.03.14
뮤지컬 〈곤 투모로우〉,5,갈 수 없는 나라,꼭 갈 수 있겠죠. 삼연...,2022.03.14
뮤지컬 〈곤 투모로우〉,5,연출이 너무 마음에 들어요,"재연 너무 좋아서 여러번 봤어요. 연출, 넘버, 연기 모두 최고입니다. 삼연 꼭 얼른 오길 바래요",2022.03.14
뮤지컬 〈곤 투모로우〉,5,곤투모로우,"곤투가 끝난지도 어언 반달... 너무 그립고... 너무 보고싶고... 빠른 시일 내 삼연... 그리고 오슷 주세요 페이지원 슨생님... 부탁드리는거에요...ㅠ 아, 삼연 전에 앵콜이 있다면 더 좋을 것 같습니다 하하",2022.03.14
뮤지컬 〈곤 투모로우〉,5,감동적인 무대ㅜㅜ,배우분들이 보여주신 무대가 너무 감동적이고 슬펐어요ㅜㅜㅠ  정말 최고의 공연이었습니다!!,2022.03.14
뮤지컬 〈곤 투모로우〉,5,좋았어요,3연도 빨리 오기를 바랍니다!,2022.03.14
뮤지컬 〈곤 투모로우〉,5,나도 만원 좀 죠,왜 맨날 천원이야,2022.03.14
뮤지컬 〈곤 투모로우〉,5,재밌어요!,재밌어요,2022.03.14
뮤지컬 〈곤 투모로우〉,5,곤투모로우,최고다  재연임에도 수정되어서 온 내용도 좋고 배우들의 합도 너무 좋았다 중단한번없이 계속된거에는 배우들의 노력도 있었으니 너무 너무 멋지다  삼연에도 꼭 다시 와주기를!!!  극장만 바꿔서 꼭꼭 다시 오길 바란다,2022.03.12
뮤지컬 〈곤 투모로우〉,5,곤 투모로우,내일의 희망이 밝았으면 하다.,2022.03.12
뮤지컬 〈곤 투모로우〉,5,최고,정말 좋았습니다,2022.03.12
