musical_title,rate,review_title,review_text,review_date
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,5,또 와줘요,자주자주 내한했으면,2022.03.28
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,5,진짜로 좋았어요,배우들의 열기가 객석까지 전해짐,2022.03.28
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,5,최고의 공연,최고의 공연  너무 좋았어요  보는 내내 너무 좋았고..  공연을 보고 와서도 아직도 여운이 가시지 않아요  또 온다면 무조건 n회 관람 할거에요,2022.03.24
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,5,최고의 공연,오리지널 내한이 또 언제 올까요  너무 좋았습니다  보는 내내 행복했습니다  오면 또 볼거에요,2022.03.24
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,5,감동그자체,"운좋게 안젤로 콰지를 두번이나봤는데,이날 처음으로 안젤로 콰지를 본 감동이 잊혀지지않네요",2022.03.23
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,4,두번째관람 막공에 다소 실망...,막공에 기대가 있어 갔는데 다소 실망했습니다. 그러나 기본적으로 좋은 극이라고 생각합니다,2022.03.23
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,5,8년쯤 만에 올해 오리지널 내한공연으로 다시 만난 내 인생뮤지컬,"#노트르담드파리 2022 프렌치투어 앙코르 막공 8년쯤 만에 올해 오리지널 내한공연으로 다시 만난 내 #인생뮤지컬   두시간 내내 벅차오르는 감동 그 이상의 순간(눈물 핑). 그냥 최고   어느 한 곡 버릴게 없는 음악이나 집시군단의 역동적인 아크로바틱 댄스, 무대, 조명 색감 외에도 이번 투어 마지막 공연이라 그런지 캐스팅도 배우 컨디션도 다들 너무 좋아보였다  . . 배우들 표정이 다 보이는 3열 직관(예약대기 거느라 회사 할인찬스도 포기) 코로나 추가 확진 60만을 찍는 시기에, 매일아침 격리소식과 함께 하나둘씩 사라져가는 동료들을 보며 요며칠은 재택 사수하려 눈치작전을 좀 했다   ..모든 걸 바꿔 놓을 새로운 사상들  개혁자 구텐베르크는 세상을 변화시켰고 쉴새없이 새 글이 인쇄되는 뉘른베르크 그 곳에선 말하지 지구는 둥글다고 세상엔 또 다른 대륙이 있다고 대서양을 향해 배들은 떠났네 인도에 닿기 위한 길을 찾으려고 루터는 성경을 다시 쓸 것이고 우리는 서 있지 불화의 시대 앞에 ..언제나 작은 것이 큰 것을 허물고 문학은 건축을 무너뜨리는 법 학교의 책들은 성당을 허물고 성경은 교회를 인간들은 신을, ‘무너뜨리리라’ Ceci tuera cela - <Florence>중에서   새로운 시대가 오고 세상은 변해 갈 것이라는 메시지, 그러므로 시대를 분별하며 늘 깨어 Dream a New Dream",2022.03.22
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,5,8년쯤 만에 올해 오리지널 내한공연으로 다시 만난 내 인생뮤지컬,"#노트르담드파리 2022 프렌치투어 앙코르 막공 8년쯤 만에 올해 오리지널 내한공연으로 다시 만난 내 #인생뮤지컬   두시간 내내 벅차오르는 감동 그 이상의 순간(눈물 핑). 그냥 최고   어느 한 곡 버릴게 없는 음악이나 집시군단의 역동적인 아크로바틱 댄스, 무대, 조명 색감 외에도 이번 투어 마지막 공연이라 그런지 캐스팅도 배우 컨디션도 다들 너무 좋아보였다  . . 배우들 표정이 다 보이는 3열 직관(예약대기 거느라 회사 할인찬스도 포기) 코로나 추가 확진 60만을 찍는 시기에, 매일아침 격리소식과 함께 하나둘씩 사라져가는 동료들을 보며 요며칠은 재택 사수하려 눈치작전을 좀 했다   ..모든 걸 바꿔 놓을 새로운 사상들  개혁자 구텐베르크는 세상을 변화시켰고 쉴새없이 새 글이 인쇄되는 뉘른베르크 그 곳에선 말하지 지구는 둥글다고 세상엔 또 다른 대륙이 있다고 대서양을 향해 배들은 떠났네 인도에 닿기 위한 길을 찾으려고 루터는 성경을 다시 쓸 것이고 우리는 서 있지 불화의 시대 앞에 ..언제나 작은 것이 큰 것을 허물고 문학은 건축을 무너뜨리는 법 학교의 책들은 성당을 허물고 성경은 교회를 인간들은 신을, ‘무너뜨리리라’ Ceci tuera cela - <Florence>중에서   새로운 시대가 오고 세상은 변해 갈 것이라는 메시지, 그러므로 시대를 분별하며 늘 깨어 Dream a New Dream &#129419;",2022.03.22
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,5,나쁘지않았습니다,안젤로 콰지 역시 최고입니다 엘하이다 다니 잘하구요 존 아이젠 신선했구여 로랑방 새로운 프롤로 느낌이라 나쁘지 않았습니다 제이는 클로팽 그자체였구  플로칼리 페뷔스는 힘이 없어 좀 별로였네요 엠마르핀은 실망이 너무 컸습니다 실수도 있었고 그냥 어울리지가 않네요 별로입니다 앙상블들도 좋았지만 합이 조금 더 맞았으면 즐겁게 봤을거 같아요  전체적으로 나쁘지 않았습니다 근데 엠마르핀은 연습 좀 더 하셔야 겠네요,2022.03.22
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,5,최고~!,최고~!최고~!최고~!최고~!최고~!,2022.03.21
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,5,빨리 다시 보고 싶어요,빨리 다시 보고 싶어요,2022.03.21
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,5,빨리 다시 보고 싶어요,빨리 다시 보고 싶어요,2022.03.21
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,5,빨리 다시 보고 싶어요,빨리 다시 보고 싶어요,2022.03.21
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,1,응원합니다,배우들 댄서들 응원합니다,2022.03.21
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,1,다시 보고싶어요,배우들의 열연에 별5개 주고싶지만 제작사의 행태는 별 0개,2022.03.21
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,4,한 번 봤지만 2 번 보고 싶은 뮤지컬,"중학교 때 영상으로만 보던 뮤지컬을 현장에서 봐서 너무 좋았어요. 사정상 마지막 공연 1번 봤지만 2번 보고 싶은 뮤지컬이에요. 1번 보기는 아쉬워요. 처음부터 그 웅장함, 와 머리 끝까지 소름?짜릿? 했어요.ㅠㅠ 기회가 또 생기면 꼭 다시보고 싶어요! 마지막이라 그런지 목소리 상태가 조금 힘들어보였어요ㅠ",2022.03.21
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,5,잘봤습니다,공연 잘봤습니다.캐스트 당일 공개가 걸림돌이라서 결국 마지막 날 보게 됐는데 미리 공개했으면 좋겠습니다.,2022.03.21
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,5,노트르담,너무 재밌어요,2022.03.21
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,5,노트르담,너무 재밌어요,2022.03.21
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,5,노트르담,너무 재밌어요,2022.03.21
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,4,막공에서 얼터도 잘했지만,노트르담 올때마다.보는데.늘 최고의.공연을 보여주네요. 다만 캐슷을 알 수.앖는게.아쉽고 공연 연장도 너무 슬그머니 연장하는 바람에 13일.잡아뒀다가 총믹공을 다시.예매해야했어요. 근데 총막공은 올메인이 나와야 하지.않나요?  얼터도 너무 잘했지만 올메인으로 기대했는데.아쉬워서 별 하나 뺐어여. 그래도 역시 노트르담.너무.재미있었어요 끝나다니.아쉽지만 또 올거라 믿습니다.,2022.03.21
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,2,얼터배우들 목소리 안 나오고 별로였습니다,에릭 구앵그와르 노래부르다가 삑사리 여러번 내고 목소리도 안 나오고 진짜 공연 보다보다가 자꾸 깨서 몰입이 안됐습니다 플로칼리 페뷔스는 신인느낌 많이 나는데 연기도 별로고 노래도 별로였습니다 그나마 나머지 메인 배우들과 댄싱팀들이  잘했습니다 오피석에서 봤는데 음향도 개구리고 시야도 구리더군요 굳이 오피석 깔아서 파는 이유를 모르겠어요 비싼 티켓값을 못하는 공연이었습니다 에릭 구앵그와르 노래부르다가 삑사리 여러번 내고 목소리도 안 나오고 진짜 공연 보다보다가 자꾸 깨서 몰입이 안됐습니다 플로칼리 페뷔스는 신인느낌 많이 나는데 연기도 별로고 노래도 별로였습니다 그나마 나머지 메인 배우들과 댄싱팀들이  잘했습니다 오피석에서 봤는데 음향도 개구리고 시야도 구리더군요 굳이 오피석 깔아서 파는 이유를 모르겠어요 비싼 티켓값을 못하는 공연이었습니다에릭 구앵그와르 노래부르다가 삑사리 여러번 내고 목소리도 안 나오고 진짜 공연 보다보다가 자꾸 깨서 몰입이 안됐습니다 플로칼리 페뷔스는 신인느낌 많이 나는데 연기도 별로고 노래도 별로였습니다 그나마 나머지 메인 배우들과 댄싱팀들이  잘했습니다 오피석에서 봤는데 음향도 개구리고 시야도 구리더군요 굳이 오피석 깔아서 파는 이유를 모르겠어요 비싼 티켓값을 못하는 공연이었습니다에릭 구앵그와르 노래부르다가 삑사리 여러번 내고 목소리도 안 나오고 진짜 공연 보다보다가 자꾸 깨서 몰입이 안됐습니다 플로칼리 페뷔스는 신인느낌 많이 나는데 연기도 별로고 노래도 별로였습니다 그나마 나머지 메인 배우들과 댄싱팀들이  잘했습니다 오피석에서 봤는데 음향도 개구리고 시야도 구리더군요 굳이 오피석 깔아서 파는 이유를 모르겠어요 비싼 티켓값을 못하는 공연이었습니다에릭 구앵그와르 노래부르다가 삑사리 여러번 내고 목소리도 안 나오고 진짜 공연 보다보다가 자꾸 깨서 몰입이 안됐습니다 플로칼리 페뷔스는 신인느낌 많이 나는데 연기도 별로고 노래도 별로였습니다 그나마 나머지 메인 배우들과 댄싱팀들이  잘했습니다 오피석에서 봤는데 음향도 개구리고 시야도 구리더군요 굳이 오피석 깔아서 파는 이유를 모르겠어요 비싼 티켓값을 못하는 공연이었습니다에릭 구앵그와르 노래부르다가 삑사리 여러번 내고 목소리도 안 나오고 진짜 공연 보다보다가 자꾸 깨서 몰입이 안됐습니다 플로칼리 페뷔스는 신인느낌 많이 나는데 연기도 별로고 노래도 별로였습니다 그나마 나머지 메인 배우들과 댄싱팀들이  잘했습니다 오피석에서 봤는데 음향도 개구리고 시야도 구리더군요 굳이 오피석 깔아서 파는 이유를 모르겠어요 비싼 티켓값을 못하는 공연이었습니다에릭 구앵그와르 노래부르다가 삑사리 여러번 내고 목소리도 안 나오고 진짜 공연 보다보다가 자꾸 깨서 몰입이 안됐습니다 플로칼리 페뷔스는 신인느낌 많이 나는데 연기도 별로고 노래도 별로였습니다 그나마 나머지 메인 배우들과 댄싱팀들이  잘했습니다 오피석에서 봤는데 음향도 개구리고 시야도 구리더군요 굳이 오피석 깔아서 파는 이유를 모르겠어요 비싼 티켓값을 못하는 공연이었습니다,2022.03.21
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,5,노트르담드파리,내한공연만의 감동이 있네요,2022.03.21
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,5,꼭 한 번은 보세요!!!,너무 좋은 극 입니다 이번 시즌 못보시면 나중에 분명 후회하세요!!,2022.03.21
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,5,재미있었어요!!!!,안젤로ㅠㅠㅠㅠㅠㅠㅠㅠ 한국 머지않아 다시 올거지...????,2022.03.21
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,5,최고최고,꼭 다시 와주세요 ㅠㅠㅠㅠㅠㅠ,2022.03.21
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,5,최고엿어요,마음을 울리는 공연이었답니다 또보고싶네요 ㅠㅠㅠㅠㅠㅠㅠ,2022.03.21
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,5,정말 좋았던 공연,이전에 모차르트 오페라 락에서 봤던 솔랄 배우가 있어서 정말 반가웠고 여전히 멋있게 무대 하는 모습에 정말 행복했습니다ㅎㅎ,2022.03.21
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,5,멋진공연,잘봤습니다!,2022.03.21
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,5,마지막까지 최고였던 공연,앙코르까지 했는데도 끝이 나는 게 정말 아쉬운 공연이었습니다 또 내한 왔으면 좋겠어요~,2022.03.21
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,4,잘봤습니다,잘봤습니다.,2022.03.21
뮤지컬 〈노트르담 드 파리〉 프렌치 오리지널 내한공연 - 앙코르,1,마스트는 파리를 놔줘라,겸사겸사 다른 내한도 다 놔줘라 니들이 다 망친거다,2022.03.20
