musical_title,rate,review_title,review_text,review_date
뮤지컬 데스노트 (The Musical Death Note),5,공연이 너무 좋았어요,배우들고 멋지도 무대도 멋지고 공연이 너무 좋았어요,2022.11.12
뮤지컬 데스노트 (The Musical Death Note),5,최고요,너무 좋았어요,2022.09.12
뮤지컬 데스노트 (The Musical Death Note),5,개짱 아직도 생각남.. ㅠㅠ,유투브에서 커튼콜 음악 들으니까 갑자기 또 생각남.. 4연이 얼른왔음 좋겠다!!,2022.09.12
뮤지컬 데스노트 (The Musical Death Note),4,내가 데스노트 본사?,한 번은 봐서 다행입니다 ㅎㅎ,2022.09.12
뮤지컬 데스노트 (The Musical Death Note),5,데스노트는진짜하... 본사인 제가 승리자입니다,이상하다...? 온세상이...? 더 아름답게...? 빛나고...? 거리에는...? 환한미소...? 넘치네...? 이 노트가...? 이 세상을...? 구원할 수...? 있는 힘이...? 있다면...? 으아...! 으아아!!! 으아아아아아아아아아ㅏ아아!!!! 으아아아아아아ㅏㅇ아ㅏ아아아아앙아아아ㅏ아아아아아악!!!! 으악!!!!! 으아아아아아아아아아아앙악!!!!!!!! 아악!!!! 아아아아아아ㅏ아아아아아!!! 아악!!!!!!!!!!!!!!!으으으으아아아아아아아아아아아아아아아아아아아아아아아아아아아아아아아아아아아아아아악!!!!!!!!!!!!!!!!!!!!!!!!으아아아아!!! 으아!!!!!!! 으아아아악!!! 악!!!! 아아아아으아...! 으아아!!! 으아아아아아아아아아ㅏ아아!!!! 으아아아아아아ㅏㅇ아ㅏ아아아아앙아아아ㅏ아아아아아악!!!! 으악!!!!! 으아아아아아아아아아아앙악!!!!!!!! 아악!!!! 아아아아아아ㅏ아아아아아!!! 아악!!!!!!!!!!!!!!!으으으으아아아아아아아아아아아아아아아아아아아아아아아아아아아아아아아아아아아아아아악!!!!!!!!!!!!!!!!!!!!!!!!으아아아아!!! 으아!!!!!!! 으아아아악!!! 악!!!! 아아아아,2022.09.12
뮤지컬 데스노트 (The Musical Death Note),4,좋아요,극 자체가 재밌다고 추천받아서 부모님 예매해드렸어요. 극장의 특성으로 대사가 울리는건 아쉬웠던 거 같은데 부모님은 좋아하셨어요ㅎㅎ 잘봤습니다.,2022.09.10
뮤지컬 데스노트 (The Musical Death Note),5,1열 사이드,1열 사이드자리에서 봤습니다 눈물까지 다보여요 연기 떨림 너무 좋고 호흡 너무 좋아요 홍류크는 초연재연때보고 이번시즌 처음이었는데 욕시는역시라구 앞자리 사이드까지 관객들 하나하나 보면서 스무스하게 극을 즐기면서 공연하시는모습 너뮤 좋았어요철엘 연기 너무 좋고 홍라는 그냥 영락없는 고등학생임ㅎㅎ 4연도 올꺼죠? 홍라 철엘 너무 사랑해??,2022.09.10
뮤지컬 데스노트 (The Musical Death Note),5,첫관극인데 댑악적이였다..,이 무대를 볼 수 있음에 너무 감사하고 좋은시간이였습니다! 좌석은 많이 아쉬운 2층 맨 뒷열이었지만 다음에 또 돌아온다면 꼭 좋은 좌석 티켓팅 성공하고 싶네요~!!,2022.09.09
뮤지컬 데스노트 (The Musical Death Note),5,고은성 사연 오세요 제발,고라이토 인생캐 그잡채,2022.09.08
뮤지컬 데스노트 (The Musical Death Note),5,감동 자체~,왜 홍광호인지... 알수있는.. 꿀성대에 놀라고 엘 김성철님의 연기와 위트에 감동받고 천국갖다온 느낌이였어요~~루크 강홍석님 렘 정선아님도 진짜 반하고 왔어요! 감사히 잘 봤습니다! 데스노트 최고 ??,2022.09.08
뮤지컬 데스노트 (The Musical Death Note),5,데스노트 총막공,환상적인 날이었습니다....모든게 완벽하게 마무리 된 멋진 공연 ㅜㅜ새로운 역사급 이었던 2022데놋 즐길수 있어서 행복했어요 서경수배우님과 김성철배우님의 새로운 모습...!??????두고두고 후회없는 선택이 될거 같은 공연이라 좋았습니다,2022.09.08
뮤지컬 데스노트 (The Musical Death Note),5,짱,재미있었어요!,2022.09.05
뮤지컬 데스노트 (The Musical Death Note),5,짱,재밌었어요!,2022.09.05
뮤지컬 데스노트 (The Musical Death Note),5,유명한 이유,진짜 유명한 이유가 있었어요배우분들 전부 실력 장난 아니에요 잘 봤습니다!,2022.09.05
뮤지컬 데스노트 (The Musical Death Note),5,데스노트 기다리고있겠습니다,한 달 안되었는데 몇 년된거 같은 느낌ㅜㅜ은성 배우님 라이토 기다리고 있겠습니다~,2022.09.04
뮤지컬 데스노트 (The Musical Death Note),5,재관람 하는 날을 고대하겠습니다.,최고의 공연이었습니다.,2022.09.03
뮤지컬 데스노트 (The Musical Death Note),5,장은아 배우님 케이님 두분 연기 진짜 좋았습니다!,김준수 연기는 진짜 믿고보는 김준수 너무 최고였구요. 장은아 배우님 첫 소절 듣고는 소름 돋을 정도로 너무 좋았어요. 케이님 노래도 연기도 정말 좋았습니다. 류인아 배우님 더 길게 뵙고 싶다는 생각들 정도로 좋았어요.,2022.09.01
뮤지컬 데스노트 (The Musical Death Note),5,그곳이 어디든 홍광호만 있다면…,충무는최고애극장.,2022.09.01
뮤지컬 데스노트 (The Musical Death Note),5,돈 더주고 앞자리 앉아서 볼껄,역시 세트장이 다르더 군요. 4층에서 오페라글라스로 봤는데 그냥 앞자석에서 봤으면 좋겠더라구요. 인기가 얼마나 많던지... 사실 4층자리도 있어서 다행이었지만서도.....,2022.09.01
뮤지컬 데스노트 (The Musical Death Note),5,홍광호 최고,성량 미쳤습니다,2022.08.31
뮤지컬 데스노트 (The Musical Death Note),5,와 진짜,무대연출 미쳤어요,2022.08.30
뮤지컬 데스노트 (The Musical Death Note),5,최고,제발 사연때도 그대로와줘요ㅠㅠ,2022.08.30
뮤지컬 데스노트 (The Musical Death Note),5,최고였어요!,제발 또 돌아와주세요ㅠㅠ,2022.08.30
뮤지컬 데스노트 (The Musical Death Note),5,홍샤 데스노트 또 보고싶다ㅠ,신춘수 대표님 20205년에 10주년으로 데스노트 이 캐스팅 그대로 돌아와 줄 것이라고 믿어요...,2022.08.30
뮤지컬 데스노트 (The Musical Death Note),5,심장아픈공연,정말 보는내내 한순간도 딴생각할수없었고 배우분들의 연기가 정말 최고였습니다 또 보러가고싶어요,2022.08.29
뮤지컬 데스노트 (The Musical Death Note),5,또 보고싶다,오디 박제 진정 하나도 없나요..ㅜㅜㅜ,2022.08.28
뮤지컬 데스노트 (The Musical Death Note),5,진짜 재밌었어요,끝나서 또 못보러가는게 아쉬울정도로 ㅠㅠㅠㅠ홍곤샤철 다시 와주세요.......,2022.08.28
뮤지컬 데스노트 (The Musical Death Note),5,두번째로 봤는데도 또 보고 싶어요,진짜 너무 재미있었고 장면들이 계속 머릿속에 남아요ㅠㅠ 디비디 내주세요 제발..,2022.08.28
뮤지컬 데스노트 (The Musical Death Note),5,전부 만족스러웠던 뮤지컬,전과는 다른 스크린을 활용한 무대구성과 기존에 계속 배역 맡으셨던 배우분들의 늘어난 연기력을 보면서 다 보고 집갈때 너무 행복했어요ㅎㅎ,2022.08.28
뮤지컬 데스노트 (The Musical Death Note),5,기대 이상이었어요ㅠ,무대도 너무 멋지고 배우분들 목소리도 너무 좋고 기대 이상으로 행복한 시간이었어요!,2022.08.28
뮤지컬 데스노트 (The Musical Death Note),5,샤엘 또 보고 싶다,늦은 후기지만 하루하루 지날때마다 끝나감을 아쉬워 했던 샤엘 의 데스노트 진짜 홍광호님과의 합이 최고였던 세막 ^^ 내년에 또 와 주면 좋겠다,2022.08.28
뮤지컬 데스노트 (The Musical Death Note),5,너무좋았어요,언제나 재미있는 데스노트 잘 봤습니다,2022.08.28
뮤지컬 데스노트 (The Musical Death Note),5,너무 재밌게 봤어요,라이토 엘의 테니스 연기가 제일 멋있네요,2022.08.27
뮤지컬 데스노트 (The Musical Death Note),5,신춘수 대표님 OST좀 내주세요,"홍광호 김준수 고은성 김성철 이런 말도 안되는 괴물급 캐스팅을 데리고  OST 안 내는건 진짜 관객한테도, OD컴퍼니한테도 손실 아닙니까ㅠ",2022.08.26
