musical_title,rate,review_title,review_text,review_date
뮤지컬 데스노트 (The Musical Death Note),5,예상보다 더 만족한 공연!,피곤한 상태에서 봤는데도 흥미와 재미를 느낄 수 있는 공연이었어요! 일단 영상미가 정말 좋아서 대극장에서도 이렇게 영상을 잘 활용할 수 있구나..를 느낄 수 있었고 배우님들의 집중도 있는 연기도 정말 재밌게 보는 데 큰 역할을 한 것 같아요!,2022.08.10
뮤지컬 데스노트 (The Musical Death Note),5,잘 보고 왔어요!,역시 명성답게 재미있어요,2022.08.01
뮤지컬 데스노트 (The Musical Death Note),5,데스노트 처음 봤는데,넘버들이 너무 좋아서 한 달이 지난 지금까지도 따로 찾아서 듣고 있어요,2022.07.18
뮤지컬 데스노트 (The Musical Death Note),5,마성의 뮤지컬...,자꾸 아른거려서 이번에 재예매 했습니다ㅜ 샤엘 홍라이토 가즈아!,2022.07.15
뮤지컬 데스노트 (The Musical Death Note),5,정말 재밌어요,캐스팅도 짱짱,2022.07.11
뮤지컬 데스노트 (The Musical Death Note),5,최애뮤지컬..,넘버들이 진짜 너무 취향이라서 다ㅠ좋았음,2022.07.09
뮤지컬 데스노트 (The Musical Death Note),4,멋진 공연,"이 유명한 공연을 이제야 봤네요. 단순한 스토리 같아도 많은 생각을 하게 됐고, 배우들 열연도 멋있었습니다. 넘버는 역시 따로 듣는 것보다 극속에서 들어야 제맛이군요",2022.07.09
뮤지컬 데스노트 (The Musical Death Note),5,가까이서 보는 맛도 있는!,그동안 뮤지컬은 극 전체를 볼 수 있는 좌석을 선호했는데 운좋게 이번 티켓팅에서 아주 가까운 좌석을 성공했습니다. 극 전체를 보기에는 조금 아쉽지만 이전에 2회차를 봤어서 그런지 아주 무리는 없었고 오히려 배우들을 가까이서 보니 배우들의 표정부터 힘이 아주 가깝게 느껴져서 또다른 재미를 느꼈습니다!!!,2022.07.05
뮤지컬 데스노트 (The Musical Death Note),5,추천합니다:),추천합니다:),2022.07.04
뮤지컬 데스노트 (The Musical Death Note),5,홍철 케미 대박,캐스트만으로도 가볼 가치가 있습니다.미디어 아트를 이용한 연출도 신선했습니다,2022.07.04
뮤지컬 데스노트 (The Musical Death Note),5,ㅇㅅㅇ,ㅇㅅㅇㅅㅇㅅㅇㅅㅇ,2022.07.04
뮤지컬 데스노트 (The Musical Death Note),5,또보고싶어..,경류크최고,2022.07.04
