musical_title,rate,review_title,review_text,review_date
뮤지컬 〈디아길레프〉,5,늦게 알아서 아쉬웠던 작품,더 빨리 알았더라면 좋았을 텐데 흑흑 ㅠ,2022.06.10
뮤지컬 〈디아길레프〉,5,디아길레프 너무 즐거웠습니다,"멋진 무대, 즐거운 노트, 열연하는 배우님들<3 너무 잘 보구 왔어요",2022.06.07
뮤지컬 〈디아길레프〉,5,짱재밌어요,와 끝났죠? 재연주세요,2022.06.06
뮤지컬 〈디아길레프〉,5,추천하고싶은 공연,음악이.아름답고 발레도 너무 아릅답습니다,2022.06.03
뮤지컬 〈디아길레프〉,5,재미있어요,잘봤습니다,2022.05.31
뮤지컬 〈디아길레프〉,5,재밌어욪,재밌어요ㅇㅇ,2022.05.31
뮤지컬 〈디아길레프〉,5,아쉬운 막공,정말 좋아하던 공연이었는데 막공을 해서 너무 아쉬워요...ㅠㅠ 재연에도 열심히 볼테니까 꼭 빠른 시일 내에 왔으면...,2022.05.30
뮤지컬 〈디아길레프〉,5,가장 사랑했던... 나의 뮤지컬,내가 태어나 본 모든 뮤지컬들 중... 가장 아름다웠어,2022.05.30
뮤지컬 〈디아길레프〉,5,디아길레프 보고,디아길레프 보고 감동받아 그대로 니진스키 예매하기로 마음먹었어요 단장님들 연기 최고엿어요 사랑해요디아길레프,2022.05.30
뮤지컬 〈디아길레프〉,5,디아길레프,너무 재밌는데 이제 없다니 ㅜㅠ 보고싶어요ㅠㅠ,2022.05.30
뮤지컬 〈디아길레프〉,5,조금 이른감이 있지만 빠른 재연 기다립니다ㅜ,막공해서 너무 슬프네요ㅠㅠㅠㅠ김종구 정민챤 배우님 보는 매순간이 너무 행복했어요ㅠㅠ천재 짱짱페어ㅠㅠㅠㅠㅠ 꼭 둘이 손잡고 같이 재연 와야해요ㅜㅠㅜㅠ,2022.05.30
뮤지컬 〈디아길레프〉,5,왜 이제 없는거죠ㅠㅠ,막공해서 너무 슬프네요ㅠㅠㅠㅠ김종구 정민챤 배우님 보는 매순간이 너무 행복했어요ㅠㅠ천재 짱짱페어ㅠㅠㅠㅠㅠ 꼭 둘이 손잡고 같이 재연 와야해요ㅜㅠㅜㅠ,2022.05.30
뮤지컬 〈디아길레프〉,5,가장 사랑하는 것들과의 이별,막공해서 너무 슬프네요ㅠㅠㅠㅠ김종구 정민챤 배우님 보는 매순간이 너무 행복했어요ㅠㅠ천재 짱짱페어ㅠㅠㅠㅠㅠ 꼭 둘이 손잡고 같이 재연 와야해요ㅜㅠㅜㅠ,2022.05.30
뮤지컬 〈디아길레프〉,4,재밌어요,넘버도 좋고 극도 좋네요,2022.05.30
뮤지컬 〈디아길레프〉,5,비명지름 진짜 대박이에요,처음엔 정말 기대 없이 봤는데 진짜 흥미진진하고 캐릭터를 잘 살린 게 ... 한명한명 다 매력있거 그사람들의 뒷 이야기가 궁금해졌던 팩션 뮤지컬은 처음이었음,2022.05.30
뮤지컬 〈디아길레프〉,5,좋아요,재밌어요 ㅠㅠㅠㅠ,2022.05.30
