musical_title,rate,review_title,review_text,review_date
뮤지컬 라이온 킹 인터내셔널 투어 - 부산(Musical The Lion King),5,잊을수 없는...,외국 가서 관람하고 싶다는 생각을 첨으로 해본..???? 나주평야~~ 듣자마자 울컥했네요 ㅜ,2022.06.01
뮤지컬 라이온 킹 인터내셔널 투어 - 부산(Musical The Lion King),5,역시는역시,최고입니다. 라이언킹을 본 어린이와 안본 어린이는 미래가 다를듯요,2022.05.29
뮤지컬 라이온 킹 인터내셔널 투어 - 부산(Musical The Lion King),5,언제나 좋은 뮤지컬,이번에는 객석에서 나오는 장면이 없어서 그 웅장함이 조금 아쉬웠고 몇 년전에 왔을때보다 배우들의 연기가 좀 어색하게 흠이였지만 그걸 다 덮을만큼 음악와 무대 장치는 휼륭한 공연이었습니다.,2022.05.19
뮤지컬 라이온 킹 인터내셔널 투어 - 부산(Musical The Lion King),5,역시 쩌는 뮤지컬~,저번에 왔을 때 포함해서 총 4번을 봤지만 봤던 곳에서도 또 감동먹는 공연. 너무 좋았습니다. 이번에는 코로나 때문에 어쩔 수 없이 후반 공연을 봐야 했지만 다음번엔 제일 먼저 하는 곳에서 볼테니 꼭 다시 와주세여~~,2022.05.19
뮤지컬 라이온 킹 인터내셔널 투어 - 부산(Musical The Lion King),3,주연 캐스팅이 아쉬웠음,익히 알고 있는 스토리와 무대 구성 등이었기에 큰기대는 안하고 갔었기에 공연을 통해 느낀 감흥도 그저 그렇고 나쁘지 않은 정도였음. 다만 주연 배우 심바와 날라의 성인 캐스팅이 매우 실망스러웠다. 마지막 공연이라서 아무나 주연으로 캐스팅했나 싶을 정도로 몰입이 되지 않아 너무 아쉬웠음.,2022.05.16
뮤지컬 라이온 킹 인터내셔널 투어 - 부산(Musical The Lion King),3,대체로 무난한 공연이었지만 주연 캐스팅이 아쉬웠음,익히 알고 있는 스토리와 무대 구성 등이었기에 큰기대는 안하고 갔었기에 공연을 통해 느낀 감흥도 그저 그렇고 나쁘지 않은 정도였음. 다만 주연 배우 심바와 날라의 성인 캐스팅이 매우 실망스러웠다. 마지막 공연이라서 아무나 주연으로 캐스팅했나 싶을 정도로 몰입이 되지 않아 너무 아쉬웠음.,2022.05.16
뮤지컬 라이온 킹 인터내셔널 투어 - 부산(Musical The Lion King),5,두번봐도 최고,19년 라이온킹이 너무 감명적이라 이번 22년도 라이온킹 재관람까지 했네요. 처음 circle of life부를때의 전율은 잊혀지지가 않습니다,2022.05.15
뮤지컬 라이온 킹 인터내셔널 투어 - 부산(Musical The Lion King),5,멋진공연이였어요!!,무대의상이나 셋트도 기대이상이고.  노래도 굉장했어요~배우들이 정말 최선을 다하고 있구나 느낄수 있던 공연이였네요. 담번에도 다시 관람하려고 합니다..,2022.05.13
뮤지컬 라이온 킹 인터내셔널 투어 - 부산(Musical The Lion King),5,무조건 추천,인생이서 한번은 꼭 봐야하는 뮤지컬,2022.05.10
뮤지컬 라이온 킹 인터내셔널 투어 - 부산(Musical The Lion King),5,행복해지는 공연이었습니다,맨 처음 동물들 나올 때부터 놀이공원에 온 것 마냥 너무 흥분되고 행복했어요 라이온킹 영화도 본 적 없지만 너무너무 재밌었어요 한 번 쯤은 꼭 봐야할 공연입니다 강력추천해요 정말!!,2022.05.10
뮤지컬 라이온 킹 인터내셔널 투어 - 부산(Musical The Lion King),5,또 보고 싶은 뮤지컬 라이온 킹 인터내셔널 투어,"어버이 날을 맞아 장인 장모님, 부모님, 와이프와 뮤지컬 라이온 킹을 2+2+2 예매하여 봤습니다. 기대한만큼(기대를 많이 했기에) 좋았습니다. 무대도 환상적이고 배우들 열연도 빛났습니다. 아이가 태어나서 큰다면 또 보고 싶습니다. ^_^",2022.05.09
뮤지컬 라이온 킹 인터내셔널 투어 - 부산(Musical The Lion King),5,또 보고 싶어요~,"어버이 날을 맞아 장인 장모님, 부모님, 와이프와 뮤지컬 라이온 킹을 2+2+2 예매하여 봤습니다. 기대한만큼(기대를 많이 했기에) 좋았습니다. 무대도 환상적이고 배우들 열연도 빛났습니다. 아이가 태어나서 큰다면 또 보고 싶습니다. ^_^",2022.05.09
