musical_title,rate,review_title,review_text,review_date
뮤지컬 〈마타하리〉,5,옥주현 배우님 짱,울면서 나왔어요 옥타하리 최고!,2022.09.14
뮤지컬 〈마타하리〉,5,멋져요,뮤지컬 배우 한분 한분  멋지셨어요가사전달 굿  대사전달  굿  감동 이였습니다 다들 수고하셨어요  다들 멋지셨어요^^,2022.09.08
뮤지컬 〈마타하리〉,5,펑펑 울다 나왔어요,마타하리...담에  또보고 싶네요,2022.09.05
뮤지컬 〈마타하리〉,5,오랜만에 마타하리,삼연 재밌었다,2022.09.05
뮤지컬 〈마타하리〉,4,조금 지루했으나 만족,조금지루햇으나 만족,2022.09.03
뮤지컬 〈마타하리〉,4,와일드혼 작품 치고는..,"스토리의 빌드업 이슈인가, 리프라이즈의 이슈인가.. 명확하지는 않지만 다른 와일드혼의 작품과 비교했을 때 다소 아쉬웠다. 하지만 평균 이상은 충분히 하는 작품!",2022.09.02
뮤지컬 〈마타하리〉,5,앙상블을 포함한 모든 배우분들 감사드려요,뮤지컬 여러번 본적 처음입니다뮤지컬의 정석이라고 생각합니다.ost나 vod 내주세요 제발,2022.09.02
뮤지컬 〈마타하리〉,5,최고,최고최고최고,2022.09.02
뮤지컬 〈마타하리〉,5,마타하리 ,좋은 공연을 함께 할 수 있어서 행복 했습니다,2022.08.31
뮤지컬 〈마타하리〉,5,출라처라가가사,토퉈엉라라가거ㅜ추추추루ㅏㅅㄱ,2022.08.30
뮤지컬 〈마타하리〉,4,ㅠㅠ,벌써 막공이란 실감이 나질 않네요 화려한 대극장 뮤지컬의 정석 같아요,2022.08.30
뮤지컬 〈마타하리〉,5,좋았어요,샤롯데 무대가 꽉 찰 정도로 화려했습니다. 이번 기회로 마타하리라는 공연을 볼 수 있어서 좋았어요. 배우들 마지막이라고 커튼콜도 봤는데 정말 멋졌습니다. 마지막 인사때 다 같이 인사하니까 뭉클하더라고요. 윤소호 아르망..짱,2022.08.30
뮤지컬 〈마타하리〉,5,배우들 연기 좋아요.,배우들 연기 좋았고 넘버도 좋았습니다.,2022.08.29
뮤지컬 〈마타하리〉,5,윤소호,ㅜㅜㅜㅜㅜㅜ 아르망 가지마ㅠㅠㅠㅠㅠㅠㅠ,2022.08.29
뮤지컬 〈마타하리〉,5,재밌었어요,언제 다시 돌아오나요,2022.08.29
뮤지컬 〈마타하리〉,4,옥타하리 짱 ㅜ,"일단 세트가 너무 예뻤고, 다양하고 화려한 퍼포먼스를 볼 수 있어서 눈이 행복했습니다!",2022.08.29
뮤지컬 〈마타하리〉,5,마타하리,기다릴게요,2022.08.29
뮤지컬 〈마타하리〉,5,좋아요,재미있었어요재미있었어요,2022.08.29
뮤지컬 〈마타하리〉,5,마타하리 행복해...,마타하리라는 한 여성의 삶이 너무나도 슬펐어요,2022.08.29
뮤지컬 〈마타하리〉,5,옥타하리,옥타하리를 볼수있어서 좋았어요,2022.08.28
