musical_title,rate,review_title,review_text,review_date
뮤지컬 〈마틸다〉,5,여윽시.. 마틸다 ㅠ 탄탄한 스토리 + 아역배우 연기천재,남자친구랑 진짜 3시간가까이 엄마미소를 띄우면서 봤어요ㅠㅠ 세상에 어쩜 아역들이 이리 깜찍뽀쨕하면서 연기까지 잘하죠? 계속 내가 저 배우들엄마라면 얼마나 뿌듯할까 얼마나고생했을까 생각하면서 감정이입이되서 눈물이자꾸 나려고하더라고요 ㅠ 어른이되면 넘버부를때는 진짜 눈물이 나서 참느라 혼났어요 ㅠㅠ 주인공을 포함 모든 아역배우 하나하나가 다 주인공이였고 어른들보다 훨씬 발음도 좋고  잘들리고 연기도 뒤지지않았어요 ㅠㅠ 최재림배우님은..말할것도없어요.. 존재감 자체만으로 그냥 압도하고 그냥 최재림배우님은 평생따라다닐거여요 ㅠㅠ~  아역배우님들 정말 최고 박수 오만번 보냅니다. 감동+재미 모두를 갖춘 마틸다 ㅠ 최고~,2022.10.31
뮤지컬 〈마틸다〉,5,많은 생각을 하게하는 작품,최재림 배우님 보려 가벼운 마음으로 보러갔다가  많을 생각이 드는 작품이었어요~,2023.04.10
뮤지컬 〈마틸다〉,5,보고 싶어요,너무 궁금하네요,2023.03.28
뮤지컬 〈마틸다〉,5,너무 대단했던 모든 마틸다 배우님들,한분한분 너무 멋있고 대단하다는 생각밖에 안들었어요 노래도 좋고 역시 뮤지컬은 신시...!!볼거리도 너무 풍성해서 머글 입덕시키기 용으로도 충분할거같아요 저도 마틸다 처음인 뮤린이라 완전 입덕 했습니다 장지후배우님 처음 봤는데 너무 잘하세요 요즘 뮤지컬 문짝배우님들 왜이렇게 잘하시는거죠 정말!!!! 그리고 걱정많이 했는데 어린이관객분들도 가만히 오래 앉아있기 힘들었을 텐데 최대한 움직이지 않으려고 꼼지락 노력하시는게 귀엽고 정말정말 감사했습니다,2023.03.25
뮤지컬 〈마틸다〉,5,너무너무 괜찮은 공연!!!,"제주에서 오랫만에 서울에 딸아이랑 여행간김에 예약했었어요^^ 영화와 넷플릭스, 책을 모두 본 팬으로 너무 즐겁게 봤고, 트런치불 선생님이 퇴장하시는 통로쪽 우측 앞좌석이어서 아이가 씩씩대며 이동하시는 선생님의 발걸음에.. 함께 흥분을 감추지 못하며 공연을 관람했어요 :)어린이 배우들의 공연도 너무 훌륭했고 관람객들의 매너도 좋았습니다. 밤늦게 호텔로 돌아가면서 아이의 끊이지 않던 이야기들로 제가 더 행복하던 하루였다는요~*참, 얼마전 한라산 어승생악으로 등산을 가려고 등산회를 신고있는데...“엄마! 그 신발 트런치불 선생님 신발같은데...” 해서 빵 터졌답니다. ㅋㅋㅋㅋㅋㅋ 요녀석~~ 하고 승모근과 등근육을 키워 부풀려 볼까요^^",2023.03.24
뮤지컬 〈마틸다〉,5,어린이가 아닌 어른이를 움직이는 뮤지컬,오랜만에 어머니를 모시고 그동안 보고싶었던 마틸다를 보게되었습니다유튜브에서 넘버영상을 볼때는 단순히 마틸다를 맡은 아역배우님이 너무 잘한다 라는 생각으로 보았는데직접 보게 되었을때는 어릴 적 마음이 생각이 났고 2막이 시작할때는 괜히 울컥한 느낌이 들 정도였습니다그 순수했던 마음은 다 어디갔을까 난 어른이 되면 뭘 하고 싶었을까 하는 기분이 들고 공연이 끝날때는 뭔가 홀가분한 느낌 또한 들었습니다어릴 적 마음을 잃지 않고 하고싶은 걸 다시 차근차근 정리해볼까 합니다,2023.03.21
뮤지컬 〈마틸다〉,4,재미있었어요,좌석이 귀퉁이 끝자락이여서 안쪽무대가 안보여서 아쉬웠지만 연기자분들 연기도 멋있고 스토리도 재미있었어요,2023.03.21
뮤지컬 〈마틸다〉,4,너무 보고싶어요,너무 보고싶어요,2023.03.20
뮤지컬 〈마틸다〉,4,아이들의 연기에 감탄,아이들의 연기에 감탄했어요,2023.03.19
뮤지컬 〈마틸다〉,5,구더기들아,다시 돌아와줘,2023.03.14
뮤지컬 〈마틸다〉,5,최고의 공연이었습니다 ,최고의 공연이었습니다,2023.03.13
뮤지컬 〈마틸다〉,5,재밌어요,재밌어요,2023.03.13
뮤지컬 〈마틸다〉,5,마틸다,마틸다마틸다,2023.03.13
뮤지컬 〈마틸다〉,5,재밌어요 ,재밌어요,2023.03.13
뮤지컬 〈마틸다〉,5,박제 해주세요,박제박제,2023.03.13
뮤지컬 〈마틸다〉,5,기대 이상의 퀄리티!,아이들은 지금까지 보았던 뮤지컬 중 최고였다고 하였고  어른 역시 집중의 끈이 놓이지 않았던 뮤지컬이었습니다. 연기자 어린이들의 열정과 즐기는 모습 등 많은 부분에서 감동이었습니다.,2023.03.12
뮤지컬 〈마틸다〉,5,여윽시.. 마틸다 ㅠ 탄탄한 스토리 + 아역배우 연기천재,남자친구랑 진짜 3시간가까이 엄마미소를 띄우면서 봤어요ㅠㅠ 세상에 어쩜 아역들이 이리 깜찍뽀쨕하면서 연기까지 잘하죠? 계속 내가 저 배우들엄마라면 얼마나 뿌듯할까 얼마나고생했을까 생각하면서 감정이입이되서 눈물이자꾸 나려고하더라고요 ㅠ 어른이되면 넘버부를때는 진짜 눈물이 나서 참느라 혼났어요 ㅠㅠ 주인공을 포함 모든 아역배우 하나하나가 다 주인공이였고 어른들보다 훨씬 발음도 좋고  잘들리고 연기도 뒤지지않았어요 ㅠㅠ 최재림배우님은..말할것도없어요.. 존재감 자체만으로 그냥 압도하고 그냥 최재림배우님은 평생따라다닐거여요 ㅠㅠ~  아역배우님들 정말 최고 박수 오만번 보냅니다. 감동+재미 모두를 갖춘 마틸다 ㅠ 최고~,2022.10.31
