musical_title,rate,review_title,review_text,review_date
뮤지컬 〈미세스 다웃파이어〉,5,재밌었습니다,배우님들 최고 ㅠㅠㅠㅠㅠ,2022.12.19
뮤지컬 〈미세스 다웃파이어〉,5,굿,미다파 안녕,2022.12.07
뮤지컬 〈미세스 다웃파이어〉,4,재미있었어요,어릴적 추억이 생각나 딸과 보러갔는데 아역들도 너므 귀엽고 재미있었습니다. 다만 형과 형의 남편(동성애)부분이 보기 불편했습니다,2022.12.07
뮤지컬 〈미세스 다웃파이어〉,5,재밌게 잘봤어요,연기 다들 잘하시고 꿀잼이에요,2022.12.03
뮤지컬 〈미세스 다웃파이어〉,5,구웃,유쾌하고 가족 4명이서 함께 즐긴 뮤지컬이였어요!,2022.12.02
뮤지컬 〈미세스 다웃파이어〉,5,너무 좋았어요,잘생기면 다오파에요,2022.11.28
뮤지컬 〈미세스 다웃파이어〉,5,미다파 좋아요,진짜 누구보다도 열정이 넘쳤던 미다파,2022.11.28
뮤지컬 〈미세스 다웃파이어〉,3,유쾌한데,마냥 웃기기만 하는 극은 아니었어요. 가족의 의미를 많이 돌아보았네요.,2022.11.28
뮤지컬 〈미세스 다웃파이어〉,5,재공연 해주세요,방학때 해주세요 아이랑 더더  재밌게  각각 캐스트 분들꺼  다 보고 싶습니다,2022.11.26
뮤지컬 〈미세스 다웃파이어〉,5,가지마요 미다웃!!!,3시간 내내 행복하고 따뜻하게 웃을 수 있는 작품! 가족과 연인과 친구와 누구와 함께 봐도 즐거운 작품! 모두가 보고 사랑을 담아가시면 좋겠어요!,2022.11.23
뮤지컬 〈미세스 다웃파이어〉,5,임창정 최고,뮤지컬 무대에 진입한 임창정넘나 사랑스러운 미세스다웃파이어~어떤 역할이든 관객이 무대를 가다리고 있을 준비된 유쾌한 임창정을 만나고 왔음,2022.11.22
뮤지컬 〈미세스 다웃파이어〉,5,재밌어요,좋아요,2022.11.21
뮤지컬 〈미세스 다웃파이어〉,5,^^ ^,^^^,2022.11.21
뮤지컬 〈미세스 다웃파이어〉,5,행복한 가족극,너무 즐겁고 행복해지는 극이었어요꼭 다시 보고 싶습니다,2022.11.21
뮤지컬 〈미세스 다웃파이어〉,5,훌륭한 가족극,너무 즐겁고 행복해지는 극이었어요꼭 다시 보고 싶습니다,2022.11.21
뮤지컬 〈미세스 다웃파이어〉,5,다웃파이어,멋진 번역과 최고의 배우들의 향연,2022.11.21
뮤지컬 〈미세스 다웃파이어〉,4,가족모두 즐거웠던,코로나이후 가족이서 처음본 뮤지컬이었어요즐겁게 잘봤습니다,2022.11.20
뮤지컬 〈미세스 다웃파이어〉,4,재밌었음,근데 점점 후반 개콘느낌났음 조금 아쉬웠지만 100번에 70번은 터짐,2022.11.17
뮤지컬 〈미세스 다웃파이어〉,4,미세스 다웃파이어,재밌게 잘봤어요,2022.11.16
뮤지컬 〈미세스 다웃파이어〉,4,미세스 다웃파이어,재밌게 잘봤어요,2022.11.16
뮤지컬 〈미세스 다웃파이어〉,4,미세스 다웃파이어,재밌게 잘봤어요,2022.11.16
