musical_title,rate,review_title,review_text,review_date
뮤지컬 〈미아 파밀리아〉,5,재밌어요,공연시간 내내 너무 즐겁고 신났습니다!!,2022.12.16
뮤지컬 〈미아 파밀리아〉,5,먀,미아는 캐스팅이 무슨일이죠..? 너무 다들 하나같이 잘하고 잘어율려요..,2022.09.26
뮤지컬 〈미아 파밀리아〉,5,부서진 제4의 벽,커튼콜에서 부서진 제4의 벽ㅇ이 너무 좋았습니다,2022.09.26
뮤지컬 〈미아 파밀리아〉,5,미아파밀리아,꼭 또 보고싶어요!!!,2022.09.23
뮤지컬 〈미아 파밀리아〉,5,미아파밀리아,웰댕으로도 오는데 꼭 또 보고싶어요!!!,2022.09.23
뮤지컬 〈미아 파밀리아〉,5,최고의... 뮤지컬,정말 짱임 또보고싶당,2022.09.23
뮤지컬 〈미아 파밀리아〉,5,재밌어요,자밌어요,2022.09.20
뮤지컬 〈미아 파밀리아〉,5,재밌어요,재밌어요,2022.09.20
뮤지컬 〈미아 파밀리아〉,4,마이패밀리,미아퐈밀리아 감동도 재미도 있는 극,2022.09.19
뮤지컬 〈미아 파밀리아〉,5,너무ㅡ 재미있었습니다,미아 파밀리아 너무 재미있게 잘 보았습니다,2022.09.19
뮤지컬 〈미아 파밀리아〉,5,최고의 뮤지컬 미아 파밀리아!,중계로 먼저 시청했었어서 기대를 많이 하고 갔는데 이번에도 역시 너무 즐거웠네요. 배우분들이 열연해주셔서 더 재미있게 볼 수 있었던 것 같습니다! 웰컴대학로 공연도 하던데 보러가고싶네요!,2022.09.19
뮤지컬 〈미아 파밀리아〉,5,너무너무 재밌게 잘 봤어요 미아파밀리아,웰컴대학로로 돌아오는 공연도 기대하고 있습니다 넘버도 좋고 배우들 케미도 좋은 작품이에요,2022.09.19
뮤지컬 〈미아 파밀리아〉,4,재밌아요,재밌어요,2022.09.19
뮤지컬 〈미아 파밀리아〉,5,재밌아요,재밌어요,2022.09.19
뮤지컬 〈미아 파밀리아〉,5,굿굿^^ 막공 굿,잘 봤어요^^,2022.09.19
뮤지컬 〈미아 파밀리아〉,4,미아파밀리아,재밌어요,2022.09.19
뮤지컬 〈미아 파밀리아〉,5,즐거웟습니다,재밌어요웰댕도꼭볼게요기대돼요,2022.09.19
뮤지컬 〈미아 파밀리아〉,5,내 원픽 뮤지컬,웰댕에서 봐요 배우님들!!,2022.09.19
뮤지컬 〈미아 파밀리아〉,5,미아,미아 파밀리아~,2022.09.19
뮤지컬 〈미아 파밀리아〉,5,매력적인 극,"매력적인 극, 매력적인 배우들과 함께 한 공연이었어요.",2022.09.19
뮤지컬 〈미아 파밀리아〉,5,미아 다시 돌아와ㅠ,얼른 다시 돌아와주세요오오,2022.09.19
뮤지컬 〈미아 파밀리아〉,5,정말 재밌습니다.,이제 마지막이지만.  세 배우님들이 쉴새없이 웃겨주셔서... 간만에 너무 신나는 관극 하고 왔습니다.,2022.09.16
뮤지컬 〈미아 파밀리아〉,5,미아파밀리아,좋아요  넘버가 귀에 맴도는 공연,2022.09.15
뮤지컬 〈미아 파밀리아〉,5,미아 웰댕 빨리 와,왜.. 저는 아포 안 주세요.. 미아 짱... 웰댕 빨리 와,2022.09.14
뮤지컬 〈미아 파밀리아〉,5,최고의 공연이었습니다!!!,최고의 공연이었습니다!!!,2022.09.13
뮤지컬 〈미아 파밀리아〉,4,재미있음요,대본이 있는지 없는지 모르겠지만 여튼간 재미있는 극,2022.09.13
뮤지컬 〈미아 파밀리아〉,5,너무 좋은 극이에요,"처음 봤을 때보다 두번째, 세번째 볼 때 더 좋은 극입니다.",2022.09.13
뮤지컬 〈미아 파밀리아〉,5,미아의 원래 대본이 많이 희미해진거같아요,너무 웃기려고만 하는 거 아닌가....하는 생각이 드는...,2022.09.13
뮤지컬 〈미아 파밀리아〉,5,너무 재밌습니다,n회차 도는 중입니다,2022.09.13
