musical_title,rate,review_title,review_text,review_date
뮤지컬 〈미오 프라텔로〉,5,미오프라텔러,잘가요 바이바이,2022.07.11
뮤지컬 〈미오 프라텔로〉,5,브루클린 브릿지에 내 사랑 두고갈래,브루클린 브릿지에 내 사랑 두고갈래,2022.07.11
뮤지컬 〈미오 프라텔로〉,5,미오 프라텔로,ㅠㅠㅠ 다시 오겠죠,2022.07.04
뮤지컬 〈미오 프라텔로〉,5,추천합니다:),추천합니다:),2022.07.04
뮤지컬 〈미오 프라텔로〉,5,마지막 공연 볼 수 있어서 너무 행복했어요,아폴로니아억서 다시 만나요 ㅠㅠㅠㅜ,2022.07.04
뮤지컬 〈미오 프라텔로〉,5,아무것도 후회하지 않겠다,미아 파밀리아 미아 파밀리아~~~,2022.07.04
뮤지컬 〈미오 프라텔로〉,5,ㅇㅅㅇ,ㅇㅅㅇㅅㅇㅅㅇㅅㅇ,2022.07.04
뮤지컬 〈미오 프라텔로〉,5,노란장미의 꽃말,그것은 너의 의미.,2022.07.04
뮤지컬 〈미오 프라텔로〉,5,미오,친구 잡아줬는데 너어어어어어무 좋대요,2022.07.04
뮤지컬 〈미오 프라텔로〉,5,벌써 그리워요.....,노란 장미 꽃말은 4개라고 4개~,2022.07.04
뮤지컬 〈미오 프라텔로〉,5,최고야 사랑해,돌아와요 얼른...,2022.07.04
뮤지컬 〈미오 프라텔로〉,4,미오..,떼창은 감동적이었지만 이시국 생각하지 않을 수 없네요..,2022.07.04
뮤지컬 〈미오 프라텔로〉,5,잘생겼다!!!!,이승현!!!!!!!! 굿바이-,2022.07.04
뮤지컬 〈미오 프라텔로〉,5,최애페어,최애페어 전관 완성 너무 적었음 회차가 총막때처럼 히트맨에서 콘솔이 한번만을 외면하디 않았더라면 더 완벽했을텐데 아쉽,2022.07.02
뮤지컬 〈미오 프라텔로〉,5,오랜만인 떼창 ㅠㅠㅠㅠ,무인보단 떼창이지 너무 행복했음 본공도 완벽,2022.07.02
뮤지컬 〈미오 프라텔로〉,5,재밌어요,재밌어요,2022.07.02
뮤지컬 〈미오 프라텔로〉,5,배우들 최고,삼연에 최석진 치치 꼭 다시 볼수있기를,2022.07.01
뮤지컬 〈미오 프라텔로〉,5,굳,좋아요,2022.07.01
뮤지컬 〈미오 프라텔로〉,5,좋은 공연 감사합니다:),좋은 공연 감사합니다:),2022.07.01
뮤지컬 〈미오 프라텔로〉,5,최고의 공연이었습니다!,최고의 공연이었습니다!,2022.07.01
뮤지컬 〈미오 프라텔로〉,5,이 뮤지컬을 본 기억으로 이번 달도 열심히 살 수 있을 듯,"처음으로 관람후기를 남깁니다. 사실 뮤지컬을 자주 보는 타입도 아니고 어느 공연이 좋은지 어떤 교훈이 있는지도 잘 몰라 관람후기를 적기 조금 민망했거든요...일에 너무 치여서 내가 뭘 하고 있는지, 뭘 하고 싶은지조차 생각할 수 없었을 때 즉흥적으로 봤는데 덕분에 그 기억으로 이번 달도 열심히 버티며 살아갈 수 있을 것 같아요.노란 장미의 꽃말이 관통하는 뮤지컬의 서사도, 센 척 했지만 사실은 사랑받고 싶었던, 그리고 사랑했으나 표현하는 방법조차 미숙했던 등장인물들도, 너무나 행복한 듯 연기하시는 배우분들도 너무 사랑스러웠어요. 그리고 스토리의 흐름에 따라 몰입을 높여주는 조명과 음악도, 그리고 작은 무대에서 서로 다른 분위기를 연출하던 무대세트도, 안내하시는 스태프분들도 각자의 자리에서 얼마나 노력했는지가 느껴졌습니다. 찰나의 순간으로 그 날 하루가 행복해지는 경우가 있는데 저한텐 이 뮤지컬이 그 순간이었어요. 뮤지컬을 만드신 분들도, 보신 분들도 더 행복한 하루를 보내시길 바라요. 공연도 끝났고, 말주변이 없어 글로 후기를 남기려니 너무 부끄럽지만 그래도 아직까지도 너무 행복해서 후기로 남겨보려고 합니다. 이번엔 혼자 봤지만 다음엔 꼭 저희 가족들 다 함께 보러 갈게요. 다음 공연을 설레어 하며 기다리겠습니다. 좋은 하루 보내세요. :)",2022.07.01
뮤지컬 〈미오 프라텔로〉,5,미오 프라텔로,아냐 가지마 영원히 사라지지 마...,2022.06.30
뮤지컬 〈미오 프라텔로〉,4,너무 좋았어요,제가 미오 프라텔로를 이렇게 좋아하는 줄 몰랐어요 ㅠㅠ 어서 다시 돌아오세요 ㅠㅠ,2022.06.29
뮤지컬 〈미오 프라텔로〉,5,마피아시리즈,멀티역할과 시간의 순서가 조금 헷갈릴수 있습니다 그래도 이해하는데는 무리가 없습니다 다음 시즌이 올라온다면 꼭 보시기를 추천합니다,2022.06.29
뮤지컬 〈미오 프라텔로〉,5,재밌어여,미오 또보고싶은 미오!!!,2022.06.28
뮤지컬 〈미오 프라텔로〉,5,미오 존잼,써니보이 다시 돌아와줘!!!!!!!!!,2022.06.28
뮤지컬 〈미오 프라텔로〉,5,좋아요,좋아요,2022.06.28
뮤지컬 〈미오 프라텔로〉,5,초연 막공때 1시간 앵콜했던 기억으로,"수년을 버텼는데 코로나때문에 하지못했던 재연, 삼연에서의 싱어롱을 총막때 많이 불러서 이 기억을 추억삼아 미오를 그리워할것입니다",2022.06.27
뮤지컬 〈미오 프라텔로〉,5,사랑 내 작은 마음인데,사랑...했어 미오,2022.06.27
뮤지컬 〈미오 프라텔로〉,5,꼭 다시 돌아와요,ㅠㅠㅠㅠ 다시 돌아와요~~,2022.06.27
뮤지컬 〈미오 프라텔로〉,5,가지마요,가지마~~~~  ㅠㅠㅠㅠ 노란장미만 덜렁 남겨두고 어딜가냐구요,2022.06.27
뮤지컬 〈미오 프라텔로〉,5,빨리 4연이 다시 왔으면 좋겠어요,많이 그리울것 같습니다..,2022.06.27
뮤지컬 〈미오 프라텔로〉,5,재밌어요,"넘버도 진짜 좋아서 사람 심장 뛰게 하고 스토리에 확 몰입할 수 있게 도와줘요,, 배우님들 연기도 너무 좋아서 진짜 2시간이 휙 지나갔습니다",2022.06.27
뮤지컬 〈미오 프라텔로〉,5,다시 돌아오면 안되나요,"비도 오고 그래서 더 생각나는 극... 빨리 다시 정식 허가증 받아 돌아와요.,.",2022.06.27
뮤지컬 〈미오 프라텔로〉,5,bbbbbb,bbbbbbbb,2022.06.27
뮤지컬 〈미오 프라텔로〉,5,감동,마지막ㅇㅣ다가오능게 너무 아쉬웟습니아,2022.06.27
뮤지컬 〈미오 프라텔로〉,5,다시 와주세요…,다시 와주세요…,2022.06.27
뮤지컬 〈미오 프라텔로〉,5,이제 산타루치아 없어요...,언제 다시 재개장할 수 있을까요 벌써부터 이렇게 그립다니.....보쓰!!!!!! 빨리 돌아와요!,2022.06.27
뮤지컬 〈미오 프라텔로〉,4,기다려요,또보고싶은 뮤지컬,2022.06.27
뮤지컬 〈미오 프라텔로〉,5,최고의 공연,너무 사랑하는 공연입니다 배우님들 넘버 모두 너무 좋았어요,2022.06.27
뮤지컬 〈미오 프라텔로〉,5,떼창,너무 재밌었다!,2022.06.27
뮤지컬 〈미오 프라텔로〉,5,미오디오,맘마미아!,2022.06.27
뮤지컬 〈미오 프라텔로〉,5,재밌어요,재밌게 잘 보고 있습니다,2022.06.27
뮤지컬 〈미오 프라텔로〉,5,사랑하는....,노오오댚~ 오늘은 공연일이 많이 바쁜가봐요.  내일은 꼭 딥디공지 볼 수 있기를~ 혹시 찍은 영상 DVD로 팔아 볼 생각 없나요~ 착하고 귀여운 마피아~ 이름은 관객1!  노댚이 딥디 공지주고 팔아주면 참 좋을텐데~,2022.06.27
뮤지컬 〈미오 프라텔로〉,5,그리운 노란 장미,"써니보이, 치치, 스테파노, 감비노, 스티비, 조지, 루치아노 등 다양한 캐릭터가 극 흐름에 자연스럽게 녹아있는 유쾌한 극이다. 물론 웃음만 있는 것이 아닌 반전도, 슬픔도 있어 극을 볼 때 몸을 맡기며 볼 수 있으며 송스루로 귀도 즐겁다 :)",2022.06.27
뮤지컬 〈미오 프라텔로〉,5,ㅜㅠ 너무 좋아요...,아직도 보내지 못했습니다... 미오디오 맘마미아 미오 프라텔로... ㅠㅠ,2022.06.27
뮤지컬 〈미오 프라텔로〉,5,막주에 잊을 수 없는 기억을 만들어 준 미오,평생 간직할게요 치치 스티비 써니보이 잘 살아 또 만나,2022.06.27
뮤지컬 〈미오 프라텔로〉,5,파파 나에게 말씀하셨지,시실리아의 잔인한 생존 방식,2022.06.27
뮤지컬 〈미오 프라텔로〉,5,석치치 다시 와줘서 고마웠어,또 보고싶을거고 너무너무 그리울거야 라스베거스에선 잘 지내,2022.06.27
뮤지컬 〈미오 프라텔로〉,5,행복한 기억~,벌써 일주일이 지났다니ㅠㅠ 총막 그날을 잊지 못하겠네요~다시 볼수있기를,2022.06.27
뮤지컬 〈미오 프라텔로〉,5,잘 봤습니다.,잘 봤습니다.,2022.06.27
뮤지컬 〈미오 프라텔로〉,5,잘 봤습니다.,잘 봤습니다.,2022.06.27
뮤지컬 〈미오 프라텔로〉,5,잘 봤습니다.,잘 봤습니다.,2022.06.27
뮤지컬 〈미오 프라텔로〉,5,잘 봤습니다.,잘 봤습니다.,2022.06.27
뮤지컬 〈미오 프라텔로〉,5,잘 봤습니다.,잘 봤습니다.,2022.06.27
뮤지컬 〈미오 프라텔로〉,5,잘 봤습니다.,잘 봤습니다.,2022.06.27
뮤지컬 〈미오 프라텔로〉,5,아무것도 후회하지 않겠다,진짜 열심히 봤네 정성일 배우님 너무 최고시고 차기작 주세요,2022.06.27
뮤지컬 〈미오 프라텔로〉,5,재밌어요,재밌어요,2022.06.27
뮤지컬 〈미오 프라텔로〉,5,ㅠㅠ얼른 다시 돌아오면 좋겠어요,마지막까지 너무 재미있게봐서 좋았습니다. 3연 멤버 그대로 다들 4연에서 보고싶어요 ㅠㅠ,2022.06.27
뮤지컬 〈미오 프라텔로〉,5,재밌어요,강추합니다,2022.06.27
뮤지컬 〈미오 프라텔로〉,5,재밌어요,강추합니다,2022.06.27
뮤지컬 〈미오 프라텔로〉,5,마이 브라더,마이 원앤온리ㅠㅠㅠㅠㅠ,2022.06.27
뮤지컬 〈미오 프라텔로〉,5,김대현 최호승 김이담... 그것이 미오니까,하 최고의 페어 마음으로 와닿는 다정페어 ㅠㅠㅠㅠㅠㅠ 사랑해요......,2022.06.27
뮤지컬 〈미오 프라텔로〉,5,미오 갓극,누구든 치치를 건드리는 놈은 죽여버린다 악,2022.06.27
뮤지컬 〈미오 프라텔로〉,5,미오가 갔어요 ㅠㅠㅠ,"아 ㅠㅠㅠ 미오가 갔습니다 ㅠㅠㅠ 너무 허전해요 ㅠㅠ 제발 금방 다시 찾아와주세요 제발요 ㅠㅠㅠ 써니보이 치치 스티비 잊지 못할거에여! 정말 행복 했습니다 ,,, 그 행복이 금방 오겠지요? 노란장미의 꽃말은 네개라고 네개 라고 하는 치치가 보고 싶고 내 형제를 건드리면 죽여버린다고 하는 써니보이도 보고 싶고 내 사랑 두고 갈래 라고 하는 스티비도 너무 너무 보고 싶네요~~ 넘 행복했어요~~!!! 배우님들 그대로 다시 와주세요",2022.06.27
뮤지컬 〈미오 프라텔로〉,5,^^,미오 막공이 얼마남지않아서 너무너무 아쉬워요 ㅠㅠ 넘버도 너무 좋고 배우님들 연기도 너무 좋아요  조만간 한번더 보러가야갰어요ㅎㅎㅎ,2022.06.27
뮤지컬 〈미오 프라텔로〉,5,좋아요,뮤지컬 미오프라텔로 너무너무 재미있네요 넘버도 좋고 배우님들 연기도 너무 좋네요  페어별로 느낌도 다 달라서 보는재미가 있어요,2022.06.27
뮤지컬 〈미오 프라텔로〉,4,미오디오옹마맘마미야,너무너무행복햇어요유ㅠㅠㅠ 늦지 않게 다시 돌아와주세료ㅠㅠㅠㅠㅜ 호승스티비 최고ㅠㅠㅠㅜ,2022.06.27
