musical_title,rate,review_title,review_text,review_date
뮤지컬 〈배니싱〉,5,추천합니다,굿굿굿,2023.01.04
뮤지컬 〈배니싱〉,5,대존잼,하 너무 재밌다. 이렇게까지 재밌어도 되는걸까,2022.12.19
뮤지컬 〈배니싱〉,5,최고의 작품,진짜 재밌어요,2022.12.12
뮤지컬 〈배니싱〉,4,타인의 이해를 말하는 극,타인을 온전히 이해하기 위해선 그와 같은 존재가 되어야 한다는 게 슬프네요,2022.12.12
뮤지컬 〈배니싱〉,5,좋아요...,그냥 미쳤어요... 줄거리가 막 신선한건 아니지만 클리셰가 재밌는 이유 아니겠나요... 폐가에서 벗어나지 못한지 벌써 한달째...,2022.12.07
뮤지컬 〈배니싱〉,5,주민진 최고,인생 첫 회전극 배니싱과 함께라 좋았습니다,2022.12.07
뮤지컬 〈배니싱〉,5,노?윤 짱,아기명창 아기깜고 노래노윤,2022.12.06
뮤지컬 〈배니싱〉,5,재밌엇어용,재밌엇어요 역시 배우님들의 연기가 짱..,2022.12.05
뮤지컬 〈배니싱〉,5,재미있었어요,넘버가 좋고 연기도 인상깊었어요,2022.12.05
뮤지컬 〈배니싱〉,5,근사한 공연,넘버도 연기도 너무 좋은 공연이었습니다,2022.12.05
뮤지컬 〈배니싱〉,5,재밌어요,재미있게뵜습니다,2022.12.05
뮤지컬 〈배니싱〉,5,좋은 공연입니다 ,좋은 공연입니다 재미있어요 감동이에요 추천합니다 강추합니다 강추,2022.12.05
뮤지컬 〈배니싱〉,5,ㅠㅠ,ㅠㅠㅠㅠ,2022.12.03
뮤지컬 〈배니싱〉,5,압도적이예요.,"사실 큰 기대없이 간 작품인데 눈호강, 귀호강 제대로 하고 왔네요.",2022.11.30
뮤지컬 〈배니싱〉,5,배니싱 돌아와,쾅쾅쾅,2022.11.28
뮤지컬 〈배니싱〉,5,짱,진짜 짱,2022.11.28
뮤지컬 〈배니싱〉,5,재밌어요,끝나서 아쉬워요,2022.11.28
뮤지컬 〈배니싱〉,5,재미있어요,즐거운 관람이였습니다,2022.11.28
뮤지컬 〈배니싱〉,5,너무 좋았엉ㅅ,너무 재미있었숩니다,2022.11.28
뮤지컬 〈배니싱〉,5,배니싱,즐거운 관극이었습니다,2022.11.28
뮤지컬 〈배니싱〉,5,배니싱,재밌어요좋어요,2022.11.28
뮤지컬 〈배니싱〉,5,아쉬워요,벌써 끝나서 아쉬워요,2022.11.28
뮤지컬 〈배니싱〉,5,최고입니다!!,최고입니다!!,2022.11.28
뮤지컬 〈배니싱〉,5,배니싱,최고입니다!!,2022.11.28
뮤지컬 〈배니싱〉,5,배니싱...,너무재미있어요,2022.11.28
뮤지컬 〈배니싱〉,5,잘봤습니다!,좋은 공연 잘 봤습니당!,2022.11.28
뮤지컬 〈배니싱〉,5,잘봤습니다,"다음시즌 기다려,,,",2022.11.28
뮤지컬 〈배니싱〉,5,야호,굿굿짱,2022.11.28
뮤지컬 〈배니싱〉,5,배니싱,또보고싶을거야,2022.11.28
뮤지컬 〈배니싱〉,5,안녕 배니싱...,짱짱극이었다........,2022.11.28
뮤지컬 〈배니싱〉,5,이맘때쯤,배니싱이 한참 하던 때가 있었는데..,2022.11.28
뮤지컬 〈배니싱〉,5,겨울인데,왜 배니싱이 없지...?,2022.11.28
뮤지컬 〈배니싱〉,5,케이가 보고싶다,우리 쟈근 검은 귀신 맘마는 먹고 사는지,2022.11.28
뮤지컬 〈배니싱〉,5,최고,사연도 너무나도 좋았던 배니싱 행복했습니다 다들 찰떡같은 캐릭터로 다시 돌아와주고 또 새롭게 들어온 배우들도 그대로 스며들어주어서 보는 내내 레전이었고 행복했어요 막공 캐슷이 변경되기도 하는 아쉬움도 있지만 코로나라는 상황때문에 어쩔 수 없었으니 다 같이 다시 돌아와주세요,2022.11.28
뮤지컬 〈배니싱〉,5,배니싱...,잘봤습니다...,2022.11.28
뮤지컬 〈배니싱〉,5,재밌습니다,재밌습니다,2022.11.28
뮤지컬 〈배니싱〉,5,배니싱 가지마,솔직히 이날 배우들 좀 대사 씹긴 했어도.. 배니싱 너무 재밌어요. 폐가 문닫지 마오....,2022.11.28
뮤지컬 〈배니싱〉,5,왜 막공,배니싱 얼마 안본거 같은데 벌써 막공이라 너무 아쉬워요 얼른 다시 돌아오세요!,2022.11.28
뮤지컬 〈배니싱〉,5,재밌어요,재밌습니다,2022.11.28
뮤지컬 〈배니싱〉,4,이제 실황 주세요...,딥디도 주고 중계도 주고 오슷도 주고... 암튼 줄 수 있는 건 빨리 다 주세요...,2022.11.28
뮤지컬 〈배니싱〉,5,배니싱,배우들의 가창력이 매우 뛰어나 듣는 재미가 있었다.,2022.11.27
뮤지컬 〈배니싱〉,5,엥,딴건 다 만료됐는데 이게왜,2022.11.27
뮤지컬 〈배니싱〉,5,다시올려~,너무 재밌었어요,2022.11.25
뮤지컬 〈배니싱〉,5,슬퍼용,막공이라니 ㅠ,2022.11.25
뮤지컬 〈배니싱〉,5,흥미진진자라,"흥미로운 스토리와 연출, 배우들의 넘버, 연기 모두 굿굿",2022.11.25
뮤지컬 〈배니싱〉,4,의신이나 K이가 여성으로 젠더프리극이 되면 어떨까 기대가 되네요,사실 명렬이도 가능할 것 같은데 성별을 바꿔보면 또 다른 매력이 있을 것 같네요,2022.11.25
뮤지컬 〈배니싱〉,5,공연 막바지에서야 보게 된 것이 아쉽네요,좀 더 일찍이 봤다면 더 봤을텐데 잘 봤습니다,2022.11.25
뮤지컬 〈배니싱〉,5,좋은 페어였어요,마티네임에도 객석이 가득찬 이유를 알겠네요,2022.11.25
뮤지컬 〈배니싱〉,5,최고의 극입니다,최고의 극입니다,2022.11.24
뮤지컬 〈배니싱〉,5,최고의 극입니다,최고의 극입니다,2022.11.24
뮤지컬 〈배니싱〉,5,이제야 쓰는 후기,배니싱... 진짜 인기 너무 많아서 치열했습니다.......... 배니띵 짱... 화이띵! 일단...케이가 너무너무 잘했고... 의신이도 너무 좋았고.. 진짜 마지막 엔딩이 정말...키야,2022.11.24
뮤지컬 〈배니싱〉,5,드디어 배니싱 자첫,폐가에 드디어 왔다....근데 막공 쯤이었고 입장도 힘들어서 1층 맨 뒤에서 관전했다 넘버가 좋았다 행복해라 얘들아 근데 너네가 사람 죽인 건 맞ㅈ......,2022.11.23
뮤지컬 〈배니싱〉,5,배니싱... 다시 돌아와주라,뉴캐 경력직 할 거 없이 너무 잘했고 잘하고 행복했던 배니싱 사연...... 다시... 돌아와줄수있겠니.............,2022.11.23
뮤지컬 〈배니싱〉,5,배니싱,리프라이즈 정말 안울수가 없어요ㅠㅠ 케이야 행복해라ㅠㅠ,2022.11.23
뮤지컬 〈배니싱〉,5,또 보고싶어요ㅠㅠ,표가 없고 극도없고ㅠㅠㅠㅠㅠㅠ 라이브현장에서 듣는 피아노 선율!! 바이올린 선율!! 그리고 배우님들의 애드립ㅠㅠㅠㅠㅠㅠ 너무 그리워요ㅠㅠㅠ늘 생각하지만 좌석이 넘 불편해요.. 괜찮아요... 스쿼드자세에서 극 봐라해도 불만없어요... 또 와주세요..제발...,2022.11.23
뮤지컬 〈배니싱〉,5,폐가로 돌아와 어서,배니싱ㅠㅠ돌아와요 돌아와주세요 폐가에서 나 계속 기다려요ㅠㅠㅠㅠ배니싱ㅠㅠ돌아와요 돌아와주세요 폐가에서 나 계속 기다려요ㅠㅠㅠㅠ,2022.11.22
뮤지컬 〈배니싱〉,5,케이의신명렬♡♡♡,케이의신명렬♡♡배니싱ㅠㅠ돌아와요 돌아와주세요 폐가에서 나 계속 기다려요ㅠㅠㅠㅠ배니싱ㅠㅠ돌아와요 돌아와주세요 폐가에서 나 계속 기다려요ㅠㅠㅠㅠ,2022.11.22
뮤지컬 〈배니싱〉,5,배니싱 재미있어요,이것도 갓극입니다배니싱ㅠㅠ돌아와요 돌아와주세요 폐가에서 나 계속 기다려요ㅠㅠㅠㅠ배니싱ㅠㅠ돌아와요 돌아와주세요 폐가에서 나 계속 기다려요ㅠㅠㅠㅠ,2022.11.22
뮤지컬 〈배니싱〉,5,진짜 폐가 너무좋아요,힝 배니싱ㅠㅠ돌아와요 돌아와주세요 폐가에서 나 계속 기다려요ㅠㅠㅠㅠ배니싱ㅠㅠ돌아와요 돌아와주세요 폐가에서 나 계속 기다려요ㅠㅠㅠㅠ,2022.11.22
뮤지컬 〈배니싱〉,5,배니싱ㅠㅠ,배니싱ㅠㅠ돌아와요 돌아와주세요 폐가에서 나 계속 기다려요ㅠㅠㅠㅠ배니싱ㅠㅠ돌아와요 돌아와주세요 폐가에서 나 계속 기다려요ㅠㅠㅠㅠ,2022.11.22
뮤지컬 〈배니싱〉,5,배니싱ㅠㅠ돌아와요,배니싱ㅠㅠ돌아와요 돌아와주세요 폐가에서 나 계속 기다려요ㅠㅠㅠㅠ배니싱ㅠㅠ돌아와요 돌아와주세요 폐가에서 나 계속 기다려요ㅠㅠㅠㅠ,2022.11.22
뮤지컬 〈배니싱〉,5,돌아와..,꼭 손잡고 돌아오세요,2022.11.22
뮤지컬 〈배니싱〉,5,날 이해하겠다고 했잖아,도라와..... 노윤 케이...... 내가 이해해........ 지식은 별로 없지만 연구는 대충 할수있어.......... 내가 마실것도 구해다 줄게..... 물론 알아서 잘 구해다 마시겠지만 암튼 돌아와줘......,2022.11.22
뮤지컬 〈배니싱〉,5,배니싱,윤규 페어막 가지마ㅠㅠ가지말라고ㅠ,2022.11.21
뮤지컬 〈배니싱〉,5,배니싱,윤규 세미막 가지마ㅠㅠ,2022.11.21
뮤지컬 〈배니싱〉,5,배니싱,안녕 배니싱,2022.11.21
뮤지컬 〈배니싱〉,5,재밌어요,좋아요,2022.11.21
뮤지컬 〈배니싱〉,5,나는 그 폐가에 있어...,내년에도 볼 수 있었으면 좋겠어요,2022.11.21
뮤지컬 〈배니싱〉,5,ㅠㅠ막공 아쉽ㅠㅠ,막공이 너무 아쉽네요ㅠㅠㅠㅠㅠㅠ금방 돌아왔음 좋겠어요,2022.11.21
뮤지컬 〈배니싱〉,5,좋아요,주민진 짱,2022.11.21
뮤지컬 〈배니싱〉,5,좋아요,주민진 짱,2022.11.21
뮤지컬 〈배니싱〉,5,좋아요,좋은 극,2022.11.21
뮤지컬 〈배니싱〉,5,좋아요,좋은 극,2022.11.21
뮤지컬 〈배니싱〉,5,재밌어요 진짜,극이 재밌고 배우들도 다들 진짜 잘해요. 연기랑 노래 다 잘하고 그리고 극 자체도 재밌어요,2022.11.21
뮤지컬 〈배니싱〉,5,재미있어요!,윱정훈 안녕 ㅜㅠㅠㅠㅠ,2022.11.21
뮤지컬 〈배니싱〉,5,뮤지컬 〈배니싱〉,뮤지컬 〈배니싱〉,2022.11.21
뮤지컬 〈배니싱〉,5,뮤지컬 〈배니싱〉,뮤지컬 〈배니싱〉,2022.11.21
뮤지컬 〈배니싱〉,5,배니싱,재미있고 넘버가 좋아요,2022.11.21
뮤지컬 〈배니싱〉,5,재미잇어요,몰입해서봣네요,2022.11.21
뮤지컬 〈배니싱〉,5,재밌어요,뒤늦게 본게 아쉽습니다..,2022.11.21
뮤지컬 〈배니싱〉,5,배니싱,처음 보러갔는데 너무 재미있었어요!,2022.11.21
뮤지컬 〈배니싱〉,4,재밌어요,막공이 다가오니까 더 재밌게 봤어요 끝나서 아쉽네요,2022.11.21
뮤지컬 〈배니싱〉,5,재밌어요,재밌어요,2022.11.21
