musical_title,rate,review_title,review_text,review_date
뮤지컬 〈베토벤; Beethoven Secret〉,5,추천합니다,추천합니다,2023.05.08
뮤지컬 〈베토벤; Beethoven Secret〉,5,추천합니다,추천합니다,2023.05.08
뮤지컬 〈베토벤; Beethoven Secret〉,5,은토벤짱,얼굴과 목소리가 서사다.,2023.05.04
뮤지컬 〈베토벤; Beethoven Secret〉,5,좋아요,좋아요,2023.04.24
뮤지컬 〈베토벤; Beethoven Secret〉,4,애들이랑 봤어요,첨보는 박효신님 멋졨어요,2023.04.22
뮤지컬 〈베토벤; Beethoven Secret〉,5,갓효신,갓효신 갓효신,2023.04.18
뮤지컬 〈베토벤; Beethoven Secret〉,5,갓효신은 최고,스토리는 보통이었네,2023.04.18
뮤지컬 〈베토벤; Beethoven Secret〉,5,스토리는 보통 갓효신은 레전드,"스토리 : 보통스케일 : 이엠케 다움, 최고갓효신 : 레전드",2023.04.18
뮤지컬 〈베토벤; Beethoven Secret〉,5,갓효신,역시나 갓효신 !,2023.04.18
뮤지컬 〈베토벤; Beethoven Secret〉,5,박효신에게 주는 별 5개,역시 대장은 레전드에 레전드 스토리는 그냥 보통 무대 스케일은 이엠케 답게 아주 좋음,2023.04.18
뮤지컬 〈베토벤; Beethoven Secret〉,5,굿,굿입니다,2023.04.17
뮤지컬 〈베토벤; Beethoven Secret〉,3,갓효신의 베토벤,"진부한 스토리라인과 넘버에 실망했지만, 1막 끝 나의 운명에서 실망스러움을 없애버릴만한 무대를 보여줬습니다. 대체로 연출은 훌륭, 넘버 지루, 스토리라인 별로 라고 생각하지만, 배우들의 실력과 연출은 넘사였다고 생각합니다.",2023.04.13
뮤지컬 〈베토벤; Beethoven Secret〉,4,박효신의베토벤,박효신 만의 베토벤~ 그의 노래가지금도 들리는 듯 하다.,2023.04.13
뮤지컬 〈베토벤; Beethoven Secret〉,4,베토벤 후기,나름 재미있고 배우분들이 잘하셨습니다!,2023.04.13
뮤지컬 〈베토벤; Beethoven Secret〉,5,카토벤....,시간때문에 못갔네요ㅠㅠㅠ진짜 보고싶었는데ㅠㅠ,2023.04.12
뮤지컬 〈베토벤; Beethoven Secret〉,5,뮤지컬 〈베토벤; Beethoven Secret〉,뮤지컬 〈베토벤; Beethoven Secret〉뮤지컬 〈베토벤; Beethoven Secret〉,2023.04.11
뮤지컬 〈베토벤; Beethoven Secret〉,5,말해뭐하나요,보세요 보세요 보세요.왜안봐요??,2023.04.11
뮤지컬 〈베토벤; Beethoven Secret〉,4,셈막의 묘미,예당 막공 전 셈막 커튼콜 에드립~와우,2023.04.10
뮤지컬 〈베토벤; Beethoven Secret〉,5,박은태 배우님 최고입니다!!!!,항상 응원합니다 :)!!!!!,2023.04.10
뮤지컬 〈베토벤; Beethoven Secret〉,5,재밌어요 ,재밌어요,2023.04.10
뮤지컬 〈베토벤; Beethoven Secret〉,4,베토벤!,정말 행복한 하루를 만들어줬네요 감사합니다!!! 카이님 최고...,2023.04.10
뮤지컬 〈베토벤; Beethoven Secret〉,5,감사해요,최고의 공연ㅜㅜ 감사해요 시즌2도 기대♡,2023.04.10
뮤지컬 〈베토벤; Beethoven Secret〉,1,내 최애 배우가 있는데도,너무 듣기 힘들고 졸렸습니다.. 1막은 어찌어찌 괜찮다 쳐도 2막이 너무 정신없고 졸렸습니다ㅜㅜ 돈이 너무 아까웠어요,2023.04.09
뮤지컬 〈베토벤; Beethoven Secret〉,5,회전문은..,"공연 전체가 프리뷰였던 것이었던 것이었습니다. 그래서 회전문을 돌던것이었을까요?베토벤 시크릿이라 신선했던 소재와 베토밴 역할을 맡은 세 배우의 매력을 느낄 수 있을거라 생각했는데, 이건 모든 배우들의 영혼을 갈아넣은 공연이라고 생각이 바뀌었습니다.소품조차도 영혼을 담아 소리내고 있네요.시즌2 뭐지.....분명 멋진 공연이고 숨겨진 사랑이야기에 가슴한켠이 몽글몽글해지는데, 그걸...시즌2  뭐지.....",2023.04.09
뮤지컬 〈베토벤; Beethoven Secret〉,5,음악의 혼련들,연출 가히 압권입니다  배우님들이 정말 드라마틱하게 살려주어서 너무 즐거웠습니다,2023.04.07
뮤지컬 〈베토벤; Beethoven Secret〉,3,박효신 가창력 빼곤 ,아무것도 없었다..,2023.04.06
뮤지컬 〈베토벤; Beethoven Secret〉,5,? ,너무 행복했어요 중말 ~?~?,2023.04.06
뮤지컬 〈베토벤; Beethoven Secret〉,5,뭐라 말하리오,모든게 다 완벽했습니다~ 웅장!!! 힐링했습니다! 나에게 주는 선물~,2023.04.05
뮤지컬 〈베토벤; Beethoven Secret〉,5,눈호강 귀호강,익숙한 멜로디와 탄탄한 배우들 그리고 귀호강 눈호강까지 힐링 그잡채~,2023.04.05
뮤지컬 〈베토벤; Beethoven Secret〉,3,음…,박은태 배우님과 윤공주님 연기 너무 훌륭했습니다 그런데 왠지 모르게 1막이 너무 …지루하더군요ㅠㅠ….,2023.04.05
뮤지컬 〈베토벤; Beethoven Secret〉,4,굳 ㅋ,"잘봤읍니다,,,,,",2023.04.05
뮤지컬 〈베토벤; Beethoven Secret〉,2,그냥저냥,시즌2 기대할게요,2023.04.05
뮤지컬 〈베토벤; Beethoven Secret〉,5,카토벤은 진짜 베토벤환생이다..,진짜 너무 멋졌어요..캐릭터 분석도 뚸어나고 사이사이 서사도 너무 재미있었어요..특히 지휘할때 그 아우라.. 너무 멋졌어요..카이라는 배우가 아닌 베토벤이란 인물을 보고 온 기분이였어요..,2023.04.05
뮤지컬 〈베토벤; Beethoven Secret〉,3,쿄토벤,명불허전 쿄토벤,2023.04.03
뮤지컬 〈베토벤; Beethoven Secret〉,2,배우 하드캐리,배우님 최고입니다,2023.04.03
뮤지컬 〈베토벤; Beethoven Secret〉,4,잘 봤습니다,잘 봤습니다,2023.04.03
뮤지컬 〈베토벤; Beethoven Secret〉,4,배우님들 감사합니다,열심히 연기해주시는 배우님들 감사합니다,2023.04.03
뮤지컬 〈베토벤; Beethoven Secret〉,4,많이 다듬어진...하지만 여전히 아쉬운...,첫 공연을 보러갔을때보단 많이 좋아졌지만 여전히 아쉬운건 역시 베토벤의 천재성이 표현되는게 적기때문이지 않을까요 베토벤의 사랑을 보는거도 좋지만  왜 우리가 베토벤의 사랑을 보고싶게 하는지는 베토벤의 위대함에서 비롯된다고 생각하거든요,2023.04.03
뮤지컬 〈베토벤; Beethoven Secret〉,5,짱잼,추천합니다 재밌어요오오옹,2023.04.03
뮤지컬 〈베토벤; Beethoven Secret〉,2,시즌투 잘 만들어주세요…,본진 있으니께…,2023.04.03
