musical_title,rate,review_title,review_text,review_date
뮤지컬 〈브론테〉,5,브론테의 피가 시키는대로,"세 자매의 우정, 연대, 질투, 사랑 등 많은 이야기를 담고 있습니다. 초연이지만 높은 완성도의 공연으로 재관람의사 50000%로 공연장을 나왔습니다.",2022.12.22
뮤지컬 〈브론테〉,5,써내려가,너를 뭐라고 부르면 좋을까,2022.12.05
뮤지컬 〈브론테〉,4,다시 보고 싶은 브론테,넘버도 너무 좋았구 배우들도 너무 잘해서 매회차만족했던 극이였어요!!,2022.11.28
뮤지컬 〈브론테〉,5,너무 늦게 알아서 아쉬운 극,이 극을 너무 늦게 알아서 처음에는 사이드에서 봤는데 이아름솔님 목소리에 반해서 두번째는 맨뒤라도 표를 구해서 봤어요.역시나 두번봐도 멋져. 브론테 자매들 찢겨진페이지처럼 넘버 너무 좋아요.돌아오면 또 볼꺼에요.,2022.11.28
뮤지컬 〈브론테〉,5,브론테,브론테 재연 올 때가 된 것 같다천둥 브론테 자매들 어디서 보죠매번 볼 때마다 엄청 울고 웃게 되는 극자유극장만 아니라면 더 많이 볼 수 있었을텐데..,2022.11.28
뮤지컬 〈브론테〉,5,조아요,조아써요,2022.11.28
뮤지컬 〈브론테〉,3,생각보다는,지루했어요. 넘버가 좋았고 여성 서사인 점은 좋았지만 전반적으로는 조금… 멜로디는 계속 맴도네요.,2022.11.28
뮤지컬 〈브론테〉,5,좋아요,좋습니다ㅜㅜ,2022.11.28
뮤지컬 〈브론테〉,5,브론테...,최고의 관극...,2022.11.28
뮤지컬 〈브론테〉,5,브론테와 같은 극이 더 많이 올라왔으면 좋겠어요.,훌륭한 배우들과 좋은 넘버에 정말 잘 보고 나왔습니다. 브론테와 같이 여성 서사를 잘 다룬 극이 많이 올라왔으면 좋겠어요.,2022.11.28
뮤지컬 〈브론테〉,5,브론테,브론테 재연 빨리 올려주세요`,2022.11.28
뮤지컬 〈브론테〉,5,브론테라는 이름을,많이 사랑하게 됐어요 재연이 빨리 올라오면 좋겠습니다,2022.11.28
뮤지컬 〈브론테〉,5,브롬테,또 줘,2022.11.28
뮤지컬 〈브론테〉,5,브론테,브론테 재연 얼른 올려주세요,2022.11.28
뮤지컬 〈브론테〉,5,이 이야기가 닿기를,누군가에게 닿기를 바라는 이야기가 나에게 너무 맞닿아 느껴지는 전율이 소중했던 순간들,2022.11.28
뮤지컬 〈브론테〉,5,잘보았습니다,잘보았습니다,2022.11.27
뮤지컬 〈브론테〉,5,ㅠ,브론테~~~도라와!!!!!너무 짪았던 공연기간ㅠ,2022.11.26
뮤지컬 〈브론테〉,5,브론테,넘버가 너무 좋아요ㅠㅠㅠ,2022.11.26
뮤지컬 〈브론테〉,5,브론테...,브론테라는 뮤지컬이 있었눈데...재연 왔으면 참 좋겠다...,2022.11.25
뮤지컬 〈브론테〉,5,익숙해지지 않는,브론테에 매료되어 모든 넘버와 내용들이 익숙해졌음에도 불구하고 세 자매의 그 뜨거운 열정과 자매애는 봐도봐도 익숙해지지 않고 매순간 새로운 느낌이었다. 나의 가을을 함께했던 브론테와 행복했던 시간이었다. 배우님들은 말이 필요 없을 정도로 최고였다.,2022.11.25
뮤지컬 〈브론테〉,5,브론테 최고,최고의 배우들과 함께한 브론테 초연 너무 행복했습니다 재연 꼭 돌아와요ㅠㅠㅠ,2022.11.25
뮤지컬 〈브론테〉,5,너무 재밌는 공연,아직도 브론테가 끝났다는게 믿어지지 않아요....  너무나 즐거운 공연 감사합니다.,2022.11.25
뮤지컬 〈브론테〉,5,좋아요,추천해요,2022.11.24
뮤지컬 〈브론테〉,5,브론테가 그립습니다,얼른 재연주세요ㅠㅠ올해 가을은 브론테로 기억될거에요,2022.11.24
뮤지컬 〈브론테〉,5,너무 좋았던 극,벌써 그리워요... 극장 의자가 극악이지만 다시 보라고 해도 백번 볼 수 있어요...,2022.11.24
뮤지컬 〈브론테〉,5,브론테,정말 좋았습니다 배우님들 최고 ... 브론테라는 이름을 사랑하게 됐습니다,2022.11.22
뮤지컬 〈브론테〉,5,벌써 그립다,브론테 세자매가 보고싶어요 재연 빨리 와주세요 ㅜㅜ,2022.11.22
뮤지컬 〈브론테〉,5,벌써 그립네요 왜 브론테 없지?,서둘러 돌아와 브론테 난 아직 여기에 있어....  공연 중에도 참 귀했지만 공연이 끝나고 나니 브론테가 정말 귀한 극이었구나 더 사무치게 느껴지네요,2022.11.22
뮤지컬 〈브론테〉,5,재밌어요,모두 너무 잘하세요,2022.11.22
뮤지컬 〈브론테〉,5,벌써부터 재연이 기다리게 되는 극!,너무 좋았습니다.,2022.11.21
뮤지컬 〈브론테〉,5,배우들이 잘해요,스토리는 그냥 그런데 넘버가 되게 좋고 배우들이 너무너무 잘해요 하나같이 노래도 연기도 너무 잘해요,2022.11.21
뮤지컬 〈브론테〉,4,브론테,재연 얼른 오세용,2022.11.21
뮤지컬 〈브론테〉,5,재미있었어요,보내기 아쉬움 ㅜㅜ,2022.11.21
뮤지컬 〈브론테〉,4,파워풀한 여성 극,넘버가 자꾸 감겨요 ㅜㅜ이아름솔배우님 너무 멋있어요,2022.11.21
뮤지컬 〈브론테〉,5,재밌어요,끝나는게 너무 아쉬워요ㅠ,2022.11.21
뮤지컬 〈브론테〉,5,죽음의 문턱에서 그녀는 현실을 봐,현실을 벗어나려 발버둥 쳤지만,2022.11.21
뮤지컬 〈브론테〉,5,좋아요,좋아요,2022.11.21
뮤지컬 〈브론테〉,5,최고,최고ㅠㅠㅠㅠ,2022.11.21
뮤지컬 〈브론테〉,5,재밌어요,너무재밌어요ㅠㅠㅠㅠ또보고싶아…,2022.11.21
뮤지컬 〈브론테〉,5,재연빨리올려주세요,내일올려주세요,2022.11.21
뮤지컬 〈브론테〉,5,브론테,브론테 자막이었는데 다시 재연으로 올거죠?ㅜㅜ최고의 자매들 다시 꼭 돌아오기를!,2022.11.21
뮤지컬 〈브론테〉,5,정말 멋진 공연이었어요..,하반기에 정말 기대했던 작품이었는데 정말 좋았습니다ㅠㅠㅠㅠ 재연도 언젠가 다시 꼭 오길 바라며 후기 한 줄 남겨봐요....,2022.11.21
뮤지컬 〈브론테〉,5,다시 돌아와.... 난 여기 있어.....,넘버가 정말 좋고 재연도 제발 초연 배우님들 다 같이 왔으면 좋겠습니다ㅠㅠㅠㅠㅠ,2022.11.21
뮤지컬 〈브론테〉,5,역시 인기있는 공연은 재밌어,재밌게 잘 봤습니다,2022.11.21
뮤지컬 〈브론테〉,5,뒤로 갈수록 표 구하기 힘든 인기 공연,입소문 타서 갈수록 표 구하기가 어려웠어요~~,2022.11.21
뮤지컬 〈브론테〉,5,브론테 ,브론테,2022.11.21
뮤지컬 〈브론테〉,5,브론테 ,브론테,2022.11.21
