musical_title,rate,review_title,review_text,review_date
뮤지컬 〈사랑의 불시착〉,5,좋았어요!!,뮤지컬은 일단 넘버가 좋아야한다고 생각하는데 넘버가 너무 좋아서 행복했던 뮤지컬이었습니다. 그리고 배우님들.. 수고하셨어요....... 재연 올거면 더 다듬어서 아니 많이 다듬어서 왔음 좋겠습니다!!,2022.12.13
뮤지컬 〈사랑의 불시착〉,3,아쉬움이 많은 공연,프리뷰 공연 관람하여 부족한 부분이 있었다고 생각하지만 그 외에도 아쉬운 부분이 너무 많이 느껴졌던 공연이었던것 같습니다 ㅠㅠ 재연을 하게된다면 조금더 보완된 공연이었으면 좋겠습니다.,2022.12.12
뮤지컬 〈사랑의 불시착〉,4,막공,전체 배우들 인사가 좋았어요.,2022.12.05
뮤지컬 〈사랑의 불시착〉,5,최고,너무너무 멋있어요 민우혁님 다음에 또 봐요,2022.12.03
뮤지컬 〈사랑의 불시착〉,5,내마음의 사랑의 불시착 ,"가슴 설레이며 딸이랑 친정 엄마 손잡고 봤어요~규형, 하나, 테이, 주희 배우님 페어 막공이라 더 좋았어요",2022.12.03
뮤지컬 〈사랑의 불시착〉,5,드라마를 안봤지만,재미있게 잘 봤어요 두분 연기가 최고였습니다 케미도 좋구요,2022.11.29
뮤지컬 〈사랑의 불시착〉,5,사불,생각보다 유치하지 않았음 잘 봄,2022.11.28
뮤지컬 〈사랑의 불시착〉,5,굳,재밌어요,2022.11.28
뮤지컬 〈사랑의 불시착〉,5,넘  재미있는 공연,드라마로 봤지만 새록새록 기역난 공연,2022.11.28
뮤지컬 〈사랑의 불시착〉,5,재밌어요,재밌어요,2022.11.28
뮤지컬 〈사랑의 불시착〉,5,마지막 ,재밋었어요ㅠㅠ 아쉬워 또 올라나,2022.11.28
뮤지컬 〈사랑의 불시착〉,5,진행속도가 빨라요.,본드라마 안보시면 아리까리 하실 수도 있어요 제가 갔던 공연 캐스트분들  노래가 완전 끝장!! 이예요.,2022.11.26
뮤지컬 〈사랑의 불시착〉,5,뮤지컬 좋습니다,잘봤습니다.,2022.11.25
뮤지컬 〈사랑의 불시착〉,5,선물로 강추,엄마 생신 선물로 예매해드렸는데 많이 좋아하셨어요,2022.11.25
