musical_title,rate,review_title,review_text,review_date
뮤지컬 〈사의찬미 - 10th Anniversary〉,5,사의찬미,정말 최고여라…,2023.01.06
뮤지컬 〈사의찬미 - 10th Anniversary〉,5,비극의 이야기,음악도 좋고 분위기도 좋았습니다,2022.11.10
뮤지컬 〈사의찬미 - 10th Anniversary〉,5,좋아요,강추 짱,2022.11.09
뮤지컬 〈사의찬미 - 10th Anniversary〉,5,담에도 꼭 보고싶어요,배우들도 무대밖의 스탭들도 모두 감사합니다,2022.11.07
뮤지컬 〈사의찬미 - 10th Anniversary〉,5,믿고듣는 사찬,노래들이 너무 좋아요 다들 연기도 잘하심!,2022.11.07
뮤지컬 〈사의찬미 - 10th Anniversary〉,5,짱!!,너무너무 좋았어요ㅠㅠ,2022.11.04
뮤지컬 〈사의찬미 - 10th Anniversary〉,5,아쉽,또 못보니 아쉽네여,2022.11.03
뮤지컬 〈사의찬미 - 10th Anniversary〉,5,사의찬미 너무 재밌어요,십주년 캐스팅 한 번 더 보고싶네요 퓨,2022.11.01
뮤지컬 〈사의찬미 - 10th Anniversary〉,4,사의찬미,첫 댕로극이었는데 너무 재미 있었어요~,2022.10.29
뮤지컬 〈사의찬미 - 10th Anniversary〉,5,난 이대로 못보내오,사찬 돌려주세요ㅠㅠㅠ,2022.10.27
뮤지컬 〈사의찬미 - 10th Anniversary〉,5,연우심덕 먹지깔아,제발요 진짜 최고의 심덕ㅠ,2022.10.24
뮤지컬 〈사의찬미 - 10th Anniversary〉,5,뮤지컬 〈사의찬미> 관람후기,명품넘버들과 배우님들의 열연 굿굿!!,2022.10.24
뮤지컬 〈사의찬미 - 10th Anniversary〉,5,벌써 보고싶어요,언제오나요... 11주년......,2022.10.24
뮤지컬 〈사의찬미 - 10th Anniversary〉,5,문우진ㅠ,다시봐서좋았어요ㅠ,2022.10.24
뮤지컬 〈사의찬미 - 10th Anniversary〉,5,사찬보고싶어요,꽃우진보고싶어요,2022.10.24
