musical_title,rate,review_title,review_text,review_date
뮤지컬 〈아이다〉,5,굳이 말하지 않아도 전문성이 가득한 공연,보지 않아도 경험하지 않아도 그냥 끌리는. 원하는 뮤지컬.  역시나 후회 없는 공연이었습니다. 고맙습니다.  앞으로도 이러한 공연을 일반인들이 경험할 수 있도록 부탁드립니다.,2022.11.28
뮤지컬 〈아이다〉,5,또 보고 싶다 ㅠㅠ,넘버가 계속 맴돌아서 미치겠음... 이제는 더이상 볼 수 없어서 아쉬움 ㅠ,2022.09.07
뮤지컬 〈아이다〉,5,재밌어용,디즈니 다운 연출~,2022.09.06
뮤지컬 〈아이다〉,5,최고..,그랜드 피날레라 꼭 봐야할거같아서 막공으로 봤는데 막공 아니었으면 무조건 회전돌았어요 이거.. 민경아 배우님 왜케 예쁘고 사랑스럽죠.. 너무 잘해요.. 최재림 배우 잘생겨서 당황했슴다..ㅋㅋㅋㅋㅋㅋ,2022.09.02
뮤지컬 〈아이다〉,5,최고의 공연이었습니다,윤공주 아이다 최고,2022.09.01
뮤지컬 〈아이다〉,5,너무 좋았습니다,정말 인상적인 극이었어요 안무가 정말 멋지고 돋보였습니다. 배우님들도 연기며 노래며 정말 다들 훌륭했습니다. 아이다라는 작품을 처음 관람했는데 왜 이제서야 봤을까 싶네요,2022.08.30
뮤지컬 〈아이다〉,4,무대가 멋졌던공연,무대디자인이 너무 멋있더라고요~~^^,2022.08.29
뮤지컬 〈아이다〉,5,아이다,솨우형 최고ㅜㅜ,2022.08.29
뮤지컬 〈아이다〉,5,마지막인게 믿기지 않아요,어떻게 마지막이죠..? 돌아와..,2022.08.28
뮤지컬 〈아이다〉,5,마지막 하지말아주세요,저는 이제 처음 봤어요 말도안돼 이 갓극을,2022.08.27
뮤지컬 〈아이다〉,5,역대급,후회없는아이다ㅜㅜㅜ,2022.08.26
뮤지컬 〈아이다〉,4,재밌었어요,오랜만에 뮤지컬이라 기대가득 안고 보러갔습니다 덥고 비도 왔지만 보러오길 잘했다고 생각했습니다 주연배우님들의 연기와 가창력은 물론이고 특히 앙상블분들의 칼군무가 넘 멋졌어요!!,2022.08.25
