musical_title,rate,review_title,review_text,review_date
뮤지컬 〈엘리자벳〉 10주년 기념공연,5,환상의 공연,초연때 보고 10년만에 찾은 엘리자벳 공연,2023.04.21
뮤지컬 〈엘리자벳〉 10주년 기념공연,5,감동이었습니다.,"오래간만에 뮤지컬을 보러갔습니다.  엘리자벳역의 옥주현을 보면서 정말 감동 받았습니다.  노래, 연기, 의상 등 모두가 정말 멋졌습니다.  그리고, 이지훈이 연기하고 배역도 처음에는 누가 저렇게 잘하는지 몰랐는데  이지훈인 걸 알고 정말 새로운 모습에 너무 멋졌습니다.  공연 정말 재미있게 잘 봤습니다.",2023.02.09
뮤지컬 〈엘리자벳〉 10주년 기념공연,5,김준수의 죽음은 정말...,말이 필요없는 대작 뮤지컬 엘리자벳. 여러번 볼때마다 배우들의 컨디션이 인식되어 마치 함께 호흡하는듯한 느낌이 든다. 2022년 공연에서 더욱 매혹적이었던 배역은 김준수의 죽음. 노민우의 죽음이 신선하고 패기만만한 젊은 죽음이었다면 김준수의 죽음은 기절할듯 노련하고 매혹적인 죽음. 이 두 죽음을 나란히 접한 것만으로도 가치있는 공연이었다.,2023.01.25
뮤지컬 〈엘리자벳〉 10주년 기념공연,5,배우들의 열연,배우들의 열연 관람내내 배우님들의 몰입에 감탄하고 왔어요,2022.12.20
뮤지컬 〈엘리자벳〉 10주년 기념공연,5,"전율!,,!","기대만큼 좋은 작품.배우 연기, 노래 너무 좋았고, 앙상ㅂ,ㄹ 너무 멋졌어요. ㅎㅎ특히, 죽음 앙상블 최괴! ㅎㅎ",2022.12.13
뮤지컬 〈엘리자벳〉 10주년 기념공연,5,넘버가 좋아요,밀크 넘버랑 마지막 춤 넘버가 젤 좋았어요 앙상블 분들 합 엄청 잘 맞아서 칼근무 보는 맛도 있었네요!,2022.12.13
뮤지컬 〈엘리자벳〉 10주년 기념공연,5,죽음은 순애다...,제가봣습니다,2022.12.13
뮤지컬 〈엘리자벳〉 10주년 기념공연,5,엘리자벳,너무 재밌어요,2022.12.12
뮤지컬 〈엘리자벳〉 10주년 기념공연,5,너무 좋았어요,생각보다 너무 잘해요,2022.12.11
뮤지컬 〈엘리자벳〉 10주년 기념공연,5,넘버 정말 최고,엘리자벳의 넘버는 시간이 지나도 귀에 남고 입에서 흥얼 거리게 만드는 힘이 있다. 회전문 돌다 보니 장면과 넘버가 같이 떠오르며 계속 듣고 보고 싶어진다,2022.12.10
뮤지컬 〈엘리자벳〉 10주년 기념공연,5,최고의 뮤지컬 ,너무 멋진 공연을 봤어 지금도 계속 생각이 나는 작품 입니다!,2022.12.09
