musical_title,rate,review_title,review_text,review_date
뮤지컬 ＇영웅＇,5,뮤지컬 (영웅) ??????,뮤지컬 ??영웅??최고의 뮤지컬 작품입니다~^^출연진 모든분들 혼신의 연기를??보여주셔서 정말 감사합니다 ??????????????,2023.05.10
뮤지컬 ＇영웅＇,5,영웅,예전부터 보고싶었던 극인데 역시 너무 멋있고 재밌게봤습니다.,2023.04.19
뮤지컬 ＇영웅＇,5,역시 영웅 ?? ,"최고의 공연, 작품",2023.04.16
뮤지컬 ＇영웅＇,5,너무너무 감동적이었어요,평생 뭐 보면서 눈물흘린 적 없는 ESTJ 남편이 공연보면서 울더라고요ㅎㅎㅎ 초3 아들이랑 너무 즐겁고 가슴 벅차게 관람했습니다!! 열연해주신 배우님들 감사해요 최고최고!!!!,2023.03.27
뮤지컬 ＇영웅＇,5,너무나 멋진 공연이었습니다.,"영화'영웅'에 빠져서 2번보고 멜론으로 음원 듣다가 댓글에 뮤지컬이 더 멋지다는 말에 공연을 보러 왔습니다. 멋지는 글에 혹시나 기대가 너무 커서 실망도 크지 않을까, 걱정했지만 걱정은 걱정이었을 뿐, 시간도 돈 전혀 아까지 않은 공연이었습니다. 그 웅장하고 가슴 뭉클한 감동을 어찌 표현할지 모르겠습니다.정중근님의 멋진 공연이  또 보고 싶어서, 3월31일 또 예매하고 기다리는데 애가 타네요.그러다보니 양중근님과 민중근님 공연도 궁금해져서 두분 공연도 예매했습니다. 멋진 공연, 또 보 고 싶습니다.",2023.03.21
뮤지컬 ＇영웅＇,5,그들은 영웅이었다.,"1. 도마 안중근 열사. 그는 사실 한 어머니의 아들이었고, 신실한 신도였으며, 우직한 친구였다.2. 영화 영웅과는 전혀 다른 호흡이므로, 영화를 먼저 보신 분들은 좀 낯설 수 있어요. 3. 나는 아직도 설희의 역할이 정확하게 무엇인지 이해가지 않는다. 배우의 연기와는 별개로, 설희라는 캐릭터의 위치는 참 애매하다.",2023.03.18
뮤지컬 ＇영웅＇,5,최고의 창작극,한국을 배경으로한 창작극 중 단연 최고라고 생각합니다 특히 정성화배우님 사랑합니다,2023.03.18
뮤지컬 ＇영웅＇,5,너무 좋아요,잘 봤습니다너무 좋아요 또 관람 예정입니다^^,2023.03.16
뮤지컬 ＇영웅＇,5,최고에요!,민중근 너무 잘생겨서 처음엔 몰입이 안됐지만?ㅋㅋ 어느새 저도모르게 마음이 뜨거워지며 몰입했습니다. 음향도 좋았어요. 재정비후 블루스퀘어에서의 공연도 기대하며 기다리고 있겠습니다! 5월까지 부디 모두 건강하게 공연하길 바라겠습니다.,2023.03.16
뮤지컬 ＇영웅＇,5,레전드 of 레전드 뮤지컬 영웅,10년전 학창 시절 3층 맨 끝에서 공연을 봤던 어린 저는 그저 슬픈 공연이라고 생각만 했었는데 지금에 와 다시 보니 울컥함이 가장 먼저 드는 생각 같습니다. 10년 전에도 안중근 열사의 시신이 아직 고국에 돌아오지 못했다는 마지막 장면이 10년이 지난 지금에도 그대로 라는 현실이 믿기지 않기도 하고요.이 공연을 통해 마음에 있는 작은 불씨가 되살아나는 계기가 된거 같습니다.,2023.03.14
뮤지컬 ＇영웅＇,5,정성화 안중근,넘버 좋고요 배우들 앙상블도 좋았고 무대도 좋았고 훌륭했습니다.,2023.03.13
뮤지컬 ＇영웅＇,5,짱짱,블퀘 버전은 어떻게 다를까 기대해봅니다.ㅎ,2023.03.13
뮤지컬 ＇영웅＇,5,민배우님 최고ㅜㅜㅜㅜㅜ,"연기 너무 잘하시구,, 몰입도 너무 잘됐어요.",2023.03.13
뮤지컬 ＇영웅＇,5,현시점 후손들에게 필요한 호국정신,지난 윤석열 대통령이 3.1절기념 발언 후 붉어진 일본은 현재는 파트너라는 발언에 대해 분노를 느끼고 피가 쏟구쳐 오르며 옛날 친일파 청산을 못한게 한이라는 생각이 들며 영화도보고 뮤지컬을 보면서 안중근의사 같은분들이 많아지고 하루빨리 시신이라도 고국으로 모셔왔으면 하는 마음입니다..,2023.03.12
뮤지컬 ＇영웅＇,5,너무 좋았어요!,"전주에서 서울까지 공연만 보러 올라갔는데정말 후회없눈 선택이었어요!올해, 전주에 공연이 있다면 무조건 예매할거에오!",2023.03.11
뮤지컬 ＇영웅＇,5,최고였어요..,선영화 감상 후 뮤지컬을 봤는데요!살짝 다른 부분들도 있었지만 자연스럽게 스토리가 연결되면서 줄거움이 더 배가 되었던것 같아요!다른 배우님들 공연도 보고 싶어요!,2023.03.11
뮤지컬 ＇영웅＇,5,최고였어요..,선영화 감상 후 뮤지컬을 봤는데요!살짝 다른 부분들도 있었지만 자연스럽게 스토리가 연결되면서 줄거움이 더 배가 되었던것 같아요!다른 배우님들 공연도 보고 싶어요!,2023.03.11
뮤지컬 ＇영웅＇,5,또 한번의 감동..,"뮤지컬 ''영웅''은 몇년 전 한번 관람했고 이번에 영화 개봉하면서 다시한번 보고 관람하고 싶어 예매했어요.  예전에는 혼자 봤었는데, 이번엔 가족 다같이 봐서 의미가 더 뜻깊었습니다.   영화도 표현이 잘 되었지만 확실히 뮤지컬에서 느껴지는 감동은 표현할 수 없어요.  생생하게 표현해주시기 때문에 더욱더 눈물이 나는 것 같습니다.  영화에서는 앞의 상황을 조금 더 친절하게 설명해주고 있기 때문에 뮤지컬에서도 그 전 상황을 이해하고 볼 수 있었던 것 같아요.  개인적으로 영화 + 뮤지컬 모두 보는 것을 추천드립니다.   LG 아트센터에서 관람했는데 위치는 제가 사는 곳에서 조금 멀긴 했지만  관람객들의 편의성이나 시야, 소리울림 등도 잘 설계된 것 같아요!  이제 블루스퀘어에서도 만날 수 있어서 좋네요 ㅎㅎ 또한번의 예매를 도전해보겠습니다.   뮤지컬 ''영웅'' 은 제가 아이를 낳고도 계속계속 해주셨으면 합니다.  꼭 제 후손들에게도 보여주고 싶은 작품이에요.  감사합니다.",2023.03.10
뮤지컬 ＇영웅＇,5,국민 뮤지컬,예전부터 유명했지만 아직 관람을 못 해서  영화도 나온김에 꼭 보러가야지라고 생각을 하다 이번에 보러가게 되었습니다 관람 후기는 정말 국민 뮤지컬인 것 같아요 모두가 꼭 관람했으면 좋겠고  마냥 무겁지않은 재미와 퀄리티를 함께 느낄 수 있는 뮤지컬같아요,2023.03.09
뮤지컬 ＇영웅＇,5,감동적인 뮤지컬,''영웅'' 영화를 먼저 보고 너무 감동해서 원작인 뮤지컬을 꼭 봐야겠다고 다짐한 뒤 0엘아센에서 하는 마지막 공연쯤에 관람하러 갔습니다 현장에서 직접 노래와 극을 보니 더욱 감동이 크고 넘버들이 다 좋아요 현장감은 정말 대박입니다. 배우님들의 연기력은 당연히 엄청났고 또한 뮤지컬의 연출도 좋고 무대 장치 활용을 감탄하면서 봤습니다. 덕분에 가족과 좋은 추억을 쌓을 수 있었던 것 같아요 뮤지컬 영웅 앞으로도 더욱 많은 분들이 보았으면 좋겠어요 국민 뮤지컬!,2023.03.09
뮤지컬 ＇영웅＇,5,굿굿.,"어떤 배우로 봐도 다 좋고, 넘버들도 언제 들어도 좋구요..싱어롱 이벤트 너무 좋았구, 양준모 배우님 마곡 막공 무대 인사 함께 해서 좋았구..  다 좋았어요..저도 블루스퀘어 따라 갑니다..^^",2023.03.08
뮤지컬 ＇영웅＇,5,굿,블퀘에서 만나어,2023.03.06
뮤지컬 ＇영웅＇,5,너무재밌어요,"마스크 축축하게 나왔어요,,배우님들 최고에요!",2023.03.06
뮤지컬 ＇영웅＇,5,ㅇㅇ,잘봤습니다~,2023.03.06
뮤지컬 ＇영웅＇,5,재미있어요,재미있어요. 재미있어요,2023.03.06
뮤지컬 ＇영웅＇,5,요즘 연뮤 재밌네요 배우들 열일,좀 시들시들 할 뻔 했는데 뭐야 연뮤 재밌네!!!! 배우들이 열일하셔서 또 보려고요,2023.03.06
뮤지컬 ＇영웅＇,4,명불허전!!!,첫 넘버부터 감동갬동했습니다 무대연출 음악 구성 모두 좋았어요 정성화님 안중근을 보려고 기다린 보람이 있어요!!!,2023.03.04
뮤지컬 ＇영웅＇,5,가슴이 웅장해지는 뮤지컬 영웅,"영화 영웅을 보고, 뮤지컬 영웅을 꼭 봐야겠다싶어 가족들과 공연을 봤습니다. 정말 가슴이 웅장해지고, 뜨거워지는 공연이였습니다. 안중근역의 정성화배우님도 정말 연기/노래 잘하시고, 다른 배우분들도 정말 좋았습니다. 2F에 자리를 구해서 배우님들 얼굴이 잘 안보여 아쉽기는 했지만 후회 없는 관람이였습니다. 와이프와 아이들도 엄지척! 강추합니다.",2023.03.04
뮤지컬 ＇영웅＇,5,자둘,자둘자막~!!감동입니다,2023.03.04
뮤지컬 ＇영웅＇,5,영웅 뮤지컬 관람후기!,26일에 민우혁님 캐스트로 관람했어요! 엄청 기대했어서 내용도 넘버도 찾아보지 않고 봤는데 넘 좋았어요ㅠㅠㅜ발성도 엄청 좋으셨고 시간이 넘 빠르게 지나갔던거 같아요 마지막에 커튼콜과 무대인사 모두 다 좋았어요 다음에 또 보게 된다면 더 앞에서 가깝게 보고싶네요 기대했던 만큼 좋은 공연이였고 이렇게 좋은 공연 볼 수 있게 해주셔서 너무 고마웠습니다~!!,2023.03.03
뮤지컬 ＇영웅＇,5,11살 막내 애창곡,누가 죄인인가?~~~~11살 막내 애창곡을 정성화배우님목소리로 들으니 막내가 너무 좋아했어요^^번창하세요^^,2023.03.03
뮤지컬 ＇영웅＇,5,잊을 수 없는 공연!,"시작 장면에서부터 눈물이 많이 났습니다. ''희망을 노래하다''라는 표현이 딱 와닿는 장면으로 시작하여... 잔잔한 감동이 계속되는 아주 멋진 공연이었습니다. 공연 내내 벅차오름을 얼마나 느꼈던 지...!  여러 번 관람하면 좋을텐데 여건 상 그렇게하지 못해 많이 아쉽습니다.  배우님들의 열연에 더불어 관객들이 함께 호흡하는 공연이었기에 더더욱 오래 기억에 남을 듯합니다.  공연으로 끝나는 것이 아닌 공연장 밖에서의 많은 생각과 울림, 행동이 일어나게 하는 ''영웅''들이었습니다!   감사합니다.^^",2023.03.02
