musical_title,rate,review_title,review_text,review_date
뮤지컬 〈웃는 남자〉,5,너무나 아름다운 스토리 그리고 화려한 무대,너무나 좋은 시간이었다. 웃는 남자 세종문화회관 대극장에서 공연한 적이 있어서 좌석수 3000석이 넘는 다는 사실은 알고 있었지만 이 많은 좌석이 만석이라는 사실에 너무나 놀랐고 그리고 그 뒷 좌석까지 좋은 소리로 들리는 것에 다시 놀랐다. 너무 좋은 뮤지컬  웃는 남자,2023.02.25
뮤지컬 〈웃는 남자〉,5,이걸 늦게 본 내가 멍청이,박효신 보러 가야지가야지 하다가 결국은 처음꺼 다 못보다가 드디어 다시 한다길래 예매하고 바로 보았다. 이걸 왜 지금 봤나 싶었지만.. 스토리는 뭔가 조금 졸리지만 박효신이 넘버를 부를때마다는 잠이 번쩍번쩍 깻다.,2023.01.25
뮤지컬 〈웃는 남자〉,5,웃는 남자,웃는 남자,2022.12.20
뮤지컬 〈웃는 남자〉,5,잘봤습니다.,박효신의 압도적인 에너지...너무 좋았습니다.,2022.12.11
뮤지컬 〈웃는 남자〉,5,박효신 말모 말모,잊을 수 없다 마지막 커튼콜,2022.09.20
뮤지컬 〈웃는 남자〉,5,키야….,역시 넘버들이 너무 좋네요!!,2022.09.20
뮤지컬 〈웃는 남자〉,5,웃는남자 후기,"티켓을 간신히 구해서, 3층 관람석에서 봤습니다.무대가 멀어서 배우들 얼굴은 안보였지만,노래 성량 만큼은 공연장 전체가 울려퍼질 정도로 너무 아름답고 감미로웠습니다.믿고보는 박효신 배우 외 출연진분들 응원합니다.",2022.09.19
뮤지컬 〈웃는 남자〉,5,웅장함,무대가 너무 이뻐요,2022.09.19
뮤지컬 〈웃는 남자〉,5,재밌어요,담에또보려구요,2022.09.19
뮤지컬 〈웃는 남자〉,5,올해 최고의 극,너무 감동적이었고 멋진연출이었다.다만 세종...,2022.09.17
뮤지컬 〈웃는 남자〉,4,내 취향 아닌데,제가 본 세트중에 완전 대박 이었어요.,2022.09.17
뮤지컬 〈웃는 남자〉,5,환상적인 무대 ♡,김문정님 팬으로 갔던 공연이었다. 그런데 거기서 우리나라 창작의 우수함을 느낄수있었다.정말 브라보이다. 외국작품의 식상함을 벗어나 우리나라에서 만든 이 작품은 전혀 3대 뮤지컬등에도 손색이 없어보인다. 연기한 배우뿐만 아니라 멋진 연주를 해준 오케스트라에도 감동의 박수를 보낸다♡,2022.09.15
뮤지컬 〈웃는 남자〉,5,최고,긍윈플렌ㅜ너무좋아요!!보는내내 내가 데아인줄ㅋㅋㅋ유소리배우님도 너무 꾀꼬리 같으시고 너무 행복했어요♡궁전 다시듣고싶다ㅜㅠㅜ,2022.09.13
뮤지컬 〈웃는 남자〉,5,부자들의 낙원은 가난한 자들의 지옥으로 만들어진다,"올해만 총 두 번 봤는데, 한 번 더 볼 걸이라는 아쉬움이 남습니다. 박강현 배우님 팬이라서 봤는데 돈과 시간이 아깝지 않고 봤던 기억은 제 인생에서 하나의 즐거운 추억으로 자리잡을 것 같습니다. 2년 뒤에 또 하길 기도합니다.",2022.09.13
뮤지컬 〈웃는 남자〉,5,너무 좋아요!,엄마랑 이모 보여드렸는데 너무너무 재미있고 좋았다고 하시네요 ㅎㅎ 추천합니다,2022.09.13
뮤지컬 〈웃는 남자〉,5,유명한 공연,유명한 공연답게 완벽한 끝내주는 공연이었습니다,2022.09.12
뮤지컬 〈웃는 남자〉,5,짱입니다,다음에 꼭 또 봐야할 것 같습니다.무대도 예쁘고연기도 다들 짱짱이시고.,2022.09.11
뮤지컬 〈웃는 남자〉,5,쿄윈 봤지만 이별해서 영원히 기억할듯,쿄윈플렌 보고서 이별했네요 영원히 기억하겠네요공연은 그냥 최고였지만 날은 최악인..,2022.09.11
뮤지컬 〈웃는 남자〉,5,깡윈플랜,빨리 다시 만납시다,2022.09.10
뮤지컬 〈웃는 남자〉,5,박강현 그윈플렌 그자체,박강현이 아닌 그윈플렌은 상상도 할 수 없다.무대위에 그냥 그윈플렌만 있던데노래는 뭐 지붕뚫고 세종 부시고박강현 그윈플렌 이거 고유명사 해야됨.,2022.09.10
뮤지컬 〈웃는 남자〉,5,박강현,박강현배우 보고싶어서 한번 더 봅니다 마지막날 운좋게 티켓팅해서ㅋㅋ행복해요~,2022.09.09
뮤지컬 〈웃는 남자〉,5,사연 박강현 올때까지 숨 참음!,누가 웃남 꿀노잼이래? 그냥 대놓고 유잼경력직도 뉴캐도 다 잘해서 너무 만족함,2022.09.09
뮤지컬 〈웃는 남자〉,5,뜨겁고 치열했던,내가 그윈플랜의 동료가 되주고 싶었다.,2022.09.07
뮤지컬 〈웃는 남자〉,5,정말 행복했어요..,감사합니다♡,2022.09.07
뮤지컬 〈웃는 남자〉,5,캉윈플렌.. ㅠㅠㅠ,캉윈플렌.. ㅠㅠㅠ,2022.09.06
뮤지컬 〈웃는 남자〉,5,웃는 남자 후기,박강현 배우님 막공까지 열연해주셔서 감사합니다 잘 봤어요,2022.09.06
뮤지컬 〈웃는 남자〉,5,조아요,조아요,2022.09.05
뮤지컬 〈웃는 남자〉,5,웃는남자,굿??????,2022.09.05
뮤지컬 〈웃는 남자〉,5,최후의 웃는 남자~~~~,정말 최고라는 표현밖에는 할 말이 없네요..! 최고였습니다.,2022.09.05
뮤지컬 〈웃는 남자〉,5,웃는남자,이상하게 기억에 남는 극,2022.09.05
뮤지컬 〈웃는 남자〉,5,쿄윈플렌은 감동,하느님석에서라도 쿄윈플렌 목소리 들을수 있어서 감동적이었어요,2022.09.05
뮤지컬 〈웃는 남자〉,5,최고,최고입니다!!!!,2022.09.05
뮤지컬 〈웃는 남자〉,5,박은태 배우님의 막공,"더 보고 싶은데, 벌써 막공이라니요 ㅠㅠ 다음에 꼭 다시 오세요~~~",2022.09.05
뮤지컬 〈웃는 남자〉,5,웃남,재밌었어요,2022.09.05
뮤지컬 〈웃는 남자〉,5,감동이었어요.,"크고 웅장한 무대와 속을 꽉 채우는 음악, 그리고 빛나는 배우들. 행복했습니다..!",2022.09.05
뮤지컬 〈웃는 남자〉,3,막을 내린 웃는남자,"배우들의 넘버 소화력, 서사 표현력이 정말 뛰어나서 배우들이 재미를 만들어주는 작품같습니다. 그래서 작품 자체는 조금 지루한 감이 있어 아쉬웠습니다. 너무 길어서 불필요한 장면들은 쳐내도 될 것 같다는 생각이 들었습니다.",2022.09.05
뮤지컬 〈웃는 남자〉,5,웃는남자,4연 돌아와 ~~~~ 유튜브 넘버 박제 plz,2022.09.05
뮤지컬 〈웃는 남자〉,5,아프고도 아름다운…,슬프도록 아름답지만 처연했던 그들의 이야기…또다시 돌아오길 바래봅니다,2022.09.04
뮤지컬 〈웃는 남자〉,4,잘 봤습니다,잘봤어요~ 도입부 연출! 좋았습니다,2022.09.04
뮤지컬 〈웃는 남자〉,5,최고,왜 이제야 봤는지ㅜ박강현 그윈 그리울거에요,2022.09.04
뮤지컬 〈웃는 남자〉,5,웃는남자 이제 못봐...,박 넌나의별 강현 이제 더이상 못봐... 행복할 권리 긴장감 넘치고ㅜ 미쳤습니다요(좋은뜻),2022.09.04
뮤지컬 〈웃는 남자〉,5,박박박,레전드 캐스팅… 데아도 우르수스도 조시아나도 정말 모두가 완벽했어요!!근데 박은태 배우님을 못 봐서.. 너무 아쉬워서 다른 뮤지컬은 예매해버렸어요..(?)박효신 배우님은 말해봐야 입아프고..ㅠ박강현 배우님.. 저 이번에 정말 팬 됐어요.. 앞으로 좋은 활동 기대하겠습니다ㅠㅠ(웃남 한번만 더 안될까요..?ㅋㅋㅋㅋㅋ) 막공 때 감정이 많이 올라오시는거 보고 계속 울컥하더라구요.. 웃남 분위기랑 정말 찰떡이신..관극한지 좀 됐는데도 아직까지 넘버 들으면서 웃남 서사에서 못 벗어나오고 있습니당.. 처음엔 결말이 좀 이해가 가지 않았지만.. 열린 희망을 기대하면서 막을 내린다고 생각하니 더 마음이 아프고.. 또 넘버 듣고.. 음..ㅠ저희 엄마도 원래 뮤지컬에 관심 없으셨는데 웃는남자는 정말 재밌었다고 극찬을 하셨어요! 무대 구성이 정말 압도적이고 섬세해요! 저희 엄마 픽은 배 난파 씬..! 돌아오면 다시 보러갈거에요ㅠㅠ,2022.09.04
뮤지컬 〈웃는 남자〉,4,화려하고.. 뮤지컬이라는 문화생활을 즐기러 왔다 하긴 좋지만..,스토리가 지루하다ㅜㅜ,2022.09.03
뮤지컬 〈웃는 남자〉,5,웃는남자,초연 때 보고 삼연을 몇번을 보고 나서 마지막 공연이 한참 지난 지금에서야 후기를 씁니다 초연 때와 비교했을 때 대사와 넘버 몇개의 가사를 바꾸면서 스토리가 더 탄탄해진 느낌이었습니다. 무대연출과 배우들 연기&노래는 말할것도 없이 완벽했습니다~ 특히 박효신님의 감정표현과 노래...ㅠㅠ넘버 하나하나 혼신의 힘을 다해부르는 모습이 봐도봐도  너무 감동!!다좋은작품! 감사합니디~^^,2022.09.03
뮤지컬 〈웃는 남자〉,5,비극을 덜 비극적으로 각색한,원작과 비교해보면 더 이해되고 더 재밌고 그렇습니다. 소설 읽다가 우울해질만큼 원작은 어두운데 무대 위로 올리면서 밝아진 작품. 노래가 다 좋아서 듣는 즐거움도 있고요. 다음 시즌 기대합니다.,2022.09.02
뮤지컬 〈웃는 남자〉,5,그야말로 감동적인 극,"연출과 무대 넘버 전부 다 아름다웠고...결말이 예상가는 내용에 초반부터 마음이 너무너무 아팠습니다.그윈플렌 데아 우르수스 이 가족이 행복하길 바랍니다....마지막 연출과 무대 연출이 너무 예뻤고, 내용과 넘버의 가사들도 감동적이었습니다....ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ배우님들 전부 훌륭한 연기와 노래를 선보이셨고..정말 돈이 아깝지 않은 극",2022.09.02
뮤지컬 〈웃는 남자〉,5,웃남 가지마..,처음으로 회전문을 돈 뮤지컬!! 학생이라 3층 가는 것도 부담됐는데 그럼에도 또 보고싶은 공연이었어요 웃는남자는 두번째부터 시작이다.. 쓰리박을 볼 수 있어서 행복했습니다,2022.09.02
뮤지컬 〈웃는 남자〉,5,재밌어요^^,재밌어요^^,2022.09.01
뮤지컬 〈웃는 남자〉,5,넘버가 최고,"진짜로 돈 쓸맛 나는 뮤지컬! 화려한 무대 화려한 의상 멋진 배우들, 넘버들",2022.09.01
뮤지컬 〈웃는 남자〉,5,첫 관극인데 강추합니다.,웃는남자 첫 관극인데 정말 후회없는 뮤지컬입니다. 여운이 가시질 않네요.,2022.08.31
뮤지컬 〈웃는 남자〉,5,처음으로 본 대극장 뮤지컬,정말 즐겁고 무대가 화려해서 좋았습니다!,2022.08.31
뮤지컬 〈웃는 남자〉,5,정말 완벽했던 무대 - 뮤지컬을 좋아하시는분은 꼭 읽어주세요!’,뭐하나 빠짐없이 완벽했던 무대 잘 보고 왔습니다 감정이며 발성이며 정말 소름 쫙….ㄷ 근데 마지막 커튼콜이 시작 됐을때 갑자기 앞에 혼자 우두커니 일어나서 촬영 하시는 분이 있더라구요 덕분에 제 커튼콜 영상에는 그분 뒷모습이 반이상 차지했구요 극장 구조상 모두 앉아서 찍으면 다 깔끔하게 찍을 수 있는 구조에요 웃는남자 뿐만 아니라 다른 극장에서도 민폐가 된다는걸 알아주셨음 해요.. 에티켓은 지키면서 관람 합시다 ㅎㅎ,2022.08.31
뮤지컬 〈웃는 남자〉,5,왜 이걸 막공으로 봤을까,막공으로 봐서 회전문 못 도는 게 인생의 한이네요,2022.08.31
뮤지컬 〈웃는 남자〉,5,♥,올해 여름 박효신의 웃는 남자와 함께 할 수 있어서 행복한 시간이었습니다 :),2022.08.30
뮤지컬 〈웃는 남자〉,4,쿄윈,왜 인기있는지 알듯 좋았다,2022.08.30
뮤지컬 〈웃는 남자〉,5,은윈플렌 덕분에 행복했어요,"막공이 끝난지도 벌써 일주일이 넘었는데 아직도 여운이 많이 남고, 삼연이 끝났다니 너무 아쉽습니다. 모든 회차마다 레전드 공연을 보여주신 배우님들 덕분에 행복했고, 개인적으로는 <웃는남자>라는 최애 작품에서  은윈플렌이라는 최애를 만난 건 참 큰 행운인 것 같아요. 덕분에 2022년 이번 여름, 정말 행복했습니다.",2022.08.30
