musical_title,rate,review_title,review_text,review_date
뮤지컬 〈웨스턴 스토리〉,4,웃긴데 이게 배우에따라서 재미가 갈릴것같은,"배우 열정극,,?",2022.08.01
뮤지컬 〈웨스턴 스토리〉,3,.,한번쯤 볼만함,2022.06.27
뮤지컬 〈웨스턴 스토리〉,5,재밌어요ㅠㅠ,근데 이제 없다니 아쉬워요ㅠㅠ,2022.06.24
뮤지컬 〈웨스턴 스토리〉,5,와이어트가 귀여워요,"그냥,,, 재밌게 웃고싶을때 보면 너무 조은 뮤지컬,,ㅠㅠ 재연 꼭 와주세요",2022.06.18
뮤지컬 〈웨스턴 스토리〉,5,꼭 보셨음 하는 뮤지컬,좋아용 얼른 돌아와,2022.06.14
뮤지컬 〈웨스턴 스토리〉,5,늦은 후기,재밌게 웃으면서 봤어요,2022.06.13
뮤지컬 〈웨스턴 스토리〉,5,또 보고싶은 뮤지컬,봄에 가장 가슴 뛰게했던 뮤지컬 또 보고싶습니다 너무 재밌고 스트레스 다 풀어주는 극이었어요,2022.06.13
뮤지컬 〈웨스턴 스토리〉,5,최고,와이어트가 귀여워요,2022.06.11
뮤지컬 〈웨스턴 스토리〉,5,짱,최고입니당,2022.06.11
뮤지컬 〈웨스턴 스토리〉,5,재밌어요 ,재밌어요,2022.06.08
뮤지컬 〈웨스턴 스토리〉,5,너무재밌어요,재연또와라,2022.06.08
뮤지컬 〈웨스턴 스토리〉,3,웃지못했다,웃기려고하는데 웃음이 안나왔어요,2022.06.06
뮤지컬 〈웨스턴 스토리〉,5,웨스턴 그리워요 ㅠㅠ,웨스턴 없는 6월이라니 ㅜ,2022.06.06
뮤지컬 〈웨스턴 스토리〉,5,웨스턴 스토리,배우들의 열연,2022.06.06
뮤지컬 〈웨스턴 스토리〉,5,재밌어요,자리도 좋고 재밌네요,2022.06.06
뮤지컬 〈웨스턴 스토리〉,5,좋았습니다,다시 돌아와요..,2022.06.06
뮤지컬 〈웨스턴 스토리〉,5,웨스턴 스토리,너무 재밌어서 또 예매해서 보고 왔네요. 재연을 기다립니다.,2022.06.06
뮤지컬 〈웨스턴 스토리〉,5,000,000,2022.06.06
뮤지컬 〈웨스턴 스토리〉,5,ㅜㅠㅠㅠㅠㅜㅜㅠㅠ 가지마서부,다시돌아와요... 넘 행복했습니다 ㅠ,2022.06.06
뮤지컬 〈웨스턴 스토리〉,5,행복한 뮤지컬,넘 즐거웠습니다 조니링고!,2022.06.06
뮤지컬 〈웨스턴 스토리〉,5,보고 싶은 서부 사람들,내가 바로 주인공,2022.06.06
뮤지컬 〈웨스턴 스토리〉,5,재연 오세요,이멤버 리멤버,2022.06.06
뮤지컬 〈웨스턴 스토리〉,5,서부이야기,너무 재밌었다 최고의 힐링극 재연에서 만나자,2022.06.06
뮤지컬 〈웨스턴 스토리〉,5,그리워요,매번 정말 행복하게 잘봤습니다 돌아와요,2022.06.06
뮤지컬 〈웨스턴 스토리〉,5,재밌어요,재연 언제오나요.  ㅔ,2022.06.06
뮤지컬 〈웨스턴 스토리〉,5,편안한극,모든 배우님들이 즐기면서 공연하는 게 느껴져서 좋았던 극이었어요. 오랜만에 맘 편히 웃으면서 볼 수 있는 극이었달까!,2022.06.06
뮤지컬 〈웨스턴 스토리〉,5,뮤지컬 〈웨스턴 스토리〉,유쾌한 공연이였어요,2022.06.06
뮤지컬 〈웨스턴 스토리〉,5,재연 언제 오죠,벌써부터 재연이 기다려지는 극. 초연멤버 그대로 와야합니다ㅜㅜ,2022.06.06
뮤지컬 〈웨스턴 스토리〉,5,가지마,나만 서부에 남았어,2022.06.06
뮤지컬 〈웨스턴 스토리〉,1,뮤지컬 〈웨스턴 스토리〉,정말 좋은 공연이었는데 제작사 일처리 미숙으로 공연도 없는데 불량교환하러 대학로까지 가게 생겨서 좋았던 추억 다 흐려져요... 부디 다른 제작사에서 재연 올라오길 바랍니다,2022.06.06
뮤지컬 〈웨스턴 스토리〉,1,뮤지컬 〈웨스턴 스토리〉,정말 좋은 공연이었는데 제작사 일처리 미숙으로 공연도 없는데 불량교환하러 대학로까지 가게 생겨서 좋았던 추억 다 흐려져요... 부디 다른 제작사에서 재연 올라오길 바랍니다,2022.06.06
뮤지컬 〈웨스턴 스토리〉,5,그리운 서부,웰댕에 와주세요,2022.06.06
