musical_title,rate,review_title,review_text,review_date
뮤지컬 〈웨스트 사이드 스토리〉,5,진짜 너무 짱이에요,막공인만큼 너무 좋았어요 짱...,2023.04.01
뮤지컬 〈웨스트 사이드 스토리〉,5,돌아왔으면 좋겠다,클래식의 정석같은 작품,2023.03.22
뮤지컬 〈웨스트 사이드 스토리〉,5,돌아와줘....,보고싶어....,2023.03.20
뮤지컬 〈웨스트 사이드 스토리〉,5,웨사스 돌아와…,ㅠㅠㅠㅠㅠㅠ막공한지 한달이 되어가는데 아직도 웨스스 못보낸 1인이에요 이날 부모님 모시고 갔는데 오래전에 티비에서 보여주던 뮤지컬을 직접 볼 수 있어서 너무 좋았고 클래식 뮤지컬 답게 음악이 너무 좋다고 하셨어요:),2023.03.19
뮤지컬 〈웨스트 사이드 스토리〉,5,역시 샤토니,명불허전이다...,2023.03.18
뮤지컬 〈웨스트 사이드 스토리〉,5,다시 보고싶어요,웨사스 돌아와,2023.03.17
뮤지컬 〈웨스트 사이드 스토리〉,5,충무옥 그립다,볼수록 재밌었던 웨스트 사이드 스토리 오스트 내주시면 좋겠습니다,2023.03.16
뮤지컬 〈웨스트 사이드 스토리〉,1,매우 아쉬움,기대가 컸나봅니다,2023.03.16
뮤지컬 〈웨스트 사이드 스토리〉,5,뮤지컬의 클래식,정말 사랑했다.. 깡토니.. 지수마리아...그리고 제트 샤크 모두... 고생 많으셨습니다 막공 넘 아쉬워요ㅠ,2023.03.13
뮤지컬 〈웨스트 사이드 스토리〉,4,약간의 아쉬움,배우들 연기도 좋고 음악도 좋았는데 좀 더 화려한 안무와 배경을 기대했는데 조금 어두운 느낌이 있네요. 여배우 가창력이 좋았습니다.,2023.03.12
뮤지컬 〈웨스트 사이드 스토리〉,5,박강현,뮤지컬 볼게 없어서 주말 시간도나서 그냥 본 느낌인데 박강현 배우 노래가 더 늘었네?,2023.03.11
뮤지컬 〈웨스트 사이드 스토리〉,5,섬세하게 이야기를 풀어낸 뮤지컬,"춤과 노래를 통해 섬세하게 인물들의 상황과 감정을 표현한 작품이라, 보는 내내 내용에 담긴 의미를 찾아보는 재미가 있었어요. 그리고 토니 역의 김준수 배우님은 사랑에 빠진 순수한 청년을 연기와 노래로 굉장히 잘 표현해 주셔서 정말 푹 빠져서 관람했어요.",2023.03.10
뮤지컬 〈웨스트 사이드 스토리〉,5,자첫자막했는데 진심 왜그랬을까,개막부터 회전했어야했는데 총막 하루앞두고 봐버린겁니다 후 배우님들 에너지가 장난아니네요 열정적인 퍼포먼스와 선율이 너무 아름다웠습니다  넘버는 사실 몇개 없지만 그 몇개가 다 띵곡이에요 그리고 너무 귀여워요 풋풋한 틴에이저로맨스 ㅎㅎ,2023.03.09
뮤지컬 〈웨스트 사이드 스토리〉,5,웨사스 짱,깡토니 지수마리아 최고~!!춤도 노래도 다 좋았어요,2023.03.09
뮤지컬 〈웨스트 사이드 스토리〉,4,웨사스,군무보는 재미가 아주 좋아요 기회가 된다면 2층에서도 꼭!!! 보시길 바래요,2023.03.08
뮤지컬 〈웨스트 사이드 스토리〉,5,웨사스 왜 이제 봤을까여...,"사실 영화가 크게 안 맞아서 안 보다가 좋아하는 배우들이 대거 포진해 있어서 봤는데,, 왜 이제서야,, 막공도 얼마 안 남은 상황에 봤는지 아쉬울 따름이었습니다.. 너무 재밌고 흥이 넘치는 뉴욕에서 행복했어요~",2023.03.08
뮤지컬 〈웨스트 사이드 스토리〉,4,캉토니 돌아와..,뮤지컬 다운 뮤지컬. 고전 중의 고전이라 전개나 인물의 감정선이 크게 와닿진 않습니다만... 최고의 배우들과 왜 베스트 클래식인지 알 수 있는 들으면 들을수록 감기는 노래들 그리고 무엇보다.. 캉토니.... 본인 입으로 첫눈에 반하는 연기를 젤 잘한다던 그분... 예 진짜 잘합니다;;; 캉지수 최고,2023.03.08
뮤지컬 〈웨스트 사이드 스토리〉,5,맘보맘보,고!클래식의 정수,2023.03.07
뮤지컬 〈웨스트 사이드 스토리〉,5,무대 위 모두가 주인공 같았던 작품,"1막 후반부에 나오는 Tonight (Quintet and Chorus)에서 작품 속 인물들이 각자 서로 다른 밤을 외치는 장면이 가장 인상 깊었고, 많은 장면들 중 이 부분에서 특히 모두가 주인공같이 느껴졌어요.",2023.03.06
뮤지컬 〈웨스트 사이드 스토리〉,5,웨사스,캐슷맞춰서 보러왔는데 전반적으로 좋았어요,2023.03.06
뮤지컬 〈웨스트 사이드 스토리〉,5,김준수 배우 막공,모든것이 완벽한 김준수배우 막공이었어요 김소향 배우도 너무 인상깊었스빈다,2023.03.06
뮤지컬 〈웨스트 사이드 스토리〉,5,볼수록 좋은 작품,최고!,2023.03.06
뮤지컬 〈웨스트 사이드 스토리〉,5,뮤지컬 〈웨스트 사이드 스토리〉,대극장 공연은 많이 보는 편이 아닌데 강렬한 군무에 이끌려 보게되었어요. 배나라 배우님 정말 몸이 가볍고 춤선이 멋지셨어요! 멋진 군무에 몸을 아끼지 않은 모든 배우분들께 박수를 드립니다.,2023.03.06
뮤지컬 〈웨스트 사이드 스토리〉,5,존쟘,너무재밋어요,2023.03.06
뮤지컬 〈웨스트 사이드 스토리〉,5,고은성 토니 잘생겼다 최고,고은성 토니 잘생겼다 최고 고지수페어 사랑했다,2023.03.06
뮤지컬 〈웨스트 사이드 스토리〉,5,웨스트사이드스토리 고은성 토니 최고 ㅠㅠ,웨스트사이드스토리 고은성 토니 최고 ㅠㅠ,2023.03.06
뮤지컬 〈웨스트 사이드 스토리〉,4,화려한 군무가 압권입니다,고전이 고전인데는 이유가 있네요. 군무를 통해 스토리를 이끌어 나가는 것이 인상깊었습니다,2023.03.06
뮤지컬 〈웨스트 사이드 스토리〉,5,그립습니다,마지막 공연 후기라 추천드리진 못하네요... 정말 아름다운 넘버와 배우님들의 열정!!!!! 군무! 최고였습니다 재밌게 봤습니다,2023.03.06
뮤지컬 〈웨스트 사이드 스토리〉,3,그냥 그래요,이걸 보고 뭘 느끼라는 건지;;;; 손드하임 넘버들과 배우들의 열정엔 박수쳐줌,2023.03.06
뮤지컬 〈웨스트 사이드 스토리〉,2,너무 진부함 ,내용 진부하고 노잼. 오빠가 죽었는데 사랑이 전부라는 설정은 요즘 시대에 볼만한건 아닌듯. 주인공들에게 이입못하고 앙상블들만 보다 왔음,2023.03.06
뮤지컬 〈웨스트 사이드 스토리〉,5,안녕 웨사스,재아배우 귀엽고 목소리 꾀꼬리!앙상블분들도 너무 잘했어요 고생많으셨습니다,2023.03.06
뮤지컬 〈웨스트 사이드 스토리〉,5,안녕 웨사스,바이바이,2023.03.06
뮤지컬 〈웨스트 사이드 스토리〉,4,볼거리가 많았어요,고전미도 물씬,2023.03.06
뮤지컬 〈웨스트 사이드 스토리〉,5,Te Adoro WSS...,떠나지마 웨사스 ... 평양냉면같은 뮤지컬.. 사랑했다...,2023.03.06
뮤지컬 〈웨스트 사이드 스토리〉,5,공연 좋아요,배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다 배우들 다 잘하고 조명 세트 음악 모두 퍼펙트입니다,2023.03.06
