musical_title,rate,review_title,review_text,review_date
뮤지컬 〈이프덴〉,5,너무재밌습니다,좋아요,2023.04.18
뮤지컬 〈이프덴〉,5,찢었다,한번 더 보고싶지만... 제 지갑이 다쳐서 회복을 위해 멈춰야한다는 것이 슬프네요,2023.04.18
뮤지컬 〈이프덴〉,5,재밌었어요,언제 또 볼수있을지 아른거려오,2023.04.17
뮤지컬 〈이프덴〉,5,최고,갓극!!,2023.04.03
뮤지컬 〈이프덴〉,5,이프덴,갓극존나 갓극갓극 최고의 갓극,2023.03.27
뮤지컬 〈이프덴〉,5,이프덴 ,세상 갓극선택한 순간 되돌릴 수 없어날아 올라도 추락 해도모든 미래가 보인다몈 뭘 선택할까만약만약만약 내가,2023.03.27
뮤지컬 〈이프덴〉,5,오랜만에 의미있는 시간 보냈습니다,너무 좋은 시간이었어요,2023.03.27
뮤지컬 〈이프덴〉,5,반짝이고 동그란거 내주세요,갓극이니까 주세요,2023.03.21
뮤지컬 〈이프덴〉,5,수많은 선택과 결과,"그리고 그에 대한 책임을 지는 것에 대해 고민하는 인물, 그 인물을 연기하는 배우님까지 완벽했습니다!",2023.03.20
뮤지컬 〈이프덴〉,5,이프덴,최고최고최고최고최고,2023.03.20
뮤지컬 〈이프덴〉,5,좋아요,재밌어요,2023.03.19
뮤지컬 〈이프덴〉,5,이프덴 ㅠㅠㅠ,"너무 재밌고, 너무 슬프고, 돌아와요 이프덴!!! 제말",2023.03.19
뮤지컬 〈이프덴〉,5,돌아와...,율리지베스 너무 잘 봤고 그리워요????,2023.03.18
뮤지컬 〈이프덴〉,5,너무재밌어요,연기도좋구연출도좋아요,2023.03.17
뮤지컬 〈이프덴〉,5,너무 행복한 시간이었어요.,고민하다가 보게 된 공연인데 노래도 너무 좋고 감동도 있었고요무엇보다 배우님들 너무 멋지고 잘 하시더라구요행복한 시간이었습니다 ㅠㅜ,2023.03.17
뮤지컬 〈이프덴〉,5,이프덴은 사랑이죠~♡,이프덴 넘버 들으면서 출퇴근해요.재연으로 또 만나요.,2023.03.16
뮤지컬 〈이프덴〉,5,만약에,수많은 선택 속에서 이프덴을 볼 수 있었던 건 행운이라는 걸 다시금 깨닫게 된 작품입니다.,2023.03.15
뮤지컬 〈이프덴〉,5,한 순간도 놓치고 싶지 않은 뮤지컬 ,공감이 많이 됐어요 ^^ 배우의 열연도 너무 좋았고요 .,2023.03.14
뮤지컬 〈이프덴〉,5,인생뮤지컬이 내 인생을 만나다,"내 인생에서 가장 깊고 울림이 가득했던 뮤지컬이었고, 내 인생 뮤지컬 NO.1이 되었다..!",2023.03.14
뮤지컬 〈이프덴〉,5,유리아!!!!!!!!!!,유: 유리아배우님리: 리즈베스 다 너무 찰떡이니까아: 아ㅏㅏㅏㅏㅏㅏㅏㅏㅏ아악ㄱㄱㄱㄱㄱㄱㄱ 제발 다시 도라와요♥,2023.03.14
뮤지컬 〈이프덴〉,5,인생 뮤지컬,쌀썸머 조합은 진짜 그냥 미쳤다 하..,2023.03.13
뮤지컬 〈이프덴〉,5,재밌어요,재연 꼭 와주기,2023.03.13
뮤지컬 〈이프덴〉,5,이제없다니,아쉬유ㅓ요ㅠㅠㅠㅠㅠ,2023.03.13
뮤지컬 〈이프덴〉,5,언제 돌아오죠?,바로 돌아오길 기원,2023.03.13
