musical_title,rate,review_title,review_text,review_date
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,4,짘슈.. ,몇 년만에 드디어 돌아온 .. 너무 소중했다. 앓다앓다 잊어버리기 직전에 다시 돌아와서 너무 행복했던 오케 울림 잊지 못해,2023.03.05
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,지크수는 정말 꼭 봐주셨으면 해요,"서울공은 끝났지만 남은 표라도 꼭 봐주시면,,,좋겠어요,,다들,,",2023.02.27
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,인생뮤지컬,너무너무 행복한 공연,2023.02.11
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,아,재밋었엉,2023.02.10
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,역시 마이클리의 지크슈!:,이번이 벌써 네번째 관람! 오랜만이면서 내한 50주년인데 안볼수없죠ㅎ배우들 다 좋고 믿고보는 뮤지컬!그런데 왜 지저스 비중이 좀 줄은것같죠?bbch홀은 음향이 좀 별로네요ㅠ,2023.02.09
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,즐감했습니다,재미있게 잘 봤어요,2023.02.06
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,재밌었어요,즐겁게 관람했습니다,2023.02.06
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,즐감했습니다,재미있게 잘 봤어요,2023.02.06
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,못보냅니다,(지방공연들에서) 다시 시작해요오,2023.02.06
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,금세기 최고의 뮤지컬,다시 시작해요…,2023.02.04
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,이세기 최고의 뮤지컬,막주에 봤다가 지방도 따라갑니다,2023.02.04
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,마저스와 한유다는 역시 ?? ,마이클리 한지상 페어 역시 최고입니다.공연장이 좁아서 배우님들 이목구비까지 너무 잘 보이더라고요.공연 내내 입 벌리고 봤습니다.한지상님의 Heaven on their minds와 마이클리님의 Gethsemane를 실제로 들었다는 것만으로도 티켓값이 아깝지 않아요!,2023.02.03
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,멋진 무대 멋진연기,너무 잘봤어요,2023.02.03
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,3,노래로 이어지는 극,낯설었지만 겟세마네 듣기 위해서라면,2023.02.01
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,2023.01.14 : 뮤지컬 <지저스 크라이스트 수퍼스타>,"★★★★★ (2023.01.14 14:00 Cast: 마이클리, 윤형렬, 김보경, 지현준, 육현욱, 이한밀, 신은총, 김원빈, 김영우, 이예빈)",2023.02.01
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,4,락의 옷을 입으신..,예수님의 마지막 일주일 이야기특색있는 관점과 음악으로 잘 감상했습니다!,2023.01.30
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,너무 재밍ㅎ어요,유다와 지저스와의 관계가 인상적이었습니다,2023.01.30
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,형렬유다 최고,전설의 형렬유다를 볼 수 있음에 감사합니다...,2023.01.30
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,윤형렬 유다 너무 좋았어요..,노래 너무 잘하고피지컬이 장난아니시네요..,2023.01.29
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,락뮤지컬 좋아하면...꼭 보세요..또 온다면...,기타소리가 이렇게 사람 심장을 뛰게하는지 처음 알았습니다나 락 좋아했네...,2023.01.29
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,또보고싶어요...,너무 재밌었어요..뭐라 설명이 안됨....넘버 하나하나가 다 주옥같아요....,2023.01.29
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,정말 최고였어요~,넘 늦게 후기 작성을 하네요ㅠㅠ마이클리 겟세마네는 정말 최고였습니다. 뮤지컬 보고나서 겟세마네를 한달간 계속 찾아 들은 거 같아요. 다음에 또 보고싶은 뮤지컬이에요,2023.01.28
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,재밌게 잘봤습니다,재밌는 공연이었습니다,2023.01.28
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,최고,마이클리님의 최고의 공연을 본 날이었어요두번째 관람 첫번째보다 더 훌륭했어요,2023.01.28
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,정말 멋진 공연,한유다와 마저스 조합 정말 멋지네요모든 넘버가 다 좋았고겟세마네는 오늘도 감동한유다는 정말 섹시하고마이클 배우님은 정말 예수님 그 자체~멋진 공연이었어요 강츄,2023.01.27
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,역시는 역시~~~ 최고입니다!!!,지크슈~ 전부터 보고 싶었던 공연으로계속 기다렸는데 7년만에 돌아오는 공연이기에 이번에는 시간만 맞음 무조건 본다하고 있었습니다그러나 일정이 꼬여 못보게 될 예정이었습니다그래도 너무 아쉬지라 혼자라도 보자며2층자리 급히 티켓팅했는데 잘 보았네요역시는 역쉬~~~~ !!!혼자라도 보길 잘했다는 생각밖에 안드네요 그리고 2층이라서 전체적으로 보기에 괜찮았기에 더욱 안 봤으면 정말 후회 했을 것 같네요당연히 모든 배우분들도 멋졌지만 이번에 전 앙상블분들에게 더 눈이 많이갔네요무한한 박수를 더 주고 싶을정도였습니다,2023.01.26
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,I love it,지저스 크라이스트 슈퍼스타 처음보는 메이저(?) 뮤지컬에 마이클리의 겟세마네는 어마어마한 소름을 끼치게했다. 비로소 일년에 한번은 꼭 뮤지컬을 보겠다는 다짐을 했다.,2023.01.26
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,크리스마스의 선물!,뮤지컬 나름 유명한 것들 많이 봤다 생각하는 편으로서 무대구성이 많이 바뀌지 않음에도 불구하고 흡입력있고 재미있는 극이었습니다.같이 보러간 사람과 모두 매우 만족!,2023.01.26
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,굿굿굿,역시 감동적인 무대였습니다한번더 보구싶은 ㅠㅠ,2023.01.25
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,최고의 공연이었습니다,배우님들 앙상블분들 최고의 공연 너무 감사합니다,2023.01.24
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,클라쓰~ 미쳤엉,"2층 맨 윗 열에서 봤는데 배우는 연기, 표정, 감정 그대로 느낄 수 있는 뮤지컬이었고 노래는 말해 뭐해!!!! 진짜 배우는 목소리 합까지 완벽한 뮤지컬이었다. 어릴 적에 한번 꼭 보고싶은 뮤지컬이었는데 좋은 기회로 볼 수 있어서 좋았고 다음에 또 진행한다면 또 보러갈게요~~~",2023.01.24
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,지저스크라이스트수퍼스타,벌써 보낼 수 없어ㅠㅠ,2023.01.24
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,지저스크라이스트수퍼스타,지방공연 보러가고 싶네요 벌써 끝나서 아쉬워요,2023.01.24
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,지저스크라이스트수퍼스타,8년만에 본 짘슈 여전히 최고였어요,2023.01.24
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,짱,너무 재밌고 좋은 극,2023.01.24
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,뮤지컬,정말 재미있네요,2023.01.24
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,지크슈,미쳤어요ㅠㅠㅠ 대존잼,2023.01.24
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,지크슈.....짱....ㅜㅜ,일주일이 지난 지금 지크슈에 허덕이며 살고있어요지크슈 짱...!!!,2023.01.23
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,멋진 공연이었습니다,장인장모님께서 즐거워하셨어요,2023.01.23
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,너무 좋았었어요,지방 공연도 힘내세요!!,2023.01.23
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,지저스 크라이스트 수퍼스타 ,가히 인생작이라 불리울만큼의 자격을 가지고 있는 극이라 생각합니다,2023.01.23
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,조아요,잘봤슴니다,2023.01.23
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,잘봤습니다,굳조아용,2023.01.23
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,재밌너요!,위대함과 맞바꾼 죽음 이제 만족하시나,2023.01.23
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,지저스 크라이스트 수퍼스타,백형훈 유다 최고... 말해 뭐해 ㅠ 평생 유다해주세요,2023.01.23
뮤지컬 〈지저스 크라이스트 수퍼스타〉 50주년 기념 한국 공연,5,7년만에 다시 만난,명작!! 음악만 들어도 너무 좋아요,2023.01.23
