musical_title,rate,review_title,review_text,review_date
뮤지컬 지킬앤하이드 (Jekyll＆Hyde),5,너무 감동적인 공연 다시봐도 후회 없는 공연이었습니다.,너무 감동적인 공연 다시 봐도 후회 없는 공연이었습니다.,2022.08.25
뮤지컬 지킬앤하이드 (Jekyll＆Hyde),5,좋았습니다.,전동석지킬 해나루시 최수진 엠마 뭐하나 걸리는 것없이 좋았어요.,2022.07.01
뮤지컬 지킬앤하이드 (Jekyll＆Hyde),5,재밌었어요,박은태 지킬은 왼손에 하이드의 인격이 있는 느낌이네요  상당히 신선했습니다.,2022.07.01
뮤지컬 지킬앤하이드 (Jekyll＆Hyde),5,박은태 배우의 지킬앤하이드 역시 최고.. 감동이에요!,"박은태 배우님의 지킬앤하이드 정말 최고였어요ㅠㅠ 노래를 부르고 대사를 뱉을 때의 그 강약의 조절이 정말 섬세해요. 게다가 하이드로 변했을 때의 그 얼굴과 몸의 근육을 굉장히 잘 쓰셔서 정말 그의 연기를 보면서 움찔했답니다. 최고, 최고였어요!! 특히 confrontation 넘버를 부를 때는 진짜 소름 돋을 연기를 보여주심.. 어떻게 저렇게 연기할 수 있을까 싶을 정도로, 실제 공연을 보면 정말 깜짝 놀라요. 두 말이 필요없는 최고의 공연이었어요. 황홀했던 지킬앤하이드 공연. 관람한 것이 후회되지 않을 만큼 꼭 봐야 할 작품이라고 생각합니다. 은태 배우님 고마워요!",2022.05.31
뮤지컬 지킬앤하이드 (Jekyll＆Hyde),5,지킬앤하이드!,카지킬 카하이드 정말 최곱니다.. 컨프롱 보려고 지킬 봅니다 진짜 최고!!!,2022.05.27
뮤지컬 지킬앤하이드 (Jekyll＆Hyde),5,최고의공연,서울 앙콜 해주세요 ㅠㅠㅠㅠ,2022.05.24
뮤지컬 지킬앤하이드 (Jekyll＆Hyde),5,은지킬,"박은태 배우님 무대 직접 보는 건 처음인데, 정말 미쳤습니다. 디테일 하나하나 너무 잘 살리셔서 보는 내내 충격이었어요. 노래실력은 물론 연기까지 모든 게 완벽했던 긍지킬이었습니다.. 죽지도 않고 또 돌아오는 지킬앤하이드를 계속 보게 되는 건,, 볼 때 마다 경이로운 배우님들의 표현력때문인 것 같아요",2022.05.23
뮤지컬 지킬앤하이드 (Jekyll＆Hyde),4,카지킬,"다른 지킬들 보다 더 썽나있고, 확신에 찬 지킬 느낌이었어요. 컨프롱 정말 최고였습니다. 무대인사하실 때 그동안 정말 고생하셨던 게 느껴져서 울컥했어요.. 좋은 공연 감사합니다",2022.05.23
뮤지컬 지킬앤하이드 (Jekyll＆Hyde),5,서울앵콜원해요,지킬앤하이드 최고의 공연 서울앵콜합시다,2022.05.23
뮤지컬 지킬앤하이드 (Jekyll＆Hyde),5,최고의 공연이었어요,최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요최고의 공연이었어요,2022.05.23
뮤지컬 지킬앤하이드 (Jekyll＆Hyde),5,카이배우님 막공보러 일부러 제주도여행에서 일찍 올라왔습니다,5.8까지 제주도 여행이었는데 일부러 하루 일찍 올라왔어요 기대를 저버리지 않게 지킬앤하이드 최고의 무대였습니다 무인막공도 너무 감동적이었어요  5.8까지 제주도 여행이었는데 일부러 하루 일찍 올라왔어요 기대를 저버리지 않게 지킬앤하이드 최고의 무대였습니다 무인막공도 너무 감동적이었어요  5.8까지 제주도 여행이었는데 일부러 하루 일찍 올라왔어요 기대를 저버리지 않게 지킬앤하이드 최고의 무대였습니다 무인막공도 너무 감동적이었어요  5.8까지 제주도 여행이었는데 일부러 하루 일찍 올라왔어요 기대를 저버리지 않게 지킬앤하이드 최고의 무대였습니다 무인막공도 너무 감동적이었어요 5.8까지 제주도 여행이었는데 일부러 하루 일찍 올라왔어요 기대를 저버리지 않게 지킬앤하이드 최고의 무대였습니다 무인막공도 너무 감동적이었어요 5.8까지 제주도 여행이었는데 일부러 하루 일찍 올라왔어요 기대를 저버리지 않게 지킬앤하이드 최고의 무대였습니다 무인막공도 너무 감동적이었어요  5.8까지 제주도 여행이었는데 일부러 하루 일찍 올라왔어요 기대를 저버리지 않게 지킬앤하이드 최고의 무대였습니다 무인막공도 너무 감동적이었어요 5.8까지 제주도 여행이었는데 일부러 하루 일찍 올라왔어요 기대를 저버리지 않게 지킬앤하이드 최고의 무대였습니다 무인막공도 너무 감동적이었어요  5.8까지 제주도 여행이었는데 일부러 하루 일찍 올라왔어요 기대를 저버리지 않게 지킬앤하이드 최고의 무대였습니다 무인막공도 너무 감동적이었어요,2022.05.23
뮤지컬 지킬앤하이드 (Jekyll＆Hyde),5,동선녀,이 캐슷이 다시 돌아올 수 있는거죠? 간절히 바라고있어요,2022.05.23
뮤지컬 지킬앤하이드 (Jekyll＆Hyde),5,넹,그냥 사골,2022.05.23
뮤지컬 지킬앤하이드 (Jekyll＆Hyde),4,역시 지킬앤하이드,"오랜만에 봤더니 더 재밌네요, 선과 악을 다루는 클래식한 뮤지컬",2022.05.23
뮤지컬 지킬앤하이드 (Jekyll＆Hyde),5,아악 은지킬!!!!,서울 지킬 공연을 은지킬로 마무리할 수 있어서 너무 감사하고행복했습니다!,2022.05.22
뮤지컬 지킬앤하이드 (Jekyll＆Hyde),5,그레잇,전동석 배우에게 빠지게 된 계기가 된... 기대 없이 봤었는데 무대 구성이 미친 듯이 좋았음... 연뮤덕이 이렇게 되어가는구나를 느끼게 되었던....,2022.05.22
뮤지컬 지킬앤하이드 (Jekyll＆Hyde),5,마지막 공연까지 잘 봤습니다,서울 공연 마지막까지 잘 보고 왔어요^^ 배우님들 무대인사도 볼 수 있어서 더 좋았습니다! 마지막 공연이었어서 그런지 전과는 또 다른 느낌의 공연을 보고 온 것 같아요. 새로운 매력을 느낄 수 있어서 좋았습니다^^,2022.05.20
뮤지컬 지킬앤하이드 (Jekyll＆Hyde),5,전동석 배우님 최고,"막공까지 최고였던 동지킬, 동하이드 지방 공연도 화이팅!!! 다음 시즌에도 꼭 다시 돌아오리라 믿어요~!",2022.05.19
뮤지컬 지킬앤하이드 (Jekyll＆Hyde),5,굿굿,좋았어영,2022.05.19
뮤지컬 지킬앤하이드 (Jekyll＆Hyde),5,도대체 너의~~~ 존. 재. 는!!!!,"두근두근... 무대와 음악을 떠올리면, 심장이 그 음악의 두근거림을 따라 떨리는 거 같아요. 박은태 배우님 주연으로 본 저의 두 번째 지킬앤하이드인데요, 어느 음악하나, 놓칠 수가 없었어요.  앙상블의 섬세한 표현과 등장, 역할들이 무대를 더 꽉 채워줬던 거 같구요. ost들이 너무나 풍성했던 지킬앤하이드. 제 인생 뮤지컬중의 뮤지컬입니다 ㅠㅜ 엄마 모시고 같이 봤는데, 넘 잘 봤습니다. 비록 본공연 막공하고 넘어가지만, 오래오래~ 잘 기억하고 싶어요 +_+",2022.05.18
뮤지컬 지킬앤하이드 (Jekyll＆Hyde),5,마지막 공연 감동이었어요,"다 아는 이야기지만, 어찌 이렇게 쏙~ 빠져들게 연기들을 하시지요? 특히 마지막 공연이었어서, 커튼콜할때 모두들 기립박수 치시고, 멘트 해주시는데..울컥ㅜ.ㅜ 특히 맨 마지막 지킬의!!! 이건 스포 안할께요. 암튼 그 장면이 계속 기억에 남아있네요. 넘 멋있었습니다!",2022.05.17
뮤지컬 지킬앤하이드 (Jekyll＆Hyde),5,best,bestty,2022.05.16
뮤지컬 지킬앤하이드 (Jekyll＆Hyde),4,카지킬 최고!,카지킬 최고!!,2022.05.16
뮤지컬 지킬앤하이드 (Jekyll＆Hyde),3,아직도,하고있다 지앤하,2022.05.16
뮤지컬 지킬앤하이드 (Jekyll＆Hyde),5,&#128077;&#128077;&#128077;&#128077;&#128077;,&#128077;&#128077;&#128077;&#128077;&#128077;,2022.05.16
뮤지컬 지킬앤하이드 (Jekyll＆Hyde),4,지킬 앤 하이드,배우님들 다 너무 잘하세요 재밌게 잘 봤습니다,2022.05.16
뮤지컬 지킬앤하이드 (Jekyll＆Hyde),5,지앤하,전동석 배우 짱 좋아요~~~~!!!!,2022.05.16
뮤지컬 지킬앤하이드 (Jekyll＆Hyde),5,지앤하,지금 이 순간 마법처럼~ 막공 다시보고싶다.,2022.05.16
뮤지컬 지킬앤하이드 (Jekyll＆Hyde),4,끝나서 아쉬어요,이번시즌 길게 느껴졌어서 그런가ㅠㅠ 끝이 아쉽네요 괜히.. 다음 시즌 기다릴게요 ㅎㅎ 수고하셨어요 모두,2022.05.16
뮤지컬 지킬앤하이드 (Jekyll＆Hyde),4,서울 앵콜 해주세요,지킬 여러번 봐도 잼읶어요. 넘버 좋고 배우들 넘 잘라고 최고입니다..근데.왜 재관랄이 없는거죠? 재관할이.있으면 별 5개인데.너무 아쉽네요,2022.05.16
