musical_title,rate,review_title,review_text,review_date
뮤지컬 〈캣츠〉 오리지널 내한－서울（Musical CATS）,5,감동,최고의순간,2023.04.04
뮤지컬 〈캣츠〉 오리지널 내한－서울（Musical CATS）,5,재치넘치는 젤리클세상,"오래된 느낌이 나는 음악이였으나 나중에 집에서 흥얼거리는 멜로디가 있다~~  무대와 특히 고양이 의상 그리고 움직임 정말 인상적이다. 중간중간 객석에난입하는 장난꾸러기 고양이들이 유쾌함을 준다. 특히 브래드 리틀의 익살스러운 예언자 고양이, 그리고 모든 고양이들이 주인공인 것 같아 좋았다. 대부분 주인공 2명이 중심이 되는 공연이 많은데 오랜만에 함께하는 단체공연을 본 것 같다.",2023.04.02
뮤지컬 〈캣츠〉 오리지널 내한－서울（Musical CATS）,4,입덕용으로는 그래도 최고~,이런저런 말도 많고 아쉬운 것도 많았지만 그래도 즐거웠습니다.,2023.03.31
뮤지컬 〈캣츠〉 오리지널 내한－서울（Musical CATS）,5,최고의뮤지컬,너무 즐거운 공연이였습니다. 최고최고!!,2023.03.31
뮤지컬 〈캣츠〉 오리지널 내한－서울（Musical CATS）,4,캣츠 관람 후기,"원어 뮤지컬은 처음이었는데 생생한 라이브 공연 정말 잘 봤습니다. 자막이 잘 보여서 공연 이해하는 데 문제도 없고, 무대도 화려해서 볼거리가 풍성했어요.",2023.03.28
뮤지컬 〈캣츠〉 오리지널 내한－서울（Musical CATS）,5,너~~무 재밌었어요!,요새 캣츠 넘버곡들은 제 플레이리스트에 있어요ㅎㅎ 너무 즐거운 시간이었습니다. 한번 더 보고싶어요~~??,2023.03.27
뮤지컬 〈캣츠〉 오리지널 내한－서울（Musical CATS）,5,캣츠 오리지널 내한,살면서 한 번쯤은 캣츠 오리지널로 봐줘야죠!! 젤리클석에 앉았는데 고양이들이랑 소통도 하고 좋았습니다~,2023.03.25
뮤지컬 〈캣츠〉 오리지널 내한－서울（Musical CATS）,5,최고,저도 너무 좋았지만 9살 어린이가 더 좋아하네요 ㅋㅋ,2023.03.24
뮤지컬 〈캣츠〉 오리지널 내한－서울（Musical CATS）,5,캣츠,모두 보세요. 아름다운 음악과 일사 분란한 춤,2023.03.23
뮤지컬 〈캣츠〉 오리지널 내한－서울（Musical CATS）,4,캣츠,너무 아름다운 고전 뮤지컬이렇게 아름다운 내용과 음악과 춤모두 아흠다웠다.,2023.03.23
뮤지컬 〈캣츠〉 오리지널 내한－서울（Musical CATS）,5,오랜만에 돌아온 젤리클석 !!,캣츠 배우들과 소통하며 관람할 수 있는 젤리클석 대만족이었어요,2023.03.20
