musical_title,rate,review_title,review_text,review_date
뮤지컬 〈킹키부츠〉,5,최고,오랜만에 보러간 거였는데 최고의 공연이었습니다ㅜㅜ,2023.01.06
뮤지컬 〈킹키부츠〉,5,재밌었어요,생각보다 재밌고 로라나올때가 제일 좋아요 ㅎㅎ,2022.11.22
뮤지컬 〈킹키부츠〉,5,영원히 킹키하라! Let's dance~,"올해 제일 잘한 일이 킹키를 알게되고 회전 돈 거예요!!!제 통장은 마이너스 또 마이너스이지만....마음만은 정말 행복했습니다 ㅠㅠ최재림, 김성규 배우님에 빠져서 보러간 거였는데 극 자체가 너무 힐링이다보니 어느새 모든 캐스트 분들에게 빠져서 정말 행복했어요!지방공까지 따라갔으니 말 다한거죠....24년 킹키 꼭 와줘야돼요!!! 이 캐스트 그대로!!!! 진짜 제발요ㅠㅠㅠㅠ저 그때는 취업 성공해서 눈치보지않고 전관할거예요!!! 킹키 짱",2022.11.22
뮤지컬 〈킹키부츠〉,5,경롤라,우주처럼 상대를 배려할줄아는섬세한 롤라그녀로부터 인간관계를 배웁니다,2022.11.21
뮤지컬 〈킹키부츠〉,5,경롤라??,JBY 어머어머 자기 내 스타일이얌~ 므흣,2022.11.21
뮤지컬 〈킹키부츠〉,5,킹키부츠최고ㅜㅜ,킹키하라!!!,2022.11.21
뮤지컬 〈킹키부츠〉,5,킹키,누구나 행복하게 그리고 신나는 공연,2022.11.21
뮤지컬 〈킹키부츠〉,5,좋은 공연이었습니다.,열심히 준비해 주시고 좋은 공연을 선사해 주셨습니다.,2022.11.20
뮤지컬 〈킹키부츠〉,5,킹키,경롤 킹키 최고최고,2022.11.20
뮤지컬 〈킹키부츠〉,5,킹키,킹키 최고ㅠ 경롤 최고최고,2022.11.20
뮤지컬 〈킹키부츠〉,5,에블바디 킹키!,"와 너무 재밌습니다. 웃고,울고 다 했습니다.쿤찰, 뀨찰은 못봤지만 부산에서 킹키응 한 번 더 볼 수 있다는 걸로 위안 삼아봅니다..ㅠㅠㅠ제 애정극 등극..!! 또 와주실거죠..?????",2022.11.18
뮤지컬 〈킹키부츠〉,5,짱키부추 짱,킹키부츠만큼 재밌는데 또 눈물나고 그치만 또 힘이되는 뮤지컬은 못 본거 같아요 24년 너무 기다립니다..,2022.11.17
뮤지컬 〈킹키부츠〉,5,영원히 킹키하라,킹키부츠는 봐도봐도 안질려요ㅠㅠㅠㅠ 영원히 킹키하라,2022.11.16
뮤지컬 〈킹키부츠〉,5,인생뮤지컬,매일보고싶어요ㅠㅠ,2022.11.15
뮤지컬 〈킹키부츠〉,5,뮤덕의 인생은 킹키부츠를 보기 전과 후로 나뉜다,현생의 지긋지긋함을 벗어나기 위해  나를 위해 뮤지컬을 보러다닌지 3년차  시즌20 킹키부츠는 코로나로 인해 얌전할 ? 수 밖에 없던 킹키라면  이번 시즌22 킹키부츠는 그동안의 조용함을 다 날려버리는 그야말로 광기의 킹키부츠 진짜 이번 시즌은 한마디로 미쳤다,2022.11.14
