musical_title,rate,review_title,review_text,review_date
뮤지컬 〈프랑켄슈타인〉,5,재미있었어요,최고네요 또 보고 싶습니다,2023.03.29
뮤지컬 〈프랑켄슈타인〉,5,재밌어요,최고입니다,2023.01.23
뮤지컬 〈프랑켄슈타인〉,5,굿,...,2022.07.22
뮤지컬 〈프랑켄슈타인〉,5,막공이 취소되어 아쉽지만 정말 재미있었습니다.,처음으로 한 극에 푹 빠져서 여러번을 본 뮤지컬이었습니다,2022.06.13
뮤지컬 〈프랑켄슈타인〉,5,최고의 뮤지컬@@@!!!!,프랑켄슈타인~~~,2022.05.30
뮤지컬 〈프랑켄슈타인〉,5,최고의 뮤지컬@@@!!!!,프랑켄슈타인 만세,2022.05.30
뮤지컬 〈프랑켄슈타인〉,5,"인생 자첫 최고,,","진짜 다들 너무 잘하시고,, 넘버 너무 좋고,,난 눈물 좔좔 흘리고,, 언제 또올까 ㅜ 가지마 빅터,,~",2022.04.22
뮤지컬 〈프랑켄슈타인〉,5,완전재밋음,또보고싶어요 5연언제와요,2022.04.16
뮤지컬 〈프랑켄슈타인〉,5,최고의 뮤지컬,프랑켄슈타인 보고 민우혁 배우님 팬 됐어요 정말 그 에너지도 너무너무 좋았어요 행복한 기억 만들어주신 배우님들 감사합니다 +_+,2022.03.29
뮤지컬 〈프랑켄슈타인〉,5,프랑켄,비록 코로나 때문에 표 썰릴까봐 조마조마 했는데 역시 프랑켄 넘버도 너무 좋고 배우분들 연기도 너무 좋고 많은생각을 하게 되는 뮤지컬이였어요 즐겁게 잘 관람했습니다,2022.03.27
뮤지컬 〈프랑켄슈타인〉,5,잘 봤습니다,잘 봤습니다,2022.03.26
뮤지컬 〈프랑켄슈타인〉,5,인생 뮤지컬,정말 인상적인 뮤지컬 한 번 보면 잊을 수 없는. 하지만 음향이 너무 구려서 너무 힘들었다 조명도 구려서 눈이 아팠다,2022.03.21
