musical_title,rate,review_title,review_text,review_date
베어 더 뮤지컬(bare the musical),5,베어 보고 싶어요,너무너무 그립네요ㅠㅠㅠㅠㅠㅠ 보고 싶어요ㅠㅠ,2022.10.17
베어 더 뮤지컬(bare the musical),2,생각보다 취향이 아니었습니다...,넘버들은 정말 좋았지만극의 내용은... 취향이 아니었네요...,2022.10.14
베어 더 뮤지컬(bare the musical),5,오랜만에 본 공연,초연 재연 신나게 달리다가 정말 오랜만에봤는데 넘 좋았어요!,2022.10.13
베어 더 뮤지컬(bare the musical),5,너무좋았어요,"너무좋았어요넘버도 좋지만, 배우님들 연기가 최고였어요~",2022.10.12
베어 더 뮤지컬(bare the musical),5,윤윤페어,짱... 다음에도 왔으면,2022.10.11
베어 더 뮤지컬(bare the musical),5,베어더뮤지컬 인생작 ㅜㅜ,넘버도 좋고 재밌었어요,2022.10.11
베어 더 뮤지컬(bare the musical),5,너무 재밌어요ㅜㅜ,베어 다음시즌도 넘 기대됩니다!!,2022.10.11
베어 더 뮤지컬(bare the musical),5,베어 최고..0,항상 유튜브나 음원으로만 듣던 극을 처음 극장에 직접 가 보게 되어 너무 설랬다!연강홀 단차가 안좋다는 이야기를 많이 보고 들어서 걱정이 되기도 했지만 앞자리 였어서 단차 상관없이 너무 잘 보였다! 앞자리 없으면 안보겠다고 다짐했어서 예대가 터져서 보러 갈 수 있었던!!1막이 끝나고 나서도 2막이 끝나고 나서도 여운이 오래갔다. 사실 아직도 헤어나오지 못하는 중이기도 하다.. 매일 음원이나 듣고 있음 ㅠㅠ 굉장히 자둘을 하고 싶지만 시간이 안맞아서 막공 전에 가능할 지 모르겠다..앞자리다 보니 배우님들 표정이 다보여서 하나하나 놓치고 싶지 않았다. 엄청 집중하고 보느라 시간이 순삭당한 기분.. 나 이거 왜 이제서야 빠졌냐고… 지훈핕 못잃어.. 아직 끝나지는 않았지만 지훈핕 다음 시즌도 돌아와주세요ㅠㅠ,2022.10.10
베어 더 뮤지컬(bare the musical),5,재밌었어요,재밌었습니다 다음에 또 보고싶어요,2022.10.10
베어 더 뮤지컬(bare the musical),5,재밋어료,재밋엉ㅅ,2022.10.10
베어 더 뮤지컬(bare the musical),5,"꼭 돌아와 우리 아이 피터,,","석호핕 꼭 돌아와야대,,, 안오면 안돼,,,,내 원픽이었어 행복했다 피터,,,,쓰레기는 없어 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ",2022.10.10
베어 더 뮤지컬(bare the musical),5,킹갓베어,베어 육연 올때가 됏는데...,2022.10.10
베어 더 뮤지컬(bare the musical),5,임예진 배우님 빛난다,배우님 보러 또 갈게요,2022.10.09
베어 더 뮤지컬(bare the musical),5,미쳤다,또 올라오면 또 볼게요,2022.10.08
베어 더 뮤지컬(bare the musical),5,2층자리의 장단점,2층에서 보면 무대 위쪽이랑 앞쪽이 가려져서 피터가 땅바닥에 굴러다니는거랑 배우분들 2층에서 연기하시는게 보이지 않아 쪼금 불편한 감이 있습니다만 배우님들이 하나님한테 기도하는 내용의 넘버나 연기하실때 전지적시점으로 더 몰입감 있게 관람할수 있는 재미가 있었습니다.,2022.10.07
