musical_title,rate,review_title,review_text,review_date
블루맨그룹 월드투어,5,멋진 퍼랭이들ㅋㅋㅋ,"공연 너무 재미있었고, 마지막엔 가슴 뻥 뚫리는 그런 공연이었어요!퍼랭이들 홧팅!",2022.08.21
블루맨그룹 월드투어,5,공연 재미있었어요,"1+1 이벤트까지, 덕분에 공연 즐겁게 잘 봤습니다.",2022.08.20
블루맨그룹 월드투어,5,정말 재미있었어요??,저랑 같이 간 남편이 무대에 올라가서 즉흥연기를 했던 모습이 제일 기억에 남습니다 너무너무 즐겁게 보낸 시간이였어요??,2022.08.18
블루맨그룹 월드투어,3,아무생각없이 보기조아요,한국의 난타를 미국의 난타라고 비교하면될지 음식대신 페인트 조금더 EDM스럽다. 무념무상 그냥 보기만하면된다!! 한번쯤은 봐도조으댜,2022.08.17
블루맨그룹 월드투어,5,지금까지 봤던 공연중 최고입니다!,인생 최고의 공연입니다.,2022.08.16
블루맨그룹 월드투어,5,온가족이스트레스가풀리는소중한경험이였어요!,저는 라스거베스에서 본적이있었는데 온가족이 함께보고싶어서 급하게 예매를했답니다. 일분일초도 놓칠수없을만큼 재미있었고 여자분의 드럼실력은 통쾌하다못해 시원했습니다. 관객과 소통하려는 블루맨공연의 특징이 적절히잘표현된것같아요 부모님도 너무만족해하시고!! 여운이남는 공연이였습니다~ 마지막  벌룸엔딩은 인스타용포토타임까지ㅋㅋㅋ 완벽그자체였어요!! 너무잘봤습니다!!,2022.08.16
블루맨그룹 월드투어,5,블루맨그룹,블루맨그룹 재미있네요.,2022.08.12
블루맨그룹 월드투어,5,즐겁고 신나는 여름이었습니다,너무 즐겁고 신났어요. 오랜만에 코엑스에서 남편과 데이트도 하고 스트레스도 확 풀리더라구요 짱!!!,2022.08.12
블루맨그룹 월드투어,5,기억에 오래 남을 시간,"올 여름휴가로 관람한 블루맨쇼~! 관람후기가 호불호가 있어서 큰 기대는 안하고 관람을 하였는데,, 생각보다 너무너무 재밌는 시간이었어요~ 신랑도 코믹쇼에 인색한 편인데도 넘 재밌었다고 하더라구요,, 좀 이른 날짜에 봤다면 주변에 꼭 한번 보라고 적극추천 했을텐데 막공 3일전에 본거라 시간이 없었네요, 월드투어 공연은 챙겨보는 편인데 이번 블루맨쇼도 실망하지 않아 넘 행복합니다~~",2022.08.12
블루맨그룹 월드투어,4,8살 아들이 좋아했습니다^^ ,뭐가 그리 궁금한지 처음엔 계속 속닥속닥 질문하더니 나중엔 열심히 웃으면서 본다고 질문도 안하더라구요~ 행복한 시간이었습니다^^,2022.08.10
블루맨그룹 월드투어,5,최고의 공연,너무 즐겁고 힐링에 시간이였어요,2022.08.10
블루맨그룹 월드투어,5,블루맨 그룹 월드와이드 공연,역시나 명성에 어울리는 환상적인 공연이었습니다. 뉴욕 브로드웨이에 가면 꼭 관람해야하는 공연인데 ㅎ 공연초반에 제 이름이 거론되고 참여할수 있어서 더 뜻깊은 추억으로 남게 되네요^^  다음 내한 공연도 기대됩니다!,2022.08.10
블루맨그룹 월드투어,5,매우 신나는 공연,박진감 넘치고 신나는 공연이었습니다. 남녀노소 즐길 수 있는 공연이에요~!,2022.08.09
블루맨그룹 월드투어,5,"관객 참여 가능, 씐나는 공연",마지막 다같이 퐈리~퐈리~!!!,2022.08.09
블루맨그룹 월드투어,4,색다른 공연,강력한 비트! 관객과 함께 하는 좀처럼 보기 힘든 즐거운 유쾌한 공연이었습니다.,2022.08.08
블루맨그룹 월드투어,4,좋아요,아이들과 함께 하셔도 아주 좋아합니다.  아이들이 어려서 공연 자주 못보시는 분들께 추천요,2022.08.08
블루맨그룹 월드투어,4,가족과 함께,"유치원, 초등학생 아이들과 같이 관람했는데, 아이 어른 할 것 없이 모두 신나게 즐기다가 왔네요.  다음에 내한 공연 다시 한다면 누구와 같이 하셔도 좋은 추억 만드실 수 있으리라 생각됩니다.",2022.08.08
블루맨그룹 월드투어,2,블루맨그룹,"음악이 있고, 웃음이 있어 재미있는 공연임은 분명하지만, 음악, 미술, 코미디 등 콘셉이 다소 산만함.",2022.08.08
블루맨그룹 월드투어,5,기대이상이고 환상적이네요,초3 아이와 방학맞이로 봤는데 넌버벌 퍼포먼스의 최강자 다운 멋진 작품이에요. 세대를 아우르고 전세계 모두가 공감하머 웃을 수있는 최고의 공연이에요,2022.08.07
블루맨그룹 월드투어,4,감사합니다 ,잘 봤어요. 이런 세계적인 공연이 계속 많이 한국에 왔으면 좋겠어요.인기없을때 오는 나라가 아니었으면 좋겠습니다. 마지막 30분은 체험이라 더 좋았어요,2022.08.07
블루맨그룹 월드투어,5,완전 재미있게 있어ㅋㅋㅋ,????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,2022.08.07
블루맨그룹 월드투어,5,아이도 어른도 즐거운 공연,열살 아이와 함께 한 공연이었어요. 아이도 신명나게 박수치고 웃으면서 즐겼어요. 특히 포토타임 때는 애가 눈이 휘둥그레져서 얼마나 졸아하는지 웃는 모습이 마스크 너머러도 느껴졌습니다.,2022.08.07
블루맨그룹 월드투어,5,안 봤으면 아쉬웠을 뻔 했어요.,사전정보 없이 공연을 관람했는데 신나고 재밌고 포토타임은 멋지고 아주 다 하네요.,2022.08.07
블루맨그룹 월드투어,5,부모님도 어린이도 너무 좋아한 공연! 강추!,부모님이 은퇴하시고 우울해하고 계셨는데 오랜만에 두분 모시고 즐겁고 시원한 공연을 보고 왔네요. 좋은 기억 주신 블루맨 스텝분들과 좋은 공연 주최하시는 인터파크 항상 감사합니다!!,2022.08.07
블루맨그룹 월드투어,3,관객참여 부분 개선 필요합니다.,우리가 다른 관객 참여하는것 보자고 비싼돈 주고 표 사는것 아니잖아요. 관객참여 부분이 길어도 너무길고 재미가 없었어요.,2022.08.07
블루맨그룹 월드투어,4,재밌었어요 .,지루하지않고 즐거운시간이었어요.나름스트레스도 풀고왔네요.재밌었어요.,2022.08.06
블루맨그룹 월드투어,5,스플레쉬석~!!,처음에 애들이 무서워할까봐 2층에서 보고 너무 아쉬워서 다시 친구들과 스플래쉬석으로 예매해서 봤는데!!!! 다시 봐도 너어무 재밌었어요. 애들도 너무 좋아했구요~^^,2022.08.06
블루맨그룹 월드투어,5,하필 남녀 짝 지은 분들이,둘다 이미 커플이었던 분들...,2022.08.05
블루맨그룹 월드투어,5,최고에 공연이었습니다.,최고에 공연이었습니다. 강력 추천합니다.,2022.08.05
블루맨그룹 월드투어,4,신나는 시간,저희는 사정상 2층에서 관람했는데요  이 공연은 무조건 1층에서 보는게 훨씬 좋을것 같다는 생각이 들더라구요 관객 참여하는 것도 많은데 음 2층은 아예 눈길을 안주시더라구요 그래서 1층과 2층의 온도차가 컸습니다 그럼에도 기본적으로 음향의 울림이 좋아서 소리를 듣는 부분은 2층도 좋았습니다,2022.08.05
블루맨그룹 월드투어,1,내가 뭘 본거지? 예매하기 전으로 돌아가고 싶다,개그는 웃기지도 않고연주는 짧고구성은 부실하고관객 유도만 엄청심지어 관객 불러내서 하는게 고작 연인이 있는 남여 짝지어주는게 개그..? 진심으로 저게 재밌나?;;;; 차라리 남남을 하는게 더 쇼킹히고 재밌었을거 같음돈이 아까운 공연이라면 단연코 블루맨!!기억에 남는거리곤 끝나갈쯤 뿌려준 비눗방울 뿐...ㅎ..ㅎ.ㅎ..ㅎ...,2022.08.05
블루맨그룹 월드투어,4,음...ㅎ,기대가 너무 컸나 보네요 ㅎ그래도 재밌게 잘 봤습니다~~,2022.08.04
블루맨그룹 월드투어,4,최고의 공연,퍼포먼스 연기 음향 모두 다 최고의 공연이었습니다.강추해요.,2022.08.04
블루맨그룹 월드투어,2,아쉬운 공연,"후기가 좋아서 무대 바로앞자리 3가지 예매 우선 노래가 신나려고하면 멈추고 관객을 물색 그 시간이 무척 길어요 참여의사가 있을만한 사람을 찾고 찾아서 돌아다니기 때문에 기다림의 연속이죠  또, 맨 앞자리라 물감과 물을 맞을 각오로 비닐 우비까지 주셔서 입고있었지만  관객에게 물방울이 튈까봐 조심 또 조심하는게 보여서 90분동안 우비를 왜 입고있었는지 모르겠어요  또 관객 참여 공연이다보니 재미는 어떤 관객이 참여하는가에 따라 복불복인거 같아요.",2022.08.04
블루맨그룹 월드투어,5,너무 즐거운 시간,처음에 나오는 장면은 비위가 약한 사람한텐 좀 주의 필요ㅋㅋ 그 이후는 참 흥겹고 재밌는 시간이었음,2022.08.04
블루맨그룹 월드투어,4,부모님이 너무 좋아하셨어요,"오랜만에 부모님과 볼만한 공연을 찾다가, 우리나라 난타와 비슷한 블루맨 콘서트를 찾게 되었습니다. 시원시원한 공연과 함께, 관객과 소통하는 공연으로 부모님이 너무 만족하셨어요",2022.08.04
블루맨그룹 월드투어,4,화려해서 좋았습니다.,자녀와 함께 관람했는데 아이들도 좋아했고 불빛들도 화려했었습니다.  추천드려요,2022.08.04
블루맨그룹 월드투어,5,즐거웠어요,다시 또 보고싶어요,2022.08.04
블루맨그룹 월드투어,5,3분 같았던 90분의 공연,"옛날 인텔 광고에서 봤던 블루맨! 그 때 꼬꼬마 였던 제가 이제는 공연을 직접 예매해서 보게 되었네요! 공연이란 걸 처음 보는 남자친구와 다녀왔는데, 공연 끝나고 나서 보게 해줘서 고맙다는 말을 들었습니다 :)저희는 splash석 1열에서 관람했는데, 뒤에서 보는 것도 무대 세트가 충분히 생생하고 잘 보인다 생각했는데 앞에 가는 순간 정말 달랐습니다. 블루맨의 동작 표정 하나하나가 훨씬 더 생동감 있게 보였달까요?!공연에 제가 일부분이 되서 보는 느낌이었어요.또한, 언어라는 장벽을 뛰어 넘어 블루맨의 동작과 음악으로 교감 할 수 있는 시간이었어요.  말하지 않아도 충분히 느껴지고 동작에 따라 손 쉽게 이해하고 참여 할 수 있었습니다. 단순히 그냥 보는 것만이 아닌, 관객 모두가 참여 할 수 있는 공연이라 더 즐거웠습니다. 함께 뛰고 소리지르고 즐거워 하는 동안 90분이라는 시간이 3분같이 느껴졌습니다.10년만에 내한이라고 하던데 ㅠㅜ 다음 공연은 10년 후에 다시 볼 수 있으려나 섭섭하네요. 다음 공연은 결혼해서 아이와 함께 보고 싶네요 :)아이들에게 영감을 줄 수있는 그런 신선한 공연이었습니다.",2022.08.03
블루맨그룹 월드투어,4,마지막이 좀 아시웠어요,엔딩인가?! 긴가민가 하다 끝나는게 좀 아쉬웠지만 전체적으로 재밌었어요,2022.08.02
블루맨그룹 월드투어,5,아이와 함께!!!,초등아이와 함께 보기 너무 즐거운 공연였어요!!소리고 지르고 박수도 많이 치고!!공연시간 내내 신남 신남~~,2022.08.01
블루맨그룹 월드투어,5,참여형 공연이라 좋아요,많은 관중이 참여할 수 있어서 좋았던 공연입니다.  걱정반 기대반이었는데 걱정은 기우였군요. 같이 관람했던 딸은 한번 더 보고 싶다고 할 정도로 좋은 공연입니다. 무대 좌우를 넓게 다니면서 공연하니 스플래쉬 혹은 vip 존 옆자리에서도 충분히 즐길 수 있어요. 공연 잘 봤습니다.,2022.08.01
블루맨그룹 월드투어,5,여름방학 아이와 함께하기 좋았어요!,"여름방학 아이와 함께하기 좋은 블루맨그룹 월드투어!90분 동안 펼쳐지는 퍼포먼스에  아이들도 초집중해서 볼 수 있어요.독특한 커스텀 악기들의 연주와  미쿡식유머로 웃음이 끊이지 않았고  관객들  참여도 높아  방심하면 안되요!!ROCK, LAUGH, PARTY 어디에도 블루맨 그룹과 같은 공연은 없다는 것!6세 이상부터 관람 가능하고 대사없이 퍼포먼스로 진행되어 7세, 9세 아이들이 집중해서 보았답니다.90분의 감동을 사진으로 다 표현 할 수 없으니 직접 꼭 가보시길 추천할게요??7살 아들이 집에와서 블루맨그룹과 같이 장난감 놀이하고 싶을만큼 계속 생각난대요ㅎㅎ",2022.07.31
블루맨그룹 월드투어,5,어른과 아이 모두 즐길 수 있는 공연!,워낙 해외에서 유명한 공연이라고 들어와서 친구와 예매하여 갔습니다. 처음에는 낯설어 어색했는데 관객 참여 및 점점 빠져드는 블루맨들의 매력! 특히 아이들도 함께 즐길 수 있는 공연이라 더 좋았던 것 같아요. (유익한 내용도 있습니다. ㅋㅋ),2022.07.31
블루맨그룹 월드투어,3,재미있게 잘봤습니다. ,"아이들과함께 즐거운 시간 보냈니다. 자리도 앞쪽이어서 현장감 많이 느끼면서 같이 웃고 박수치고 재미있게 놀다 왔습니다. 특히 비눗방울과 바디패인팅 부분이 개인적으로 좋았습니다. 다만 관객 섭외 하는데 시간이 너무 걸려서 그런지 꽉찬 느낌보다는 아이들 이빠진 느낌이랄까 좀 더 빠른 구성과 다양한 음악구성이 아쉬웠습니다.나름 메시지도 있고 좋은 공연이 였습니다만, 한국사람은 3초이상 정적 흐르면... 여튼 호불호가 갈리수 있다고 봅니다.",2022.07.31
블루맨그룹 월드투어,3,관객과의 상호작용을 줄이고 음악공연이 더 길었으면,90분 밖에 안되는데..즉흥 관객섭외라 포커스 나간 카메라 영상에 섭외시간도 너무 길고 섭외하는 건 차라리 커플로 온 사람들을 캐스팅하는게 좋을 것 같아요.난타공연 너무 좋던데 다이너마이트 연주를 완곡해도 다들 흥이 차올랐을텐데..신날만하면 뚝뚝 끊겨서 안타까웠어요.6세이상인데 저학년 초딩남아들이 딱 취저일거같고 미취학이 보긴 좀 과한부분들도 있어서..그리고 주말 주차는 헬이라 그냥 대중교통추천이요.,2022.07.31
블루맨그룹 월드투어,4,대단합니다 ,후기를 훑어보고 갔어여~~ 기대반 걱정반!!! 스플래쉬석 바로 뒷자리라 물 맞을까 걱정했는데 다행히(?) 그렇게 물 맞을일 없었구여!!! 공연의 30%는 관객과의 호흡이 관건~~ 저흰 좋았어요. 오랫만에 신나게 뛰고 소리쳐!!! 전 힐링 됐네요^^ 미국공연얘기하시던 어떤 후기 보았는데… 괜시리 기대가 !!! 코로나 끝나고 미국기게됨 꼭 다시한번 본토의 공연 보고싶네요^^,2022.07.31
블루맨그룹 월드투어,5,아이도 어른도 신나는 공연,"말 한마디없이 아이,어른 모든 관객을 웃게 만들고 자연스레 관객 참여를 유도하는 공연.깔깔 웃고,신나게 박수치면서 참여하다보면 90분이 후딱 지나간다.공연 시작 전 전광판에 나오는 글들로 웃음은 이미 장착!아이들과 오랜만에 신나게 즐기고 온 공연이었다.^^",2022.07.30
블루맨그룹 월드투어,4,인터렉티브한 공연 좋아요,즐기는 마음으로 참여하는 자세로 보면 참 재밌는 공연입니다 초등학생 4학년 딸이랑 봤는데 엄청 좋아했어요,2022.07.30
블루맨그룹 월드투어,5,흥겹고 즐거운 시간,"우연히 신문에 기자가 쓰신 내용보고 무작정 예매해서 봤는데, 사실 정확하게 어떤 공연인줄 모르고 광주에서 근무하는 조카를 휴가쓰게 하고 일부러 공연 관람했네요. 무지무지 행복하고 즐겁고 신나고 몸이 하늘로 붕붕 떠 다녔네요. 정말 재미있고 신나는 공연입니다. 코로나로 한동안 공연도 못보고 즐거운 일도 없었는데 공연보고 조카와 완전 붕붕 날라다녔네요. 너무 너무 재미있고 행복했습니다. 공연중 관람객 전체가 춤을 추고 흥겹게 놀아서 간만에 몸도 풀었습니다. 공연 비용 하나도 아깝지 않아요. 제가 인천사는 사람인데 평일(목요일) 저녁 8시 공연보고 강남에서 헤매면서 집에 도착했는데, 피곤은 저리가고 흥분도만 가득가득 들고 왔습니다.  못보신 분들 꼭 함께하시어 이 흥분을 같이 느끼시길 기대해봅니다. 좋은 공연 감사합니다. 또다시 참여하려합니다.",2022.07.29
