musical_title,rate,review_title,review_text,review_date
육군 창작 뮤지컬 〈블루헬멧 : 메이사의 노래〉,3,팬이 아니면..,"사실 기용님팬도 아니고 찬열님팬도 아니어서 별 기대없이 갔는데 기용님이 노래를 참 잘해서 놀랐다.근데 준석이랑 선호 너무 안어울린다는 생각이 들었다.배우들이 많은데도 무대가 허전해보이는건 왜그런지..공연의 흐름이 끊기는느낌은 기분탓인지..이래서 군뮤는 팬들이 팬심으로 봐야하는거구나~원래 공연을 좋아하다보니..작년에 우연히 보게 된 뮤지컬이어서 다른배우들이 한다고하니까 궁금해서 고민하다가 간거였는데..매력적인 씬들을 빼버리고, 주저리주저리 대사가 들어온건 그장면을 못살리니까 대사로 풀어준것같은 생각이 들어서 아쉬웠다.보고나서 많은 부분이 아쉬웠다.팬심으로 간다면 모를까 공연을 보기위해 가기에는..",2022.05.24
육군 창작 뮤지컬 〈블루헬멧 : 메이사의 노래〉,5,좋아요,재밌습니다.,2022.05.23
육군 창작 뮤지컬 〈블루헬멧 : 메이사의 노래〉,5,배우들이 열심,배우들이 열심이라 맛집임,2022.05.23
육군 창작 뮤지컬 〈블루헬멧 : 메이사의 노래〉,5,추천합니다,잘 봤습니다!,2022.05.17
육군 창작 뮤지컬 〈블루헬멧 : 메이사의 노래〉,5,재밌게 관람했습니다.,마지막에 애드립까지 찰지고 정말 좋았다,2022.05.17
육군 창작 뮤지컬 〈블루헬멧 : 메이사의 노래〉,5,재밌게 관람했습니다.,또보고싶다,2022.05.17
육군 창작 뮤지컬 〈블루헬멧 : 메이사의 노래〉,5,재밌게 관람했습니다.,행복했다.,2022.05.17
육군 창작 뮤지컬 〈블루헬멧 : 메이사의 노래〉,5,재밌게 관람했습니다.,즐거웠다.  매우.,2022.05.17
육군 창작 뮤지컬 〈블루헬멧 : 메이사의 노래〉,5,재밌게 관람했습니다.,"너무 좋았다,  그 모든 것이.",2022.05.17
육군 창작 뮤지컬 〈블루헬멧 : 메이사의 노래〉,5,좋아요,좋아요,2022.05.16
육군 창작 뮤지컬 〈블루헬멧 : 메이사의 노래〉,5,총막도 멋졌습니다,지방공연도 보러갈게용!! 이미 예매 완료!!,2022.05.16
육군 창작 뮤지컬 〈블루헬멧 : 메이사의 노래〉,5,잘봤습니다,효진아 승준아 사랑해,2022.05.16
육군 창작 뮤지컬 〈블루헬멧 : 메이사의 노래〉,5,좋은 자리에서 재미있게 봤습니다,군뮤지만 배울것이 많은 내용이었습니다,2022.05.12
육군 창작 뮤지컬 〈블루헬멧 : 메이사의 노래〉,5,지방공연도 파이팅,메이사의 노래 배우님들 아프지 마시고 지방투어도 힘내세요,2022.05.12
육군 창작 뮤지컬 〈블루헬멧 : 메이사의 노래〉,5,군배우들 정말 멋지십니다,"군배우님들, 아역분들, 그리고 배우님들 다 열정적으로 연기하셔서 너무 재미있게 잘 관람했습니다!!",2022.05.11
