musical_title,rate,review_title,review_text,review_date
태양의서커스〈뉴 알레그리아〉,5,너무 좋았어요,다시는 못볼줄 알았는데행복한 시간이였습니다,2023.01.31
태양의서커스〈뉴 알레그리아〉,5,좋아요 ,조아요,2023.01.29
태양의서커스〈뉴 알레그리아〉,5,볼거리가 화려한 공연,지인 추천으로 관람했는데 새로운 타입의 신선한 공연이네요뮤지컬적 요소는 적어서 좀 아쉽긴했지만 공연자체는 매우 만족입니다.,2023.01.29
태양의서커스〈뉴 알레그리아〉,5,"어릴 때의 추억, 인간의 한계를 생각케 하는 ..",멋진 공연이었습니다.,2023.01.28
태양의서커스〈뉴 알레그리아〉,5,정말 말 표현하기  힘들다,넘 멋있고 쨈나고 기다리고 있는보람이 있었다,2023.01.27
태양의서커스〈뉴 알레그리아〉,5,좋은 공연 좋은 추억,새해 첫날이라 그런지 가족단위 관람객이 많았습니다. 가족동반으로 좋은 추억을 만들 수 있는 기회였습니다.,2023.01.26
태양의서커스〈뉴 알레그리아〉,5,부모님 모시고 가기 좋은 서커스!,부모님 모시고 가기 좋은 서커스!너무 멋있고 재밌었어요!,2023.01.24
태양의서커스〈뉴 알레그리아〉,4,재미있었어요,노래도 라이브로 듣기좋았고 공연도 지루하지 않고 재미있었네요,2023.01.24
태양의서커스〈뉴 알레그리아〉,5,재밌게 잘 봤습니다.,가족들과 재밌게 잘 봤습니다.,2023.01.24
태양의서커스〈뉴 알레그리아〉,4,부모님과 봤는데 재밌었어요 ,부모님이 가고 싶어하셔서 같이 갔습니다. 재밌었어요고급스러운 무지컬 같은 음악과 어울어진 다양한 서커스가 인상적이었습니다.,2023.01.23
태양의서커스〈뉴 알레그리아〉,5,최고의공연 ,매번 태양의서커스는 절 실망시키지않네요~~^^,2023.01.21
태양의서커스〈뉴 알레그리아〉,3,세번째 관람,태양의서커스 세번째 관람입니다솔직히 알레그리아보다 퀴담이 더 볼거리도 많고 화려했습니다. 알레그리아는 좀 지루했네요..서커스라기보단 개그에 가까운듯..VIP금액이 아까웠습니다. 한가지 퀴담때보단따뜻하고 좌석도 등받이가 있어 괜찮았습니다,2023.01.20
태양의서커스〈뉴 알레그리아〉,5,즐거웠어요 현장감이 대단했어요,딸이랑 둘이서만 보러갔는데...다시 내한해주세요. 온 가족 다 보러 갈거예요.,2023.01.18
태양의서커스〈뉴 알레그리아〉,5,온몸에 전율이 쫘~~~악,입장부터 기대감에 흥분 상태였는데인간의 한계가 어디까지인지 가늠할 수 없었던 공연들과 황홀한 음악으로 한순간도 놓칠수 없는 시간들이었습니다~~^^,2023.01.18
태양의서커스〈뉴 알레그리아〉,4,환상의 서커스,항암중이신 부모님과 함께 본 공연너무 좋았습니다..,2023.01.16
태양의서커스〈뉴 알레그리아〉,5,태양의 서커스,너어무 재밌었어요ㅠㅠㅠ,2023.01.15
태양의서커스〈뉴 알레그리아〉,5,두 번 봤어요!,"첫 공연이 정말 좋았어서, 부모님 모시고 또 갔어요. 부모님도 좋아하시고 저도 즐거운 시간이었어요!",2023.01.15
태양의서커스〈뉴 알레그리아〉,5,황홀,황홀 그 잡채. 인생 한번은 꼭 봐야하는 공연,2023.01.14
태양의서커스〈뉴 알레그리아〉,5,인생에 한번 쯤은…,노력의 결실.. 멋진 작품!!,2023.01.14
태양의서커스〈뉴 알레그리아〉,5,추억이 솔솔~,어릴적 TV로 보던 서커스를멋지게 감탄하며 보았습니다. *****,2023.01.14
태양의서커스〈뉴 알레그리아〉,3,괜찮지만,vip석까지 살 필욘 없는거 같아요,2023.01.13
태양의서커스〈뉴 알레그리아〉,5,행복한 시간,눈과 귀가 즐거웠네요,2023.01.12
태양의서커스〈뉴 알레그리아〉,5,행복한 시간이었습니다,평생 처음으로 큰돈 쓰고 부모님과 함께 였는데 역시 퀄리티가 느껴지는 공연이었습니다.금액적으로는 부담스러운 건 사실인데 다시 한번 보고 싶다는  생각이 드네요.,2023.01.12
태양의서커스〈뉴 알레그리아〉,5,한번은 꼭 볼만한 공연,조금 더 일찍 알았으면 부모님도 모시고 한번 더 봤을텐데 너무 늦게 알아버렸네요. 좌석과의 거리가 아주 먼게 아니라서 어디에 앉아도 다 괜찮을것 같습니다. 다음에 또 언제 다시 하려나요 그땐 부모님 모시고 보겠습니다^^,2023.01.11
태양의서커스〈뉴 알레그리아〉,5,최고의공연,너무멋진 공연이었어요,2023.01.10
태양의서커스〈뉴 알레그리아〉,5,찐~멋찐 공연,일본에서 귀국하여 부모님과 함께 관람하였는데 훌륭한 공연을 같이 보게되어 좋은 추억을 남겼습니다. 일본에서도 공연일정이 있다고 들어서 출국하면 지인들과 같이 한번 더 관람할 생각입니다. 뉴알레그리아 팀~ 좋은 공연 고마워용^^,2023.01.10
태양의서커스〈뉴 알레그리아〉,5,정말 멋진 추억을 가족과 함께!,서커스를 직접 보러 가는거 처음이었는데 가족과 함께 정말 즐거운 시간이었습니다! 묘기가 신기하고 멋있었어요.,2023.01.10
태양의서커스〈뉴 알레그리아〉,5,서커스란 걸 처음 봤는데 대만족이었습니다,부모님과 함께 연말을 맞아 처음으로 서커스를 보게 되었어요사이드 쪽이긴 했지만 공연을 즐기는데 문제 없었습니다!다음에도 또 이런 공연볼 수 있는 기회가 생긴다면 꼭 챙겨보려고 합니다!,2023.01.10
태양의서커스〈뉴 알레그리아〉,5,부모님두분이 좋아하셨어요,부모님모시고 봤어요Vip를 위한 주차나 케이터링서비스 모두 좋았구요 공연두 재미있고 멋졌어요연말에 부모님 즐거운 하루 되신거같아 뿌듯합니다,2023.01.09
태양의서커스〈뉴 알레그리아〉,4,엄청 기대까지는 아닌 ㅜㅜ,배우분들은 열정적이고 정말 잘하시지만금액대비 기대한만큼의 무대는 아니었습니다…,2023.01.09
태양의서커스〈뉴 알레그리아〉,5,한 해의 선물 같은 공연 태양의 서커스!  감사합니다!,너무 좋았다~관람 내내 행복에 겨워 예매해준 남푠님께 무한 감사를 했네요 ㅎ~ 9세 아이와 함께 봤는데 아이가 처음부터 끝까지 너무 집중하고 봐서 말 어때? 하고 걸기도 어려웠어요. 최고입니다! 아이가 공연 시작 전부터 무대를 보더니 바로 키즈 방석 달라고 ㅎㅎㅎ 볼 줄 아는 꼬꼬마! 이런건 그냥 볼 수 없죠. 키가 작아 다행히 방석까지 얻어서 잘 봤네요. VIP 라운지도 맛있는 간식 준비 잘 되어 있고 추운날 봤는데 너무 따뜻했습니다또 공연하면 무조건 예매할 예정입니다!,2023.01.09
태양의서커스〈뉴 알레그리아〉,5,환상적인 경험,두번이나 봤네요 좋은 공연이었습니다,2023.01.09
태양의서커스〈뉴 알레그리아〉,5,환상적인 경험,인간이 행할 수 있는 극치의 예술,2023.01.09
태양의서커스〈뉴 알레그리아〉,5,기대 이상의 무대,"무대 연출이 가장 인상깊었고, 음악이 너무나도 좋아서 며칠동안 음악이 머릿속을 떠나지 않았습니다.",2023.01.08
태양의서커스〈뉴 알레그리아〉,5,한번은 꼭 봐야,티켓 가격이 비싸긴 하지만 살면서 이런 서커스를 눈 앞에서 본다는거 자체만으로도 의미 있음,2023.01.08
태양의서커스〈뉴 알레그리아〉,5,음악마저도 너무 좋은....,큰 맘 먹고 가족 셋이서 태양의서커스를 보고 왔습니다. 서커스도 너무 재밌고 멋있었지만... 지금 전 태양의서커스 OST에 푹 빠져서 매일 듣고 있습니다. 음악을 들으면 장면 하나하나가 머릿속에 스쳐 지나갑니다. 기회가 되면 꼭 다시 보고 싶습니다. Mirko가 중독성이 아주 심합니다. 조심하세요. ㅋㅋ,2023.01.08
태양의서커스〈뉴 알레그리아〉,5,환상적인 공연,"음악,배우들의 연기, 퍼포먼스 ,무대 효과 그 어느것 하나 빠지지 않는 너무나 훌륭한 공연이었습니다~  크리스마스날 온 가족 너무나 인상적인 공연이라 행복한 시간 보냈습니다~",2023.01.07
태양의서커스〈뉴 알레그리아〉,5,후회하지 않는 최고의공연,너무 재밌어요 인간미있는 보분도있고노래와 눈을땔수없는 공연들재밌었어요,2023.01.07
태양의서커스〈뉴 알레그리아〉,5,연말 기분 좋은 시간 선물,연말 가족들과 공연을 보러 갔습니다.웃음과 신비함을 선물한 공연팀 감사합니다!덕분에 가족과 소중한 시간을 선물받았습니다!,2023.01.06
태양의서커스〈뉴 알레그리아〉,5,부모님이 너무 좋아함,부모님이 너무 좋았다고 하셨어요,2023.01.06
태양의서커스〈뉴 알레그리아〉,5,아주 좋이요,퀘담보았었구요 이번에 서커스 어머니 모시고 잘 보고 왔습니다,2023.01.05
태양의서커스〈뉴 알레그리아〉,5,너무 좋이요,즐거운 관림했습니다,2023.01.05
태양의서커스〈뉴 알레그리아〉,4,좋았어요~,아이들과 너무 재미있게 봤습니다!단지 아쉬운 점은 이 가격을 주고 보러 가는데 앞사람의 앉은키에 따라 시야가 복불복이라는 겁니다;아이가 앞사람 때문에 고개를 좌우로 피해가며 봐야했네요 ㅠ,2023.01.05
태양의서커스〈뉴 알레그리아〉,5,서커스는 예술입니다,"어렸을 때 부모님 따라가서 본 서커스와 전혀 다르네요. 공연장, 서커스 모두 아름다워요.저희 가족을 아껴주시는 분이 태양의 서커스는 인생작이라며 티켓값을 주시며 권해주셔서 관람하게 되었어요.어렸을 때 서커스를 봤던 그리 좋은 추억이 아니라 제 스스로는 서커스를 보러 갈 마음은 평생 들지 않았을 거에요. 권해주신 분의 정성에 겨우 예매하고(공연 마지막 날 즈음이라 원하는 좌석을 도저히 찾기 어려워 겨우 앞뒤좌석으로 예매했어요) 공연장에 들어설 때도 그리 큰 기대는 없었어요. 한 시간 전에 도착했음에도 너무 많은 관객에 그저 놀라기만 했거든요. 그런데 서커스가 시작되고 순간 순간 모든 장면에서 눈을 떼지 못했어요. 공연을 보고 나서 이것 저거 검색하며 서커스에 대해 알아갔어요. 다음 서커스는 꼭 얼리버드로 예매해서 좋은 좌석에서 부모님도 꼭 함께 봐야지 큰 결심을 합니다. 정말 멋지고 아름다운 공연입니다.",2023.01.05
태양의서커스〈뉴 알레그리아〉,1,최악의 공연,태양의 서커스라는 이름이 아까운! 하나부터 열까지 전부 실망! 어떻게 이딴식으로 공연기획을 할 수 있는지!!! 말 할 가치도 없음! 태어나서 나쁜 후기 처음 작성함!,2023.01.05
태양의서커스〈뉴 알레그리아〉,5,아이들과 행복한 연말되었습니다,아이들표정도 밝고 좋은 공연 보여주셔서 감사합니다,2023.01.05
태양의서커스〈뉴 알레그리아〉,5,태양의 서커스 뉴 알레그리아,부모님들과 환상적인 공연을 보고 왔습니다. 새해 첫날 부터 눈 호강하고 왔네요 마지막 공연날이라 넘 아쉽네요 다음에 태양의 서커스 내한을 하면 꼭 다시 부모님들 모시고 보러 오고 싶어요,2023.01.05
태양의서커스〈뉴 알레그리아〉,4,기둥이 있는지~,몰랐어요. 정면에서 보는걸 추천!,2023.01.04
태양의서커스〈뉴 알레그리아〉,4,예상한 만큼,텔레비전과 여러 매체에서 많이 봐서 딱 예상한 그만큼이었음. 현장에서 느껴지는 현장감과 짜릿함이 좋았고 무엇보다 음악이 좋았음. 나는 갠적으로 흰 드레스보다 검은 드레스 입은 여자가수의 목소리가 더 좋았다. 공연은 볼만했지만 객석은 너무 좁고 여러 환경은 별로였음. 너무 산만하고 도떼기 시장같은 분위기.  다음에 또 순회공연 온다면 볼 의향은 있지만 그 아수라장 같은 수많은 관람객들 땜에 조금 망설여질 것 같다.,2023.01.04
태양의서커스〈뉴 알레그리아〉,3,기대보단 별로였어요,오래전에 퀴담을 재밌게 본 기억이 있어서 예매했는데 그때보다 가격은 오르고 재미는 떨어진 느낌이네요. 인상적인 건 2개 무대 정도였어요.,2023.01.04
태양의서커스〈뉴 알레그리아〉,5,태양의서커스(뉴알레그리아),22년도 마지막을 장식하려 뉴알레그리아 VIP석으로 보고왔어요. VIP만을 위한 라운지바도 너무 좋았는데 사람이 많아 음식받는데 줄을 서야했고 자리가 없어 서서 먹었어요. 공연장은 정말 역사와 정통에 맞게 클래식하게 꾸몄고 공연은 너무 재미있었습니다. 아찔한 서커스와 아름다운 노래가 너무 잘 어울렸어요! 잊을 수 없는 날이였습니다. 배우분들께 정말 큰 박수와 감사 드리고 싶네요:),2023.01.04
태양의서커스〈뉴 알레그리아〉,5,재밌었어요!,속이 시원해지는 멋진 공연이었습니다~,2023.01.04
태양의서커스〈뉴 알레그리아〉,5,최고에요,내년에 또 한다면 다시 볼 거에요~!,2023.01.04
태양의서커스〈뉴 알레그리아〉,5,태양의 서커스 ,안봤으면 후회할뻔 했네요재미도 있고  화려한 무대와 공연으로 시간이 빨리 지나갔어요,2023.01.04
