musical_title,rate,review_title,review_text,review_date
〈2018 뮤지컬 젊음의 행진〉,3,감사합니다,매년재미있게보고있습니다,2018.09.23
〈2018 뮤지컬 젊음의 행진〉,5,또 갈 생각 입니다,너무 좋은 공연 이었습니다.이런 공연은 당연히 재공연 하겠지요?다음 공연도 기대 하고 있습니다,2018.08.05
〈2018 뮤지컬 젊음의 행진〉,5,간만에 즐거운 공연이었어요^^,"초등 6학년 딸아이와 같이 관람했는데 저보다도 딸아이가 더 좋아했답니다^^배우들의 노래와 연기, 보는 내내 즐거웠습니다",2018.07.26
〈2018 뮤지컬 젊음의 행진〉,5,다시 공연하나요 ㅜㅜ,다시 공연하나요?아쉽게 놓쳤네요 ㅜㅜ,2018.07.09
〈2018 뮤지컬 젊음의 행진〉,4,생각보다 좋았어요,아는 노래로 꾸며져서 지루하지않고 재밌게봤어요,2018.07.03
〈2018 뮤지컬 젊음의 행진〉,4,젊음의 행진!!!!,공연 보는 내내 추억이 소환되어 다시 돌아갈 수 없는 그 시절처럼 아련해졌던 작품!!,2018.07.02
〈2018 뮤지컬 젊음의 행진〉,5,굿굿,보는내내 흥이 돋아서 죽는줄,2018.06.25
〈2018 뮤지컬 젊음의 행진〉,4,신나요,딱 80년대생들의 추억의 곡들이 많았어요~ 신나게 즐겼어요^^,2018.06.25
〈2018 뮤지컬 젊음의 행진〉,5,좋았어요,신나고 좋았어요.,2018.06.24
〈2018 뮤지컬 젊음의 행진〉,5,젊응의행진,옛날 그시절 어려웟던 그시절 향수들을그리면서 아줌마부대들  나 를위해  선택한뮤지컬 특히 이른시간이라서 지인들과함께한 뮤지컬    선택하길 잘했네요비오는날  장소가 좀 불편 했지만이쯤이야,2018.06.22
〈2018 뮤지컬 젊음의 행진〉,4,공연본후,90년대 익숙한 노래들이 들려서좋은데 스토리중 지루한것도있네요,2018.06.21
〈2018 뮤지컬 젊음의 행진〉,3,아쉬워요,넘 즐거웠는데,2018.06.18
〈2018 뮤지컬 젊음의 행진〉,5,꿀잼,동호경태가 귀엽다,2018.06.18
〈2018 뮤지컬 젊음의 행진〉,5,^^,^^^,2018.06.13
〈2018 뮤지컬 젊음의 행진〉,5,여자친구와 여자친구 어머니의 행복한 추억,둘이 추억을 만들어 줄 수 있어서 너무 좋았어요,2018.06.10
〈2018 뮤지컬 젊음의 행진〉,3,콘서트같아요,토토가 콘서트 같았어요ㅎㅎ,2018.06.07
〈2018 뮤지컬 젊음의 행진〉,5,첫 뮤지컬,"부모님을 모시고 간 첫 뮤지컬입니다.엄마, 아빠께서 웃으시며 즐기시는 모습을 보니 제가 다 좋더라구요..특히 한선천 배우님 매력에 빠지신..ㅋㅋ 저희 아빠ㅋㅋㅋㅋ 공연이 끝나고도 한선천 배우님 얘기만 ㅋㅋㅋ 정말 감사합니다~^^제가 본 공연이 막공이여서 너무너무 아쉽습니다 ㅠㅠ 모든 배우분들 수고하셨습니다~",2018.06.06
