musical_title,rate,review_title,review_text,review_date
뮤지컬 〈광화문 연가〉,5,안재욱의 연기를 볼 수 있어 좋았습니다.,아름답고 슬픈 젊은 날의 추억이 음악과 어우러져 다시 생각나는 뮤지컬,2019.03.26
뮤지컬 〈광화문 연가〉,5,최고의 뮤지컬..,러닝타임이 눈 깜박 할 시간에 지나가는 재미있음.,2019.03.23
뮤지컬 〈광화문 연가〉,5,처음부터 끝까지,오랜만에 긴장감과 소름돋는 연기력과 가창력을 통해 감동을 받고 왔습니다. + 힐링은 덤이요 ㅎㅎㅎ 다음에도 서울에도 공연이 열리면 다시 재 관람할 예정입니다. ㅎㅎㅎ,2019.03.22
뮤지컬 〈광화문 연가〉,5,환상적이예요,딸아아와 함께 관람하였는데 실감 나고 내용이 좋았어요,2019.03.18
뮤지컬 〈광화문 연가〉,5,정말 재미나요,좋은 노래들과 재미와 감동까지!! 너무 즐거운 공연이였습니다!!,2019.03.15
뮤지컬 〈광화문 연가〉,5,믿보배들,좋은 음악 좋은 내용 믿고보는 배우님들 모두들 어무나 좋은 시간 감사합니다?,2019.03.10
뮤지컬 〈광화문 연가〉,4,간만에 좋은공연 봤네요,소소한 재미가 있는 좋은 공연이었습니다,2019.03.09
뮤지컬 〈광화문 연가〉,5,재밌었어요.,제 생에 첫 뮤지컬.,2019.03.08
뮤지컬 〈광화문 연가〉,5,아름답고 멋진 공연,대학시절의 풋풋했던 첫사랑을 기억하게 하고아름다운 음악과 어우러졌던 배우들은 명품연기행복했었습니다,2019.03.07
뮤지컬 〈광화문 연가〉,5,두번봐도재미있네요,감동ㅠ,2019.02.25
뮤지컬 〈광화문 연가〉,5,두번봤어요^-^,잼나요,2019.02.18
뮤지컬 〈광화문 연가〉,5,최고입니다,아련한 공연이었습니다혼자보는 첫번째공연이었는데 탁월한 선택이었네요 이석훈님의 노래가 듣고 싶어서 다시보고싶습니다,2019.02.14
뮤지컬 〈광화문 연가〉,5,good!!,지난날 향수에 젖어가는 무대~~좋았습니다.,2019.02.10
뮤지컬 〈광화문 연가〉,4,좋았어요,회사 송년회로딱,2019.02.08
뮤지컬 〈광화문 연가〉,5,젊은날의 추억이~,젊은날의 추억과 함께귀에 익은 멜로디와 감동이 있는 공연 잘봤어요,2019.02.08
뮤지컬 〈광화문 연가〉,4,재미있었어요!,구원영 배우님 정말 멋있으세요!! 다른 배우님들도 너무 멋있고 좋았습니다!!,2019.02.08
뮤지컬 〈광화문 연가〉,4,재밌엏어요,재밌었어요,2019.02.07
뮤지컬 〈광화문 연가〉,5,광화문 연가,귀호강 제대로 한 공연이었습니다.,2019.02.07
뮤지컬 〈광화문 연가〉,5,너무 재밌었어요!,"엄마랑 같이 보고 왔는데, 공연 그리 좋아하시지 않는 엄마도 너무 재밌었다고 하시네요. 즐거운 공연이었습니다!",2019.02.03
뮤지컬 〈광화문 연가〉,4,노래 진짜 좋다,Not my favorite Wolha casting but everyone did a great job performing the amazing songs,2019.02.01
