musical_title,rate,review_title,review_text,review_date
뮤지컬 닥터지바고,5,삼연은 언제쯤...,저번처럼 텀이 길지 않길...보고 싶습니다,2019.04.28
뮤지컬 닥터지바고,4,즐거웠어요,오랜만에 보는공연이였어요,2018.07.26
뮤지컬 닥터지바고,5,넘버가 너무 좋은...,은바고와 미도라라 최고였습니다!삼연도 기다릴게요!!,2018.07.22
뮤지컬 닥터지바고,4,"생각했던 것 보다 좋았던 공연, 생각했던 것 보다 어려웠던 공연,,,",이제와서 후기 작성하지만 뮤지컬에 대해 공부를 조금하고 가야하는 공연 ㅠㅠㅠㅠㅠㅠㅠ 배경이 너무 깊고 이해하는 부분이 있어서 약간은 어려웠지만 뮤넘버 같은 경우 너무 좋았다 퓨ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ은배우님 미배우님 사룽??,2018.07.15
뮤지컬 닥터지바고,3,생각보다 지루했던 공연..,스토리라인이 무거워서 일까요? 배우들의 연기와 노래는 그 무엇보다 멋있었지만 지루한감이 없지않았나 싶네요ㅠㅠ,2018.07.08
뮤지컬 닥터지바고,3,막공의 감동,"연극과 뮤지컬 관극 시작한 후 처음 맞이한극 보기 전에 두권짜리 두꺼운 소설을 읽은 탓인지 유리의 고뇌나 러시아 혁명기의 그 어지러움 속의 다양한 인간 군상들의 선택 등 원작에서 말하고자 하는 바가 많이 보이지 않아 서운하면서도, 극으로 만든다는 것의 어려움을 공감해야 했던 극이었네요.제기 본 회차가 막공이었네요 ㅋㅋ배우들도 많은 감정을 가졌겠지만 관객도 스텝들도 다들 뭔가 울컥 ㅜㅜ 무대인사 하며 좀더 배우들과, 또 뮤지컬 닥터 지바고와 더 가까워졌구나 느꼈습니다^^모두들 고생 많으셨습니다",2018.07.03
뮤지컬 닥터지바고,5,노래가 너무 좋은 뮤지컬,넘버가 최고에요..,2018.07.02
뮤지컬 닥터지바고,3,잘봤습니다.,"류배우님 역시 연기 노래 감동적이었습니다.스토리상 무대, 의상이 화려하지 않아  볼거리가 다소 부족햏습니다. 그리고 넘버가 익숙지 않아, 재연시 관람은 안할거 같습니다.  그래도 연출, 연기 등은 훌륭했습니다.",2018.06.26
뮤지컬 닥터지바고,4,Good,Good,2018.06.26
뮤지컬 닥터지바고,5,너무 재미있었어요!,넘버도 좋았고 연기도 너무 좋았습니다,2018.06.25
뮤지컬 닥터지바고,5,역시 지바고,배우님들 최고입니다,2018.06.24
뮤지컬 닥터지바고,5,뮤지컬 닥터지바고,처음으로 세 번 본 뮤지컬 ㅠ 체고야 지바고,2018.06.18
뮤지컬 닥터지바고,3,좋은 뮤지컬,좋았습니다.,2018.06.13
뮤지컬 닥터지바고,5,두번봐여...,한번보고 지바고를 느끼기엔 부족~!두번부터 시작입니다...!!! 진짜 관극은 모든 두번째부터 봐야 점점 몰입하며 껴지고 안보였던 장면이나 배우님들의 감정표현까지 보이게 된다는!!! 지바고... 눈에 아른아른....,2018.06.09
뮤지컬 닥터지바고,5,ㅜㅜㅠ,그냥 최고 ....텐션 대박 은태씨 사랑해요,2018.06.09
뮤지컬 닥터지바고,5,여운이 긴 뮤지컬,"믿고보는 배우분들, 지바고의 여운이 아직도 많이 남아 그립습니다 ㅠ",2018.06.07
뮤지컬 닥터지바고,1,닥터,재미없어서 1부 끝나고 나갔습니다,2018.06.06
뮤지컬 닥터지바고,2,긋,전미도짱,2018.06.04
뮤지컬 닥터지바고,5,너무 좋았어요!,엄마 생신선물로 예매해서 같이 보고 왔어요♡ 노래가 계속 머릿속에 맴돌아 original로도 계속 들었네요ㅎㅎ 행복한 시간이었습니다~~,2018.06.04
뮤지컬 닥터지바고,4,잔잔한,뮤지컬,2018.06.03
뮤지컬 닥터지바고,5,좋아요,연기 음악 모두 좋았습니다다음에 가능하면 재 관람 의사 있습니다,2018.06.03
뮤지컬 닥터지바고,5,재미있어요,진지한 느낌의 극이었어요,2018.06.02
뮤지컬 닥터지바고,5,잘봤습니다,잘봤습니다,2018.05.25
뮤지컬 닥터지바고,2,재연은 없을듯,ㅇ,2018.05.24
뮤지컬 닥터지바고,4,재미있었음,스토리가 무겁긴하지만 내용면이나 배우들 연기나 모두 훌륭한 공연이었음,2018.05.24
뮤지컬 닥터지바고,3,재밌...,긴한데 후반부만 재밌어요,2018.05.22
뮤지컬 닥터지바고,5,잔잔하지만,그 속에 강렬함이 숨어있는 극. 사골처럼 곱씹으면 풍미가 더 느껴지는 극,2018.05.21
뮤지컬 닥터지바고,4,^^,아름다운 넘버 훌륭한 배우들은 좋았지만 무대의 부족함이나 스토리의 개연성 부족에 아쉬움이 크네요,2018.05.21
뮤지컬 닥터지바고,5,미도 배우 ♡,미도 배우 ♡,2018.05.20
뮤지컬 닥터지바고,5,좋았어요,재밌게 봤습니다. 노래가 하나같이 좋았어요.,2018.05.20
뮤지컬 닥터지바고,5,잔잔하고 여운이 짙은,뮤지컬 삼연 꼭 와주세요ㅠㅠㅠㅠㅠ,2018.05.20
뮤지컬 닥터지바고,5,계속 생각나요ㅠㅠ,여운이 아직도ㅠㅠ 꼭 다시 보고싶어요,2018.05.19
뮤지컬 닥터지바고,5,안녕... 지바고.,볼 때마다 좋은 포인트가 달랐던 지바고.모든 배우가 다 좋았던 지바고.모든 넘버가 다 좋았던 지바고.오래오래 기억할 지바고 안녕.,2018.05.19
뮤지컬 닥터지바고,5,추천!!,배우들의 연기때문에 너무 멋진 공연이었어요 추천합니다.!!!!!,2018.05.18
뮤지컬 닥터지바고,5,ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ,3연 꼭 왔으면 좋겠어요. 3연 기원합니다. ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,2018.05.17
뮤지컬 닥터지바고,5,최고최고?? 말하면 입아파요,박은태님이 곧 유리이고전미도님이 곧 라라에요ㅠ너무 감동이고 시간이 어케 갔나몰라요ㅠ2막 부터 약간 지루한감이있었는데배우님들의 훌륭한 연기덕에재미있게 봤어요,2018.05.17
뮤지컬 닥터지바고,4,인연이란거,마음이 끌려가는 만남. 애틋하게 사랑하는 두 남녀.. 나이들어 다시 한 번 추억을 떠올리며 가슴 설레이며..배우들의 멋진 노래에 귀가 호강하고..,2018.05.17
뮤지컬 닥터지바고,5,너무 좋았어요,최고였습니다 삼연 기다릴게요ㅡ,2018.05.17
뮤지컬 닥터지바고,4,여성여성한감성을두드림,세트구성이인상깊었어요 여성을위한뮤지컬이란느낌이드네요 박은태씨의다정한음성이귀에맴돌아요,2018.05.17
뮤지컬 닥터지바고,4,볼수록 심쿵 뮤지컬~,"처음 볼때는 스토리,연기보다 넘버에 강하게 끌렸었는데, 보면 볼수록 스토리,연기,넘버가 함께 울림을 주는 느낌이 들어 볼수록 더 감동이네요^^",2018.05.16
뮤지컬 닥터지바고,4,멋진 공연,뮤지컬은 롯데씨어터에서!! 무대며 좌석 만족이에요~ 공연도 웅장하고 멋졌어요!!,2018.05.16
뮤지컬 닥터지바고,5,좋아요,류정한 배우님 공연은 처음인데 귀호강하고 왔어요,2018.05.16
뮤지컬 닥터지바고,5,막공이어서 슬펐어여,언제 다시 볼수있을까여~ 즐거운 시간들이었습니다.,2018.05.16
뮤지컬 닥터지바고,5,좋은공연이었다,좋은공연이었다,2018.05.16
뮤지컬 닥터지바고,3,굿,굿굿굿,2018.05.16
뮤지컬 닥터지바고,3,ㅎㅎㅎ,굿굿굿,2018.05.16
뮤지컬 닥터지바고,4,좋은 공연이였지만 약간은 아쉬운 공연,좋은 공연이였고 배우분들 및 앙상블은 좋았으나 오히려 기대했던 것에 비하면 공연 내용이 조금 부실하지 않았나 싶어요.. 빠르게 전개되는 것은 좋으나 전개가 빠름에 오는 중간중간 이해 불가인 내용들을 빼면 남버들도 그렇고 참 좋은 공연이였어요.,2018.05.16
뮤지컬 닥터지바고,4,여운이 너무 오래간다,배우들 하나하나 다 참 좋았다,2018.05.16
뮤지컬 닥터지바고,4,삼연 꼭 와주길. ㅠㅠ,삼연 기다립니다 ㅠㅠ,2018.05.16
뮤지컬 닥터지바고,3,아련한 잔상이 남는 뮤지컬,"다른분 감상평처럼 강렬하지는 않으나, 아련한 잔상이 남는 뮤지컬 입니다. 2층 맨 첫째줄은 2층 난간의  손잡이가 눈에 걸려서 아주 관람하기 불편하네요. 참고 하시기를",2018.05.15
뮤지컬 닥터지바고,5,슬픈지바고의 일생,너무 외로이 지나간 지바고의 삶에 슬픔의눈물만..,2018.05.15
뮤지컬 닥터지바고,5,닥터지바고,서정적인 넘버 최고의 배우들 아쉬운무대,2018.05.15
뮤지컬 닥터지바고,5,너무 좋았어요,배우들의 연기가 너무 좋았어요,2018.05.14
