musical_title,rate,review_title,review_text,review_date
뮤지컬 더데빌 (Musical THE DEVIL),4,재밌어요,파가니니 짱짱!,2019.06.08
뮤지컬 더데빌 (Musical THE DEVIL),4,최고!!,사연 주세요,2019.05.18
뮤지컬 더데빌 (Musical THE DEVIL),5,잊지못할 순간들,뒤늦은 후기를 작성하게 되었지만 아직도 머릿속에 가슴속에 남은 작품이다 선과 악은 어디서 부터 시작되는지를 늘 항상 고민하던 찬라 보게되었던 작품.... 이해가 가지 않는부분도 있지만 그래도 넘버에 빠져 배우들의 연기에 빠져 계속계속 보고 싶은 작품이 되어버렸다. 언제 다시 또 올라올지는 모르겠지만 다시 공연을 해준다면 또 보고 싶은 작품이다~,2019.05.08
뮤지컬 더데빌 (Musical THE DEVIL),5,차화엑 최고,정말 노래ㆍ연기 최고였어요~차지연배우님 무대가 그리워요♡,2019.05.02
뮤지컬 더데빌 (Musical THE DEVIL),5,사연 와줄 거죠?,삼연으로 처음 알았는데 너무 재미있어서 열세 번 봤어요. 다양한 캐스팅으로 돌아올 네번째 더데빌도 기대하겠습니다.,2019.04.23
뮤지컬 더데빌 (Musical THE DEVIL),5,락뮤지컬이란!!,사실 어려운 내용의 뮤지컬인데넘버들이 계속 집에와서도 맴돌아요...너무 좋있습니다!!,2019.04.18
뮤지컬 더데빌 (Musical THE DEVIL),4,좋아요,재밌네여^^,2019.04.15
뮤지컬 더데빌 (Musical THE DEVIL),5,사연 오는거죠? 기다립니다,한번 보려다가 2주연속 세번봤어요넘버 조명 연출 다 너무 좋습니다저를 알앤디의 세계로 이끌어준 더뎁 사랑해요,2019.04.15
뮤지컬 더데빌 (Musical THE DEVIL),5,다음 시즌 기다리고 있을게요!,그리워뇨ㅠㅠ,2019.04.10
뮤지컬 더데빌 (Musical THE DEVIL),4,또 돌아와 주세요!,다시 보고 싶어요~불친절하면서도 매혹적인 뮤지컬!,2019.04.10
뮤지컬 더데빌 (Musical THE DEVIL),5,최고였습니다......,그저 갓 그저 빛 그저 최고였습니다....,2019.04.08
뮤지컬 더데빌 (Musical THE DEVIL),5,잘 봤습니다..,잘 봤습니다!,2019.04.08
뮤지컬 더데빌 (Musical THE DEVIL),5,또 와주세요..,아직 한 달도 안지났는데 너무 그리워요..,2019.04.02
뮤지컬 더데빌 (Musical THE DEVIL),5,조배우님 참 잘하시더라,조명배우님 없인 못 살아 정말 못 살아 넘버맛집 알앤디 내가 또 졌다,2019.04.02
뮤지컬 더데빌 (Musical THE DEVIL),5,더데빌,마지막까지 재밌었어요!!!,2019.04.01
뮤지컬 더데빌 (Musical THE DEVIL),5,최고의 공연이었어요,작년 12월부터 회전돌았는데 총막도 역시 레전드였습니다. 겨우내 더데빌 보면서 눈물도 흘리고 제 자신에게 반성도 하고 행복한 시간이었습니다. 빨리 다음 시즌이 돌아왔으면 좋겠어요. 감사합니다.,2019.04.01
뮤지컬 더데빌 (Musical THE DEVIL),5,보고싶다,더데빌,2019.04.01
뮤지컬 더데빌 (Musical THE DEVIL),5,항복하면 다죽는다,저항해도 다 죽는다,2019.04.01
뮤지컬 더데빌 (Musical THE DEVIL),4,데빌,조명파티~~~,2019.04.01
뮤지컬 더데빌 (Musical THE DEVIL),5,더데빌 사랑해요,완벽한 배우들과 완벽한 넘버와 완벽한 조명! 처음엔 이 극이 와닿을까 혼란스러웠지만 나중엔 송옵송즈 들으며 울면서 빨래 널었어요.,2019.04.01
