musical_title,rate,review_title,review_text,review_date
뮤지컬 더 라스트 키스 (황태자 루돌프),5,굿,용기와 사랑 이 무엇인지 알게해준 가장 사랑하는 극.,2020.01.02
뮤지컬 더 라스트 키스 (황태자 루돌프),3,이게 대체...,배우들로 이끌어간 공연,2019.01.10
뮤지컬 더 라스트 키스 (황태자 루돌프),5,아직까자 여운이 남아요,더라키 두 번째 관람이 막공날이라 되게 아쉬웠어요ㅠ 그리고 둘의 사랑이 더 애틋해 보였고.....넘버들도 아직까지 잘 듣고있네요! 다시 볼 수 있다면 두 번 이상 볼 계획!!,2018.10.28
뮤지컬 더 라스트 키스 (황태자 루돌프),5,너무 늦었지만,우리 준면이의 뮤지컬에 대한 첫걸음을 같이 할 수 있어서 너무 좋았습니다! 뮤지컬 배우 김준면 사랑해! 열심히 해줘서 너무 고마워요,2018.08.16
뮤지컬 더 라스트 키스 (황태자 루돌프),5,더라키,"일단 배우분들이 연기를 너무 잘하셔서 몰입도 되게 잘됬고, 노래 하나하나 다 좋아서 멜론으로 계속 듣고있어요! 첫 뮤지컬이라 되게 떨리고 기대도 많이했는데 너무 만족스러웠습니다’^’",2018.08.11
뮤지컬 더 라스트 키스 (황태자 루돌프),5,정말 최고야,"공연 본 후 3달동안 더라키에 얼마나 시달렸는지,, 나빼고 모든 분들이 거의 그랬을 거다. 그만큼 정말 최고였고 정말 멋졌다",2018.08.05
뮤지컬 더 라스트 키스 (황태자 루돌프),5,면돌프 짱입니다,진짜 면돌프 디비디 내주세요ㅠㅠㅠㅠ,2018.08.03
뮤지컬 더 라스트 키스 (황태자 루돌프),5,수호,"그냥 빠져나오지를 못하겠어요,,,이게 바로 그 무서운 더라키병인가요,,,매일마다 흥얼흥얼 그니까 이엠케ㅜㅜㅜㅜㅜㅜㅜㅜ음원이랑 디비디좀 내주세우ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ",2018.07.23
뮤지컬 더 라스트 키스 (황태자 루돌프),5,기대 이상이에요,재미있습니다 또 보고싶네요,2018.07.02
뮤지컬 더 라스트 키스 (황태자 루돌프),5,다시보고 싶어요,스토리도 탄탄하고 배우분들 열연도 bb,2018.07.02
뮤지컬 더 라스트 키스 (황태자 루돌프),5,더 라스트 키스,다시보고 싶어요?? 정말 명작입미다ㅠㅠ,2018.07.02
뮤지컬 더 라스트 키스 (황태자 루돌프),5,동경 사랑합니다,전동석 민경아 신영숙 민영기 최고입니다 ㅠㅠ,2018.06.16
뮤지컬 더 라스트 키스 (황태자 루돌프),5,최고의 배우,"루돌프역의 김준면 배우는 물론, 민경아 민영기 신영숙님부터 모든 앙상블배우들까지 완벽한 무대였습니다.",2018.05.19
뮤지컬 더 라스트 키스 (황태자 루돌프),5,너무 재밌었어요,정말 재미있게 관람했고 다시 기회가 된다면 한번 더 관람하고 싶네요,2018.05.18
뮤지컬 더 라스트 키스 (황태자 루돌프),4,화려하고 재미있었어요,다들 노래를 너무 잘하시고 무대가 화려하고 엄마랑 같이 갔는데  만족스러워 하시네요,2018.05.13
뮤지컬 더 라스트 키스 (황태자 루돌프),5,54568606858598,ㆍ귾ㄴㅅㄷ?ㄱ늣ㄴㅅㅈㅇ늣늡늤ㄴㅅㄷㅇ늡늡ㄴㄷㅇㄴ,2018.05.02
뮤지컬 더 라스트 키스 (황태자 루돌프),4,경아마리짱,경아배우님 어쩜그리잘하시는지....,2018.04.26
뮤지컬 더 라스트 키스 (황태자 루돌프),4,멋진 공연,배우들의 연기와 노래가  좋았습니다.,2018.04.26
뮤지컬 더 라스트 키스 (황태자 루돌프),5,내인생 최고의 뮤지컬,넘버가 정말 좋습니다!!또 보고싶네요...,2018.04.25
뮤지컬 더 라스트 키스 (황태자 루돌프),5,죽기전에 봐서 다행이다,아직까지도 머릿속에서 잊혀지지 않는 스토리... 죽기전에 더라키 못봐서 후회한다는 생각없이 죽을 수 있어서 행복하다 그정도로 너무너무 재밌고 감동적이었다,2018.04.24
뮤지컬 더 라스트 키스 (황태자 루돌프),5,정말 완벽했습니다.,수호 회차를 여러번 관람했는데 오늘만큼 완벽할수있을까 싶을정도로 완벽했습니다. 막공이라는게 너무 아쉬웠어요ㅠㅠ,2018.04.24
뮤지컬 더 라스트 키스 (황태자 루돌프),5,최고!,제가 살면서 가장 많이본 극이였어요..!!,2018.04.21
뮤지컬 더 라스트 키스 (황태자 루돌프),5,더 라스트 키스,수록곡도 좋았고 로맨틱과 코미디가 잘 결합되어 있어 즐겁게 봤습니다,2018.04.20
뮤지컬 더 라스트 키스 (황태자 루돌프),5,재밌어요,동돌프 멋있어요 ㅎㅎㅎ,2018.04.19
뮤지컬 더 라스트 키스 (황태자 루돌프),5,진짜 너무 행복??,노래를 음원이랑 유튜브로만 보다가 실제로 들으니 전달되는 생동감과 에너지로 너무 벅차고 행복했어요 무대 세트들도 예쁘고 화려해서 눈과 귀 모두 즐거웠던 시간이였어요 진짜 뮤지컬배우님들 사랑해요 앞으로도 화이팅하셔서 좋은 작품들 많이 많이 만들어가주세요!!,2018.04.17
뮤지컬 더 라스트 키스 (황태자 루돌프),5,지금도 생각나도 너무 보고 싶어요 ㅠㅍㅍ,그립네요 종종 옛날 루돌프 황태자 시절연습영상이나 프레스콜영상 통해서넘버 찾아 들어요.,2018.04.14
뮤지컬 더 라스트 키스 (황태자 루돌프),5,너무 좋았어요,기대하고 갔었는데 기대보다 더 좋아서 다음 공연도 꼭 보러 가고 싶네요,2018.04.12
뮤지컬 더 라스트 키스 (황태자 루돌프),4,늦은 후기,"너무나 보고 싶었던 더라스트키스! 황태자 루돌프의 제목이 바뀐 작품이라죠~ 귀호강 시켜주는 좋은 넘버들과 엄청나게 화려한 무대는 정말 좋았구요!! 전체적으로는 스토리라인이 감정이입이 좀 힘들어서 공감하기가 어려웠던 것 같아요..ㅠㅠ 아무리 사랑하지 않는 사람과 한 결혼이라고는 하지만 루돌프 황태자가 마리에게 맘을 품고 들이대는?! 것도 부인이 있는 남자인걸 뻔히 알면서도 황태자에게 맘을 너무 쉽게 확 준 마리도 나쁜 사람들이라는 생각이..ㅋㅋㅋㅋㅋ 더군다나 황태자의 부인은 황태자에 대한 맘이 진심이었던 것 같아서 오히려 안타깝고 저는 부인편에 서게 되더라구요..ㅠㅠ 그리고 황태자가 아버지에게 대들면서 나가다가 갑자기 아버지의 말에 ""네, 알겠습니다!"" 하는 부분은 보면서 오잉? 했던 부분이고요..ㅋㅋㅋㅋ 그렇게 불같이 아버지 뜻을 거역하다고 하다가 갑자기 3분도 안돼서 수긍하는 모습이 이게 뭔가.. 싶었다는..ㅋㅋㅋㅋㅋㅋ 살짝 내적갈등이라도 좀 해주시지.. 싶은 생각이 들었어용;;;; 덧붙여, 다른 후기에서도 봤던 이야기지만 술집 여자?!로 나오는 분이 커튼 콜때도 따로 인사하시는걸 보니 꽤 비중있는 역인거 같았는데 실제 극에서는 비중이 전혀 없이 다뤄진게 좀 의아했네요~ 루돌프가 총을 들고 난리 피울 때 쏠테면 쏴봐라고 하는 등 보통 사이는 아닌 것 같았는데 둘의 관계는 전혀 보이지 않아서 아쉬웠어요! 이 극의 결말에서 까지도 저는 의문이었던게 둘이 도망가서 잘살면 오히려 잘된거아닌가? 근데 왜이렇게 둘다 힘들어했지 싶더라구요..ㅋㅋㅋㅋ 이 스토리가 타당성이 생기려면 둘이 마지막에 죽어야 할 것 같았어요;;; 저도 왠만하면 해피엔딩을 좋아하는 편이지만 새드엔딩을 바라고 보긴 첨이었네요!ㅋㅋ 근데 다행히?!도 마지막에 둘다 죽는 엔딩이라서 그나마 설득력이 있게 느껴졌답니다!;; 이 뮤지컬이 실화를 바탕으로 만든 거라던데 지금도 이 사건이 자살인지 타살인지는 의문이라고 하더라구요! 근데 마지막 장면을 보면 자살로 보이게 연출되었던데 그렇게 연출한 의도가 따로 있는지 그것도 궁금하네요~ 아시는분 말 좀 해주세요!ㅋㅋㅋㅋ 저는 첨부터 큰 기대 없이 갔던거라 뭐 크게 실망하거나 그런거 없었구요~ 단지, 스토리 라인이 좀 아쉬웠고 좋은 넘버들 직접 들을 수 있어서 좋았답니다^^ 특히, 이작품의 명장면이라고 할 수 있는 눈내리는 씬은 정말 아름다웠어요 ♡",2018.04.12
뮤지컬 더 라스트 키스 (황태자 루돌프),5,볼수록 빠져드는 감동,보고 나면 계속 여운이 남는 작품이었습니다마치 주인공이 된 듯한 몰입감과 안타까운 사랑이야기슬프지만 감동과 설렘이 공존한 작품이었습니다!완전 강추!,2018.04.09
뮤지컬 더 라스트 키스 (황태자 루돌프),5,감사합니다,감사합니다,2018.04.09
뮤지컬 더 라스트 키스 (황태자 루돌프),2,낚임,아주 별로,2018.04.06
뮤지컬 더 라스트 키스 (황태자 루돌프),5,제목처럼 라스트 키스??!!,황태자루돌프가 더라키로 바뀌면서 어떤변화가 있을까 궁금했는데 스토리는 변화가 없어서 다행!!배우님들 연기 굳~~~~~~,2018.04.04
뮤지컬 더 라스트 키스 (황태자 루돌프),2,명절 부모님과 함께 했는데 .....,뮤지컬을 한번도 안보셨던 아버지는 만족하셨구요 아주 오랜만에 뮤지컬을 보신다는 어머니와 저는 불만족했어요.. 무대가 화려하고 이쁘지만 규모가 큰 아동극이었음 대박이었겠단 느낌.. 좀 유치했단 생각입니다.  타이틀 넘버는 좋았습니다. 다시 찾아 들어보고 싶을 정도로요.  앙상블 분들의 열정과 초롱한 눈빛이 더 인상에 깊었고 감동이 있었습니다.  열정에 감사드립니다.,2018.04.02
뮤지컬 더 라스트 키스 (황태자 루돌프),5,여운이남았던뮤지컬,뮤지컬넘버와 세트장이 아름다우면서도 슬펐던 뮤지컬을 배우분들의 연기력이 곁드려져 더 흥미있게 봤느다시 재연한다면 꼭다시 보고싶습니다,2018.04.02
뮤지컬 더 라스트 키스 (황태자 루돌프),5,재밌어요,아마도 재밌었던 것 같아요,2018.04.02
뮤지컬 더 라스트 키스 (황태자 루돌프),5,면돌프 최고,면돌프 최고였어요 ㅠㅠ,2018.04.02
뮤지컬 더 라스트 키스 (황태자 루돌프),3,잘봤습니다,무대가 엄청엄청 화려하고 노래가 좋아요,2018.04.01
뮤지컬 더 라스트 키스 (황태자 루돌프),5,너무 재밌게 봤어요 (???),수호의 연기는 너무 훌륭했고 ㅠㅠ 목소리도 너무 감미로웠어요. 화려하고 아름다운 의상과 세트들! (???) 너무 재밌게봤습니다,2018.03.29
뮤지컬 더 라스트 키스 (황태자 루돌프),5,기억에 오래도록 남을....,더라스트키스를 두번 관극 하였는데 처음엔 3층에서 보고 너무 좋았고 또 보고싶고 계속 생각나서 바로 1층 예매해서 봤어요 진짜 다시보고싶은 뮤지컬입니다 수호 민경아페어 수고했어요!,2018.03.29
뮤지컬 더 라스트 키스 (황태자 루돌프),5,뮤지컬더라스트키스,"예전봣었던 작품이었지만  새로운 느낌의 공연처럼 느껴졌어요,,, 딸아이의 선물로함께해서 더좋았던기억이 ,,,,^^^",2018.03.28
뮤지컬 더 라스트 키스 (황태자 루돌프),5,뮤지컬 더 라스트 키스,"뮤지컬 더 라스트 키스 (황태자 루돌프) 마지막 공연 너무 아름다웠다,,ㅠㅠ뮤지컬 더 라스트 키스 (황태자 루돌프) 마지막 공연 너무 아름다웠다,,ㅠㅠ뮤지컬 더 라스트 키스 (황태자 루돌프) 마지막 공연 너무 아름다웠다,,ㅠㅠ뮤지컬 더 라스트 키스 (황태자 루돌프) 마지막 공연 너무 아름다웠다,,ㅠㅠ뮤지컬 더 라스트 키스 (황태자 루돌프) 마지막 공연 너무 아름다웠다,,ㅠㅠ",2018.03.26
뮤지컬 더 라스트 키스 (황태자 루돌프),5,뮤지컬 더 라스트 키스 (황태자 루돌프),"뮤지컬 더 라스트 키스 (황태자 루돌프) 마지막 공연 너무 아름다웠다,,ㅠㅠ뮤지컬 더 라스트 키스 (황태자 루돌프) 마지막 공연 너무 아름다웠다,,ㅠㅠ뮤지컬 더 라스트 키스 (황태자 루돌프) 마지막 공연 너무 아름다웠다,,ㅠㅠ뮤지컬 더 라스트 키스 (황태자 루돌프) 마지막 공연 너무 아름다웠다,,ㅠㅠ",2018.03.26
뮤지컬 더 라스트 키스 (황태자 루돌프),4,후기~~~,넘버가 너무너무 좋고 무대가 화려 해서 좋았다. 2층으로 예매해서 별로 일줄 알았는데 기대 이상이어서 놀라웠다.,2018.03.25
뮤지컬 더 라스트 키스 (황태자 루돌프),5,동돌프,동돌프와 마리 그리고 요제프 각각감정선 하나하나 보기좋았고 에드리브도 귀여웠다,2018.03.22
뮤지컬 더 라스트 키스 (황태자 루돌프),5,지루한 일상에서 벗어나게해준 뮤지컬,배우들의 연기도 좋았고 무대도 좋았어요 :),2018.03.22
뮤지컬 더 라스트 키스 (황태자 루돌프),4,짱짱,두번봐도 괜찮았어요,2018.03.22
뮤지컬 더 라스트 키스 (황태자 루돌프),5,좋아요,ㅇㅇ,2018.03.22
뮤지컬 더 라스트 키스 (황태자 루돌프),4,아름다운 넘버가 인상적...,카이의 훙륭한 발성에서부터 아름다운 넘버까지 극 전개가 조금 지루하지만전체적으로 무난한 공연이었다,2018.03.21
뮤지컬 더 라스트 키스 (황태자 루돌프),5,감동적이었습니다,다른 캐스트에서 두 번째입니다. 매우 감동했습니다. 다시보고 싶지만 끝나고 유감입니다.,2018.03.20
뮤지컬 더 라스트 키스 (황태자 루돌프),5,최고!,너무 재밌었어요. 다시보고 싶다.,2018.03.20
뮤지컬 더 라스트 키스 (황태자 루돌프),5,정말 최고였습니다,모든 출연자분들 모두 최고였습니다 진한 감동이었습니다,2018.03.20
뮤지컬 더 라스트 키스 (황태자 루돌프),5,재밌었어요!!,무대도 너무 예뻤고 주인공 외에 뮤지컬 배우님들이 소름끼치도록 잘불러주셔서 즐겁게 봤어요~~ 좋은 공연 볼 수 있어 좋았습니다!!,2018.03.20
뮤지컬 더 라스트 키스 (황태자 루돌프),5,이번시즌 3번&#51760; 관람,김소향 배우 출연으로 한번더 관람하게됨 또다른 매력을 느끼게된 공연 : ),2018.03.19
뮤지컬 더 라스트 키스 (황태자 루돌프),4,배우들 너무 잘해요,너무너무 즐거웠습니다.,2018.03.19
뮤지컬 더 라스트 키스 (황태자 루돌프),5,마지막,응 함께 할 수 있어서 좋았습니다,2018.03.19
뮤지컬 더 라스트 키스 (황태자 루돌프),5,뮤지컬 더 라스트 키스,뮤지컬 더 라스트 키스뮤지컬 더 라스트 키스뮤지컬 더 라스트 키스뮤지컬 더 라스트 키스뮤지컬 더 라스트 키스뮤지컬 더 라스트 키스뮤지컬 더 라스트 키스,2018.03.19
뮤지컬 더 라스트 키스 (황태자 루돌프),5,뮤지컬 더 라스트 키스,뮤지컬 더 라스트 키스뮤지컬 더 라스트 키스뮤지컬 더 라스트 키스뮤지컬 더 라스트 키스뮤지컬 더 라스트 키스뮤지컬 더 라스트 키스뮤지컬 더 라스트 키스,2018.03.19
뮤지컬 더 라스트 키스 (황태자 루돌프),5,너무 좋은 기억,행복했습니다.,2018.03.19
뮤지컬 더 라스트 키스 (황태자 루돌프),5,경아마리 막공,경아마리를 볼 수 있어서 너무 행복했어요 경아마리 짱 사랑해요,2018.03.19
뮤지컬 더 라스트 키스 (황태자 루돌프),5,새로  보는 느낌,막공이라 아쉬움,2018.03.19
뮤지컬 더 라스트 키스 (황태자 루돌프),5,감동적인 무대,배우분들이 만들어낸 무대가 굉장히 인상깊었어요 넘버 역시 좋았어요,2018.03.18
뮤지컬 더 라스트 키스 (황태자 루돌프),5,감명깊게 봤습니다.,스토리도 좋고 무대 장치 등 그때마다의 상황과 인물간의 대립되는 상황 연출 등이 좋았습니다. 노래가 너무 좋았습니다.,2018.03.18
