musical_title,rate,review_title,review_text,review_date
뮤지컬 라이온 킹 인터내셔널 투어-대구(Musical The Lion King),5,이 보다 더 좋을 순 없다,대구에서 언제 또 만날 수 있을까요. 너무 좋았습니다,2019.08.03
뮤지컬 라이온 킹 인터내셔널 투어-대구(Musical The Lion King),5,최고였어요,감동의 순간!  말이 필요없는 공연!!,2019.03.12
뮤지컬 라이온 킹 인터내셔널 투어-대구(Musical The Lion King),5,다시보고 싳은 공연,기대했던것보다 더 좋았던 공연이였어요 다시 보고싳어요,2019.03.09
뮤지컬 라이온 킹 인터내셔널 투어-대구(Musical The Lion King),5,굿,"왜 세계적인 뮤지컬인지 알 것 같습니다. 전체적인 구상이나 칼 군무, 노래 전부 다 만족스러웠습니다. 다음번엔 좀 멀리 앉아서 전체적인 무대를 보고 싶습니다.",2019.03.04
뮤지컬 라이온 킹 인터내셔널 투어-대구(Musical The Lion King),5,눈감고 소리만 들어도 전율이 인다.,"오리지널 라이온 킹~~ 배우들의 성량도 대단하고 무대 장악력도 어마어마한데 더 좋은건 세심한 연출! 눈호강, 귀호강 실컷하고 왔어요. 뒷좌석이라도 꼭 보시길~ 추천합니다!!",2019.02.12
뮤지컬 라이온 킹 인터내셔널 투어-대구(Musical The Lion King),5,기대이상이에요,뮤지컬하는 날만 기다렸는데 대구에서 볼 수 있어 좋았어요기대이상입니다!자리가 좀 멀어 아쉬웠지만 봤던 뮤지컬 중에 최고!!,2019.02.12
뮤지컬 라이온 킹 인터내셔널 투어-대구(Musical The Lion King),5,말이 필요없습니다,두말하면 잔소리고첫장면부터 이미 소름 감동이었어요,2019.02.09
뮤지컬 라이온 킹 인터내셔널 투어-대구(Musical The Lion King),5,영국 공연 그대로의 감동,"런던에서 6개월 전에 보고,한국에서 2번 봤네요.역시 라이온킹 입니다.",2019.02.08
뮤지컬 라이온 킹 인터내셔널 투어-대구(Musical The Lion King),4,재미있게 봤어요!,가면 등 무대장치가 기존에 보지 못했던 형태로 애니메이션 안의 동물들 모습을 그대로 재현한 것이 신기했어요.,2019.02.07
뮤지컬 라이온 킹 인터내셔널 투어-대구(Musical The Lion King),5,정말 최고였습니다,비싼 금액이 전혀 아깝지 않았어요!한 번 만 볼 수 있다는 것이 정말 아쉬웠고 돈을 모아서 부산에서 할 때 또 갈 예정입니다!!,2019.02.04
뮤지컬 라이온 킹 인터내셔널 투어-대구(Musical The Lion King),5,최고,정말멋진공연이였습니다,2019.01.24
뮤지컬 라이온 킹 인터내셔널 투어-대구(Musical The Lion King),5,최고!!,멋진 음악과 무대연출 최고였어요,2019.01.08
뮤지컬 라이온 킹 인터내셔널 투어-대구(Musical The Lion King),5,명불허전 말그대로다,최고다,2019.01.07
뮤지컬 라이온 킹 인터내셔널 투어-대구(Musical The Lion King),5,잘 봤어요,재밌게 잘 봤네요^^ 어머니랑 같이갔는데 어머니도 만족하셔서 다행입니다 ㅎㅎ,2019.01.06
뮤지컬 라이온 킹 인터내셔널 투어-대구(Musical The Lion King),5,뮤지컬의 생생함을 온전히 느낄 수 있는.,라이언킹 뮤지컬은 분장이 정말 어려웠을 것 같은데어색하지 않고 몰입에 방해를 하지 않았어요.라이브 음악들도 손색이 없었어요.뮤지컬 보고 영화를 한번 더 봤는데 정말 더 재밌고 생생했습니다.,2019.01.04
뮤지컬 라이온 킹 인터내셔널 투어-대구(Musical The Lion King),5,완전 강추입니다!,영국 피카델리에서 보고 너무 감동받았어서 한국에서 그것도 대구에서 한다는 소식을 듣자마자 바로 티켓팅 했습니다. 역시나 정말 최고였어요. 대구에 맞게 대사도 살짝살짝 바꿔서 해주고 너무 재밌었어요!!,2019.01.03
뮤지컬 라이온 킹 인터내셔널 투어-대구(Musical The Lion King),5,신선,신선하고 좋았어요오,2019.01.03
뮤지컬 라이온 킹 인터내셔널 투어-대구(Musical The Lion King),5,두번째 관람~~^^,"통장이 넉넉하면 일주일에 한 번 아니 두 번도 볼 수 있을 정도로 화려한 무대에 감탄사가 절로 나온, 정말 두 말하면 입이 아프다고 할 수 있는 공연이었어요~~^^",2019.01.02
뮤지컬 라이온 킹 인터내셔널 투어-대구(Musical The Lion King),4,연출과 앙상블이 좋아요,"스토리는 비교적 단순하고 주인공의 매력은 좀 떨어지지만, 연출과 조연, 앙상블이 좋았어요.",2019.01.01
