musical_title,rate,review_title,review_text,review_date
"뮤지컬 마마돈크라이（Mama, Don’t cry）",5,고영빈 백작이 그리워요 다음엔 꼭 캐스팅해주세요,물론 충백도 넘나 멋졌어요. 하지만  고백 허 브이 페어 보고싶습니다,2019.11.18
"뮤지컬 마마돈크라이（Mama, Don’t cry）",5,이충주를 배우로 만나다.,싱어 이충주를 배우로 만날수 있는 좋은 기회였다. 그는 역시 배우였다. 다음 행보가 기대된다.,2018.09.18
"뮤지컬 마마돈크라이（Mama, Don’t cry）",5,ㅎㅎ최고에요,별 기대없이 우연히 봤는데 자꾸 생각나고 또 보게 되고 넘버가 귀에 맴돌아요. 끝날때까지 무대를 꽉 채우는 배으순식간에 님들 정말 대단합니다. 많이 보고 싶었는데 끝나서 아쉬워요.,2018.09.06
"뮤지컬 마마돈크라이（Mama, Don’t cry）",5,별점 말고 보름달점 어떠세요,난 오래살면 좋을것같다아름답게 부유하게사랑하는것들을 떠나보내는거 우린 벌써 익숙하지 않나존재의 외로움은 어쩔수 없다고 본다,2018.08.27
"뮤지컬 마마돈크라이（Mama, Don’t cry）",5,별점 말고 보름달점 어떠세요,난 오래살면 좋을것같다아름답게 부유하게사랑하는것들을 떠나보내는거 우린 벌써 익숙하지 않나존재의 외로움은 어쩔수 없다고 본다,2018.08.27
"뮤지컬 마마돈크라이（Mama, Don’t cry）",5,역시 충백!!,보지 않으면 후회할 공연!!,2018.08.21
"뮤지컬 마마돈크라이（Mama, Don’t cry）",5,기억에 남아요,두번째 관람입니다. 계속 넘버가 귀에서 들리는듯 하네요. 재밌게 봤습니다~,2018.08.21
"뮤지컬 마마돈크라이（Mama, Don’t cry）",5,매력적인 극,두 배우만으로 이끌어 가는데 지루함도 없고 내내 흥미로웠어요 배우의 매력을 이끌어낸 극설정엔 구멍도 많지만 그런 게 거슬림도 없었네요 그냥 다 좋았어요 몇 번을 봐도 질리지 않고 재밌었어요,2018.08.14
"뮤지컬 마마돈크라이（Mama, Don’t cry）",5,재밌었습니다,재밌었습니다,2018.08.14
"뮤지컬 마마돈크라이（Mama, Don’t cry）",5,믿고보는 배우님들!!,송용진 배우님 김찬호 배우님 너무 연기 잘하세요ㅠㅠㅜㅜ 다음에 꼭 다시 와주세요!!!,2018.08.13
"뮤지컬 마마돈크라이（Mama, Don’t cry）",5,너무 재밌어요.,내 년에 다시 돌아오면 좋겠어요.,2018.08.08
