musical_title,rate,review_title,review_text,review_date
뮤지컬 〈마틸다〉,5,저... 신시랑 취향이 잘 맞나봐요,빌리 엘리어트로 찐 뮤지컬 입문했는데 마틸다도 그렇고 아이들 나오는 뮤지컬이 전혀 유치하지 않고 좋은 공연 같아요. 영화로도 진짜 좋아하는 마틸다인데 뮤지컬도 좋네요,2021.08.05
뮤지컬 〈마틸다〉,5,재공연했으면 좋겠어요,또보고싶어요,2019.05.11
뮤지컬 〈마틸다〉,5,최고에요,최고입니다!!,2019.05.11
뮤지컬 〈마틸다〉,5,굿,최고에요 ㅎㅎ,2019.05.11
뮤지컬 〈마틸다〉,5,영화로도 보고 공연으로도 보고,넘 잼있었음!!,2019.04.30
뮤지컬 〈마틸다〉,4,좋은공연이었습니다,가슴찡했습니다,2019.04.24
뮤지컬 〈마틸다〉,5,최고의 공연,너무좋아요너무좋아요,2019.04.19
뮤지컬 〈마틸다〉,5,그리운 마틸다,어른이 됐음을 실감하게 해준 뮤지컬,2019.04.15
뮤지컬 〈마틸다〉,5,재밌었어요,초연인데도 재밌었습니다,2019.04.14
뮤지컬 〈마틸다〉,5,사랑스러운 뮤지컬,아이들이 진짜 잘한다. 그 조그만아이들이 열심히 극을 만들어가는것만으로도 사랑스러운데 심지어 잘한다... 내 눈에서 눈물도 짠다 .. 꼭 재연이 돌아욌으면. 아이들이 많이 보러오던데 어른을 위한 뮤지컬이라고 생각함.,2019.04.08
뮤지컬 〈마틸다〉,5,너무좋아요 너무좋아요,너무좋아요 너무좋아요 너무좋아요 너무좋아요 너무좋아요 너무좋아요 너무좋아요 너무좋아요 너무좋아요 너무좋아요,2019.04.04
뮤지컬 〈마틸다〉,5,너무좋았습니다,공연본후  아이들이  오랫동안  마틸다세빠져있었어요.유튜브로  노래부분계속찾아보고.감동입니다,2019.04.04
뮤지컬 〈마틸다〉,5,너무 너무 좋았던 공연,앵콜공연이 있었으면좋겠습니다 너무 너무 좋았던 공연 꼭 다시 한번 보고싶은 공연입니다,2019.04.02
뮤지컬 〈마틸다〉,5,진짜완전 최고,가족들끼리 보러가기에 안성맞춤 ㅠㅠㅠ 배우들 모두 연기 너무잘해서 박수만나와요 환상적!,2019.03.30
뮤지컬 〈마틸다〉,5,좋았어요~ 멋진 배우들!,노래도 너무 좋고 어린 배우들이 많이 나오는데 모두 프로페셔널하게 다 소화해서 감탄했습니다! 다음에 꼭 다시 보고 싶어요~!,2019.03.25
뮤지컬 〈마틸다〉,5,또보고싶어요,또 보고 싶네요~,2019.03.23
뮤지컬 〈마틸다〉,4,엄마도 행복,딸아이가 너무 보고싶어해서 같이 관람했었는데엄마인 저도 즐겁게 관람했어요 아이도 너무 좋아했어요,2019.03.21
뮤지컬 〈마틸다〉,5,마틸다 최고,어쩜 그렇게 많은 대사를 다 외우는지 감탄스럽네요재미와 감동 두가지 다 있어요꼭 보세요,2019.03.21
뮤지컬 〈마틸다〉,5,짱!,너무너무 재밌어요..또 보고 싶어요,2019.03.21
뮤지컬 〈마틸다〉,5,후기,넘 감동적 이었어요,2019.03.20
뮤지컬 〈마틸다〉,5,그리운 마틸다,언제나 기다리고 있겠습니다. 마틸다가 주었던 그 감동을 간직하며,2019.03.19
