musical_title,rate,review_title,review_text,review_date
뮤지컬 〈바넘：위대한쇼맨〉,5,잘봤습니다.,잘봤습니다.,2019.03.25
뮤지컬 〈바넘：위대한쇼맨〉,4,강추 입니다,강추입니다,2019.01.03
뮤지컬 〈바넘：위대한쇼맨〉,2,"생각보다 덜 화려하고, 덜 재밌는 쇼!","영화보고 너무 기대했었나봐요. 너무 썰렁하고, 별로였고, 재미없고, 지루했어요.",2018.12.27
뮤지컬 〈바넘：위대한쇼맨〉,5,좋았어요,추석때   엄마와  대학생조카들  같이봤는데  조카들도  만족하고  엄 마도  만족하셨어요~온가족  보기좋은듯요,2018.12.03
뮤지컬 〈바넘：위대한쇼맨〉,3,영화 OST는 없네요,영화랑 내용은 같은데 OST는 하나도 없어서 아쉬웠습니다ㅜㅜ 배우들 연기는 좋았어요~,2018.12.02
뮤지컬 〈바넘：위대한쇼맨〉,5,꼭보세요^^,저 5번인가 6번 봣어여 배우님들 너무 멋잇어요,2018.12.02
뮤지컬 〈바넘：위대한쇼맨〉,5,꼭보세요^^,저 5번인가 6번 봣어여 배우님들 너무 멋잇어요,2018.12.02
뮤지컬 〈바넘：위대한쇼맨〉,4,재밌었습니다.,유준상배우님 연기가 능청스럽게 너무 재밌게하셨어요.,2018.11.29
뮤지컬 〈바넘：위대한쇼맨〉,4,다들 즐겁게 보셔었나요?,유머와 재미 가족까지 즐거운 하루였습니다,2018.11.20
뮤지컬 〈바넘：위대한쇼맨〉,4,영화랑은 달라요,영화에서의 감동과는 다른 감동이에요. 서커스장면들이 자연스럽게 극중에 배치되어 신기했어요.,2018.11.20
뮤지컬 〈바넘：위대한쇼맨〉,5,늦었지만.. 좋았던 공연이었어요~,왜 유준상유준상하는지 알겠더라구요~ 여러사람을 돋보이게 해 줄 줄 알고본인 역활 충실하고 멋졌어요~~ ^^,2018.11.13
뮤지컬 〈바넘：위대한쇼맨〉,4,관크는 많았지만 극이 너무 재미있었어요,"스토리도 흥미진진하고배우님들도 너무 연기도 노래도 완벽하셔서 잘 봤습니다(특히 애드리브 ㅋㅋㅋ 극 중간마다 너무 웃겼어요 ㅋㅋㅋ)처음에는 그냥 좋은 넘버라고 생각했는데집가는 길 내내 맴돌아요,,,,중독성 대박 !",2018.11.11
뮤지컬 〈바넘：위대한쇼맨〉,5,추천뮤지컬!,유준상씨의 애드립이 넘쳐나다..!! 신나는 서커스와 노래 모두 좋았어요~~,2018.11.11
뮤지컬 〈바넘：위대한쇼맨〉,4,역시 유바넘,유배우님이 다 한 공연,2018.11.09
뮤지컬 〈바넘：위대한쇼맨〉,3,괜찮았어요~,자첫 했을 때 별로라고 느꼈는데 세미막공은 생각보다 괜찮았어요~배우들의 애드립도 많고ㅎㅎ,2018.11.08
뮤지컬 〈바넘：위대한쇼맨〉,5,최고의 공연,지루할 틈이없었어요 최고,2018.11.07
뮤지컬 〈바넘：위대한쇼맨〉,5,10번을 봐도 재밌는 뮤지컬,우현군의 귀여움때문인가 배우들과 앙상블들의 열연 덕분인가 10번 넘게 봐도 너무 재미있어요 정말 최고예요&#128077;,2018.11.07
뮤지컬 〈바넘：위대한쇼맨〉,5,정말 신나는 뮤지컬,함께해요 서커스인생 위대한쇼맨~~  보고나서도 노래가 흥얼거리는 ㅋㅋ 김준현 배우님 짱이에요,2018.11.07
뮤지컬 〈바넘：위대한쇼맨〉,5,지상 최대의 흥,김준현 배우님 정말 짱이에요????,2018.11.07
