musical_title,rate,review_title,review_text,review_date
뮤지컬 〈바람과 함께 사라지다〉,1,배우들 페이 왜지급 안해줘요,총막끝난지 언젠데 아직까지 페이 미지급 글이 보여요.유료관객의 한명으로써 내가 지급한 티켓비는어디로 간걸까요. 초대 파티를 그렇게 해서제값주고 관극하는 관객들 그렇게 힘을 빠지게하더니 배우분들 페이지급안하셨다면 빨리 처리해주셨음 합니다.,2018.09.26
뮤지컬 〈바람과 함께 사라지다〉,5,많이,재밌었습니다,2018.08.28
뮤지컬 〈바람과 함께 사라지다〉,5,정말 좋았어요,영화로도 잘 알고 있었고 주말의 명화에서도 자주봐서 뮤지ㅓㄹ로 저 긴 이야기를 다 담아낼수 있을까했는데 생각보다 많은 부분이 담겨 있더라구요 몇번 못봐서 속상하지만 정말 좋았습니다.,2018.08.28
뮤지컬 〈바람과 함께 사라지다〉,5,너무 좋았어요,그 시대로 잠시 들어갔다 온 것 같은 느낌이 들 정도로 몰입해서 봤네요. 배우분들 가창력도 좋았어요.,2018.08.27
뮤지컬 〈바람과 함께 사라지다〉,5,바다와 함께 사라지다,마지막 한 문장이면 충분했다.내일은 내일의 태양이 뜰테니까!! 와...이게 큰 파급력있는 문장이구나 알수 있었다.모두 기립박수를 보였기 때문.바다 당신은  도대체...,2018.08.26
뮤지컬 〈바람과 함께 사라지다〉,5,너무 감동이 밀려왼요,너무감동이었어요 배우분들이 연기를 너무잘하시더라구요,2018.08.23
뮤지컬 〈바람과 함께 사라지다〉,5,정말 재미있게 뵜습니다.,"워낙 영화로 유명한 작품이라 기대를 많이하지는않았는데요,, 기대이상으로 재미나는 뮤지컬이었습니다.무대도 좋았구요,, 배우들 정말 근사했습니다.특히,, 신성우님 레트 버틀러역으로 단연 최고셨네요!!바다님의 스칼렛 역시 좋았습니다.애슐리역 백형훈씨 아주 멋졌습니다.또 무대에서 이 작품을 만나기를 기대합니다.다음번애는 김지우 님의 스칼렛을 보고싶네요~물론 래트는 신성우님 보고싶구요~^^*",2018.08.22
뮤지컬 〈바람과 함께 사라지다〉,3,잼나여 한번 봐봐여,잼나여 한번 봐봐여,2018.08.16
뮤지컬 〈바람과 함께 사라지다〉,5,백승렬님 응원합니다,친구가 선물로 보여준 공연이었어요예전 팬텀싱어때 백승렬닝  응원했는데다시뵈니 반갑고 노래도 연기도 좋았습니다,2018.08.15
뮤지컬 〈바람과 함께 사라지다〉,4,좋은 공연이었어요,옛 추억의 영화를 떠올리는 좋은 공연이었어요,2018.08.13
뮤지컬 〈바람과 함께 사라지다〉,2,그다지...,어렸을적 영화로 제작된 바람과 함께 사라지다를 엄청나게 재미있게 봤습니다. 그런데 뮤지컬은 그 기대에 미치지 못했네요...,2018.08.13
뮤지컬 〈바람과 함께 사라지다〉,5,바람사 못보내ㅠㅠ,바람사 이번이 세번째 관극이었어요 룬칼렛 테이 역시나 너무 잘하고요ㅠㅠ 이번에 한유란배우님이 전보다도 더 애드립?이랑 성량이랑 더 멋졌던거 같아요 기슐리도 너무 좋았어요,2018.08.08
뮤지컬 〈바람과 함께 사라지다〉,5,최고 최고 최고의 명작!!!,흥미 진진한 전개와 함께 웅장한 음악 화려한 배경최고의 공연이였습니다,2018.08.08
뮤지컬 〈바람과 함께 사라지다〉,4,넘 좋았어요!,넘 좋았어요!,2018.08.08
뮤지컬 〈바람과 함께 사라지다〉,4,배우들 연기가 좋아요,배우들 연기 모두 최고,2018.08.07
뮤지컬 〈바람과 함께 사라지다〉,4,볼만합니다,잘봤어요,2018.08.06
뮤지컬 〈바람과 함께 사라지다〉,5,연기좋았어요~,배우분들 전달력도좋고 역활싱크로도잘되신거같아요,2018.08.06
뮤지컬 〈바람과 함께 사라지다〉,4,바람과 함께 사라지다 총막,여러모로 아쉬움이 많이 남는 공연이었습니다. 이 극은 스칼렛도 중요하지만 레트가 매력적인 인물로 보여져야 하는데 전혀 그렇지 않네요... 총막인데 배우들이 다 오지 않는 것도 좀 성의없어 보이구요...,2018.08.06
뮤지컬 〈바람과 함께 사라지다〉,5,김보경님과 사랑에 빠졌습니다,김보경님은 요정이 아닐까요?,2018.08.06
뮤지컬 〈바람과 함께 사라지다〉,4,바람과 함께 사라지다,"바람과 함께 사라지다 요즘 감성엔 좀 안맞는 공연이였지만, 배우들의 합은 좋았습니다.",2018.08.06
뮤지컬 〈바람과 함께 사라지다〉,4,최고!!,막공 넘 좋았어요 김보경 배우님도 테이배우님도 백형훈 배우님도ㅠㅠ 다만 스토리가 좀 아쉬울뿐,2018.08.06
뮤지컬 〈바람과 함께 사라지다〉,5,재밌게 봤어여,마지막 장면 연출 멋지네여,2018.08.06
뮤지컬 〈바람과 함께 사라지다〉,5,또 보고싶어요,또 보고싶은데..볼 수가  없네요ㅠㅠ,2018.08.06
뮤지컬 〈바람과 함께 사라지다〉,5,바람사 또 보고싶네요,그리울 거예요,2018.08.06
뮤지컬 〈바람과 함께 사라지다〉,2,뭔가 쫀쫀하지않은느낌,뭔가 2프로 부족한 느낌,2018.08.06
뮤지컬 〈바람과 함께 사라지다〉,5,좋았습니다,보경칼렛 예상대로 넘 사랑스럽고 멋졌습니다,2018.08.06
뮤지컬 〈바람과 함께 사라지다〉,2,"아...레트....할아버지인줄,,",다 좋았는데 레트가 넘 할아버지 삘...,2018.08.04
뮤지컬 〈바람과 함께 사라지다〉,4,세막레전의 법칙은 틀림없으니,막공보다 훨씬 좋았던 세막,2018.08.04
뮤지컬 〈바람과 함께 사라지다〉,5,명화의 감동이 그대로,명화의 감동을 그대로 재현해낸 작품~,2018.08.04
뮤지컬 〈바람과 함께 사라지다〉,2,뮤지컬 〈바람과 함께 사라지다〉,사라졌다~~,2018.08.03
뮤지컬 〈바람과 함께 사라지다〉,5,ㅎㅎㅎㅎㅎㅎ,ㅎㅎㅎㅎㅎㅎ,2018.08.03
뮤지컬 〈바람과 함께 사라지다〉,1,기대이하,연기자들의 연기는 좋았으나  뮤지컬로서의 바람과함께사라지다는 기대이하였습니다,2018.08.02
뮤지컬 〈바람과 함께 사라지다〉,4,정말 너무 최고였던 공연!!,"바다배우님, 테이배우님, 기세중배우님 캐스팅이었는데 바다배우님은 성량이 너무 대단하시고 테이배우님과 기세중배우님은 목소리가 너무 감미로우셨어요ㅠㅠㅠ 넘버들도 어느것하나 빠지는 것 없이 다 좋고 특히 노예장과 유모가 나오는 장면에서는 정말 감동받았습니다! 다음에 또 보고싶어요!!",2018.08.01
뮤지컬 〈바람과 함께 사라지다〉,5,잘봤어요,재미있게 잘봤어요 막공이라 더 힘써주신거 같네요,2018.08.01
뮤지컬 〈바람과 함께 사라지다〉,5,바다 & 신성우,어쩜 그리도 스칼렛 같고 버틀러 같은지 정말 신기했어요,2018.07.31
뮤지컬 〈바람과 함께 사라지다〉,3,막공에 대한 아쉬움,"막공이란 모든 배우들과 스텝들의 수고와 고생 그리고 노력이 함축적으로 담겨 있다고 생각하여 되도록 이면 막공을 챙겨보는 편입니다. 무대 전체적으로 봤을 때는 무언가 허전한 부분이 있었지만 그 공간을 배우들의 열정과 노력으로 가득 채우는 것에 늘 아낌 없는 박수를 보냈습니다. 그러나 이번 막공은 사실 실망스러웠습니다. 특히 바다 배우님은 배우로서 본인의 역활을 다시 한번 생각해 보셨으면 좋겠습니다. 뮤지컬이든 연극이든 공연이라는 게 누구 한명의 가창력을 뽐내는 자리는 아니라고 생각합니다. 같이 하는 배우들과 호흡을 함께 하는 것이 중요한 데 적어도 막공에서는 이점을 간과하신 듯 해서 많이 아쉽습니다. 본인의 감정에 너무 취한 나머지 다른 배우들과의 노래와 동선을 바꾸는 것이 지나쳐서 공연 내내 불안하고 불편 했습니다. 물론 배우로서 좋은 장점을 많이 갖고 있다는 건 알지만, 이런 부분을 한번 더 생각해 주시면 앞으로 더 좋은 그리고 믿을 수 있는 배우가 되지 않을까 싶은 마음에 몇자 남겨 봅니다. 모두들 수고하셨습니다!",2018.07.31
뮤지컬 〈바람과 함께 사라지다〉,5,부모님께 선물. 너무 좋아하심,부모님께서 바람과 함께 사라지다 영화도 좋아하셨는데뮤지컬이 더 재밌다고 하셨어요. 전쟁영화 좋아하는 아빠의 취향과로맨스 좋아하는 엄마취향이 적절하게 있어서재미와 감동이 다 있었어요.,2018.07.31
뮤지컬 〈바람과 함께 사라지다〉,4,드디어 끝이났네요,수고했던 분들 마음고생했던 분들 모두 수고하셨고 고생하셨습니다.,2018.07.31
뮤지컬 〈바람과 함께 사라지다〉,5,드디어...기립박수(*T^T),저에겐 그 날이 막공이었어요. 3개월 동안 일본에서 왔다갔다 하면서 8번이나 관극했어요. 그 만큼 사랑한 작품이었어요. 총막공이 다가와서 그런지 모둔 배우들도 힘차게 노래를 부르시고 저두 모르게 그 동안의 감정도 다가와 1막부터 울었어요...ㅠㅠ 카튼콜때에 드디어 기립박수를 치면서 다들 얼굴을 봤어요. 바람사가 제에게도 추억 뮤지컬의 하나로 되었어요. 다시 만날때까지 잠시 안녕(^-^)/ 또 꼭 봐요!!,2018.07.31
뮤지컬 〈바람과 함께 사라지다〉,1,드디어 끝이 났네요,4연~10연에서는 안만났으면 좋겠네요배우들과 스텝들만 고생한 공연이었던듯,2018.07.31
뮤지컬 〈바람과 함께 사라지다〉,4,초연 때 보고 다시 봤어요,감정선이 더 풍성해진 것 같아요 중반부까지 스칼렛과 레트가 엮이는 장면마다 유쾌해서 좋았어요.에슐리.. 마지막에 맘에 넘 아팠네요ㅜㅜ 즐거웠습니다!!,2018.07.31
뮤지컬 〈바람과 함께 사라지다〉,5,조합의 잼,캐스팅들이 여러 몇명이나 계셔서 그 때마다 연기들과 애드립도 조금씩 달라서 몇번봐도 잼있게 봤어요.  이 금토일에는 테이 버틀러와의 여러 조합을 볼 수 있어서 비교도 되고 좋은 자리에서 아주 잼있게 봤어요.  재연한다면 또 다시 테이 버틀러를 보고 싶구요. 노래도 춤도 잘하는 젊은이들은 다른 역할이나 더욱 성장한 모습으로 다시 보고 싶네요.  29일에 막공이라서 이제 끝나서 너무 너무 아쉬워하는 1인이에요. 다들 아자아자 화이팅p(^-^)q 다시 만나요.,2018.07.31
뮤지컬 〈바람과 함께 사라지다〉,5,김보경-테이-백형훈-최우리 세미막공♡,재관람인데 두달 전에 봤을때 만큼 좋았어요~두번 다 김보경-테이로봤는데 이 조합 너무 좋아요ㅎㅎ 너무 자연스럽고 스칼렛과 레트 그 자체 였습니다~애슐리 백형훈님은 공연에서 처음 보았는데 감동이었습니다~전체적으로 저는 넘버도 다 좋았어요~조금 더 다듬어서 내년에도 했음 좋겠네요ㅎ,2018.07.30
뮤지컬 〈바람과 함께 사라지다〉,1,바람이 많이 불어라구여,바람과 함께 정말 사라진극^^~,2018.07.30
뮤지컬 〈바람과 함께 사라지다〉,4,"넘버가 역시, 누가하든 좋네요","시작이 웅장한 뮤지컬 좋아하는데 이게 딱 그런스타일. 근데 28일 2시 공연 최지이님 목은 좀 안좋아보였어요. 남자 배우분 말이 좀 꼬이셔서 몰입이 잠깐 깨졌었는데, 뭐 적당했어요. 엄청난 공연은 아니었지만 그날 컨디션이 다 다르니까... 너무 좋은시간이었어요",2018.07.30
