musical_title,rate,review_title,review_text,review_date
뮤지컬 〈벤허〉,5,최고에요!!,"너무다 갓상블과 울음의 향연. 유대인의 아픔과 그런것들이 한국인들의 가슴에 와닿았던 점은 한국인의 아픔과 맞아서 그럴것 같아요@@ 너무나 감동이었고, 갓상블들 최고로 수고하셨습니자!!",2020.02.28
뮤지컬 〈벤허〉,4,지난 가을 참 좋았던 날 보낸 벤허,아직도 기억이 나네요. 이 뮤지컬이 빼어난 수작은 아니지만 원작이 워낙 훌륭한 클래식이므로 그 힘이 대단합니다. 주연 배우들의 열연이 훌륭했어요.,2020.02.22
뮤지컬 〈벤허〉,5,진짜 너무 재밌어요ㅠㅠ,ㅂㅔㄴ허 다시오길,2020.02.21
뮤지컬 〈벤허〉,5,눈 깜빡이는 시간조차 아까웠어요..!,뮤지컬을 좋아해서 여행지에서도 일부러 찾아가서 보곤 해요.그 중에서도 벤허는 제 인생에서 최고의 뮤지컬 중에 하나가 되었어요. 너무 감동이었고 공연내내 감탄하며 관람했습니다.가족들 지인들에게 추천하고싶습니다.,2020.02.14
뮤지컬 〈벤허〉,5,벤허 너무 꿀잼,민우혁 배우님 너무 몰입을 잘하셔서 너무 놀라면서 봤어요 감사합니다 그리고 연출이 너무 멋있고 좋아서 다시 공연했으면 좋겠어요ㅠㅠ,2020.01.31
뮤지컬 〈벤허〉,5,우리나라 뮤지컬중 최고 클래스,한번은 보시길 권하는 극,2020.01.27
뮤지컬 〈벤허〉,5,너무좋았습니다.,한번보고 너무 좋아서 한번 더 봤어요. 정말 좋아요 강추,2020.01.20
뮤지컬 〈벤허〉,5,벤허 영화만큼 재미있었어요.,"한지상배우, 이병준배우 연기 좋았습니다",2020.01.09
뮤지컬 〈벤허〉,5,박은태 벤허 최고,재밌고 노래좋고 앙상블 멋져요,2020.01.04
뮤지컬 〈벤허〉,5,은벤허,은벤허 너무 멋졌어요ㅠㅠ 진짜 반해서 지금까지도 음원계속 돌려듣고있네요ㅠㅠㅠ 제발 dvd풀어주세요,2019.12.30
뮤지컬 〈벤허〉,5,한지상 배우님♡,말해 뭐해용♡사랑입니다!,2019.12.30
뮤지컬 〈벤허〉,5,은벤허와 린에스더,"와,,,첫 뮤지컬인데 이리 여운이 깊을수가 있을까요..어마어마했습니다... 두배우님들 모두 그냥 찢으셨어요..은벤허...사랑합니다...?",2019.12.20
뮤지컬 〈벤허〉,5,벤허 너무 좋아요,벤허 사랑합니다 제 최애극이에요 박은태배우님 살아야해 보고 너무 반해가지고 아직도 감동이 가시질 않습니다,2019.12.16
뮤지컬 〈벤허〉,5,잘보았습니다,잘보았습니다 잘보았습니다 잘보았습니다,2019.12.14
뮤지컬 〈벤허〉,5,두번봐도 옳다,언제나 봐도 좋은 벤허배우마다 특색이있어 그 차이를 느끼며봐도 좋습니다,2019.12.13
뮤지컬 〈벤허〉,5,진짜 부모님이랑 봤는데 너무 감동이었습니다.,뮤지컬을 살면서 처음봤는데..감동의 여운이 오래가더군요..정말 또 가고싶었어요.,2019.12.09
뮤지컬 〈벤허〉,5,열정적인공연이었습니다.,명절때 좋은 공연 재밌게 관람햤습니다.,2019.12.08
뮤지컬 〈벤허〉,5,좋았습니다,좋았습니다 좋았습니다 좋았습니다,2019.12.06
뮤지컬 〈벤허〉,5,멋진 노래와 무대효과,"카이의 노래 실력이 뛰어난 걸 새삼 느낀 공연이었어요.무대 위에 특수제작한 말들로 전차경주를 하는 장면은잊지 못할 것 같습니다. 기존 영화의 장면들을 어떻게 무대에서 구현할까, 너무도 유명한 스토리로 관객을 어떻게 사로잡을까 궁금했는데... 기대 이상이었습니다.",2019.12.05
뮤지컬 〈벤허〉,5,역시 벤허,"믿고 들을수있는 배우들과 최고의 넘버, 탄탄한 극의 내용으로 재밌게 볼 수 있었습니다",2019.12.02
뮤지컬 〈벤허〉,5,최고,한지상.린아.박민성 페어..말이  필요없이 최고~~,2019.12.02
뮤지컬 〈벤허〉,5,진짜 최고!,"엄청 잘하고,  넘버도 좋고!",2019.11.29
뮤지컬 〈벤허〉,5,이멤버그대로돌아왓으면ㅜㅜ,내용을 알고봐도 역시 현장의감동은 다르네요이멤버그대로 다시돌아왓으면좋겠어요ㅜ♡ㅜ,2019.11.25
뮤지컬 〈벤허〉,5,왜 더 보지 않았나,막공까지 뛰었는데도 더 봐야했다는 아쉬움이 짙은 극!,2019.11.25
뮤지컬 〈벤허〉,5,최고의 배우!!,최고의 배우 넘버도 좋고 스토리도 좋아요 무대와 의상도 멋지고 재밌게 보고왔어요,2019.11.24
뮤지컬 〈벤허〉,5,좀 울고 싶은 마음으로 쓰는 관람 후기,"모든 이야기의 끝에 종장이 있다지만 벤허 첫 관람이 9월 중순이어서 몇 번 보지 못했다는 것이 너무나도 아쉬운 지금이다. 항상 떨리는 마음으로 새롭게 무대를 감상했고, 노래를 들었다. 종종 벅차오르는 마음에 울기도 했으며, 뜻밖의 모습에 웃기도 했다.행복한 한 달이었다. 인생에서 가장 즐거웠고 삶의 행복을 좇아 살고 싶다는 생각마저 들었다. 벤허의 끝이 그저 아쉬울 뿐이다.",2019.11.20
뮤지컬 〈벤허〉,5,벤허 벌써 다시 보고싶어요 보고있나요 벤허벤허벤,벤허 돌아와 돌아와.................초재연배우들 다 모시고 돌아와....갓-앙상블 분들 인센티브도 드리고 돌아와....소품팀 잠도 재우고 돌아와..........주세요.......,2019.11.16
뮤지컬 〈벤허〉,5,저들은자신들이,무슨직하는지,2019.11.15
뮤지컬 〈벤허〉,5,재밌어용,재밌음,2019.11.14
뮤지컬 〈벤허〉,5,최고의뮤지컬!!!!,사실 민우혁배우님 팬이라서 보게되었습니다. 그런데 벤허에 완전 푹 빠졌어요...! 웅장하고 멋있는 뮤지컬에 또 한번 반하게 되었습니다?? 벤허 여러번 또 보고싶네요ㅠㅠ,2019.11.13
뮤지컬 〈벤허〉,5,정말 최고의 무대..,첫 뮤지컬이었던만큼 늦더라도 후기를 쓰고싶어요,2019.11.11
뮤지컬 〈벤허〉,5,너무 좋았어요,세미막인 것도 모르고 갔었는데 유다벤허역 배우님이 정말 잘하셔서 좋았습니다 메셀라도 좋았고요 앙상블이 정말 최고였던 것 같습니다 재밌었어요,2019.11.10
뮤지컬 〈벤허〉,5,너무 멋져요,또 해주세요!!,2019.11.08
뮤지컬 〈벤허〉,4,웅장해요,보고싶었는데 웅장하고 재밌었어요내용을 더 알고 보면 좋았을텐디 아쉽..,2019.11.07
뮤지컬 〈벤허〉,5,할때마다보지만,늘 실망시키지않는 앙상블팀과 박은태님,2019.11.06
뮤지컬 〈벤허〉,5,최고,역시 믿고보는 박은태님화려한 앙상블팀,2019.11.06
뮤지컬 〈벤허〉,4,너무나 좋았습니다.,"좋은시간이였습니다.그러나 우리 관객분들,문화인으로서 매너를 지켰으면 좋겠다고 또한번 느꼈습니다.사진찍지말아달라는 경고도 무시한체 사진찍는 분들,안들리는줄 알겠지만 소곤소곤 떠드는 사람들,오페라글라스 사용하며 옆사람 툭툭 치는사람들,지킬건 지킵시다",2019.11.05
뮤지컬 〈벤허〉,5,엄마와 뮤지컬 첫관람,박은태 배우님 너무 멋지시다고 다음에도 또 보여달라고 하시네요~웅장하고 너무 멋졌데요~,2019.11.05
뮤지컬 〈벤허〉,5,좋았습니다,너무나 좋았습니다 다음에도 꼭 볼 수 있으면 좋겠습니다,2019.11.04
뮤지컬 〈벤허〉,5,좋았어요,골고다는 말하면 입 아플 정도로 좋았고 전차경주는 진짜 사랑입니다 너무 멋있어요,2019.11.02
뮤지컬 〈벤허〉,5,좋아요,좋아요,2019.10.31
뮤지컬 〈벤허〉,4,눈이 재미있는 무대,운좋게 막공 보게 됐는데 정말 좋았어요!!,2019.10.30
뮤지컬 〈벤허〉,5,좋아요!,벤허는 사랑입니다♡,2019.10.29
뮤지컬 〈벤허〉,5,당일날 예매해서 봤습니다,예정에 없었는데 낮공연이 너무 좋아서 뒷자리라도 밤공연을 또 다시 예매해서 봤습니다... 카이 벤허 정말 좋았어요 더 많이 보지 못한 게 속상할 정도예요,2019.10.28
뮤지컬 〈벤허〉,5,벤허 벤허하면 다시 오겠쬬..?,삼연 기다리겠습니다ㅠㅠ 그때도 박은태 배우님이 하시면 좋겠네요ㅠㅠㅠㅠ,2019.10.28
뮤지컬 〈벤허〉,5,최고입니다,근래 들어 본 작품 중 가장 화려하고 알찬 극이었어요배우분들 앙상블분들 다들 너무 잘하시고 눈이 즐겁고 귀가 즐거운 마음은 든든해지는 공연이었습니다,2019.10.28
뮤지컬 〈벤허〉,5,가지마요,대레전 갓상블 배우님들 보고 싶어요ㅠㅠㅠㅠ,2019.10.28
뮤지컬 〈벤허〉,5,벤허 짱,초연부터 소문으로 익히 들어왔지만 정말 자랑스러운 창작뮤네요!! 최고에요,2019.10.28
뮤지컬 〈벤허〉,5,명작이 명작으로,명작이 명작으로,2019.10.28
뮤지컬 〈벤허〉,5,너무 재미있었다,막공날이라 그런지 앙상블부터 기운을 팍팍 쏟아내는 느낌이었다. 자체인터 부분도 사라졌고 재밌는 부분은 또 빠르게 지나가서 그야말로 완벽했다. 결국 벤허는 희망을 향해 갈수 있음에 다행아라 느꼈다.,2019.10.28
뮤지컬 〈벤허〉,5,1부 2부 체감이 다르네요,1부는 조금 지루했지만 2부가 너무 재밌었어요.엄청 울었네요.,2019.10.27
뮤지컬 〈벤허〉,5,재밌ㅇ ㅓ요,벤허 보면서 행복했습니다. 마지막 무대가 너무 좋아서 잘 보내 줄 수 있을것같아요.,2019.10.27
뮤지컬 〈벤허〉,5,너무 좋았어요,처음부터 끝까지 엉엉 울다 나왔네요. 다음 시즌 기다릴게요,2019.10.27
