musical_title,rate,review_title,review_text,review_date
뮤지컬 〈빌리 엘리어트〉,5,멋진 공연,잘  봤습니다^^,2020.02.18
뮤지컬 〈빌리 엘리어트〉,5,빌리 너무 좋아요,빌리에게 푹 빠져서 봤어요! 다섯 빌리 모두의 공연을 다 보고싶네요!,2018.09.23
뮤지컬 〈빌리 엘리어트〉,3,잘 모르겠음,"영화를 보면서도 도대체 어느 부분이 감동적인건지..역시나 이번 뮤지컬도 아이들의 노력을 높이 살뿐,,,",2018.07.28
뮤지컬 〈빌리 엘리어트〉,4,빌리,아역 배우 춤 실력이 정말 뛰어났어요 다음 시즌에 앞자리에서도 한번 더 보고싶어요,2018.07.16
뮤지컬 〈빌리 엘리어트〉,5,최고다빌리엘리어트,최고의 연출 최고의 배우들.. 아이들의 노력에 따른 성장이 그대로 보여져 그냥 빌리라는 아이자체로도 감동 뛰어난 무대얀츨에 도 김동 발레리노의 꿈을 가진 탄광촌소년이라는 이야기 자체도 감동..감동 그 자체의 휴머니즘 뮤지컬하루빨리 디시 볼 수 있을 날이 오길.,2018.07.14
뮤지컬 〈빌리 엘리어트〉,5,최고입니다.,또 언제 돌아올지ㅜ,2018.07.13
뮤지컬 〈빌리 엘리어트〉,2,무해한 연기라지만..,무래한연기라지만 공연 내내 연기(담배냄새나는) 때문에 집중도 하나도 못하고 별로였습니다 보는내내켁켁 거리느라 힘들엇구요,2018.07.06
뮤지컬 〈빌리 엘리어트〉,5,재관람을 부르는 뮤지컬,진짜 미쳤어요 ㅎㅎ 저는 작년 12월에 현준빌리 보고나서 우진빌리로 재관람 했는데 여전히 감동받아서 전율이 일 정도였어요.,2018.07.03
뮤지컬 〈빌리 엘리어트〉,5,최고!!!,딱 그냥 볼거리 가득한 멋진 공연!!최고최고정말 강추에요ㅠㅠ,2018.07.02
뮤지컬 〈빌리 엘리어트〉,5,최고의 명작!,"진짜 아역배우들 볼때마다 너무 눈물이나서 큰일이에요,,, 아역들 다들 각자 너무 잘하고 ㅜㅜ 다른 앙상블 들도 너무 잘하고 ㅠㅠ앵댄은 언제봐도 최고네요 ㅠㅠ 시간이 지날수록 무르익어가는 아이들의 연기력에 감탄합니다.",2018.07.01
뮤지컬 〈빌리 엘리어트〉,5,연출이 특히 훌륭했어요,"빌리가 연기면 연기, 발레면 발레, 춤이면 춤 모두 좋았어요. 영화를 몇 번이나 본 작품이라 어떨까 했는데 굉장히 매력적이었어요.그리고 연출이... 이런 식으로 표현할 수 있구나 싶었네요. 소품 하나하나의 사용하며.잘 봤습니다.^^",2018.07.01
뮤지컬 〈빌리 엘리어트〉,5,감동 그 자체,"이제야 후기를 쓰게 되네요. 감동 그 자체였던거 같아요.  빌리 총 막공이었고, 현서빌리였고..... 언제나처럼 담담하게 공연 해나갔는데... 마지막부분에 발레스쿨 합격 후 미세스 윌킨슨에게 ""선생님 보고싶었어요""하고 실수 인듯, 본심인듯 대사를 했는데..  그 부분에 더 울컥 했네요..ㅠㅜㅠㅜ  이제는 다시 볼 수 없는 다섯빌리, 네명의 마이클, 세명의 데비, 세명의 스몰보이, 두명의 톨 보이.. 그리고 두 분의 윌킨슨 선생님, 두 분의 재키 엘리어트, 두 분의 그랜마... 그리고 약 6개월동안 원캐스트로 했던 준모 토니 그리고 성인 앙상블들.. 사랑스러운 발레걸스까지...ㅠㅠ  잊지 못할 6개월을 보내게 해주셔서 감사했습니다ㅠㅠㅠ 어떤 작품에 계시던 응원하겠습니다!",2018.06.25
뮤지컬 〈빌리 엘리어트〉,5,빌리엘리어트,현서야 꽃길만 걷자♡,2018.06.25
뮤지컬 〈빌리 엘리어트〉,4,꽉 찬 공연,솔직히 무대는 크지 않아요 그런데 정말 꽉 채워서 구석구석 다 보여주고 성실하게 한 장면씩 채워져요 제가 본 빌리의 연기력이 솔직히 많이.. 원작 캐릭터를 바꿀만큼 부족했지만 이렇게 바락바락 악만 쓰는 빌리도 나름 매력은 있더라고요 이래서 다들 한 번 보는 빌리 없이 다른 빌리들을 다 보나봐요????,2018.06.22
뮤지컬 〈빌리 엘리어트〉,5,우진빌리,우진빌리 최고!!! 너무 벅차오르는 감동과 재미 그리고 열정의무대 잘봤습니다^^,2018.06.21
뮤지컬 〈빌리 엘리어트〉,5,좋았어요~,아이랑  재미있게 봤어요~후기가 늦었네요~,2018.06.20
뮤지컬 〈빌리 엘리어트〉,5,너무 좋았어요,에릭빌리 막공 봤는데 너무 좋았습니다. 에릭의 주연빌리로써 서는 마지막 무대를 지켜볼 수 있어서 너무 좋았어요. 에릭빌리 수고했어요! 호열마이클도 수고했어요:),2018.06.15
뮤지컬 〈빌리 엘리어트〉,1,욕이나오고 담배피는공연,정말 최악의공연이었습니다. 아무리 시대설정이지만 부모에게 욕하는장면 꼭 필요했나싶고 금연초지만 그래도냄새나고 공연보는 내내 괴롱로웠습니다.,2018.06.11
뮤지컬 〈빌리 엘리어트〉,5,인생 최고 빌리 우진빌리,그리워요. 다신 볼 수 없겠지만.. 5월 1일 공연 평생 기억할게요,2018.06.11
뮤지컬 〈빌리 엘리어트〉,5,좋아요,기대하고 관람하였는데 실망시키지않았네요 즐거운시간이었습니다,2018.06.09
뮤지컬 〈빌리 엘리어트〉,5,아직도 눈물이 나곤 합니다,꼭 보고 싶던 뮤지컬이었는데매 넘버가 감동이었어요 특히 일렉이랑 레터ㅠㅠㅠ삼연 꼭 와야해요,2018.06.09
뮤지컬 〈빌리 엘리어트〉,5,"행운을 빌어, 빌리","수많은 무지컬을 접했지만,위키드 오페라의 유령과 더불어 인생 최고의 뮤지컬 빌리.그 2대 빌리 막공의 자리에 있었던 기억은 절대 잊지못할겁니다.",2018.06.02
