musical_title,rate,review_title,review_text,review_date
뮤지컬 〈스모크〉,4,기대이상,볼수록 매력적인 기대이상의공연이었습니다,2018.09.10
뮤지컬 〈스모크〉,5,아직도 기억에 남는 극~~,다음에 다시 오면 또 보고 싶네요,2018.09.07
뮤지컬 〈스모크〉,4,재밌어요,최고최고!,2018.09.07
뮤지컬 〈스모크〉,5,배우들도 노래도 완벽했다,제 스케쥴 맞춰서 예매한건데 최고의 배우님들로 이루어진 무대를 보고 왔어요^^,2018.08.22
뮤지컬 〈스모크〉,5,재밌었습니다,재밌었습니다,2018.08.14
뮤지컬 〈스모크〉,5,잘봤습니다,이 캐슷 그대로^-^ 돌아오세요,2018.08.10
뮤지컬 〈스모크〉,4,영상 활용이 좋네요,초반부에 극 제목 뜰 때랑 거울 싼 등등 조명과 영상 활용이 굉장히 멋집니다 재연오세요,2018.08.10
뮤지컬 〈스모크〉,5,재연와줘요,제발 재연와주새요,2018.07.30
뮤지컬 〈스모크〉,3,배우들의 연기만 남은 작품,연기가 인상적이었습니다,2018.07.30
뮤지컬 〈스모크〉,4,스모크,스모크,2018.07.30
뮤지컬 〈스모크〉,5,다시보고 싶은 공연,배우들의 연기와 노래로 계속해서 빠져드는 공연이였어요다시 보고 싶은 공연인데 벌써 끝나서 다시 볼 수 없네요ㅜ 다시 공연 올라오면 꼭 보고싶어요,2018.07.30
뮤지컬 〈스모크〉,5,개짱이야,내년에도 오십쇼,2018.07.30
뮤지컬 〈스모크〉,5,날자날자,딱한번만날아보자꾸나,2018.07.30
뮤지컬 〈스모크〉,3,홍 사랑했지만,다른건.. 음.. 왜 디벨롭 할 수록 구려지죠,2018.07.30
뮤지컬 〈스모크〉,4,역시 최고,노래 너무 좋네요,2018.07.30
뮤지컬 〈스모크〉,4,재밌었어요!,이상에 대해서 다시 생각해볼 수 있게 하는 극이었어요! 넘버도 좋고 특히 거울 조명이 너무 좋았어요ㅎㅎ 다시 돌아오면 또 보러가고 싶네요ㅎㅎ,2018.07.30
뮤지컬 〈스모크〉,5,스모크 다시돌아와라,재밌는 극 좋은 음악 다시돌아오길,2018.07.30
뮤지컬 〈스모크〉,5,여기까지야,더이상은안돼,2018.07.30
뮤지컬 〈스모크〉,4,스모크,스모크,2018.07.29
뮤지컬 〈스모크〉,5,재밌었습니다.,재밌었습니다.,2018.07.27
뮤지컬 〈스모크〉,5,재밌었어요,재밌었어요,2018.07.26
뮤지컬 〈스모크〉,5,재밌었어요!!!!!!!!!!,재밌었어요,2018.07.26
뮤지컬 〈스모크〉,5,Best,최고......!!!!!!!,2018.07.26
뮤지컬 〈스모크〉,4,여러모로 다 좋았다,화해도 하고 더 그리워지고 슬프기도 하고 그냥 다,2018.07.25
뮤지컬 〈스모크〉,5,최고야,진짜 최고야 정말 표 잡길 잘했어,2018.07.25
뮤지컬 〈스모크〉,5,진짜 완전 레전,이미 끝나버린 극이지만 정말 이날은 최고였다고 이루 말할 수 있다,2018.07.25
뮤지컬 〈스모크〉,5,너무 좋았어요:),너무 좋았어요:),2018.07.25
뮤지컬 〈스모크〉,5,내년에 돌아올 스모크도 기대됩니다.,스모크는 보면 볼 수록 정말 좋은 공연입니다.,2018.07.25
뮤지컬 〈스모크〉,5,좋았습니다.,작년에 이어 재연도 열심히 보았는데 배우분들의 연기가 극의 완성도를 확 끌어올립니다. 특히 초가 정말 매력적 이었습니다.,2018.07.25
뮤지컬 〈스모크〉,5,고생했어요?,♡고생했어요♡,2018.07.24
뮤지컬 〈스모크〉,4,좋았어요,좋았어요,2018.07.24
뮤지컬 〈스모크〉,5,좋아요,넘버좋네요,2018.07.24
뮤지컬 〈스모크〉,5,ㅠㅠ,돌아와줘요,2018.07.24
뮤지컬 〈스모크〉,5,스모크,진짜 범초 최고 ㅜ,2018.07.24
뮤지컬 〈스모크〉,5,잘봤어요,여러가지 생각을 해 볼수 있는 작품 잘 봤습니다,2018.07.24
뮤지컬 〈스모크〉,5,잘봤어요,재미있었습니다,2018.07.24
뮤지컬 〈스모크〉,5,벌써 끝 ㅠㅠ,마지막 공연을 봐서 너무 아쉽습니다. 다음에 또 돌아오기를...,2018.07.24
뮤지컬 〈스모크〉,4,스모크,스모크,2018.07.24
뮤지컬 〈스모크〉,3,스모크,스모크,2018.07.24
뮤지컬 〈스모크〉,5,재밌어요,총막답게 레전드로 좋았어요,2018.07.24
뮤지컬 〈스모크〉,5,무대만 수정해서 다시오길,배우들 넘버들 소품 연주자분 조명은 좋았지만바뀐 무대와 서사는 정말 별로였어요하지만 극 자체가 주는 여운은 여전히 좋았습니다,2018.07.23
뮤지컬 〈스모크〉,5,시원섭섭한 마무리,시원섭섭한 마무리.,2018.07.23
뮤지컬 〈스모크〉,5,거우루류류,아ㅏㅣㅊ미친 배우가 얀출ㄹ극본 다햇다 구멍다메꿧ㅅ다 실ㄹ화냐,2018.07.23
뮤지컬 〈스모크〉,4,느어어ㅓ어어어,거ㅓ우류류러ㅕㅗ,2018.07.23
뮤지컬 〈스모크〉,5,작초 짱짱!!,"이번에 작품 수정해서 온 것도 넘 좋고., 그럼...",2018.07.23
뮤지컬 〈스모크〉,5,작초! 사랑해~ ㅠ,진짜 최고다!!,2018.07.23
뮤지컬 〈스모크〉,5,작초 최고!!!,진짜 개 쩔어!!!!!,2018.07.23
뮤지컬 〈스모크〉,5,와.. 진짜 깅경스 연기 천재!!!,진짜 어쩜 이러치...????,2018.07.23
뮤지컬 〈스모크〉,5,멜론,한 조각,2018.07.23
뮤지컬 〈스모크〉,1,잘봤습니다,잘봤습니다,2018.07.23
뮤지컬 〈스모크〉,4,^^,정말 재미있게 봤습니다. 다음번에 다시 볼 수있기를,2018.07.23
뮤지컬 〈스모크〉,4,스모크,재밌습니다 여전히 랩하는 듯한 대사와 노래는 적응이 안되지만.... 랩배틀 프로를 보는듯 했습니다..... 그래도 재밌어요...,2018.07.23
뮤지컬 〈스모크〉,5,좋았습니다,한번 더 보고 싶은 스모크,2018.07.23
뮤지컬 〈스모크〉,5,좋았습니다,날자 날자 날 수 있다 딱 한번만 더 날아보자구나,2018.07.23
뮤지컬 〈스모크〉,5,스모크,솧해 연기 너무 좋아요ㅠㅠ,2018.07.23
뮤지컬 〈스모크〉,4,.,넘버가 좋아서 가끔씩 봤는데 다음에 또 올라올라오기를 기다리겠습니다.,2018.07.23
뮤지컬 〈스모크〉,5,트라이아웃 버전이 더나은것같아요,친절한데 촌스러워졌네요,2018.07.23
뮤지컬 〈스모크〉,5,좋네요,짱 굳 트라이아웃 그립네요,2018.07.23
뮤지컬 〈스모크〉,5,조아요,트아가 그립네요,2018.07.23
뮤지컬 〈스모크〉,5,조아요,굳 굳 급,2018.07.23
뮤지컬 〈스모크〉,4,.,재미있게 잘봤습니다. 다음에 또 만나요,2018.07.23
뮤지컬 〈스모크〉,5,재밌었어요,존잼존잼존잼 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 근데 없잖아요 ㅠㅠㅠ 이제 ㅠㅠㅠㅠ 얼른 다시 올려주세요 ㅠㅠㅠㅠㅠ,2018.07.23
뮤지컬 〈스모크〉,5,이게 내가가진 마지막이엿다니ㅜㅡㅜ 아숩다,너무잘봣습니다~,2018.07.23
뮤지컬 〈스모크〉,5,너무 좋았어요~,너무 잘봣습니다~ 좋아요좋아,2018.07.23
뮤지컬 〈스모크〉,5,잘 봤습니다.,많이 울고나욌네요. 연기와 감정들 다 너무 좋습니다.,2018.07.23
뮤지컬 〈스모크〉,4,굿,굿굿죠아요,2018.07.23
뮤지컬 〈스모크〉,5,삼연 빨리 돌아오길,볼 수록 이상하게 매력있는 뮤지컬 스모크 빨리 다시 돌아왔으면 좋겠어요,2018.07.23
뮤지컬 〈스모크〉,5,연기처럼 피어오르겠습니다,오버츄어에 스모크 자막 올라오던 초반 장면부터 생생히 기억나는데 이제 없다니 넘 아쉬워요,2018.07.23
뮤지컬 〈스모크〉,5,절망이 기교를 낳고 기교 때문에 절망한다,천재가 되고 싶었으나 박제같은 인생만 산 게 아닌가,2018.07.23
뮤지컬 〈스모크〉,5,스모크,재밌어요,2018.07.23
뮤지컬 〈스모크〉,5,후기,너무 좋았습니다.,2018.07.23
뮤지컬 〈스모크〉,5,잼써따,잘가 스모크,2018.07.23
