musical_title,rate,review_title,review_text,review_date
뮤지컬 〈시카고〉,5,원하던 공연이었습니다.,원하던 공연이었습니다.,2019.04.29
뮤지컬 〈시카고〉,4,잼나요,잼나요,2018.11.18
뮤지컬 〈시카고〉,5,최고의 박칼린!!,말이 필요없는 아름다운 열정!!!,2018.10.10
뮤지컬 〈시카고〉,3,만족해용,이벤트를 잘 활용하여 저렴하게 잘 봤습니당~~디큐브시티에서 더 많은공연 했음 좋겠네요~~^^,2018.10.02
뮤지컬 〈시카고〉,3,시카고,졸잼 앙상블들 멋져요,2018.09.29
뮤지컬 〈시카고〉,5,배우님들이 크으~그냥 정점을 찍으셨네요,시카고 넘버만 듣고 유투브로 하이라이트 보기만하다가 처음 보러갔어요^^ 내한과 비교해도 손색이 없을만큼 아주 배우분들이 눈에 띄는 공연이었어요. 지휘자분도 상큼발랄하시고 넘 매력 넘쳤어요♡,2018.09.25
뮤지컬 〈시카고〉,5,????,Had fun!!!! Soooogooood  너무너무너무너무너무머눔  굿구수,2018.09.22
뮤지컬 〈시카고〉,5,시카아고~~오,김지우 배우님 진짜 완젼 팬 되었음!멋진 공연이었어여 ㅎㅎㅎ,2018.09.17
뮤지컬 〈시카고〉,5,박칼린 아이비 공연,영화와 같은 내용의 음악 노래 스토리를 무대에서 보신다고 생각하시면 될듯...,2018.09.16
뮤지컬 〈시카고〉,4,시카고,간만에 같이 근무하는 동료와 보았습니다  화려한 춤과 노래 넘 좋았습니다,2018.09.14
뮤지컬 〈시카고〉,5,벤조이스트를 잘보세요.,남들 쟁쟁한 배우님들 보러간다는데연주자 보러가는 사람도 있답니다.^^,2018.09.12
뮤지컬 〈시카고〉,5,재즈 눈과 귀가 춤추던날,오케스트라가 나와있어서 더욱좋았습니다,2018.09.07
뮤지컬 〈시카고〉,5,좋았어요,너무 많이 웃다왔어요,2018.09.06
뮤지컬 〈시카고〉,5,환상적인 공연,"연출,배우들의 연기력 / 몰입도,댄스 모두 멋졌습니다아이비,박칼린 너무너무너무 멋진 배우라고 생각합니다근사한 공연 잘 보았습니다감사합니다",2018.09.05
