musical_title,rate,review_title,review_text,review_date
뮤지컬 〈아이언 마스크〉,5,광림아트센터 BBCH홀에서 관람한 아이언마스크 입니다.,"광림아트센터 BBCH홀에서 관람한 아이언마스크 입니다. ‘우리는 하나’ 삼총사의 귀환, 그리고 끝나지 않은 전설! 신성우님이 아토스로 나오는 삼총사의 후편 얘기에요.  기억나는 대사는 경호대장 달타냥이 칼을 꺼내들며  신입 아토스의 아들 라울에게 (관중을 향해) ""칼을 뽑을 때는 찌를 사람을 생각하지말고,  지켜야 할 사람을 생각하라!"" 멋졌어요.  연극 분위기인 상 유머코드는 별로 없었지만,  주조연 모두 노래를 잘해서 귀 호강하고  프랑스 왕실을 재현한 의상과 무대장치에  눈 호강 더불 호강 했습니다.",2019.12.23
뮤지컬 〈아이언 마스크〉,5,웅장미와 비장미 그리고 한층 업그레이드된 재미와 감동의 대작 뮤지컬 아이언 마스크,"지난주에 광림아트센터 BBCH홀에서 뮤지컬 <아이언 마스크>를 관람했다. 음악적 감성이 비슷해서인지 한국에서 많은 인기를 얻고 있는 체코 뮤지컬의 최신작이다. 체코판 원작은 뮤지컬 <삼총사>의 음악을 작곡했던 체코의 유명 아티스트 미칼 다빗(Michal David)이 다시 한번 음악을 작업했고 2017년 11월 1일에 체코에서 초연했다. 그러나 인터넷으로 체코판 OST를 들어보니 스몰 라이선스로 들여온 한국판의 음악과는 많이 달랐기에   작년 가을의 한국 초연 때부터 이미 음악은 전면적으로 새롭게 작업한 것으로 봐도 좋을 것 같다. 초연 때 관람에 이어서 올해 재연을 관람해보니 더욱 업그레이드된 모습이라서 흡족했다. 프랑스 작가 알렉상드르 뒤마(Alexandre Dumas. 1802-1870)의 <달타냥 3부작> 중 마지막편에 해당하는 브라질론 자작(Le Vicomte de Bragelonne. 1850)이 뮤지컬에서 다루는 이야기의 원작이다. 브라질론 자작은 영어로 출판될 때 세 권으로 나뉘어 출간되었는데 3권의 제목이 <철가면을 쓴 남자(The Man in the Iron Mask)>였기에 철가면이란 제목으로도 널리 알려졌다.  뮤지컬 아이언 마스크는 메이커스프로덕션 제작, 지인우 작사/각색, 노우성 연출, 최종윤 작곡, 김성수 편곡, 김정하 음악감독, 김정열 안무이고 공연시간은 1부 70분, 인터미션 15분, 2부 75분이다. 이날 공연의 캐스팅은 쌍둥이 왕 루이 및 필립 역 노태현, 총사대장 달타냥 역 이건명, 삼총사 아토스 역 서범석, 아라미스 역 박상돈, 포르토스 역 장대웅, 왕의 모친 앤 역 김아선, 아토스의 아들 라울 역 박근식, 라울의 약혼녀 크리스틴 역 이영인, 포르토스의 아내 세실 역 조영경, 총사부대장 마르끄 역 김효성, 앙상블 역 이강, 이은주, 이채욱, 정연호, 이승현, 김의환, 이한울, 이재혁, 김지유, 김지연, 김상혁, 양희웅, 김하은, 이성빈, 박지민, 조서영, 박상민, 이용욱, 조민건, 이지은, 방은주, 이경만 배우였다.  이십여 명의 남녀 앙상블이 등장하는 대작 뮤지컬인 만큼 굶주림에 괴로워하는 파리 시민들이 왕의 폭정에 항거하는 장면, 베르사유 궁전에서 열리는 귀족들의 무도회 장면, 푸른 총사복을 입은 총사들의 검술 훈련 장면 등에서 무대를 꽉 채우는 웅장하고 화려한 앙상블들의 연기와 노래를 만나볼 수 있다. 올해의 아이언 마스크는 한층 업그레이드된 무대라는 인상을 주었다. 무대의 좌우로 이동하는 건물 배경에는 대형 LED를 사용하여 선명하면서도 다양한 배경그림을 보여주었고 무대 전체를 아우르는 프로젝터 영상도 가미하여 시각적으로 화려한 볼거리를 제공했다.  많은 작품에서 좋은 연기를 보여준 이건명 배우는 믿고 볼 수 있는 배우라고 할 수 있다. 역시나 이번 무대에서도 연기와 노래 양면에서 만족스러운 달타냥을 만나볼 수 있었다. 아이언 마스크는 내용면에서 막장드라마라고 할 수 있다. 뮤지컬 삼총사에서 ""정의는 반드시 살아있다""를 외쳤던 달타냥은 아이언 마스크에서도 총사대장으로서 정의의 사자인 양 행동하지만 사실상으로는 왕비 앤과 사랑을 나누었으니 만약 선왕이 이 사실을 알았더라면 능지처참형에 처해지고도 남았을 캐릭터다. 동서고금을 막론하고 막장 스토리는 세간의 관심을 끌기에 충분한 법인가 보다.  아이언 마스크는 은퇴한 옛 영웅들이 검을 뽑아들고 다시 일어선다는 내용을 그리고 있으므로 노익장을 과시하는 작품이라는 점에서 백세시대를 노래하는 오늘날에 부합되는 면이 있다. 장대웅 배우는 애드리브를 더하여 귀여운 포르토스를 보여주었고 서범석 배우는 베테랑답게 역할에 어울리는 아토스를 편안하게 연기했다. 개인적으로는 박상돈 아라미스의 풍성한 울림이 있는 노래가 특히 마음에 들었다. 성악가로 활동했던 박상돈 배우는 이번 공연이 뮤지컬 데뷔작이라고 한다. 그래서인지 몸 연기와 대사 처리에서는 다소 경직된 듯한 느낌을 주기도 했지만 노래면에서는 성악가답게 격조와 깊이가 느껴지는 풍성한 성량으로 귀를 즐겁게 해주었다.  김아선 배우는 뮤지컬 삼총사와 아이언 마스크 초연 때 그리고 얼마 전에는 뮤지컬 <친정엄마>에서도 만나봤다. 필립을 걱정하는 엄마로서 모성애를 표현하는 연기도 좋았고 달타냥을 향한 여자로서의 사랑을 수줍게 드러내는 연기도 좋았다. 노래와 연기 양면에서 흡족한 앤이었다.  쌍둥이가 태어나자 선왕은 형제 간에 벌어질 왕위다툼을 염려하여 총사 아라미스에게 동생 필립을 죽이라고 명했다. 그러나 아라미스는 아무리 왕명이라고는 해도 갓난아기를 차마 죽일 수는 없었다.  왕위를 물려받은 포악한 루이는 동생이 살아있단 사실을 알고서 죽이려고 했지만 모친 앤이 간곡하게 사정하여 필립은 사형은 면하지만 대신 바스티유 감옥의 가장 깊은 곳에 철가면을 쓴 채 갇히게 된다. 루이와 필립은 전혀 다른 성격의 1인 2역을 해야 하기 때문에 많은 노력이 필요한 배역이라고 생각한다. 바뀌는 조명색에 따라서 루이가 되었다가 필립이 되었다가를 반복하며 한 넘버에서 1인 2역으로 노래해야 하는 루이 및 필립의 넘버는 두 얼굴의 야누스를 보는 듯하여 재미가 더해진다. 노태현 배우는 이 넘버의 마지막 소절 고음 부분에서 숨이 가빴는지 제 음을 내지 못하는 실수를 하긴 했지만 전체적으로는 1인 2역의 캐릭터를 무난하게 소화했다고 생각한다.  술집을 운영하는 포르토스와 세실 부부는 깨알 같은 웃음을 주는 커플이다. 라울의 전사 소식을 들은 아라미스는 슬픔에 빠진 아토스를 도와 왕을 바꿀 계획을 세우고 포르토스에게 동참을 요청하지만 포르토스는 아내 세실을 두고 갈 수 없어서 망설인다. 하지만 세실은 세월의 여파를 견디지 못하고 몸뚱아리가 쭈글쭈글해져버린 남편을 향해서 마음까지 쭈글쭈글해지지는 말라며 옛 친구들과 함께 정의를 위해 싸우다가 죽으라며 등을 떠민다. 세실과 포르토스가 함께 부르는 연가에서는 노부부의 오래된 신뢰와 사랑이 느껴진다.  크리스틴과 라울은 색욕에 빠진 나쁜 왕 루이로 인하여 비극을 맞이하는 가여운 커플이다. 총알도 튕겨내는 검술로 유명했던 예전의 총사대장 아토스의 아들 라울은 총사가 된 것을 기뻐하며 약혼녀 크리스틴에게 정식으로 청혼할 생각으로 마음이 들떴지만 왕실 무도회에서 크리스틴의 미모에 매료된 루이는 라울을 최전선으로 보내버리고 그 틈에 크리스틴을 취해버린다. 전쟁이 한창인 국경에 배치되어 연인의 품으로 다시 돌아갈 수 없음을 예감하고 부르는 라울의 슬픈 연가는 관객의 가슴을 시리게 한다. 박근식 배우는 감미롭게 슬픈 감정을 노래에 담았다. 크리스틴 역 이영인 배우는 이 작품이 뮤지컬 데뷔작인 신인이다. 대사를 할 때 감정을 입히는 연습이 보다 필요할 것 같다. 아쉽게도 신인이라는 티가 났다.  초연과 재연을 비교해봤을 때 넘버면에서는 루이와 아토스의 노래에서 변화가 있었다. 루이가 크리스틴과 대화를 나눌 때 사용됐던 짧은 넘버들이 이전과 달라졌고 새롭게 추가된 넘버도 있는 듯했다. 그리고 라울의 전사통지서를 받아들고서 울분을 토하며 왕에게 복수를 다짐하는 아토스의 솔로넘버 <칼 끝>은 훨씬 강한 비트와 격한 감정이 실린 넘버로 완전히 바뀐 데다가 무대 전체에 끓는 피를 연상케 하는 붉은색 계열의 영상이 프로젝터로 쏘아져서 아토스의 분노를 보다 실감나게 표현했다.  뮤지컬 아이언 마스크는 작년 초연 때 첫 관람에서는 너무 무거운 분위기의 작품이 아닌가 싶기도 했었으나 두 번째 관람과 세 번째 관람을 거치면서 보면 볼수록 넘버의 매력에 빠져들게 만든 작품이었다. 올해 재연에서는 음악면에서 보강이 이루어졌고 무대장치도 보다 화려해져서 한층 원숙해진 느낌을 주었다. 적절한 웃음코드가 가미되어 있으면서도 민중을 위해서 왕을 바꾼다는 역사적 대의를 담은 내용적 웅장미와 이루어질 수 없는 연인들의 사랑을 측은하게 바라보는 비장미를  매력적인 넘버들로 노래하는 대작 뮤지컬 아이언 마스크는 재미와 감동을 함께 느껴볼 수 있는 좋은 작품이다.",2019.12.17
뮤지컬 〈아이언 마스크〉,4,"화려한 무대와 무대의상, 노래 모두 좋았어요.","오랜만에 보는 뮤지컬~ 기대만큼 좋았습니다. 원하던 회차가 아니었는데도 기대 이상이었어요. 멋진 서사와 화려한 무대와 무대의상, 노래도 너무너무 좋았어요.",2019.12.15
뮤지컬 〈아이언 마스크〉,4,"힘이 필요할 때 보세요, 힘이 있는 뮤지컬",힘있는 무대가 쉴새없이 처음부터 끝날때까지 펼쳐진다.  전반부는 인물들간의 갈등과 아슬아슬한 긴장감이 관객들의 심장을 쫄깃쫄깃하게 한다. 후반부는 그야말로 본격적인 역사의 소용돌이 속에서의 역사를 외면하지 않는 의리있는 남자들의 본격 액션으로 작지않은 무대는 빈 틈을 찾아보기 힘들게 한다.,2019.12.05
뮤지컬 〈아이언 마스크〉,1,2019/12/04일에 광림아트센서에서 봤는데,나머지 분들은 너무 최고였고 연기와 노래 모두 뛰어났습니다.   하지만 루이역을 맡은 아이돌 김동한?   그 분이 연기는 물론이거나와 노래를 하시는데 음정을 다 틀리고 성량도 안좋으시고   삑사리를 두시간 내내 내고 참 ... 13만원 내고 공연 보러간 제가 더 민망하더군요.   캐스팅 미스고 왜 아이돌 나오는 뮤지컬을 피하는지 알거같아요. 너무 별로였고 기대 이하였습니다.,2019.12.05
뮤지컬 〈아이언 마스크〉,5,즐겁게 관람했습니다!,영상과 무대 장치가 굉장히 화려한데 영상에 따라서 장소가 휙휙 바뀌는 게 너무 신기하고 예뻐서 눈을 뗄 수가 없었어요그리고 캐릭터들이 하나하나 살아있는 게 극을 지루하지 않게 만드는 요소였던 것 같아요노태현 배우의 1인2역과 삼총사와 달타냥 역을 맡은 네 배우분들의 캐릭터 소화력이 대단하다고 느꼈구요그 시대의 화려한 의상도 하나의 볼거리였어요재관람의사 있습니다 :),2019.12.02
뮤지컬 〈아이언 마스크〉,5,좋아요,재미있게 보고 왔어요,2019.02.03
뮤지컬 〈아이언 마스크〉,5,재미있어요,지루하지않고 재미있어요,2019.01.30
뮤지컬 〈아이언 마스크〉,5,재밌었어요,기대한만큼 굿굿,2019.01.11
뮤지컬 〈아이언 마스크〉,5,재밌었어요~,영화를 너무 재미나게 봐서 기억을 더듬으며 봤어요산들 너무 귀여웠네요 ㅎㅎ,2019.01.11
