musical_title,rate,review_title,review_text,review_date
뮤지컬 안나 카레니나,4,아름답고 매혹적인 안나,그녀에게 빠져버렸어요,2020.01.02
뮤지컬 안나 카레니나,5,대박,무대가너무 뛰어났어요 소릉에 전율이!다음에도 또 보러올것같아요!너무 즐거웠습니다! 짱짱,2019.05.20
뮤지컬 안나 카레니나,5,민배우님  최고!!,다음시즌도함께해요,2019.01.07
뮤지컬 안나 카레니나,3,기대를 많이해서인지 ..,실망도 컸어용 ㅜ 이야기 전개가 너무 훅훅...생각보단 뱔로..,2018.09.26
뮤지컬 안나 카레니나,1,생각보다..,기대하고 갔는데 어수선하고 무슨 이야기를 전달하려고 한건지도 모르겠고 솔직히 보고나서 후회했어요 배우들은 너무 좋았는데 스토리는 더 보강해야할거같아요,2018.07.27
뮤지컬 안나 카레니나,3,스토리가...,그 길었던 이야기를 2시간 이내에 담기란 어려웠던 것 같아요. 번역도 좀 별로고...그렇지만 배우들의 열연이 모든 걸 다 커버했네요! ^^,2018.07.08
뮤지컬 안나 카레니나,5,소름소름소름,시간이 순삭된다고 느껴질정도로 아주 알찬공연이었음!!,2018.05.15
뮤지컬 안나 카레니나,3,큳,귿귿귿귿ㅇㅅㄴㆍㄴㅅㅇㅅㄴㆍㄴㅅㅇ,2018.05.10
뮤지컬 안나 카레니나,5,안나카레니나,ㅈ아요,2018.05.09
뮤지컬 안나 카레니나,3,솔직히,기대가 많아서인지 실망이 좀컷어요.,2018.05.07
뮤지컬 안나 카레니나,5,안나짱,정안나가 대박이구요민브론스키는 러시아 캐스팅보다 훨씬 더 브론스키에 가까운 비주얼이네용,2018.05.07
뮤지컬 안나 카레니나,5,인생뮤지컬,인생뮤지컬,2018.05.06
뮤지컬 안나 카레니나,5,굉장한 무대,재미있게 보았습니다. 뒷끝이 있기는 하지만...,2018.05.03
뮤지컬 안나 카레니나,5,ㄴㄷㅂㄷㅅㅁㄴㅇ늣ㄴㅂㄴㅇㅈㅇㅈ슨국,ㅂㄷㄴㄱㄷㄴ귀ㅜㄱㄷㄴㅂㄴㅂㅇㅈㅇㅈㅇㄷㅅㄴㅂㄷㄴㄱ늑ㅎㅈ오ㅡ슨근ㄱㄷㅎㅈㅅㄷㅂㆍ곳ㄷㅇㅅㄷㅇ늡늣ㅈㅅㄴ느국ㄷㄴㅅㄷㅇ듯늡ㄷㄴㅂ느보근ㅂㄷ,2018.05.02
뮤지컬 안나 카레니나,3,아쉬움이 맴도는 공연,배우들의 가창력도 너무 좋았지만 뭔가 조금은 아쉬운 스토리 전개...,2018.05.02
뮤지컬 안나 카레니나,5,배우들의 힘,스토리는 사실상 별거 없지만 배우들이 공연시간을 집중할 수 있게 꽉 채워주네요. 정선아님 목소리에 반했어요.,2018.04.28
뮤지컬 안나 카레니나,5,반했어요,톨스토이,2018.04.25
뮤지컬 안나 카레니나,5,좋았어요,대만족 ㅎㅎ,2018.04.23
뮤지컬 안나 카레니나,3,음.. 생각보다는,기대를 너무 많이 해서 그런지 생각보다 별로였어요.,2018.04.19
뮤지컬 안나 카레니나,5,안나 카레니나,역시 옥주현,2018.04.15
뮤지컬 안나 카레니나,5,안나 카레니나,불륜은 나쁜데 정선아님 너무 예쁨..,2018.04.15
뮤지컬 안나 카레니나,5,안나 다시 와야해요ㅜㅜ,사랑했어요ㅜㅜ 꼭 다시 와줘요ㅜㅜ,2018.04.14
뮤지컬 안나 카레니나,4,옥주현 매력,옥주현은 매력있고이지훈은 생각보다 노래잘항,2018.04.12
뮤지컬 안나 카레니나,4,책이 읽어보고 싶어져요,톨스토이의 기본 이념을 담은?그런 내용인 거 같아서 어렵지만 재미있게 본 것 같아요.안나를 맡았던 옥주현님도 최고!,2018.04.11
뮤지컬 안나 카레니나,5,감동적이었어요,역시 옥주현씨 노래 너무 감동적이었어요,2018.04.10
뮤지컬 안나 카레니나,5,굿,굿굿,2018.04.07
뮤지컬 안나 카레니나,5,멋진공연,기대만큼 좋은 무대와 배우들의 열연에 박수를 보냅니다!,2018.04.07
뮤지컬 안나 카레니나,5,뮤지컬 안나 카레니나,너무나 감동적이고 가슴이 뭉클했어요정말 멋있는 공연이었어요 즐겁고 행복한 저녁이었습니다,2018.04.02
뮤지컬 안나 카레니나,5,굳,굿,2018.04.01
