musical_title,rate,review_title,review_text,review_date
뮤지컬 〈웃는 남자〉,5,빵 한 조가악 서억탄 조가악,Ku걸하뮤어어 Wu는기부운 모를 꺼유으아아 그 누늘 뜨기저네에엥에ㅔ에에에에,2020.10.28
뮤지컬 〈웃는 남자〉,5,최고입니다,언제나,2019.06.23
뮤지컬 〈웃는 남자〉,5,짱,대장은 언제나 최고,2019.06.23
뮤지컬 〈웃는 남자〉,5,쿄윈플렌 그저 빛..,그는 그저 빛.. 상받자 대장??,2019.04.04
뮤지컬 〈웃는 남자〉,5,수호는 양심이있으면..,상받지마시오,2019.04.02
뮤지컬 〈웃는 남자〉,5,최고,박효신 말이 필요없는 무대,2019.04.01
뮤지컬 〈웃는 남자〉,5,정말 최고의 뮤지컬이였어ㅠㅠ,그 감동 아직도 잊지 못해ㅠ 또 보고 싶다,2019.03.31
뮤지컬 〈웃는 남자〉,5,정말 만족,아주 만족스러운 공연이었어요,2019.03.30
뮤지컬 〈웃는 남자〉,5,최고의 무대,늦은 후기지만 아직까지도 잊지못할 최고의 무대였습니다,2019.03.30
뮤지컬 〈웃는 남자〉,5,좋아요,말할것도없습니다,2019.03.27
뮤지컬 〈웃는 남자〉,5,다른 남주도 봤지만 웃남은 그냥 박효신 그 자체 입니다!!,몇 번을 봤는데 이제야 후기작성ㅎㅎ 진짜 바쿄신님 너무 갓벽해요. 이리 연기를 잘하셨군요ㅜㅜ 웃남은 정말 박효신님을 위한 뮤같아요.앞으로도 더 많은 뮤지컬에서 보고싶습니다. 수호님 웃남도 보았어요......요즘 아이돌들 뮤지컬도 잘하시던데..아직 수호님은 웃남엔 겉돌이시더라는..극의 흐름에 전혀 녹아있지 않아서 집중하지 못하고 봤었네요..이미 박효신님 무대를 너무 봐버려서 인지 수호님 뮤지컬은 정말 연습 많이 하고 다시 나오셔야 한단 생각들었습니다. 앞으로 기회 많을테니 더 더 연습하시고 멋진 모습으로 뮤지컬엔 서시길 바랍니다. 웃남은 정말 박효신이란걸 다시 한 번 느낍니다.,2019.03.27
뮤지컬 〈웃는 남자〉,5,내 첫 뮤지컬 웃는남자 그리고박효신,진짜 무대부터 연기 노래까지 다 너무 황홀한시간이였음ㅜㅜ박효신님 진짜 넘나 멋지고 엔여왕 못잊음 진짜,2019.03.27
뮤지컬 〈웃는 남자〉,5,또 보고 싶어요 쿄윈플렌,그윈플렌 그 자체였던 박효신 배우,2019.03.27
뮤지컬 〈웃는 남자〉,4,감동이었어요,평점이 좋은편이라 기대를 안고 관람했어요.역시나  구성도 노래도 매우 만족하는 공연이었어요.  계속해서 좋은공연 기다립니다,2019.03.18
