musical_title,rate,review_title,review_text,review_date
뮤지컬 인터뷰,5,다시한번 충격,생각할수록 소름돋고 충격적이었습니다 다중인격 연기를 너무 실감나게 잘해주시기도 했고 그런 장애를 가지게 된 이유가 너무 마음이 아팠어요,2018.11.19
뮤지컬 인터뷰,5,소름돋는 다중인격 연기!,몰입도를 올려주는 배우님들의 멋진 연기!피아노만으로도 극의 분위기를 극대화시킬 수 있다는 것도 좋았습니다~,2018.11.16
뮤지컬 인터뷰,4,뮤터뷰,"좋은 극이지만 자극적인 요소가 너무 많다고 생각했다. 그럼에도 넘버가 좋아서 한 번 더 보기는 했지만,,,",2018.11.14
뮤지컬 인터뷰,4,재밌었어요,연기가 너무 좋았다,2018.11.14
뮤지컬 인터뷰,5,인터뷰,최고^^,2018.11.11
뮤지컬 인터뷰,5,좋아요,배우들 연기 최고,2018.11.09
뮤지컬 인터뷰,5,최고,연기 너무너무 잘 해요!,2018.11.07
뮤지컬 인터뷰,5,충격적인 작품,처음봤을때의 충격은 절대 못잊을것같아요..모든 배우님들 연기가 정말 뛰어납니다,2018.11.06
뮤지컬 인터뷰,5,늦은후기,작년에 보고 올해 두번째 도전이었네요멋져요  배우분들완전 몰입해서 관람했어요또 만나요,2018.11.04
뮤지컬 인터뷰,5,좋아요,앞쪽 자리 최고 ㅎㅎ!!,2018.10.30
뮤지컬 인터뷰,5,좋아요,대박 ?? 진짜 좋아요!!!!너무 재미있어요!!!!!!!김재범 배우님 최고요!!!,2018.10.28
뮤지컬 인터뷰,5,인터뷰...,극찬할 수 밖에 없는 뮤지컬,2018.10.21
뮤지컬 인터뷰,5,최고예요,ㅠㅠㅠㅠ너무재밌어요,2018.10.15
뮤지컬 인터뷰,4,최고였어요,정동화배우님은 진짜 연기천재에요,2018.10.15
뮤지컬 인터뷰,5,최고의 연기 최고 배우 김재범,최고~~~~~,2018.10.15
뮤지컬 인터뷰,5,김재범 배우님 연기 천재,정말 최고!!!!!,2018.10.15
뮤지컬 인터뷰,4,머리맞음,우와..우와 하다 나온듯하다 싱클레어 정말.b,2018.10.15
뮤지컬 인터뷰,4,싱클레어 고든,정동화 배우님 좋았어요,2018.10.15
뮤지컬 인터뷰,4,우린 진화한거에요,좋았어용,2018.10.15
뮤지컬 인터뷰,5,보고싶다,빨리 다시 올라오기를,2018.10.15
뮤지컬 인터뷰,5,인터뷰,싱클레어가 행복하기를,2018.10.15
뮤지컬 인터뷰,5,인터뷰,아프지않기를,2018.10.15
뮤지컬 인터뷰,5,음,골똘골,2018.10.15
뮤지컬 인터뷰,5,흠,연출반성해,2018.10.15
뮤지컬 인터뷰,5,어둡습니다.,내용이 많이 어둡지만 배우분들의 능력이 빛을 발하는 뮤지컬 입니다.,2018.10.14
뮤지컬 인터뷰,4,음~~~~ 그렇군~~~~,첨보는건데 재밌었음!,2018.10.12
뮤지컬 인터뷰,5,강력추천,강력추천,2018.10.12
뮤지컬 인터뷰,3,넘버가 좋았어요,트리거 워닝이 필요할거같은데 사전 고지가 없어서 아쉬웠고요... 배우분들 연기는 대박적이었습니닫,2018.10.11
뮤지컬 인터뷰,4,민유진짱,민영기 유진 좋아요,2018.10.11
뮤지컬 인터뷰,5,좋아요,봐도봐도 좋아요,2018.10.11
뮤지컬 인터뷰,4,좋아요.,좋은 시간이었습니다. 긴장감 있는 스토리와 배우님들 연기에 푹 빠질 수 있었어요. 꼭 다시 한번 보고 싶네요. ㅎㅎ 너무 늦게 봐서 아쉽 ㅜ,2018.10.10
뮤지컬 인터뷰,5,안녕 인터뷰,초연 재연 삼연까지 다 보고 이제 삼연도 끝났네요.,2018.10.10
뮤지컬 인터뷰,5,떠났네요,공연이 끝나서 아쉬움다중이의 등장으로 그박하게 이뤄져가는 스토리,2018.10.10
뮤지컬 인터뷰,5,인터뷰 막공,인터뷰 삼연도 좋았어요,2018.10.10
뮤지컬 인터뷰,4,삼연 좋았어요,삼연이 되어서야 서사가 완성되었다는 느낌이 듭니다,2018.10.10
뮤지컬 인터뷰,3,불편하지만 어디선가 계속 되고 있을 이야기,마음이 아팠어요,2018.10.10
뮤지컬 인터뷰,5,또 보고 싶은 뮤지컬,다른 분들에게 추천해주고 싶은 뮤지컬,2018.10.10
뮤지컬 인터뷰,5,배우들의 천재적인 연기력,너무 재밌게 잘 봤습니다^^,2018.10.09
뮤지컬 인터뷰,5,엄청난 몰입도,김재범 배우님 연기 너무 좋았고박은석 배우님의 넘버가 아주 좋았습니다.무거운 주제이지만 명확한 메세지를 전달합니다.,2018.10.09
뮤지컬 인터뷰,4,인터뷰,마지막 피아노 연주가 좋았어요!,2018.10.09
뮤지컬 인터뷰,4,김경수 배우님 최고,배우님 연기는 최고지만 자극적인건 보기 힘들었어요??,2018.10.09
뮤지컬 인터뷰,5,인터뷰가요.........,진짜 너무 재밋다............이걸 왜 막공주에 봐서 저는....아무것도 못하ㅏ고........,2018.10.09
뮤지컬 인터뷰,5,수연조안 짱최고,못사들은 다들 눈물을 흘릴 것이다,2018.10.09
뮤지컬 인터뷰,5,정동화 짱,짱짱짱,2018.10.09
뮤지컬 인터뷰,4,좋아요,2층자리는 처음이었는데...너무 가파른느낌이라 별로였어요ㅠㅠ다음에는 1층에서봐야겠어요...공연은 너무 좋았어요2층에 대신 배우분 지인... 조금 시끄러우셨지만...ㅠㅠ,2018.10.09
뮤지컬 인터뷰,5,좋았습니다,인터뷰 내년에도 와주실거죠???기다리고있겠습니다!!!!!!!!!!!!!!!!!!!!,2018.10.09
뮤지컬 인터뷰,5,인터뷰,인터뷰 잘봤습니다,2018.10.08
뮤지컬 인터뷰,5,인터뷰,인터뷰 잘봤습니다,2018.10.08
뮤지컬 인터뷰,4,인터뷰,인터뷰 레전!,2018.10.08
뮤지컬 인터뷰,4,인터뷰,굿바이 인터뷰,2018.10.08
뮤지컬 인터뷰,4,재밌어여,재밌어여,2018.10.08
뮤지컬 인터뷰,5,인터뷰,좋았습니다,2018.10.08
뮤지컬 인터뷰,5,사연 와주세요,몇 번 못봐서 더 보고 싶네요 내년에도 좋은 배우분들의 연기 볼 수 있기를 기대합니다,2018.10.08
뮤지컬 인터뷰,5,너무 여운이 남는 극ㅠ,정말 재미있고 느끼는 점이 많은 뮤지컬입니다 넘버도 너무 좋아요 추천!!,2018.10.08
뮤지컬 인터뷰,4,재밌어요,작년엔가 보고 올해는 처음 봤는데 역시 재밌네요 내용은 자극적이지만,2018.10.08
뮤지컬 인터뷰,5,끝난건가요? 인터뷰?!,공연시작한지 얼마 안된거같은데 벌써 막공이었니요.. ㅠㅠ배우님들 피아니스트님 모두 너무 수고하셨고 좋은 공연 만들어주셔서 감사합니다,2018.10.08
뮤지컬 인터뷰,5,한 사람을 망치는 건,결국 무관심이었을까극한의 상황속에서 무너져버린 자기자신일까,2018.10.08
뮤지컬 인터뷰,5,배우들이 열일하는...,배우들의 연기가 다하는공연,2018.10.08
뮤지컬 인터뷰,4,"맷, 나 할 얘기가 있어",나 이제 떠날거야 겨우 만났어 사랑을 찾았어,2018.10.08
뮤지컬 인터뷰,5,너무너무재미잇는 인터뷰,2020년 인터뷰 4연 온다 믿ㄱ습니다 민영기배우님 10연까지 유진 해주세요,2018.10.08
뮤지컬 인터뷰,4,배우들의 열연,좋았어요..넘버도 좋고.. 하지만 너무 폭력적인 연출..,2018.10.08
뮤지컬 인터뷰,4,모두다 맷맷~,"귓 속에서 맷맷이 계속 생각남,,,,모두 다 맷맷,,,",2018.10.08
뮤지컬 인터뷰,4,-,즐겁게 봤습니다. 그러나 트리거 명시를 확실하게 하면 좋겠네요. 아무리 스포때문이라도 짚고 넘어갈 건 넘어가면 좋겠습니다.,2018.10.08
뮤지컬 인터뷰,5,.,180930막공! 총막! 다시 올거죠?,2018.10.08
뮤지컬 인터뷰,5,.,180928희귀한 회차였다 무대참사도 씬으로 유연하게 대처하는 배우님들의 능력에 감탄한 날,2018.10.08
뮤지컬 인터뷰,5,.,...,2018.10.08
뮤지컬 인터뷰,5,.,...,2018.10.08
뮤지컬 인터뷰,5,뮤텁에 누군가,꿀발라놓은것이 분명해... 아니면 이렇게 회전문 돌리가 없다고요ㅠ,2018.10.08
뮤지컬 인터뷰,4,잘보고왔어요,잘봤어요.,2018.10.08
뮤지컬 인터뷰,4,잘봤어요!,잘 보고왔어요,2018.10.08
뮤지컬 인터뷰,5,싱클레어가 모든 걸 하네요,싱클레어가 캐리하고 다른 배우들이 그걸 밑에서 탄탄히 받쳐주는 작품입니다. 세명의 배우의 합이 매우 중요합니다. 연기력이 최고였습니다.,2018.10.08
뮤지컬 인터뷰,5,마지막공연,좋았습니다 마지막까지 배우들의 열연은 최고였습니다,2018.10.08
뮤지컬 인터뷰,5,마지막까지 수고하셨습니다,마지막까지 수고하셨습니다,2018.10.08
뮤지컬 인터뷰,4,소름의 연속,자첫자막하러갔다가 작클레어작클레어 말만들었지 실제로 보고 휘몰아치는 인격전환에 충격받았어요수연조안도 말도 안되는 연기 ㅠㅠ 너무 잘하세요 다들트라우마가 있는 분들은 전반적으로 깔려있는 트리거 요소 때문에 관람하시기 힘들 것 같지만 임팩트가 그만큼 컸던 것 같아요정말 재미있게 봤네요,2018.10.08
뮤지컬 인터뷰,5,여운이..,누가 울새를 죽였나..,2018.10.08
뮤지컬 인터뷰,5,자이제이야긴여기까지,너무많은얘길해줬어''..,2018.10.08
뮤지컬 인터뷰,5,다들수고하셨습니다,즐거웠어요,2018.10.08
뮤지컬 인터뷰,5,ㅇ터뷰끝났어...,허망함,2018.10.08
뮤지컬 인터뷰,4,인터뷰,누가 울새를 죽였나,2018.10.08
뮤지컬 인터뷰,5,역시나,김재범 배우님의 연기는 언제 봐도 소름 돋네요지난 시즌보다 각 인격의 연기를 더 세밀하게 표현해주셔서극을 보는 내내 감탄의 연속이었습니다!,2018.10.08
뮤지컬 인터뷰,4,새로운 발견,김재범 배우님의 싱클레어는 처음이었는데다른 싱클레어들과 굉장히 다른부분이 많네요처음부터 불안한 모습이 뭔가 일을 낼 것 같은 분위기고너무 덜자란 아이같아요아픈 아이인걸 명백하게 드러내서 극적으로 보여주는것 같아요어떻게 보면 대충대충 연기하는듯 보이는데 그 안에서 캐릭터의 해석과 표현은 확실하게 보여서좋았습니다,2018.10.08
뮤지컬 인터뷰,4,삼연째,16년부터 매년 올라오는 인터뷰 새로운 유진 박은석 배우님이 궁금해서 보게됐어요매공연마다 조금씩 수정되는 부분들이 있어서공연자체의 느낌이 바뀌기도 해서 자꾸 보게 되네요김주연 배우님은 조안 장인이 되었네요왠지 모르게 재연때 안정적이었던 노래가 조금 흔들리는 감이 있지만 좋았습니다김경수 배우님의 싱클레어는 너무 마음이 아파요죽고싶어요 도와주세요 할 때는 같이 와르르 무너집니다박은석 배우님의 유진은 따듯하네요단순히 죄값을 치루게 하기 위한 치료가 아니라 상처받은 아이의 치유를 위해 노력하는 의사였어요이번엔 못보고 넘어갈뻔 했는데 볼 수 있어서 다행이었습니다,2018.10.08
뮤지컬 인터뷰,5,너무 최고,마지막까지 너무 좋았어요ㅠㅠ,2018.10.08
뮤지컬 인터뷰,4,재밋네으우유,아 재밋다 왜케 쟈밋냐 끝나서 아시어요,2018.10.08
뮤지컬 인터뷰,4,아으아르르아으아르릐,재밋다요 최고,2018.10.08
뮤지컬 인터뷰,5,막공다운 막공이었어요,정말 재밌었어요.,2018.10.08
뮤지컬 인터뷰,5,정말 재밌었어요.,정말 재밌었어요.,2018.10.08
뮤지컬 인터뷰,5,정말 재밌었어요.,정말 재밌었어요.,2018.10.08
뮤지컬 인터뷰,5,최고,김경수짱,2018.10.08
뮤지컬 인터뷰,5,정말 재밌었어요.,정말 재밌었어요.,2018.10.08
뮤지컬 인터뷰,5,정말 재밌었어요.,정말 재밌었어요.,2018.10.08
뮤지컬 인터뷰,5,김경수 잘생겼다,재밌었어요 다양한 연기보는 재미 매우 충분,2018.10.08
뮤지컬 인터뷰,3,많이밧나,강추르디이,2018.10.08
뮤지컬 인터뷰,5,인타뷰 짱,정동화 배우님 최고에요!!!!!!!!! 으와 소름 몇버능ㄹ 돋앗눈비 머르겟어요 정말 최거에요 연기 너무 젛앗어요 노래도 오늘 특히 좋앗고 ㅠㅠㅜ 정말 최곱니다 김수용 바우님더 초ㅔ고체고 사랑해요 또보고싶은데 왜 두분 막공이조 흑흑 다음 시즈넹도 또ㅜ아주게오!!!!,2018.10.08
뮤지컬 인터뷰,5,인터뷰 짱,굿바이 인타뷰 ㅠㅠㅠㅠ 흑흑 왜 벌써 끄팅조 더 볼 수 익는데요 더 해주새요 앵콜해주세요 흑흑 3개월동안 너무 행복해쓰빈다 너무 재밋엇어ㅇ요 인타뷰 네년에도 또 올려주세요 제발 꼭꼬꼬곡 화이팅 사랑해요,2018.10.08
뮤지컬 인터뷰,5,인터뷰 짱,재밌어요 또 보고깊어요 너무 재밋어요 또보고싶네요 다시보러가고싶어요 흑 이제 끄티라니 너무아쉬우어ㅗ 꼭 또 올려주세요 화이팅,2018.10.08
뮤지컬 인터뷰,5,인터뷰 짱,작품 좋네요 넘버 좋아오ㅗ 연기훌륭해오,2018.10.08
뮤지컬 인터뷰,5,유진킴선생님?,시조프레 출판사에서 왔습니다 보조 작가를 구하신다고....,2018.10.08
뮤지컬 인터뷰,5,연기 최고,넘버 너무 좋아요!!!,2018.10.08
뮤지컬 인터뷰,5,싱클레어 고든,배우님 최고였어요!!!,2018.10.08
뮤지컬 인터뷰,5,정말 재밌었어요.,정말 재밌었어요.,2018.10.08
뮤지컬 인터뷰,4,잘봤습니다,잘봤습니다,2018.10.08
뮤지컬 인터뷰,5,좋았어요,정말이지 마지막까지 완벽한 연기를 보여주신 배우님들 감사합니다,2018.10.08
뮤지컬 인터뷰,5,너무좋았어요!,연기천재정동화,2018.10.08
뮤지컬 인터뷰,5,좋았어요,배우들의 연기를 굉장히 잘 볼 수 있었습니다! 다음에 올때는 내용을 사회적으로 조금은 다듬어야할 것 같아요.,2018.10.08
뮤지컬 인터뷰,5,허상망상상상,만들어낸이야기,2018.10.08
뮤지컬 인터뷰,5,언제 봐도 좋아요,배우들의 열연과 좋은 넘버덕분에 언제 봐도 좋아요,2018.10.08
뮤지컬 인터뷰,4,시작되었나요,인터뷰..,2018.10.08
뮤지컬 인터뷰,5,끝나서 아쉬워요,삼연으로 다시 볼 수 있어서 좋았습니다!,2018.10.08
뮤지컬 인터뷰,4,시작되었나요,인터뷰,2018.10.08
뮤지컬 인터뷰,5,인터뷰 정말 좋아요!!!,인터뷰 정말 좋아요!!!,2018.10.08
뮤지컬 인터뷰,4,인터뷰,인터뷰,2018.10.08
뮤지컬 인터뷰,4,마지막까지,너무너무 고생하셨습니다!!,2018.10.07
뮤지컬 인터뷰,5,김경수는,연기의 신이다,2018.10.07
뮤지컬 인터뷰,5,내용이 아주 좋았어요,노래도 너무 좋고 내용이 인상적이라 기억에 오래남을거같아요,2018.10.07
뮤지컬 인터뷰,5,숑꽃수 페어막,진짜 수연조안 사랑하고 숑유진 사랑하고 꽃클 사랑해요,2018.10.07
뮤지컬 인터뷰,5,기억하니 그때 막공아닌 그날,"함께있으면 세상이 이해가 됐지,,, 왜 막공이지,,,왜없지,,,",2018.10.07
뮤지컬 인터뷰,4,누가 울새를 죽였니,나 참새가 말했어~,2018.10.07
뮤지컬 인터뷰,3,작클,작크으으으을,2018.10.07
뮤지컬 인터뷰,4,뮤지컬인터뷰,성남공연보고싶ㅇ은데 못보는게한이다,2018.10.07
뮤지컬 인터뷰,4,뮤터뷰,"봐줘 제발,,,",2018.10.07
뮤지컬 인터뷰,5,숑작주는 사랑입니다,역시 페어막은 진리,2018.10.06
뮤지컬 인터뷰,5,좋은 공연 감사합니다,좋은 공연 감사합니다,2018.10.06
뮤지컬 인터뷰,5,좋아요,최고최고,2018.10.06
뮤지컬 인터뷰,5,굿,배우들의 열연이 대단했습니다.,2018.10.06
뮤지컬 인터뷰,4,각오를 하고 봐야하는 공연,사전 경고 없이 봐서 심장이 철렁했어요. 다음에 공연 올리실 땐 주의할 요소 안내해두시는게 좋을듯..,2018.10.05
뮤지컬 인터뷰,5,인터뷰,"성남까지 내려가야하나 진지하게 고민중... 재미있고 소재가 신선했어요,",2018.10.05
뮤지컬 인터뷰,5,재밌음...,연출은 배우님들한테 감사하도록 하시오.. 부서질듯한 아름다움을 가진 청년 <ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 오늘도 웃고갑니다..,2018.10.05
뮤지컬 인터뷰,2,넘버가 좋고 반전이!,다중인격소재라는것만 알고갔는데 넘버도 좋았고 마지막 반전에 깜짝 놀랐어요,2018.10.05
뮤지컬 인터뷰,3,김주연 사랑해요,김주연 짱짱짱짱  추작 절필 언제쯤,2018.10.05
