musical_title,rate,review_title,review_text,review_date
뮤지컬〈프랑켄슈타인〉- 부산,5,최고,최고의공연,2019.03.27
뮤지컬〈프랑켄슈타인〉- 부산,5,앓다 죽을 프랑켄,죽겠습니다 프랑켄이 끝다나니뇨 후기를 왜 이제 쓰는지는 모르겠지만 그냥 한 번 써봅니다 빅터가 울면 나도 울고 앙리의 의연한 몸짓에 저는 그만 실신해버렸습니다 그리고 까뜨린느는 잘 살거라고 생각합니다 한 번쯤 보셨으면 좋겠습니다.,2019.03.24
뮤지컬〈프랑켄슈타인〉- 부산,5,잘봤습니다~,웅장하고 배우들의 연기가 너무 멋졌어요,2019.02.17
뮤지컬〈프랑켄슈타인〉- 부산,5,정말 잘 보고 왔어요,서울에서만 공연해서 시간과 차비 등등 여건때문에 못보러가는 아쉬움이 있었는데 부산내려온다고 해서 얼마나 기뻤는지 몰라요. 티켓팅이 치열했지만 다행히 좋은 자리를 겟해서 잘 보고 왔습니다. 다음에도 또 공연해주세요.,2019.02.13
뮤지컬〈프랑켄슈타인〉- 부산,5,멋진 경험이었어요~~,연말모임으로 단체로 관람했는데 너무 멋졌어요~^,2019.02.11
뮤지컬〈프랑켄슈타인〉- 부산,2,후기,기대 이하,2019.02.10
뮤지컬〈프랑켄슈타인〉- 부산,4,웅장했어요~,웅장하고 멋있었어요ㅎㅎ후반부에 약간 지루한감이 없지않아 있었지만 전체적으로 괜찮았어요 커튼콜때 배우들 너무 귀여웠답니다ㅋㅋ,2019.02.09
뮤지컬〈프랑켄슈타인〉- 부산,4,2막이 좀 지루하다,대극장 공연들이 많이 그렇듯 2막이 좀 루스하다극에 대해 앙리가 괴물 되는 것도 모르는 수준으로 아무 것도 모르고 갔는데 너무 지킬 오마주로 보였다넘버는 좋았고 배우들 노래도 좋았다옷도 자주 갈아입고 나와서 극에 돈 들인 티 내는구나 했는데 무대도 좀더 화려했으면 좋겠다,2019.02.08
뮤지컬〈프랑켄슈타인〉- 부산,5,지금까지 봤던 뮤지컬 중 가장 기억이 남는 뮤지컬,"배우들 모두 최고!!!!!!!!!! 넘버도 진짜 하나같이 다 좋고, 배우들 연기도 다 좋고ㅠㅠㅠㅠ",2019.02.05
뮤지컬〈프랑켄슈타인〉- 부산,5,프랑켄 슈타인의 탄생,"어느 넘버하나 뺄 수없는, 훌륭한 음악들과 .화려한 앙상블이 기억에.남아 두번 감상했어요내년에도 볼수있음좋겠어요 프랑켄슈타인",2019.01.22
