musical_title,rate,review_title,review_text,review_date
〈웃는 남자〉 예술의전당,3,늦은후기네여,일단 웃는남자 초연 본거 넘나 뿌듯하고요. 언제 다시볼지 모르는 쿄윈플랜 두번봐서 넘나 아직도 뿌듯.. 무대 진짜진짜 화려하고 멋지고 노래도 진짜 좋았습니다. 그런데 더리모어경이랑 데아 나올때 말이 유혹이지 강간미수잖아요? 그장면 진짜 불쾌했습니다. 원작에도 없고 꼭 필요한 내용도 아닌데 굳이 왜 넣었던건지? 그장면을 넣은 의도를 모르겠고 그때 너무 불쾌했어서 별두개 뺐습니다. 그것만 아니면 진짜 좋았는데말이죠,2020.05.16
〈웃는 남자〉 예술의전당,5,감동적인 공연,조은공연 잘 봐씁니다,2020.03.19
〈웃는 남자〉 예술의전당,5,역시 박효신,그윈플렌하면 쿄윈이랑 깡윈이 짱이었음 ㄹㅇ.....,2020.03.07
〈웃는 남자〉 예술의전당,4,역시 박효신 ㅋㅋ 그리고 너무도 화려했던 무대,믿고 들었던 효신형님과 브로드웨이 빰치는 무대장치와배경들로 감동 ㅋㅋ,2019.10.17
〈웃는 남자〉 예술의전당,5,아직까지도 생생하네요!!,"옆자리 사람이 자꾸 배우님들 노래할때 따라 불러제껴서 좀 짜증나고, 망원경 대여 못해서 아쉽긴했지만무대 정말 화려하고 구도도 멋있고 무엇보다 색감이 너무 좋았어요ㅠㅜ그리고 그웬 플렌이랑 데아가 듀엣하는 장면은 정말ㅠㅜ죽어도 못있을 것 같아요ㅠㅜ심장 아파 죽는줄..데아 왜이리 사랑스럽니..그웬플렌은 콩트 씬도 너무 익살스럽게 잘 소화하고ㅠㅜ노래는 역시 대장님이시니까ㅠㅜ육성으로 듣는 감동이란...중간에 너무 몰입해서 쉬는시간도 놓칠뻔했잖아욬ㅋㅋㅋㅋㅋㅋ지금 생각해도 생생할 만큼 인상적인 공연이었습니다!!??",2019.06.27
〈웃는 남자〉 예술의전당,5,대장,ㅅㅏ랑해요,2019.06.23
〈웃는 남자〉 예술의전당,5,화려했던 뮤지컬,무대가 화려해서 보는 즐거움도 있었구보고 나서 노래가 계속 생각나네요기대보다는 좋았어요,2019.05.19
〈웃는 남자〉 예술의전당,5,첫 뮤지컬 공연,"처음 본 뮤지컬 공연이었는데 아주 만족했어요.혼자서 봤는데 그래서 더 집중이 잘 되었고 무대 연출주터 배우들 연기, 노래실력까지 몰입하지 않을 수가 없었습니다. 한 번 밖에 보지 못했다는데 두고두고 아쉬울것 같네요...",2019.05.01
〈웃는 남자〉 예술의전당,5,아침부터 준비해서 보러갈 가치가 있는 뮤지컬이었습니다,전 울산에 사는데 저 뮤지컬 하나 보러 다른 약속도 친구도 없는 서울까지 혼자 갔다가 저녁에 버스타고 내려왔는데..여름이리도 하고 초행길이기도 하고 고생은 진짜 많이 했는데 너무 재밋었어요ㅠㅜ진짜 일하느라 대장님 팬미팅때도 못갔는데ㅠㅜ대장 나오자 마자 눈물이 핑돌고ㅠㅜ 근데 쌍안경인가 그거 못 빌려서 눈알 빠지는 줄 알았어요ㅠㅜ한시간정도 일찍가서 줄섰는데도 안돼더라고요ㅠㅜ그래도 목소리는 잘들리니까...ㅠ 대장보러 갔다가 무대랑 데아에게 반하고 온 1인입니다ㅠㅜ,2019.04.19
〈웃는 남자〉 예술의전당,5,아침부터 준비해서 보러갈 가치가 있는 뮤지컬이었습니다,전 울산에 사는데 저 뮤지컬 하나 보러 다른 약속도 친구도 없는 서울까지 혼자 갔다가 저녁에 버스타고 내려왔는데..여름이리도 하고 초행길이기도 하고 고생은 진짜 많이 했는데 너무 재밋었어요ㅠㅜ진짜 일하느라 대장님 팬미팅때도 못갔는데ㅠㅜ대장 나오자 마자 눈물이 핑돌고ㅠㅜ 근데 쌍안경인가 그거 못 빌려서 눈알 빠지는 줄 알았어요ㅠㅜ한시간정도 일찍가서 줄섰는데도 안돼더라고요ㅠㅜ그래도 목소리는 잘들리니까...ㅠ 대장보러 갔다가 무대랑 데아에게 반하고 온 1인입니다ㅠㅜ,2019.04.19
〈웃는 남자〉 예술의전당,4,지루할 수 있지만 배우들 덕분에 재밌게 봤네요,"내용은 지루할 수도 있는 내용이지만 넘버들, 그걸 소화하는 배우들이 훌륭했습니다.",2019.04.17
〈웃는 남자〉 예술의전당,5,그냥 대존잼ㅠ,돈 없는 대학생이라 두 번밖에 못봤는데 정말 열 번은 더 보고싶은 뮤지컬,2019.04.15
〈웃는 남자〉 예술의전당,5,최고의 쿄윈플렌,무대도 배우도 모든게 완벽했습니다.,2019.04.04
〈웃는 남자〉 예술의전당,5,잼있게 봤어요,배우들의 열연 인상에 오래 남을것 같네요,2019.03.29
〈웃는 남자〉 예술의전당,5,넘버가 넘 좋아서,한동안 벨소리로 해다녔어요. 재연 꼭 했으면 좋겠어요,2019.03.17
〈웃는 남자〉 예술의전당,5,효신이형..,기모찌..,2019.02.17
〈웃는 남자〉 예술의전당,5,웃남,????????????????,2019.02.04
〈웃는 남자〉 예술의전당,5,표현을 못하겠어요,말로 표현할수가 없네요. 어떤 말을 다 갖다붙여도 대신할 방법이 없으니 직접 보고 듣고 느껴 보는거 밖엔...,2019.02.01
〈웃는 남자〉 예술의전당,5,대박입니다,수호진짜 대작이었습니다...여러분 꼭 보세요...,2019.01.17
〈웃는 남자〉 예술의전당,5,웃는남자 초연 대박~,볼거리도 많고 넘버도 좋고 배우들도 최고최고,2019.01.06
